"R1"	"R2"	"C1"	"C2"
"271"	"R6"	"R13"	"C1"	"C3"
"272"	"R6"	"R14"	"C1"	"C3"
"273"	"R6"	"R15"	"C1"	"C3"
"274"	"R6"	"R7"	"C1"	"C4"
"275"	"R6"	"R8"	"C1"	"C4"
"276"	"R6"	"R10"	"C1"	"C4"
"277"	"R6"	"R11"	"C1"	"C4"
"278"	"R6"	"R12"	"C1"	"C4"
"279"	"R6"	"R13"	"C1"	"C4"
"280"	"R6"	"R14"	"C1"	"C4"
"281"	"R6"	"R15"	"C1"	"C4"
"282"	"R6"	"R7"	"C1"	"C5"
"283"	"R6"	"R8"	"C1"	"C5"
"284"	"R6"	"R10"	"C1"	"C5"
"285"	"R6"	"R11"	"C1"	"C5"
"286"	"R6"	"R12"	"C1"	"C5"
"287"	"R6"	"R13"	"C1"	"C5"
"288"	"R6"	"R14"	"C1"	"C5"
"289"	"R6"	"R15"	"C1"	"C5"
"290"	"R6"	"R7"	"C1"	"C6"
"291"	"R6"	"R8"	"C1"	"C6"
"292"	"R6"	"R10"	"C1"	"C6"
"293"	"R6"	"R11"	"C1"	"C6"
"294"	"R6"	"R12"	"C1"	"C6"
"295"	"R6"	"R13"	"C1"	"C6"
"296"	"R6"	"R14"	"C1"	"C6"
"297"	"R6"	"R15"	"C1"	"C6"
"298"	"R6"	"R7"	"C1"	"C7"
"299"	"R6"	"R8"	"C1"	"C7"
"300"	"R6"	"R10"	"C1"	"C7"
"301"	"R6"	"R11"	"C1"	"C7"
"302"	"R6"	"R12"	"C1"	"C7"
"303"	"R6"	"R13"	"C1"	"C7"
"304"	"R6"	"R14"	"C1"	"C7"
"305"	"R6"	"R15"	"C1"	"C7"
"306"	"R6"	"R7"	"C1"	"C8"
"307"	"R6"	"R8"	"C1"	"C8"
"308"	"R6"	"R10"	"C1"	"C8"
"309"	"R6"	"R11"	"C1"	"C8"
"310"	"R6"	"R12"	"C1"	"C8"
"311"	"R6"	"R13"	"C1"	"C8"
"312"	"R6"	"R14"	"C1"	"C8"
"313"	"R6"	"R15"	"C1"	"C8"
"314"	"R6"	"R7"	"C1"	"C9"
"315"	"R6"	"R8"	"C1"	"C9"
"316"	"R6"	"R10"	"C1"	"C9"
