"Guarea_guidonia"	"Cecropia_schreberiana"	"Schefflera_morototoni"	"Miconia_prasina"	"Cupania_americana"	"Alchornea_latifolia"	"Myrcia_sp1_M_SD_003"	"Byrsonima_coriacea"	"Clusia_rosea"	"Henriettea_fascicularis"	"Casearia_arborea"	"Ocotea_leucoxylon"	"Miconia_affinis"	"Phoradendron_sp1_M_SD_003"	"Psychotria_berteroana"	"Inga_vera"	"Ficus_sp1_M_SD_003"	"Myrcine_coriacea"	"Anthurium_scandens"	"Dendropanax_arboreus"	"Inga_laurina"	"Miconia_serrulata"	"Tournefortia_hisutissima"	"Unidentified_sp2_M_SD_003"	"Unidentified_sp3_M_SD_003"	"Loxigilla_portoricensis"	"Spindalis_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Columba_squamosa"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Euphonia_musica"	"Margarops_fuscatus"	"Icterus_dominicensis"	"Zenaida_zenaida"	"Molothrus_bonariensis"	"Nesospingus_sp1_M_SD_003"	"Tiaris_bicolor"	"Todus_mexicanus"	"Unidentified_sp1_M_SD_003"
"Tournefortia_hisutissima"	0.00311497059970801	0.0302659294356128	0.0249087840087066	0.0252909503275911	0.00458298380779171	0.00198567819267944	0.0244802088538452	0.0249616753525226	0.000775013244015704	0.0249738025950477	0.00296991984670494	0.000832265628429397	0.00104519176594045	0.00135700548151002	0.0233543964800775	0.0233543964800775	0.00031181371556957	0.0230842179581528	0.00104519176594045	0.0223092047141371	0.000627105692845782	0.0223092047141371	1.02230920471414	0.000775013244015704	0.0223092047141371	0.0292653694463326	0.580039322567564	0.0155002648803141	0.00793840337699525	0.00832265628429397	0.00486444884247484	0.00101371929590483	0.00187088229341742	0.00900649899014172	0.00376263415707469	0.000330946365446574	0.000327355986270836	0.00137572406525513	0.00137572406525513	0.00137572406525513	0.000296991984670494
"Unidentified_sp2_M_SD_003"	0.0312219339102044	0.0363520927409074	0.0311376563794038	0.00315607133204933	0.0339443244761954	0.0314357119803318	0.00241082610308131	0.0309337752847751	0.0279741843134454	0.003175674137383	0.033442840819424	0.00134269272545518	0.000841885001858771	0.00119671149753956	0.00161689824587448	0.00161689824587448	0.000354826495680785	0.0287491975574611	0.000841885001858771	0.000775013244015704	0.000513009795020982	0.000775013244015704	0.000775013244015704	1.02797418431345	0.000775013244015704	0.0235727800520456	0.0201503443444083	0.559483686268908	0.00836612877190031	0.0134269272545518	0.00447147137380812	0.00967162042616048	0.00212895897408471	0.0063514228576547	0.00307805877012589	0.00523928533005531	0.00242459460544253	0.00165236785185943	0.00165236785185943	0.00165236785185943	0.0033442840819424
"Unidentified_sp3_M_SD_003"	0.00311497059970801	0.0302659294356128	0.0249087840087066	0.0252909503275911	0.00458298380779171	0.00198567819267944	0.0244802088538452	0.0249616753525226	0.000775013244015704	0.0249738025950477	0.00296991984670494	0.000832265628429397	0.00104519176594045	0.00135700548151002	0.0233543964800775	0.0233543964800775	0.00031181371556957	0.0230842179581528	0.00104519176594045	0.0223092047141371	0.000627105692845782	0.0223092047141371	0.0223092047141371	0.000775013244015704	1.02230920471414	0.0292653694463326	0.580039322567564	0.0155002648803141	0.00793840337699525	0.00832265628429397	0.00486444884247484	0.00101371929590483	0.00187088229341742	0.00900649899014172	0.00376263415707469	0.000330946365446574	0.000327355986270836	0.00137572406525513	0.00137572406525513	0.00137572406525513	0.000296991984670494
"Loxigilla_portoricensis"	0.0468296656273193	0.0579957943713374	0.00684632224699437	0.0468771604352917	0.0512605791802912	0.0455086329902491	0.0448509458574108	0.0452748558476964	0.00168377000371754	0.0454249098617771	0.0479682164356709	0.00146822540808714	0.0400324769040108	0.0424409134178065	0.0421228604358917	0.0421228604358917	0.00240843651379564	0.00377415353559844	0.0400324769040108	0.0020903835318809	0.00169810612257664	0.0020903835318809	0.0020903835318809	0.00168377000371754	0.0020903835318809	1.1209093533123	0.0543499718289035	0.0336754000743508	0.0128315464264702	0.0146822540808714	0.0121572874672853	0.0143119997884314	0.0144506190827739	0.0218246833721526	0.0101886367354598	0.00758477216504152	0.00366146994144937	0.00263617247142443	0.00263617247142443	0.00263617247142443	0.0047968216435671
"Spindalis_portoricensis"	0.00622994119941601	0.0605318588712256	0.0498175680174132	0.0505819006551821	0.00916596761558341	0.00397135638535888	0.0489604177076905	0.0499233507050453	0.00155002648803141	0.0499476051900954	0.00593983969340987	0.00166453125685879	0.0020903835318809	0.00271401096302004	0.0467087929601551	0.0467087929601551	0.000623627431139139	0.0461684359163056	0.0020903835318809	0.0446184094282742	0.00125421138569156	0.0446184094282742	0.0446184094282742	0.00155002648803141	0.0446184094282742	0.0585307388926652	1.16007864513513	0.0310005297606282	0.0158768067539905	0.0166453125685879	0.00972889768494969	0.00202743859180966	0.00374176458683483	0.0180129979802834	0.00752526831414938	0.000661892730893148	0.000654711972541672	0.00275144813051026	0.00275144813051026	0.00275144813051026	0.000593983969340988
"Vireo_altiloquous"	0.0624438678204089	0.0727041854818148	0.0622753127588077	0.00631214266409867	0.0678886489523908	0.0628714239606637	0.00482165220616262	0.0618675505695501	0.0559483686268908	0.00635134827476599	0.0668856816388479	0.00268538545091036	0.00168377000371754	0.00239342299507911	0.00323379649174895	0.00323379649174895	0.000709652991361569	0.0574983951149222	0.00168377000371754	0.00155002648803141	0.00102601959004196	0.00155002648803141	0.00155002648803141	0.0559483686268908	0.00155002648803141	0.0471455601040912	0.0403006886888166	1.11896737253782	0.0167322575438006	0.0268538545091035	0.00894294274761624	0.019343240852321	0.00425791794816941	0.0127028457153094	0.00615611754025179	0.0104785706601106	0.00484918921088506	0.00330473570371885	0.00330473570371885	0.00330473570371885	0.0066885681638848
"Turdus_plumbeus"	0.00701414178594019	0.156529180853558	0.138447237479601	0.00796249081350063	0.151082431306357	0.00403142781412784	0.00481217808784617	0.00845689779444021	0.00209153219297508	0.140334353764524	0.00901824136795701	0.00277682145390754	0.00160394330330878	0.00303555255890841	0.00358854414755759	0.00358854414755759	0.00143160925559963	0.00407613303722389	0.00160394330330878	0.00198460084424881	0.00515152662849706	0.00198460084424881	0.00198460084424881	0.00209153219297508	0.00198460084424881	0.0449104124926459	0.0515996219504691	0.0418306438595015	1.05275426390775	0.0277682145390754	0.0189018763539267	0.0125701940962066	0.00858965553359775	0.00978907152230864	0.0309091597709823	0.000671904635687975	0.0107916022361683	0.00711496276607084	0.00711496276607084	0.00711496276607084	0.000901824136795701
"Columba_squamosa"	0.00752679008304356	0.131284943476407	0.117383488546402	0.00540815836783689	0.0111953100100288	0.00453121184617909	0.0041676279965966	0.116074892500582	0.00268538545091036	0.00619578505198335	0.122893335932756	0.110256750384726	0.00146822540808714	0.00267480708099525	0.00313275666494594	0.00313275666494594	0.00120658167290811	0.00434991670776915	0.00146822540808714	0.00166453125685879	0.000286206933129865	0.00166453125685879	0.00166453125685879	0.00268538545091036	0.00166453125685879	0.04111031142644	0.0432778126783287	0.0537077090182071	0.0222145716312604	1.10256750384726	0.00744318222744174	0.0140298473543724	0.00723949003744865	0.00827897065320528	0.00171724159877919	0.000755201974363182	0.000799665000716341	0.00596749743074579	0.00596749743074579	0.00596749743074579	0.0122893335932757
"Coereba_flaveola"	0.0105037513117223	0.203944366666995	0.0075028165023224	0.182295496884043	0.193254837903074	0.00383640549361846	0.00798532145263584	0.00637871835454882	0.00149049045793604	0.00952427411604185	0.00779648184810451	0.00124053037124029	0.00202621457788088	0.00388845307870633	0.00364769752537249	0.00364769752537249	0.00186223850082545	0.00311197340542766	0.00202621457788088	0.00162148294749162	0.0027262638650149	0.00162148294749162	0.00162148294749162	0.00149049045793604	0.00162148294749162	0.0567340081806645	0.042158556634782	0.0298098091587208	0.0252025018052357	0.0124053037124029	1.04586105258845	0.0158965340918525	0.0111734310049527	0.0347009914181068	0.0163575831900894	0.000639400915603076	0.0138039169930767	0.0092701984848634	0.0092701984848634	0.0092701984848634	0.000779648184810451
"Tyrannus_dominicensis"	0.184942503027872	0.0177577524653116	0.00799512014911827	0.00862244882375439	0.196161803911894	0.00611913466195497	0.00597302647511231	0.00828542109782241	0.00322387347538683	0.00753712629935289	0.193716867552837	0.00233830789239541	0.0023853332980719	0.00265266737257153	0.00272323973004017	0.00272323973004017	0.000267334074499628	0.0035617799073551	0.0023853332980719	0.000337906431968277	0.00271885421994495	0.000337906431968277	0.000337906431968277	0.00322387347538683	0.000337906431968277	0.0667893323460131	0.0087855672311752	0.0644774695077365	0.0167602587949421	0.0233830789239541	0.0158965340918525	1.05650105705605	0.00160400444699777	0.0259982939605771	0.0163131253196697	0.0010198557769925	0.0140115574222781	0.000807170566605074	0.000807170566605074	0.000807170566605074	0.0193716867552837
