"Geissomeria_schottiana"	"Justicia_scheidweileri"	"Ruellia_brevifolia"	"Passiflora_speciosa"	"Mendoncia_velloziana"	"Fridericia_speciosa"	"Corymborkis_flava"	"Heliconia_simulans"	"Mutisia_speciosa"	"Lantana_camara"	"Rubus_rosaefolius"	"Passiflora_kermesina"	"Hyptis_asperrima"	"Ruellia_subsessilis"	"Thalurania_glucopis"	"Phaethornis_squalidus"	"Phaethornis_ruber"	"Calliphlox_amethystina"	"Chlorostilbon_aureoventris"	"Phaethornis_pretrei"	"Amazilia_fimbriata"	"Amazilia_lactea"
"Rubus_rosaefolius"	0.0393964142929567	0.034980624819628	0.0350654016325663	0.0168873525707335	0.0197381151806122	0.0192281737191521	0.0182806984924112	0.034980624819628	0.0157320803031519	0.0326194328738855	1.03261943287389	0.0157320803031519	0.00234082114841851	0.0157320803031519	0.0188895355659404	0.303972346273204	0.314641606063039	0.0037899009069633	0.00836007553006611	0.00978387503472339	0.00393964142929567	0.00328968586343536
"Passiflora_kermesina"	0.0383784258658875	0.0340903212627741	0.0338333439161228	0.00214630891940651	0.034848013465492	0.00244381708645296	0.00232339711407701	0.0340903212627741	0.0293178516868974	0.0314641606063039	0.0314641606063039	1.0293178516869	0.000297508167046447	0.0293178516868974	0.0210092852517621	0.0386335605493172	0.586357033737947	0.000481679889503771	0.00106252916802303	0.00947673323927588	0.00383784258658875	0.00580800224424866
"Hyptis_asperrima"	0.00280099820831863	0.00248610394688488	0.00251566549943632	0.00219206706489529	0.000320767507625016	0.131208789232306	0.0551782112121639	0.00248610394688488	0.000148754083523224	0.00234082114841851	0.00234082114841851	0.000148754083523224	1.12901672216741	0.000148754083523224	0.00116226238773099	0.0394572071681152	0.00297508167046447	0.304122312080571	0.317916864883612	0.00069937740407125	0.000280099820831863	5.3461251270836e-05
"Ruellia_subsessilis"	0.0383784258658875	0.0340903212627741	0.0338333439161228	0.00214630891940651	0.034848013465492	0.00244381708645296	0.00232339711407701	0.0340903212627741	0.0293178516868974	0.0314641606063039	0.0314641606063039	0.0293178516868974	0.000297508167046447	1.0293178516869	0.0210092852517621	0.0386335605493172	0.586357033737947	0.000481679889503771	0.00106252916802303	0.00947673323927588	0.00383784258658875	0.00580800224424866
"Thalurania_glucopis"	0.158153228879191	0.145709188952167	0.0139811462660348	0.00419244647002966	0.154381900889605	0.00477357766389515	0.0045383578949496	0.145709188952167	0.00525232131294053	0.00944476778297018	0.00944476778297018	0.00525232131294053	0.000581131193865497	0.00525232131294053	1.09011536935358	0.0754640364605338	0.105046426258811	0.000940879075782233	0.00207546854951963	0.0181455139322582	0.0158153228879191	0.0257303168149341
"Phaethornis_squalidus"	0.0808288054400518	0.0717418567529638	0.0725949186980196	0.0632567924441211	0.00925643379146474	0.0720250607037023	0.0684759997414909	0.0717418567529638	0.00429261783881302	0.0675494102829342	0.0675494102829342	0.00429261783881302	0.00876826825958115	0.00429261783881302	0.0335395717602372	1.13862226399418	0.0858523567762604	0.0141962438488457	0.0313152437842184	0.0201820336603418	0.00808288054400519	0.00154273896524412
"Phaethornis_ruber"	0.0767568517317749	0.0681806425255483	0.0676666878322457	0.00429261783881302	0.0696960269309839	0.00488763417290592	0.00464679422815403	0.0681806425255483	0.0586357033737947	0.0629283212126077	0.0629283212126077	0.0586357033737947	0.000595016334092894	0.0586357033737947	0.0420185705035242	0.0772671210986344	1.17271406747589	0.000963359779007543	0.00212505833604605	0.0189534664785518	0.0076756851731775	0.0116160044884973
"Calliphlox_amethystina"	0.00453494948013492	0.00402512067590886	0.00407298223718262	0.00354906096221142	0.000519337869488121	0.307671373042782	0.0258440879942971	0.00402512067590886	0.000240839944751886	0.0037899009069633	0.0037899009069633	0.000240839944751886	0.304122312080571	0.000240839944751886	0.00188175815156447	0.0638830973198055	0.00481679889503771	1.12730914019394	0.133770162192514	0.00113232532087726	0.000453494948013492	8.65563115813534e-05
"Chlorostilbon_aureoventris"	0.00666904335313959	0.00591929511163068	0.00598967976056268	0.00521920729736973	0.000763732161011942	0.217163783886444	0.194868756854358	0.00591929511163068	0.000354176389341009	0.00557338368671074	0.00557338368671074	0.000354176389341009	0.211944576589074	0.000354176389341009	0.00276729139935951	0.0939457313526552	0.00708352778682017	0.0891801081283426	1.13789729734193	0.00166518429540774	0.00066690433531396	0.00012728869350199
"Phaethornis_pretrei"	0.298312927338534	0.014320253517788	0.278860902488543	0.00504550841508545	0.0101179037484027	0.0057448858191567	0.00546180448893738	0.014320253517788	0.00473836661963794	0.00978387503472339	0.00978387503472339	0.00473836661963794	0.00069937740407125	0.00473836661963794	0.0362910278645165	0.090819151471538	0.0947673323927589	0.00113232532087726	0.00249777644311161	1.07630810981528	0.0298312927338534	0.00168631729140046
