"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R11"	0.0205793720229416	0.050695052007388	0	0.0205793720229416	0.0205793720229416	0.0460872946437251	0.0159716146592787	0	0.0460872946437251	0.0205793720229416	1.04608729464373	0.0460872946437251	0.319432293185574	0.0153591912122096	0.0153591912122096	0.0153591912122096	0.301156799844464	0	0	0	0	0	0	0
"R12"	0.0205793720229416	0.050695052007388	0	0.0205793720229416	0.0205793720229416	0.0460872946437251	0.0159716146592787	0	0.0460872946437251	0.0205793720229416	0.0460872946437251	1.04608729464373	0.319432293185574	0.0153591912122096	0.0153591912122096	0.0153591912122096	0.301156799844464	0	0	0	0	0	0	0
"C1"	0.0694468746962185	0.0766015359191212	0	0.0694468746962185	0.0694468746962185	0.0638864586371148	0.0567317974142121	0	0.0638864586371148	0.0694468746962185	0.0638864586371148	0.0638864586371148	1.13463594828424	0.0423835909400214	0.0423835909400214	0.0423835909400214	0.0715466122290269	0	0	0	0	0	0	0
"C2"	0.127189656848449	0.129094974239331	0	0.127189656848449	0.127189656848449	0.00614367648488383	0.00423835909400214	0	0.00614367648488383	0.127189656848449	0.00614367648488383	0.00614367648488383	0.0847671818800427	1.07650432584816	0.0765043258481578	0.0765043258481578	0.019053173908817	0	0	0	0	0	0	0
"C3"	0.127189656848449	0.129094974239331	0	0.127189656848449	0.127189656848449	0.00614367648488383	0.00423835909400214	0	0.00614367648488383	0.127189656848449	0.00614367648488383	0.00614367648488383	0.0847671818800427	0.0765043258481578	1.07650432584816	0.0765043258481578	0.019053173908817	0	0	0	0	0	0	0
"C4"	0.127189656848449	0.129094974239331	0	0.127189656848449	0.127189656848449	0.00614367648488383	0.00423835909400214	0	0.00614367648488383	0.127189656848449	0.00614367648488383	0.00614367648488383	0.0847671818800427	0.0765043258481578	0.0765043258481578	1.07650432584816	0.019053173908817	0	0	0	0	0	0	0
"C5"	0.0128706133955478	0.126178672110431	0	0.0128706133955478	0.0128706133955478	0.120462719937786	0.00715466122290269	0	0.120462719937786	0.0128706133955478	0.120462719937786	0.120462719937786	0.143093224458054	0.019053173908817	0.019053173908817	0.019053173908817	1.13308058714883	0	0	0	0	0	0	0
"C6"	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0
"C7"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	1.05555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555555	0.0555555555555555	0.0555555555555555
"C8"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0.0555555555555555	1.05555555555556	0.0555555555555556	0.0555555555555555	0.0555555555555555	0.0555555555555555
"C9"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	1.05555555555556	0.0555555555555555	0.0555555555555556	0.0555555555555556
"C10"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	1.05555555555556	0.0555555555555556	0.0555555555555556
"C11"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555555	0.0555555555555556	0.0555555555555556	1.05555555555556	0.0555555555555556
"C12"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	1.05555555555556
