"Philodendron_apendiculatum"	"Cecropia_glaziovi"	"Cecropia_pachystachia"	"Cucurbitaceae"	"Vismia_sp."	"Ficus_luschnatiana"	"Ficus_sp."	"Piper_aduncun"	"Piper_dilatatum"	"Piper_sp."	"Rubus_brasiliensis"	"Aureliana_sp."	"Solanum_cinnamomeum"	"Solanum_megalochiton"	"Solanum_cf._paranaense"	"Solanum_rufescens"	"Solanum_santaecatharinae"	"Solanum_scuticum"	"Solanum_subsylvestris"	"Solanum_swartzianum"	"Solanum_variabile"	"Solanum_sp."	"Vassobia_breviflora"	"Unknown_family"	"Artibeus_fimbriatus"	"Artibeus_lituratus"	"Artibeus_jamaicensis"	"Carollia_perspicillata"	"Sturnira_lilium"	"Sturnira_tildae"
"Rubus_brasiliensis"	0.00851105007241991	0.010851788644778	0.00166250178205947	0.00960468347182227	0.00851105007241991	0.00166250178205947	0.0101735518544794	0.019125155649853	0.019125155649853	0.0287298391216753	1.02763620572227	0.00851105007241991	0.00851105007241991	0.019125155649853	0.0293884915423814	0.00851105007241991	0.00851105007241991	0.0108322042751855	0.00851105007241991	0.00851105007241991	0.0276362057222729	0.0304821249417838	0.00960468347182227	0.00960468347182227	0.0196854011892424	0.00568868382657113	0.00135647358059725	0.306002490397648	0.323419902751957	0.0105137149206508
"Aureliana_sp."	0.0158401809439936	0.0194177476185965	0.00236395744844055	0.01723579259639	0.0158401809439936	0.00236395744844055	0.0182041383924342	0.00118191920084618	0.00118191920084618	0.0184177117972362	0.0170221001448398	1.01584018094399	0.0158401809439936	0.00118191920084618	0.0184549997157512	0.0158401809439936	0.0158401809439936	0.0182414263109493	0.0158401809439936	0.0158401809439936	0.0170221001448398	0.0198506113681476	0.01723579259639	0.01723579259639	0.0251210097431342	0.00968345796044208	0.00242721845232456	0.0189107072135389	0.601926875871759	0.00859739742546854
"Solanum_cinnamomeum"	0.0158401809439936	0.0194177476185965	0.00236395744844055	0.01723579259639	0.0158401809439936	0.00236395744844055	0.0182041383924342	0.00118191920084618	0.00118191920084618	0.0184177117972362	0.0170221001448398	0.0158401809439936	1.01584018094399	0.00118191920084618	0.0184549997157512	0.0158401809439936	0.0158401809439936	0.0182414263109493	0.0158401809439936	0.0158401809439936	0.0170221001448398	0.0198506113681476	0.01723579259639	0.01723579259639	0.0251210097431342	0.00968345796044208	0.00242721845232456	0.0189107072135389	0.601926875871759	0.00859739742546854
"Solanum_megalochiton"	0.00118191920084618	0.00228582967095954	0.000961046115678391	0.00197357434725455	0.00118191920084618	0.000961046115678391	0.00214296531652457	0.0370683920988599	0.0370683920988599	0.0390419664461144	0.0382503112997061	0.00118191920084618	0.00118191920084618	1.03706839209886	0.0403219833690115	0.00118191920084618	0.00118191920084618	0.0034229822394217	0.00118191920084618	0.00118191920084618	0.0382503112997061	0.0411136385154199	0.00197357434725455	0.00197357434725455	0.0142497926353507	0.00169390969270018	0.000285728708869943	0.593094273581758	0.0449129296321548	0.012430032415833
"Solanum_cf._paranaense"	0.00615166657191708	0.00873081470851297	0.00203347221731383	0.00719649455373268	0.00615166657191708	0.00203347221731383	0.00818513878923091	0.0134406611230038	0.0134406611230038	0.0206371556767365	0.0195923276949209	0.00615166657191708	0.00615166657191708	0.0134406611230038	1.05093700454484	0.00615166657191708	0.00615166657191708	0.0384849876573368	0.00615166657191708	0.00615166657191708	0.0195923276949209	0.051981832526658	0.00719649455373268	0.00719649455373268	0.0188069036726807	0.00988644235498231	0.00109135183856412	0.215050577968062	0.233763329732849	0.188068061099529
"Solanum_rufescens"	0.0158401809439936	0.0194177476185965	0.00236395744844055	0.01723579259639	0.0158401809439936	0.00236395744844055	0.0182041383924342	0.00118191920084618	0.00118191920084618	0.0184177117972362	0.0170221001448398	0.0158401809439936	0.0158401809439936	0.00118191920084618	0.0184549997157512	1.01584018094399	0.0158401809439936	0.0182414263109493	0.0158401809439936	0.0158401809439936	0.0170221001448398	0.0198506113681476	0.01723579259639	0.01723579259639	0.0251210097431342	0.00968345796044208	0.00242721845232456	0.0189107072135389	0.601926875871759	0.00859739742546854
"Solanum_santaecatharinae"	0.0158401809439936	0.0194177476185965	0.00236395744844055	0.01723579259639	0.0158401809439936	0.00236395744844055	0.0182041383924342	0.00118191920084618	0.00118191920084618	0.0184177117972362	0.0170221001448398	0.0158401809439936	0.0158401809439936	0.00118191920084618	0.0184549997157512	0.0158401809439936	1.01584018094399	0.0182414263109493	0.0158401809439936	0.0158401809439936	0.0170221001448398	0.0198506113681476	0.01723579259639	0.01723579259639	0.0251210097431342	0.00968345796044208	0.00242721845232456	0.0189107072135389	0.601926875871759	0.00859739742546854
"Solanum_scuticum"	0.00608047543698309	0.0291280341496737	0.021227056578336	0.0078129774231138	0.00608047543698309	0.021227056578336	0.0273075320153191	0.00114099407980723	0.00114099407980723	0.00895397150292103	0.00722146951679033	0.00608047543698309	0.00608047543698309	0.00114099407980723	0.0384849876573368	0.00608047543698309	0.00608047543698309	1.05683854816974	0.00608047543698309	0.00608047543698309	0.00722146951679033	0.0402174896434675	0.0078129774231138	0.0078129774231138	0.0311850357503527	0.194945545922053	0.00364100426870921	0.0182559052769157	0.231058066605358	0.187581108843279
"Solanum_subsylvestris"	0.0158401809439936	0.0194177476185965	0.00236395744844055	0.01723579259639	0.0158401809439936	0.00236395744844055	0.0182041383924342	0.00118191920084618	0.00118191920084618	0.0184177117972362	0.0170221001448398	0.0158401809439936	0.0158401809439936	0.00118191920084618	0.0184549997157512	0.0158401809439936	0.0158401809439936	0.0182414263109493	1.01584018094399	0.0158401809439936	0.0170221001448398	0.0198506113681476	0.01723579259639	0.01723579259639	0.0251210097431342	0.00968345796044208	0.00242721845232456	0.0189107072135389	0.601926875871759	0.00859739742546854
"Solanum_swartzianum"	0.0158401809439936	0.0194177476185965	0.00236395744844055	0.01723579259639	0.0158401809439936	0.00236395744844055	0.0182041383924342	0.00118191920084618	0.00118191920084618	0.0184177117972362	0.0170221001448398	0.0158401809439936	0.0158401809439936	0.00118191920084618	0.0184549997157512	0.0158401809439936	0.0158401809439936	0.0182414263109493	0.0158401809439936	1.01584018094399	0.0170221001448398	0.0198506113681476	0.01723579259639	0.01723579259639	0.0251210097431342	0.00968345796044208	0.00242721845232456	0.0189107072135389	0.601926875871759	0.00859739742546854
