"Nephrosperma_vanhoutteanum"	"Pittosporum_senacia"	"Chrysobalanus_icaco"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Paragenipa_wrightii"	"Northea_hornei"	"Phoenicophorium_borsigianum"	"Ixora_pudica"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp3_M_PL_123"	"Nectarinia_dussumieri"	"Ornidia_obesa"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Megachile_seychellensis"	"Phelsuma_sp1_M_PL_123"	"Neophyllomyza_approximatonervis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_123"	"Rhynchium_brunneum"	"Unidentified_sp5_M_PL_123"	"Polistes_olivaceus"	"Tricimba_seychellensis"	"Chalcidoma_disjunctum"	"Dichaetomyia_fasciculifera"	"Eagris_sabadius"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_123"	"Lampides_boeticus"	"Mabuya_sechellensis"	"Scaptodrosophila_sp1_M_PL_123"	"Unidentified_sp1_M_PL_123"	"Unidentified_sp4_M_PL_123"
"Unidentified_sp2_M_PL_123"	0.014726330168658	0.300387592088523	0.0148601321713097	0.297017996121541	0.0129344336315072	0.00865716045544744	0.00815338466213647	0.00992963736754413	0	0.0487983231200537	0.04798298465384	0.00061359709036075	0.0177736666055714	0.0158761830824268	0.0153980781854897	0.0162702817240481	0.01426757854893	0.00322034042547277	0.0014289355565744	0.00132285690232819	1.04335578107072	0.000928758260706857	0.00132285690232819	0.000928758260706857	0.00061359709036075	0.0297017996121541	0.00061359709036075	0.000928758260706857	0.0136539814585692	0.00061359709036075	0.0136539814585692	0.0136539814585692	0	0.0297017996121541	0.000709259811967438
"Rhynchium_brunneum"	0.00857648198718012	0.0258437597955953	0.576847151123225	0.00682800167068472	0.0167931292651535	0.010290073624776	0.0141929325615987	0.00729513663845304	0	0.0431737634569809	0.0417544702008211	0.000357353416132505	0.041612528685319	0.0389069762260621	0.0386469565557067	0.00373246388545403	0.00153206977047775	0.00358398706385031	0.00177664667229238	0.000878434604593436	0.00185751652141371	1.0360529469452	0.000878434604593436	0.0360529469452016	0.000357353416132505	0.000682800167068471	0.000357353416132505	0.0360529469452016	0.00117471635434524	0.000357353416132505	0.00117471635434524	0.00117471635434524	0	0.000682800167068471	0.000521081188460931
"Unidentified_sp5_M_PL_123"	0.314326842286442	0.0156807059424755	0.00702747683674749	0.00610097541306575	0.0104466186657318	0.0101619730076308	0.0113886071002163	0.291533467414357	0	0.0391366142701341	0.0379977535601125	0.0130969517619351	0.00460574586586699	0.00219663852989151	0.00229083737333996	0.0356781920905553	0.0138097111229567	0.036329878198936	0.0142358124719567	0.0339207708629606	0.00132285690232819	0.000439217302296718	1.03392077086296	0.000439217302296718	0.0130969517619351	0.000610097541306576	0.0130969517619351	0.000439217302296718	0.000712759361021612	0.0130969517619351	0.000712759361021612	0.000712759361021612	0	0.000610097541306576	0.0208238191010255
"Polistes_olivaceus"	0.00857648198718011	0.0258437597955953	0.576847151123225	0.00682800167068471	0.0167931292651535	0.010290073624776	0.0141929325615987	0.00729513663845304	0	0.043173763456981	0.0417544702008211	0.000357353416132505	0.041612528685319	0.0389069762260622	0.0386469565557067	0.00373246388545403	0.00153206977047775	0.00358398706385031	0.00177664667229238	0.000878434604593436	0.00185751652141371	0.0360529469452016	0.000878434604593436	1.0360529469452	0.000357353416132505	0.000682800167068471	0.000357353416132505	0.0360529469452016	0.00117471635434524	0.000357353416132505	0.00117471635434524	0.00117471635434524	0	0.000682800167068472	0.000521081188460932
"Tricimba_seychellensis"	0.585683453340394	0.0163611525757521	0.00571765465812008	0.00483505427278223	0.00825646702650997	0.00802359547549826	0.012723321098657	0.0250659682189528	0	0.0308793793676782	0.0296070472578125	0.0244034772225164	0.00420197041652975	0.00192668887222678	0.00237337427944148	0.0277632389799645	0.0251471659759597	0.0284691850681732	0.0256758093323821	0.0261939035238702	0.0012271941807215	0.000357353416132505	0.0261939035238702	0.000357353416132505	1.02440347722252	0.000483505427278223	0.0244034772225164	0.000357353416132505	0.000743688753443277	0.0244034772225164	0.000743688753443277	0.000743688753443277	0	0.000483505427278223	0.00179042630135377
"Chalcidoma_disjunctum"	0.0116041302546774	0.0274919614568026	0.0109248026730955	0.581539646126354	0.00991948713599358	0.00936707638337233	0.00550590746168239	0.010313655174689	0	0.064020018481679	0.0634694277355107	0.000483505427278223	0.00464585878643045	0.00292438349234067	0.00248302552490956	0.00346177840788535	0.00173314003895107	0.00294167037670293	0.00103409617344646	0.00122019508261315	0.0594035992243083	0.000682800167068471	0.00122019508261315	0.000682800167068471	0.000483505427278223	1.05815396461264	0.000483505427278223	0.000682800167068471	0.00124963461167285	0.000483505427278223	0.00124963461167285	0.00124963461167285	0	0.0581539646126354	0.000736689655334928
"Dichaetomyia_fasciculifera"	0.585683453340395	0.0163611525757521	0.00571765465812008	0.00483505427278223	0.00825646702650997	0.00802359547549826	0.012723321098657	0.0250659682189528	0	0.0308793793676782	0.0296070472578125	0.0244034772225164	0.00420197041652975	0.00192668887222678	0.00237337427944148	0.0277632389799645	0.0251471659759597	0.0284691850681732	0.0256758093323821	0.0261939035238702	0.0012271941807215	0.000357353416132505	0.0261939035238702	0.000357353416132505	0.0244034772225164	0.000483505427278223	1.02440347722252	0.000357353416132505	0.000743688753443277	0.0244034772225164	0.000743688753443277	0.000743688753443277	0	0.000483505427278223	0.00179042630135377
"Eagris_sabadius"	0.00857648198718012	0.0258437597955953	0.576847151123225	0.00682800167068472	0.0167931292651535	0.010290073624776	0.0141929325615987	0.00729513663845304	0	0.043173763456981	0.0417544702008211	0.000357353416132505	0.041612528685319	0.0389069762260622	0.0386469565557067	0.00373246388545403	0.00153206977047775	0.00358398706385031	0.00177664667229238	0.000878434604593436	0.00185751652141371	0.0360529469452016	0.000878434604593436	0.0360529469452016	0.000357353416132505	0.000682800167068471	0.000357353416132505	1.0360529469452	0.00117471635434524	0.000357353416132505	0.00117471635434524	0.00117471635434524	0	0.000682800167068471	0.000521081188460932
"Eristalinus_vicarians"	0.0178485300826386	0.573283222720242	0.0187954616695239	0.0124963461167285	0.0159493801270207	0.00794724452752255	0.0108008618625906	0.00954561956039927	0	0.0335766277584283	0.0324965415721693	0.000743688753443277	0.0309014744247123	0.0288279826725129	0.0283131308460699	0.0290787850402109	0.0268020170589088	0.0034990104742426	0.00182377493970233	0.00142551872204322	0.0273079629171384	0.00117471635434524	0.00142551872204322	0.00117471635434524	0.000743688753443277	0.00124963461167285	0.000743688753443277	0.00117471635434524	1.02605832830547	0.000743688753443277	0.0260583283054656	0.0260583283054656	0	0.00124963461167285	0.000681829968599948
"Hemipyrellia_sp1_M_PL_123"	0.585683453340394	0.0163611525757521	0.00571765465812008	0.00483505427278223	0.00825646702650997	0.00802359547549826	0.012723321098657	0.0250659682189528	0	0.0308793793676782	0.0296070472578125	0.0244034772225164	0.00420197041652976	0.00192668887222678	0.00237337427944148	0.0277632389799645	0.0251471659759597	0.0284691850681732	0.0256758093323821	0.0261939035238702	0.0012271941807215	0.000357353416132505	0.0261939035238702	0.000357353416132505	0.0244034772225164	0.000483505427278223	0.0244034772225164	0.000357353416132505	0.000743688753443277	1.02440347722252	0.000743688753443277	0.000743688753443277	0	0.000483505427278223	0.00179042630135377
"Lampides_boeticus"	0.0178485300826386	0.573283222720243	0.0187954616695239	0.0124963461167285	0.0159493801270207	0.00794724452752255	0.0108008618625905	0.00954561956039927	0	0.0335766277584283	0.0324965415721693	0.000743688753443277	0.0309014744247122	0.0288279826725129	0.0283131308460699	0.0290787850402109	0.0268020170589088	0.0034990104742426	0.00182377493970233	0.00142551872204322	0.0273079629171384	0.00117471635434524	0.00142551872204322	0.00117471635434524	0.000743688753443277	0.00124963461167285	0.000743688753443277	0.00117471635434524	0.0260583283054656	0.000743688753443277	1.02605832830547	0.0260583283054656	0	0.00124963461167285	0.000681829968599948
"Mabuya_sechellensis"	0.0178485300826386	0.573283222720242	0.0187954616695239	0.0124963461167285	0.0159493801270207	0.00794724452752255	0.0108008618625905	0.00954561956039927	0	0.0335766277584283	0.0324965415721693	0.000743688753443277	0.0309014744247122	0.0288279826725129	0.0283131308460699	0.0290787850402109	0.0268020170589088	0.0034990104742426	0.00182377493970233	0.00142551872204323	0.0273079629171384	0.00117471635434524	0.00142551872204322	0.00117471635434524	0.000743688753443277	0.00124963461167285	0.000743688753443277	0.00117471635434524	0.0260583283054656	0.000743688753443277	0.0260583283054656	1.02605832830547	0	0.00124963461167285	0.000681829968599948
"Scaptodrosophila_sp1_M_PL_123"	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0
"Unidentified_sp1_M_PL_123"	0.0116041302546774	0.0274919614568026	0.0109248026730955	0.581539646126354	0.00991948713599358	0.00936707638337233	0.00550590746168239	0.010313655174689	0	0.064020018481679	0.0634694277355107	0.000483505427278223	0.00464585878643045	0.00292438349234067	0.00248302552490956	0.00346177840788535	0.00173314003895107	0.00294167037670293	0.00103409617344646	0.00122019508261315	0.0594035992243082	0.000682800167068471	0.00122019508261315	0.000682800167068471	0.000483505427278223	0.0581539646126354	0.000483505427278223	0.000682800167068471	0.00124963461167285	0.000483505427278223	0.00124963461167285	0.00124963461167285	0	1.05815396461264	0.000736689655334928
"Unidentified_sp4_M_PL_123"	0.0429702312324906	0.0150002593091989	0.0083372990153749	0.00736689655334928	0.0126367703049537	0.0123003505397634	0.0100538931017756	0.55800096660976	0	0.0473938491725901	0.0463884598624125	0.00179042630135377	0.00500952131520423	0.00246658818755625	0.00220830046723844	0.0435931452011462	0.00247225626995372	0.0441905713296989	0.00279581561153133	0.0416476382020509	0.00141851962393488	0.000521081188460931	0.0416476382020509	0.000521081188460931	0.00179042630135377	0.000736689655334928	0.00179042630135377	0.000521081188460932	0.000681829968599948	0.00179042630135377	0.000681829968599948	0.000681829968599948	0	0.000736689655334928	1.0398572119007
