"Toddalia_asiatica"	"Aphloia_theiformis"	"Geniostoma_borbonicum"	"Sideroxylon_cinereum"	"Roussea_simplex"	"Psiadia_terebinthina"	"Croton_fothergillifolius"	"Erythroxylum_macrocarpum"	"Claoxylon_linostachys"	"Antirhea_borbonica"	"Dodonaea_viscosa"	"Molinaea_alternifolia"	"Stomorhina_lunata"	"Apis_mellifera"	"Pachycerina_crinicornis"	"Melanostoma_annulipes"	"Chrysomya_megacephala"	"Stomoxys_niger"	"Henotesia_narcissus"	"Stomoxys_calcitrans"	"Fannia_pusio"	"Brachymyrmex_sp1_M_PL_061"	"Musca_domestica"	"Chaetocnema_sp1_M_PL_061"	"Phorinia_sp1_M_PL_061"	"Allograpta_nasuta"	"Technomyrmex_albipes"	"Zosterops_mauritianus"	"Eristalinus_flaveolus"	"Polistes_hebraeus"	"Psilopa_iceryae"	"Leptotes_pirithous"	"Allograpta_sp1_M_PL_061"	"Melanagromyza_sojae"	"Nacoleia_sp1_M_PL_061"	"Lygistorrhina_sp1_M_PL_061"	"Sarcophaga_arno"	"Acopsis_viridicans"	"Atherigona_sp1_M_PL_061"	"Dasytinae_sp1_M_PL_061"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_061"	"Homoneura_sp1_M_PL_061"	"Nacoleia_sp2_M_PL_061"	"Orthellia_albigena"	"Paragus_borbonicus"	"Pelecophora_intemipta"	"Sapromyza_sp1_M_PL_061"	"Sepsis_lateralis"	"Unidentified_sp1_M_PL_061"
"Dodonaea_viscosa"	0.0265228767377646	0.0284105729449826	0.0269732258608401	0.0259955791820407	0.0259848477920758	0.00300189424889325	0.00259127420010264	0.0238820814552527	0.00216541082047164	0.000202932663892733	1.16724704173528	0.00035559569173885	0.00395549439549489	0.00437064089383986	0.298776261257153	0.0049783396843439	0.0039554943954949	0.00492512222025441	0.00497432736872915	0.00188978126868877	0.00529122800902117	0.00328941584420818	0.00354330612763279	0.00319867992535266	0.00159436021488338	0.00290861424192302	0.00376498457119375	0.00319112394877565	0.00173080995346944	0.00248085962515109	0.00088409589125882	0.00173080995346944	0.000710264323624565	0.00106454679296479	0.000811730655570931	0.00129924238960379	0.00208072476424197	0.000136449738586057	0.0011816172355473	0.00014395967778348	0.00014395967778348	0.000710264323624565	0.000710264323624564	0.000899107528694671	0.000899107528694672	0.291811760433819	0.000710264323624564	0.000899107528694672	0.00088409589125882	0.000136449738586057
"Molinaea_alternifolia"	0.0496642431637306	0.0502555151628054	0.0470322512347855	0.00521082002030138	0.00515499539288132	0.0456418730429658	0.00520994923710352	0.042721044211193	0.0433188362232267	0.00035896796544861	0.0007111913834777	1.03805364629541	0.00708053203163453	0.00568280702915424	0.00871209444760182	0.532751048135791	0.00708053203163453	0.00691051368424751	0.00497420958413299	0.00518820180404193	0.0106587431955973	0.00381783678724348	0.00945494148534245	0.00911490643260952	0.00291186265119449	0.00308187935654038	0.0100818526873961	0.00175099310418245	0.00498649324405657	0.00049460522511231	0.00165547477212435	0.00498649324405657	0.00125638787907014	0.00526537779072658	0.00143587186179444	0.000257749769644066	0.00180459716329443	0.00207463059286208	0.000236855455468245	0.000289441624283529	0.000289441624283529	0.00125638787907014	0.00125638787907014	0.00156774170782618	0.00156774170782619	0.000177797845869425	0.00125638787907014	0.00156774170782619	0.00165547477212435	0.00207463059286208
"Stomorhina_lunata"	0.106558782759743	0.113811542802395	0.108776263826618	0.102292875956996	0.0119887219915344	0.104119856133746	0.101702862221773	0.0065969021552099	0.00750733242343446	0.000812939591445679	0.00131849813183163	0.00118008867193909	1.02505567938181	0.0221031560560602	0.0161516021149375	0.0165212414071472	0.0250556793818082	0.0173207410693988	0.0152722357357121	0.01685404377662	0.0206305675043504	0.00114917794584421	0.0187857617667478	0.0103774713191992	0.00639724799538464	0.00707060013052386	0.00757260087693834	0.00809440084950005	0.0111299687287367	0.00524911227944018	0.00355195942532476	0.0111299687287367	0.00284528857005988	0.00417757046061097	0.00325175836578272	0.000599436099576723	0.00827555164075073	0.0047327207333521	0.00464967617986346	0.00565015901232074	0.00565015901232075	0.00284528857005988	0.00284528857005987	0.00362587546088727	0.00362587546088727	0.000329624532957908	0.00284528857005987	0.00362587546088727	0.00355195942532476	0.00473272073335209
"Apis_mellifera"	0.0166653028260943	0.113179961909063	0.109775746522162	0.104589805804232	0.102270267825824	0.10290489512289	0.101292804873405	0.00684920891267061	0.00592622976816898	0.000808428299350447	0.00145688029794662	0.00094713450485904	0.0221031560560602	1.02666115935315	0.0178467836498461	0.0132598830680266	0.0221031560560602	0.0174409181383876	0.0169117961659702	0.0167935638798464	0.0220831438795096	0.00568428080068043	0.020126940798295	0.00724750803279562	0.00338500914192971	0.0116022039897565	0.00444962903199967	0.0126970945210283	0.00806250437478833	0.00986759547330178	0.000555510094203145	0.00806250437478833	0.00282949904772656	0.00104936257488389	0.00323371319740179	0.00511351339129121	0.00841327363274932	0.00467749523285863	0.00475408208201057	0.00562737804852251	0.00562737804852251	0.00282949904772656	0.00282949904772656	0.00365919155073875	0.00365919155073875	0.000364220074486655	0.00282949904772656	0.00365919155073875	0.000555510094203145	0.00467749523285863
"Pachycerina_crinicornis"	0.092830068582176	0.0994370053074391	0.0944062905129405	0.0909845271371423	0.0909469672722651	0.0105066298711264	0.00906945970035923	0.0835872850933845	0.00757893787165074	0.000710264323624565	0.0853646460734723	0.00124458492108597	0.0138442303842321	0.0152972431284395	1.04571691440004	0.0174241888952036	0.0138442303842321	0.0172379277708904	0.017410145790552	0.0066142344404107	0.0185192980315741	0.0115129554547286	0.0124015714467148	0.0111953797387343	0.00558026075209185	0.0101801498467306	0.0131774459991781	0.0111689338207148	0.00605783483714304	0.00868300868802881	0.00309433561940587	0.00605783483714304	0.00248592513268598	0.00372591377537677	0.00284105729449826	0.00454734836361326	0.00728253667484691	0.000477574085051198	0.00413566032441556	0.000503858872242179	0.000503858872242179	0.00248592513268598	0.00248592513268597	0.00314687635043135	0.00314687635043135	0.0213411615183681	0.00248592513268598	0.00314687635043135	0.00309433561940587	0.000477574085051198
"Melanostoma_annulipes"	0.0993284863274612	0.100511030325611	0.0940645024695711	0.0104216400406028	0.0103099907857626	0.0912837460859317	0.010419898474207	0.0854420884223859	0.0866376724464534	0.000717935930897221	0.0014223827669554	0.0761072925908273	0.0141610640632691	0.0113656140583085	0.0174241888952036	1.06550209627158	0.0141610640632691	0.013821027368495	0.00994841916826597	0.0103764036080839	0.0213174863911946	0.00763567357448696	0.0189098829706849	0.018229812865219	0.00582372530238898	0.00616375871308077	0.0201637053747923	0.00350198620836489	0.00997298648811314	0.000989210450224621	0.00331094954424871	0.00997298648811314	0.00251277575814027	0.0105307555814532	0.00287174372358888	0.000515499539288132	0.00360919432658886	0.00414926118572417	0.000473710910936489	0.000578883248567058	0.000578883248567058	0.00251277575814027	0.00251277575814027	0.00313548341565237	0.00313548341565237	0.00035559569173885	0.00251277575814027	0.00313548341565237	0.00331094954424871	0.00414926118572417
"Chrysomya_megacephala"	0.106558782759743	0.113811542802395	0.108776263826618	0.102292875956996	0.0119887219915344	0.104119856133746	0.101702862221773	0.00659690215520989	0.00750733242343446	0.000812939591445679	0.00131849813183163	0.00118008867193909	0.0250556793818082	0.0221031560560601	0.0161516021149375	0.0165212414071472	1.02505567938181	0.0173207410693988	0.0152722357357121	0.01685404377662	0.0206305675043504	0.00114917794584421	0.0187857617667478	0.0103774713191992	0.00639724799538464	0.00707060013052386	0.00757260087693834	0.00809440084950005	0.0111299687287367	0.00524911227944018	0.00355195942532476	0.0111299687287367	0.00284528857005988	0.00417757046061097	0.00325175836578272	0.000599436099576723	0.00827555164075073	0.0047327207333521	0.00464967617986346	0.00565015901232074	0.00565015901232075	0.00284528857005987	0.00284528857005987	0.00362587546088727	0.00362587546088727	0.000329624532957908	0.00284528857005987	0.00362587546088727	0.00355195942532476	0.0047327207333521
"Stomoxys_niger"	0.017430025966387	0.130129561398169	0.126844666684324	0.120666285648955	0.0145042669666551	0.0127039392526539	0.119883795778096	0.112417760236587	0.00780471624275895	0.000929496867129781	0.00197004888810176	0.0013821027368495	0.0207848892832786	0.0209291017660651	0.0241330988792466	0.019349438315893	0.0207848892832786	1.0289945833199	0.014272439970839	0.0147190572518708	0.0155002847752804	0.010093360034715	0.0134224254510255	0.0172597514487192	0.00383423990050046	0.00820660793943113	0.0138527796071126	0.00946328354914858	0.004411691684712	0.00621004451419435	0.000581000865546233	0.004411691684712	0.00325323903495423	0.00123139388577615	0.00371798746851912	0.000725213348332756	0.00971298672200574	0.000577451784211539	0.00548483116586159	0.00666021087656087	0.00666021087656087	0.00325323903495423	0.00325323903495423	0.00422815555614415	0.00422815555614415	0.000492512222025441	0.00325323903495423	0.00422815555614415	0.000581000865546233	0.000577451784211539
"Henotesia_narcissus"	0.12278600034915	0.131938570933603	0.126432757214228	0.122613304239363	0.121206783892296	0.0131718445319163	0.009879740529459	0.00764812766742779	0.00706254608109428	0.000942418363811451	0.00198973094749166	0.000994841916826597	0.0183266828828545	0.0202941553991643	0.0243742041067728	0.0139277868355724	0.0183266828828545	0.014272439970839	1.02323942739761	0.00866048419366938	0.0244266931103683	0.00669768316690043	0.016103771300007	0.00586763063120734	0.00739133095164508	0.0135732287084291	0.00861722043068858	0.014932135478835	0.00799005115764127	0.0116336712054949	0.004092866678305	0.00799005115764127	0.00329846427334008	0.00468141218506286	0.0037696734552458	0.00606033919461478	0.00978775725135441	0.000598720205996196	0.00557333201088012	0.000548874473858834	0.000548874473858834	0.00329846427334008	0.00329846427334008	0.00421442524047428	0.00421442524047428	0.000497432736872915	0.00329846427334008	0.00421442524047428	0.004092866678305	0.000598720205996196
"Stomoxys_calcitrans"	0.0182839399796424	0.157739611819294	0.153164008060947	0.01426564753732	0.0103748964165556	0.149288959691285	0.14739018191139	0.00615698844055084	0.00663378021133177	0.00112671151299496	0.000944890634344386	0.00129705045101048	0.02528106566493	0.0251903458197697	0.0115749102707187	0.0181587063141468	0.02528106566493	0.0183988215648385	0.0108256052420867	1.02402316247452	0.018164282063847	0.00103182719087368	0.0217606966834628	0.00986370549316666	0.00455295496147043	0.00956770205167501	0.00561885234912732	0.00511067364073376	0.0113388167656198	0.00116718334525141	0.00060946466598808	0.0113388167656198	0.00394349029548235	0.00116227968359906	0.00450684605197983	0.000518744820827778	0.00575390545978853	0.00678586180414932	0.000648438524423635	0.0081883434395217	0.0081883434395217	0.00394349029548235	0.00394349029548235	0.00510546693536489	0.00510546693536489	0.000236222658586097	0.00394349029548235	0.00510546693536489	0.00060946466598808	0.00678586180414932
