"Alyxia_oliviformis"	"Ilex_anomala"	"Cheirodendron_platyphyllum"	"Cheirodendron_trigynum"	"Dubautia_paleata"	"Dubautia_raillardioides"	"Dubautia_laxa"	"Clermontia_faurieri"	"Carex"	"Machaerina_angustifolia"	"Elaphoglossum"	"Elaeocarpus_bifidus"	"Styphelia_tameiameiae"	"Vaccinium_calycinum"	"Vaccinium_dentatum"	"Scaevola_glabra"	"Broussaisia_arguta"	"Myrsine_helleri"	"Myrsine_wawraea"	"Myrsine_punctata"	"Metrosideros_polymorpha"	"Syzygium_sandwicensis"	"Peperomia_hesperomannii"	"Coprosma_kauensis"	"Psychotria"	"Coprosoma_elliptica"	"Melicope_clusiifolia"	"Melicope_sp."	"Smilax_melastomifolia"	"Wilkstroemia_oahuensis"	"Athyrium_microphyllum"	"Hedychium_gardinerianum"	"Amorbia_emigratella"	"Scotorythra_apicalis"	"Spheterista_pleonectes"	"Udea_ommatias"	"Fletcherana_sp._1"	"Carposina_sp._3"	"Omiodes_antidoxa"	"Hyposmocoma_trivitella"	"Scotorythra_hecataea"	"Eupithecia_orichloris"	"Udea_pyranthes"	"Udea_constricta"	"Udea_swezeyi"	"Thyrocopa_sp._3"	"Pararrhaptica_complex"	"Carposina_graminis"	"Carposina_sp._1"	"Eccoptocera_sp._1"	"Eudonia_sp._1"	"Eupithecia_monticolans"	"Scotorythra_complex"	"Scotorythra_sp._1"	"Thyrocopa_complex"	"Fletcherana_leucoxyla"	"Scotorythra_ortharcha"	"Agrotis_hephaestaea"	"Haliophyle_euclidias"
"Elaphoglossum"	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Elaeocarpus_bifidus"	0.000735966469398777	0.0158235040282529	0.0149001032206073	0.00197249191356857	0.0155211440786685	0.0169321571767292	0.0138455660247213	0.0161056589917133	0.0158235040282529	0.0138455660247213	0	1.01384556602472	0.0154231535668806	0.0174927633374551	0.0152350774487015	0.0166646085647087	0	0.00106504354036318	0.0149106095650845	0.000603764701672224	0.0190341889225569	0.0138455660247213	0.000659632824476755	0.000482113176044781	0	0.0168739611615673	0.0156558815161238	0.000603764701672224	0.0158235040282529	0	0.0157629062469748	0.0138455660247213	0	0.00395587600706323	0.00421814878354396	0.00670231221578865	0.00282202619612154	0.00268427649861889	0.00395587600706323	0	0.00395779694686053	0.00588773175519021	0.00555804569592089	0.00208307607058858	0.00208307607058858	0	0.00426017416145271	0.00105745494014205	0.00105745494014205	0.00105745494014205	0.00535416464231941	0.012851366047556	0.581513773038295	0.00105745494014205	0.00603764701672224	0.00192845270417912	0.00395587600706323	0	0.00262715104116246
"Styphelia_tameiameiae"	0.000684999440412634	0.00587548707309738	0.00649577373560092	0.0151797870106504	0.00576321661947132	0.00628714540305962	0.00514105118896021	0.0206903079850581	0.00587548707309738	0.00514105118896021	0	0.00514105118896021	1.05143757785145	0.0212892794999453	0.00605150205488943	0.00665834357642611	0	0.000395465476073862	0.00553651666503407	0.000727713540633588	0.0603620240949781	0.00514105118896021	0.032471462198478	0.000621792830299132	0	0.0217627490604696	0.0204559567897578	0.000727713540633588	0.00587548707309738	0	0.00640228879592051	0.00514105118896021	0	0.00146887176827435	0.00541889018656283	0.00248866172204443	0.0010478575671766	0.00344838466417635	0.00146887176827435	0	0.194828773190868	0.00547999552330108	0.00364180346371689	0.000832292947053263	0.000832292947053263	0	0.00158186190429545	0.00335344578305434	0.00335344578305434	0.00335344578305434	0.00893904682072761	0.193550902496136	0.215924149936329	0.00335344578305434	0.00727713540633588	0.00248717132119653	0.00146887176827435	0	0.00106704813265342
"Vaccinium_calycinum"	0.0149810669074864	0.00399834590570402	0.0043619793961578	0.00945284826251074	0.00392194439158229	0.00427848479081704	0.00349855266749102	0.0131868809469109	0.00399834590570402	0.00349855266749102	0	0.00349855266749102	0.0127735676999672	1.06815794383823	0.0322160013476765	0.0211195652285457	0	0.000269119435960848	0.00376767210345187	0.01237145404922	0.0295530532646891	0.00349855266749102	0.00068559349863223	0.000829217648216408	0	0.0290226176875743	0.0132123331318714	0.01237145404922	0.00399834590570402	0	0.0173127346000484	0.00349855266749102	0	0.000999586476426005	0.00345370691466714	0.00169356689636508	0.000713080798469507	0.00219781349115181	0.000999586476426005	0	0.00411356099179338	0.119848535259892	0.114869794720742	0.00263994565356821	0.00263994565356821	0	0.00107647774384339	0.00164183629248273	0.00164183629248273	0.00164183629248273	0.00674615358321873	0.120251901473815	0.146939212034623	0.00164183629248273	0.1237145404922	0.00331687059286563	0.000999586476426005	0	0.00288545576667473
"Vaccinium_dentatum"	0.00139125324417844	0.00870575854211515	0.00823752034406774	0.00168218557140395	0.008539406468062	0.00931571614697673	0.00761753872435076	0.00946881019204116	0.00870575854211515	0.00761753872435076	0	0.00761753872435076	0.00907725308233415	0.0805400033691912	1.07693977472915	0.0102957622497477	0	0.000585964517257751	0.00820350324160851	0.00114677144417319	0.0121217709763429	0.00761753872435076	0.000397510406296418	0.000312408203771644	0	0.0109342871320075	0.00923062568405744	0.00114677144417319	0.00870575854211515	0	0.00956106563838976	0.00761753872435076	0	0.00217643963552879	0.00247992647886792	0.00368747097484495	0.00155261935782945	0.00157813503200686	0.00217643963552879	0	0.00238506243777851	0.0111300259534276	0.277288944019207	0.00128697028121846	0.00128697028121846	0	0.002343858069031	0.00067343172090794	0.00067343172090794	0.00067343172090794	0.00330529804811827	0.0148708553236176	0.319936626422732	0.00067343172090794	0.0114677144417319	0.00124963281508658	0.00217643963552879	0	0.00159351093973163
"Scaevola_glabra"	0.0202160020381092	0.0047613167327739	0.0045071082096931	0.000948188886561901	0.0046703361582623	0.00509491217264978	0.00416615214117716	0.00520732904642523	0.0047613167327739	0.00416615214117716	0	0.00416615214117716	0.00499375768231958	0.0263994565356821	0.00514788112487383	1.17072246191918	0	0.000320473241629013	0.00448662538280618	0.000428340554653135	0.00683562653959006	0.00416615214117716	0.000220372723096453	0.00075421768352927	0	0.0263976189235244	0.00542739920188602	0.000428340554653135	0.0047613167327739	0	0.00501217384999669	0.00416615214117716	0	0.00119032918319348	0.00136382427406375	0.00201673606834054	0.000849152028774963	0.000867888174404205	0.00119032918319348	0	0.00132223633857871	0.161728016304873	0.00392691593478667	0.146340307739898	0.146340307739898	0	0.00128189296651605	0.000379757029977225	0.000379757029977225	0.000379757029977225	0.00392408545597734	0.00850125945264349	0.174978389929441	0.000379757029977225	0.00428340554653135	0.00301687073411708	0.00119032918319348	0	0.000835362308332782
"Broussaisia_arguta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myrsine_helleri"	5.66128053383674e-05	0.00121719261755792	0.00114616178620056	0.000151730147197582	0.00119393415989757	0.00130247362897917	0.00106504354036318	0.00123889684551641	0.00121719261755792	0.00106504354036318	0	0.00106504354036318	0.00118639642822159	0.00134559717980424	0.0011719290345155	0.00128189296651605	0	1.15392808027234	0.154993123812699	4.64434385901711e-05	0.00146416837865822	0.00106504354036318	5.07409864982119e-05	3.70856289265216e-05	0	0.00129799701242826	0.00120429857816337	4.64434385901711e-05	0.00121719261755792	0	0.00121253124976729	0.00106504354036318	0	0.000304298154389479	0.000324472983349536	0.000515562478137589	0.000217078938163195	0.000206482807586068	0.000304298154389479	0	0.000304445918989271	0.000452902442706939	0.000427541976609299	0.000160236620814506	0.000160236620814506	0	0.615712321089342	8.13426877032344e-05	8.13426877032344e-05	8.13426877032344e-05	0.000411858818639955	0.000988566619042773	0.0447318286952534	8.13426877032344e-05	0.000464434385901711	0.000148342515706086	0.000304298154389479	0	0.000202088541627881
"Myrsine_wawraea"	0.000396289637368572	0.00852034832290541	0.00802313250340392	0.00106211103038307	0.00835753911928302	0.0091173154028542	0.00745530478254224	0.00867227791861486	0.00852034832290541	0.00745530478254224	0	0.00745530478254224	0.00830477499755111	0.00941918025862967	0.00820350324160851	0.00897325076561236	0	0.0774965619063494	1.08495186668889	0.000325104070131198	0.0102491786506075	0.00745530478254224	0.000355186905487484	0.000259599402485651	0	0.00908597908699779	0.00843009004714357	0.000325104070131198	0.00852034832290541	0	0.00848771874837102	0.00745530478254224	0	0.00213008708072635	0.00227131088344675	0.00360893734696312	0.00151955256714237	0.00144537965310248	0.00213008708072635	0	0.0021311214329249	0.00317031709894858	0.00299279383626509	0.00112165634570154	0.00112165634570154	0	0.309986247625398	0.000569398813922641	0.000569398813922641	0.000569398813922641	0.00288301173047968	0.00691996633329941	0.313122800866774	0.000569398813922641	0.00325104070131198	0.00103839760994261	0.00213008708072635	0	0.00141461979139517
"Myrsine_punctata"	0.000895427239613749	0.000690016801911113	0.000705647632584584	0.000924479262013177	0.000676831767479691	0.000738361928159663	0.000603764701672224	0.00155603021757059	0.000690016801911113	0.000603764701672224	0	0.000603764701672224	0.00218314062190076	0.0618572702461001	0.00229354288834638	0.00171336221861254	0	4.64434385901711e-05	0.000650208140262395	1.05784570378704	0.0683717574579423	0.000603764701672224	0.000756779589127724	9.02305700475832e-05	0	0.00315806995166541	0.00217241214200408	0.0578457037870391	0.000690016801911113	0	0.0637630565331397	0.000603764701672224	0	0.000172504200477778	0.00040753172364944	0.000292268263229866	0.000123060321359944	0.000259338369595098	0.000172504200477778	0	0.00454067753476634	0.00716341791690999	0.0067591127466966	0.000214170277326568	0.000214170277326568	0	0.000185773754360684	0.00379843096988568	0.00379843096988568	0.00379843096988568	0.00447630665538624	0.0115163486354114	0.0253581174702334	0.00379843096988569	0.578457037870391	0.000360922280190333	0.000172504200477778	0	0.0106271760888566
