"Pimephlales_promelas"	"Perca_flavescens"	"Morone_chrysops"	"Pomoxis_nigromaculatus"	"Esox_lucius"	"Sander_vitreum"	"Bothriocephalus_sp."	"Proteocephalus_sp."	"Contracaecum_sp."	"Neascus_of_Posthodiplostomum_sp."	"Raphidascaris_sp."	"Myxobolus_sp"	"Unicauda_sp."	"Dactylogyrus_sp."	"Gyrodactylus_hoffmani"	"Gyrodactylus_sp."	"Onchocleidus_chrysops"	"Diplostomum_spathaceum"	"Diplostomulum_sp."	"Neascus_sp."	"Bothriocephalus_cuspidatus"	"Gryporhynchidae"	"Ligula_intestinalis"	"Raphidascaris_acus"	"Rhabdochona_sp."	"Spiroxys_sp."	"Myzobdella_lugubris"
"Raphidascaris_sp."	0.323354663189054	0.320299210805866	0.00782421101811	0.00809350825871379	0.00666880556593626	0.000426267828985992	0.0401501665601865	0.0159227334595057	0.00223790610217646	0.0148220290093295	1.03635162602377	0.0134731109662106	0.0134731109662106	0.0134731109662106	0.0134731109662106	0.0228785150575619	0.000782421101811	0.0134731109662106	0.0134731109662106	0.0134731109662106	0.000106566957246498	0.0228785150575619	0.0134731109662106	0.0228785150575619	0.0228785150575619	0.000782421101811	0.0228785150575619
"Myxobolus_sp"	0.626043910413665	0.0120548259792585	0.0094196913269421	0.0106027892357534	0.00800362957665026	0.000541820134397288	0.0316562299985702	0.0290280394607595	0.00284455570558576	0.0278522944731949	0.0269462219324212	1.0260851629339	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000861058998518462	0.00094196913269421	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000135455033599322	0.000861058998518462	0.0260851629339027	0.000861058998518462	0.000861058998518462	0.00094196913269421	0.000861058998518462
"Unicauda_sp."	0.626043910413665	0.0120548259792585	0.00941969132694211	0.0106027892357534	0.00800362957665027	0.000541820134397288	0.0316562299985702	0.0290280394607595	0.00284455570558576	0.0278522944731949	0.0269462219324212	0.0260851629339027	1.0260851629339	0.0260851629339027	0.0260851629339027	0.000861058998518462	0.00094196913269421	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000135455033599322	0.000861058998518462	0.0260851629339027	0.000861058998518461	0.000861058998518462	0.00094196913269421	0.000861058998518462
"Dactylogyrus_sp."	0.626043910413665	0.0120548259792585	0.0094196913269421	0.0106027892357534	0.00800362957665027	0.000541820134397288	0.0316562299985702	0.0290280394607595	0.00284455570558576	0.0278522944731949	0.0269462219324212	0.0260851629339027	0.0260851629339027	1.0260851629339	0.0260851629339027	0.000861058998518462	0.00094196913269421	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000135455033599322	0.000861058998518461	0.0260851629339027	0.000861058998518461	0.000861058998518461	0.000941969132694211	0.000861058998518461
"Gyrodactylus_hoffmani"	0.626043910413665	0.0120548259792585	0.00941969132694211	0.0106027892357534	0.00800362957665027	0.000541820134397288	0.0316562299985702	0.0290280394607595	0.00284455570558576	0.0278522944731949	0.0269462219324212	0.0260851629339027	0.0260851629339027	0.0260851629339027	1.0260851629339	0.000861058998518462	0.00094196913269421	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000135455033599322	0.000861058998518461	0.0260851629339027	0.000861058998518461	0.000861058998518461	0.000941969132694211	0.000861058998518461
"Gyrodactylus_sp."	0.0206654159644431	0.628543595632474	0.00622873070927791	0.00558422728167418	0.00533398155522225	0.000310715523574698	0.0486441031218028	0.00281742745825182	0.00163125649876716	0.00179176354546416	0.0457570301151238	0.000861058998518462	0.000861058998518462	0.000861058998518462	0.000861058998518462	1.04489597111661	0.00062287307092779	0.000861058998518462	0.000861058998518462	0.000861058998518462	7.76788808936744e-05	0.0448959711166053	0.000861058998518462	0.0448959711166053	0.0448959711166053	0.000622873070927791	0.0448959711166053
"Onchocleidus_chrysops"	0.0226072591846611	0.00872022299298907	0.586946434511927	0.0185961090423997	0.0174378419430385	0.0123587989916518	0.0677182976476409	0.0639960730696465	0.0648836947061722	0.00404132063976082	0.001564842203622	0.00094196913269421	0.00094196913269421	0.00094196913269421	0.00094196913269421	0.000622873070927791	1.05869464345119	0.000941969132694211	0.000941969132694211	0.000941969132694211	0.00308969974791296	0.00062287307092779	0.00094196913269421	0.00062287307092779	0.00062287307092779	0.0586946434511927	0.00062287307092779
"Diplostomum_spathaceum"	0.626043910413665	0.0120548259792585	0.00941969132694211	0.0106027892357534	0.00800362957665027	0.000541820134397288	0.0316562299985702	0.0290280394607595	0.00284455570558576	0.0278522944731949	0.0269462219324212	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000861058998518462	0.000941969132694211	1.0260851629339	0.0260851629339027	0.0260851629339027	0.000135455033599322	0.000861058998518462	0.0260851629339027	0.000861058998518462	0.000861058998518462	0.000941969132694211	0.000861058998518462
"Diplostomulum_sp."	0.626043910413665	0.0120548259792585	0.0094196913269421	0.0106027892357534	0.00800362957665026	0.000541820134397288	0.0316562299985702	0.0290280394607595	0.00284455570558576	0.0278522944731949	0.0269462219324212	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000861058998518462	0.00094196913269421	0.0260851629339027	1.0260851629339	0.0260851629339027	0.000135455033599322	0.000861058998518462	0.0260851629339027	0.000861058998518462	0.000861058998518462	0.000941969132694211	0.000861058998518462
"Neascus_sp."	0.626043910413665	0.0120548259792585	0.00941969132694211	0.0106027892357534	0.00800362957665026	0.000541820134397288	0.0316562299985702	0.0290280394607595	0.00284455570558576	0.0278522944731949	0.0269462219324212	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000861058998518462	0.000941969132694211	0.0260851629339027	0.0260851629339027	1.0260851629339	0.000135455033599322	0.000861058998518462	0.0260851629339027	0.000861058998518462	0.000861058998518461	0.000941969132694211	0.000861058998518461
"Bothriocephalus_cuspidatus"	0.00325092080638373	0.00108750433251144	0.0308969974791296	0.0284282527705169	0.00143744290285849	0.601565548375266	0.00840023651654007	0.00358451550722691	0.158219128970149	0.0048734971620188	0.000213133914492996	0.000135455033599322	0.000135455033599322	0.000135455033599322	0.000135455033599322	7.76788808936744e-05	0.00308969974791296	0.000135455033599322	0.000135455033599322	0.000135455033599322	1.15039138709382	7.76788808936744e-05	0.000135455033599322	7.76788808936744e-05	7.76788808936744e-05	0.00308969974791296	7.76788808936744e-05
"Gryporhynchidae"	0.0206654159644431	0.628543595632475	0.0062287307092779	0.00558422728167418	0.00533398155522225	0.000310715523574698	0.0486441031218028	0.00281742745825181	0.00163125649876716	0.00179176354546416	0.0457570301151238	0.000861058998518462	0.000861058998518462	0.000861058998518462	0.000861058998518462	0.0448959711166053	0.00062287307092779	0.000861058998518462	0.000861058998518462	0.000861058998518462	7.76788808936744e-05	1.04489597111661	0.000861058998518462	0.0448959711166053	0.0448959711166053	0.00062287307092779	0.0448959711166053
"Ligula_intestinalis"	0.626043910413665	0.0120548259792585	0.00941969132694211	0.0106027892357534	0.00800362957665026	0.000541820134397288	0.0316562299985702	0.0290280394607595	0.00284455570558576	0.0278522944731949	0.0269462219324212	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000861058998518462	0.00094196913269421	0.0260851629339027	0.0260851629339027	0.0260851629339027	0.000135455033599322	0.000861058998518462	1.0260851629339	0.000861058998518462	0.000861058998518462	0.00094196913269421	0.000861058998518462
"Raphidascaris_acus"	0.0206654159644431	0.628543595632475	0.0062287307092779	0.00558422728167418	0.00533398155522225	0.000310715523574698	0.0486441031218028	0.00281742745825181	0.00163125649876716	0.00179176354546416	0.0457570301151238	0.000861058998518462	0.000861058998518462	0.000861058998518462	0.000861058998518462	0.0448959711166053	0.00062287307092779	0.000861058998518462	0.000861058998518462	0.000861058998518462	7.76788808936744e-05	0.0448959711166053	0.000861058998518462	1.04489597111661	0.0448959711166053	0.00062287307092779	0.0448959711166053
"Rhabdochona_sp."	0.0206654159644431	0.628543595632474	0.0062287307092779	0.00558422728167418	0.00533398155522225	0.000310715523574698	0.0486441031218028	0.00281742745825182	0.00163125649876716	0.00179176354546416	0.0457570301151238	0.000861058998518462	0.000861058998518462	0.000861058998518462	0.000861058998518462	0.0448959711166053	0.00062287307092779	0.000861058998518462	0.000861058998518462	0.000861058998518462	7.76788808936744e-05	0.0448959711166053	0.000861058998518462	0.0448959711166053	1.04489597111661	0.00062287307092779	0.0448959711166053
"Spiroxys_sp."	0.0226072591846611	0.00872022299298907	0.586946434511927	0.0185961090423997	0.0174378419430385	0.0123587989916519	0.0677182976476409	0.0639960730696465	0.0648836947061722	0.00404132063976082	0.001564842203622	0.000941969132694211	0.00094196913269421	0.00094196913269421	0.000941969132694211	0.00062287307092779	0.0586946434511927	0.00094196913269421	0.000941969132694211	0.000941969132694211	0.00308969974791296	0.00062287307092779	0.000941969132694211	0.00062287307092779	0.00062287307092779	1.05869464345119	0.00062287307092779
"Myzobdella_lugubris"	0.0206654159644431	0.628543595632474	0.0062287307092779	0.00558422728167418	0.00533398155522225	0.000310715523574698	0.0486441031218028	0.00281742745825181	0.00163125649876716	0.00179176354546416	0.0457570301151238	0.000861058998518462	0.000861058998518462	0.000861058998518462	0.000861058998518462	0.0448959711166053	0.00062287307092779	0.000861058998518462	0.000861058998518462	0.000861058998518462	7.76788808936744e-05	0.0448959711166053	0.000861058998518462	0.0448959711166053	0.0448959711166053	0.00062287307092779	1.04489597111661
