"Cyprinus_carpio_(exotic)"	"Chalcalburnus_sp"	"Mastacembelus_mastacembelus"	"Hypophthalmichthys_molitrix"	"Capoeta_damascina"	"Ctenopharyngodon"	"Carassius_carassius_(exotic)"	"Barbus_cyclolepis"	"Diplostomum_spathaceum"	"Argulus_sp1"	"Argulus_sp2"	"Lernaea_cyprinacea"	"Myxobolus_molnari"	"Mastacembelocleidus_heteranchorus"	"Dactylogyrus_extensus"	"Dactylogyrus_alatus"	"Dactylogyrus_hypophthalmichthys"	"Dactylogyrus_carassobarbi"	"Dactylogyrus_lenkorani"	"Dactylogyrus_lamellatus"	"Dactylogyrus_goktschaicus"	"Dactylogyrus_suchengtaii"	"Dogielius_molnari"	"Gyrodactylus_sp"	"Gyrodactylus_stankovici"	"Ligula_intestinalis"	"Polyonchobothrium_sp"	"Pseudocapillaria_tomentosa"
"Argulus_sp2"	0.167153042138876	0.164641164974159	0.164699580722175	0.160067799280432	0	0.00538937576054629	0.004715703790478	0	0.04715703790478	0.0573812622476441	1.05738126224764	0.0276543852384209	0.0137200970811799	0.0137249650601813	0.0139294201782396	0.0137200970811799	0.0160067799280432	0	0	0.00134734394013657	0	0.0160067799280432	0	0	0.0139294201782396	0.0137200970811799	0.0137249650601813	0.0139294201782396
"Lernaea_cyprinacea"	0.316318861636387	0.0193930627919807	0.305368081369758	0.0188543666033145	0	0.00359055694145442	0.00314173732377262	0	0.0314173732377262	0.0553087704768419	0.0553087704768419	1.05180724525051	0.00161608856599839	0.0254473401141465	0.0263599051363656	0.00161608856599839	0.00188543666033145	0	0	0.000897639235363606	0	0.00188543666033145	0	0	0.0263599051363656	0.00161608856599839	0.0254473401141465	0.0263599051363656
"Myxobolus_molnari"	0.0166035901304904	0.593743938913542	0.0221825354534709	0.0216954961659435	0	0.00663525653505059	0.00580584946816927	0	0.0580584946816927	0.0548803883247196	0.0548803883247196	0.00323217713199678	1.04947866157613	0.00184854462112258	0.0013836325108742	0.0494786615761285	0.00216954961659435	0	0	0.00165881413376265	0	0.00216954961659435	0	0	0.0013836325108742	0.0494786615761285	0.00184854462112258	0.0013836325108742
"Mastacembelocleidus_heteranchorus"	0.0302270115625766	0.0221825354534709	0.580509151176938	0.0215663539130967	0	0.00649686109897804	0.00568475346160579	0	0.0568475346160579	0.0548998602407252	0.0548998602407252	0.0508946802282929	0.00184854462112258	1.04837576259808	0.00251891763021472	0.00184854462112258	0.00215663539130968	0	0	0.00162421527474451	0	0.00215663539130968	0	0	0.00251891763021472	0.00184854462112258	0.0483757625980782	0.00251891763021471
"Dactylogyrus_extensus"	0.602410711710197	0.0166035901304904	0.0302270115625766	0.0161423792935323	0	0.000684252783930809	0.000598721185939458	0	0.00598721185939458	0.0557176807129586	0.0557176807129586	0.0527198102727311	0.0013836325108742	0.00251891763021472	1.05020089264252	0.0013836325108742	0.00161423792935323	0	0	0.000171063195982702	0	0.00161423792935323	0	0	0.0502008926425164	0.0013836325108742	0.00251891763021472	0.0502008926425164
"Dactylogyrus_alatus"	0.0166035901304904	0.593743938913542	0.022182535453471	0.0216954961659435	0	0.00663525653505059	0.00580584946816927	0	0.0580584946816927	0.0548803883247196	0.0548803883247196	0.00323217713199678	0.0494786615761285	0.00184854462112258	0.0013836325108742	1.04947866157613	0.00216954961659435	0	0	0.00165881413376265	0	0.00216954961659435	0	0	0.0013836325108742	0.0494786615761285	0.00184854462112258	0.0013836325108742
"Dactylogyrus_hypophthalmichthys"	0.0193708551522388	0.0260345953991322	0.0258796246957161	0.580866967749156	0	0.00774113262422569	0.00677349104619748	0	0.0677349104619748	0.0640271197121729	0.0640271197121729	0.00377087332066291	0.00216954961659435	0.00215663539130968	0.00161423792935323	0.00216954961659435	1.05808669677492	0	0	0.00193528315605642	0	0.0580866967749156	0	0	0.00161423792935323	0.00216954961659435	0.00215663539130968	0.00161423792935323
"Dactylogyrus_carassobarbi"	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	1.08333333333333	0.0833333333333333	0	0	0	0.0833333333333333	0.0833333333333333	0	0	0	0
"Dactylogyrus_lenkorani"	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	1.08333333333333	0	0	0	0.0833333333333333	0.0833333333333333	0	0	0	0
"Dactylogyrus_lamellatus"	0.00205275835179243	0.0199057696051518	0.0194905832969341	0.0193528315605642	0	0.589794519387853	0.0160702044643712	0	0.160702044643712	0.00538937576054629	0.00538937576054629	0.00179527847072721	0.00165881413376265	0.00162421527474451	0.000171063195982702	0.00165881413376265	0.00193528315605642	0	0	1.14744862984696	0	0.00193528315605642	0	0	0.000171063195982702	0.00165881413376265	0.00162421527474451	0.000171063195982702
"Dactylogyrus_goktschaicus"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0
"Dactylogyrus_suchengtaii"	0.0193708551522388	0.0260345953991322	0.0258796246957161	0.580866967749156	0	0.00774113262422569	0.00677349104619748	0	0.0677349104619748	0.0640271197121729	0.0640271197121729	0.00377087332066291	0.00216954961659435	0.00215663539130968	0.00161423792935323	0.00216954961659435	0.0580866967749156	0	0	0.00193528315605642	0	1.05808669677492	0	0	0.00161423792935323	0.00216954961659435	0.00215663539130968	0.00161423792935323
"Dogielius_molnari"	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0	0	0	1.08333333333333	0.0833333333333333	0	0	0	0
"Gyrodactylus_sp"	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0	0	0	0.0833333333333333	1.08333333333333	0	0	0	0
"Gyrodactylus_stankovici"	0.602410711710197	0.0166035901304904	0.0302270115625766	0.0161423792935323	0	0.000684252783930809	0.000598721185939458	0	0.00598721185939458	0.0557176807129586	0.0557176807129586	0.0527198102727311	0.0013836325108742	0.00251891763021472	0.0502008926425164	0.0013836325108742	0.00161423792935323	0	0	0.000171063195982702	0	0.00161423792935323	0	0	1.05020089264252	0.0013836325108742	0.00251891763021472	0.0502008926425164
"Ligula_intestinalis"	0.0166035901304904	0.593743938913542	0.0221825354534709	0.0216954961659435	0	0.0066352565350506	0.00580584946816927	0	0.0580584946816927	0.0548803883247196	0.0548803883247196	0.00323217713199678	0.0494786615761285	0.00184854462112258	0.0013836325108742	0.0494786615761285	0.00216954961659435	0	0	0.00165881413376265	0	0.00216954961659435	0	0	0.0013836325108742	1.04947866157613	0.00184854462112258	0.0013836325108742
"Polyonchobothrium_sp"	0.0302270115625766	0.0221825354534709	0.580509151176939	0.0215663539130968	0	0.00649686109897804	0.00568475346160579	0	0.0568475346160579	0.0548998602407252	0.0548998602407252	0.0508946802282929	0.00184854462112258	0.0483757625980782	0.00251891763021472	0.00184854462112258	0.00215663539130968	0	0	0.00162421527474451	0	0.00215663539130968	0	0	0.00251891763021472	0.00184854462112258	1.04837576259808	0.00251891763021471
"Pseudocapillaria_tomentosa"	0.602410711710197	0.0166035901304904	0.0302270115625766	0.0161423792935323	0	0.000684252783930809	0.000598721185939458	0	0.00598721185939458	0.0557176807129585	0.0557176807129585	0.0527198102727311	0.0013836325108742	0.00251891763021472	0.0502008926425164	0.0013836325108742	0.00161423792935323	0	0	0.000171063195982702	0	0.00161423792935323	0	0	0.0502008926425164	0.0013836325108742	0.00251891763021472	1.05020089264252
