"Arvicola_terrestris"	"Apodemus_sylvaticus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Chionomys_gud"	"Spermophilus_pygmaeus"	"Cricetulus_migratorius"	"Microtus_socialis"	"Cricetus_cricetus"	"Microtus_majori"	"Mesocricetus_raddei"	"Amphipsylla_rossica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_wagneri"	"Leptopsylla_taschenbergi"	"Nosopsyllus_mokrzeckyi"	"Ctenophthalmus_proximus"	"Ctenophthalmus_orientalis"	"Citellophilus_tesquorum"	"Megabothris_turbidus"	"Ctenophthalmus_golovi"	"Ctenophthalmus_secundus"	"Paradoxopsyllus_hesperius"	"Ctenophthalmus_chionomydis"	"Rhadinopsylla_ucrainica"	"Amphipsylla_kuznetzovi"	"Callopsylla_caspia"	"Ctenophthalmus_acuminatus"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"
"Mesocricetus_raddei"	0.023507860629286	0.096678038675583	0.0217428258010124	0.0215674944884945	0.0238466572648706	0.0181041642110209	0.0205659760390494	0.0188917546319788	0.000842340956498007	0.00281538975785206	1.08477083087769	0.0077798488940792	0.0134774553039681	0.0134082085454506	0.00779237255925905	0.0079788871446507	0.00644683812015794	0.288775033597896	0.00824442715566226	0.00643431445497809	0.00252092747056542	0.00934674575427844	0.00270744205595706	0.000993610719369607	0.00588738985374095	0.000993610719369607	0.000993610719369608	0.274911093822329	0.00525892142351379	0.00271592835207105
"Amphipsylla_rossica"	0.129810932149213	0.130479417615218	0.0139904750530298	0.120693554930465	0.131977063003275	0.00311193955763168	0.0102653297411499	0.00713017672910127	0.00183064736325858	0.114265190966693	0.00311193955763168	1.03991214711847	0.0292903578121373	0.0426581830013446	0.0322904985557923	0.0123722472225908	0.0125083053931525	0.0299310039093238	0.00579642402845477	0.0201299539558264	0.0262727397701004	0.00776447502192531	0.00635448843689894	0.00549904429180312	0.0170080300383106	0.00549904429180312	0.00549904429180312	0.00579642402845477	0.0136394073483657	0.0151115148167795
"Nosopsyllus_consimilis"	0.0859913668022693	0.0921471542471417	0.0815963963121022	0.0807763837901792	0.0896006657023797	0.00336936382599203	0.0800829596980527	0.0750088023884525	0.0670467604337568	0.0076774496403486	0.00336936382599203	0.0183064736325858	1.07274816694011	0.0401844679282731	0.0183650459555803	0.019779376385261	0.0136720036796042	0.0409094686362255	0.00438646227369576	0.0136134313566097	0.00899261061608953	0.0254221156128851	0.0104069410457702	0.00373336107093248	0.0115770507282437	0.00373336107093248	0.00373336107093248	0.00438646227369576	0.00931386301649627	0.010069310039412
"Ctenophthalmus_wagneri"	0.0875482618441798	0.0922199802473378	0.080817158362464	0.0800567007201265	0.0912099101017536	0.00335205213636265	0.0784471779252192	0.0734056017089722	0.00251152924551707	0.073746242238371	0.00335205213636265	0.0266613643758404	0.0401844679282731	1.04814698358531	0.0267156827788645	0.0196572542339607	0.0136969895781617	0.0406047293736959	0.00438493535129596	0.0136426711751376	0.0173961062929118	0.0250325415266758	0.010337677748008	0.0038004129209064	0.0117247483303207	0.0038004129209064	0.0038004129209064	0.00438493535129596	0.00926525808292862	0.0100957488579323
"Leptopsylla_taschenbergi"	0.127809285241593	0.130428821073762	0.117879288750942	0.0148659399710318	0.133018010529206	0.00311694902370362	0.0122507735572091	0.00810997517968779	0.00183650459555803	0.11423416972027	0.00311694902370362	0.0322904985557923	0.0293840735289285	0.0427450924461832	1.03964859489721	0.0199997572165352	0.0198269065767971	0.0300242957430013	0.00579573037414753	0.012468810235375	0.0262121525824969	0.0154710870086126	0.00656331490181766	0.00554241710538356	0.0169493744856848	0.00554241710538356	0.00554241710538356	0.00579573037414754	0.00607834597329533	0.00745231711715332
"Nosopsyllus_mokrzeckyi"	0.0195840974795692	0.156026559002221	0.145687029522153	0.0122056046281262	0.158910888736494	0.00398944357232535	0.144964739914561	0.0109007044189074	0.00247242204815762	0.0079357337718265	0.00398944357232535	0.0154653090282385	0.039558752770522	0.0393145084679215	0.024999696520669	1.03510891991809	0.0173864427685034	0.0403172635326058	0.00699838239316677	0.00785205527607291	0.00859245862614402	0.0298502209397684	0.0187016820235673	0.00662128703068725	0.0136015134047511	0.00662128703068725	0.00662128703068725	0.00699838239316677	0.00687285040209445	0.00185103377598747
"Ctenophthalmus_proximus"	0.194759491650499	0.202561030953647	0.187600381166323	0.0168330202146147	0.0218417016084344	0.00429789208010529	0.0129722001838548	0.00957668782685277	0.00227866727993404	0.00964770162229578	0.00429789208010529	0.0208471756552541	0.0364586764789446	0.0365253055417646	0.0330448442946619	0.0231819236913379	1.03092881069152	0.0374682888790302	0.00886528190285889	0.0187311420521157	0.0118540081856634	0.023468938769343	0.00199108758233934	0.000910070900351435	0.018438854365709	0.000910070900351435	0.000910070900351435	0.00886528190285889	0.00899316746959076	0.0109403331692832
"Ctenophthalmus_orientalis"	0.0766601059274304	0.0900909426767701	0.0726794330244227	0.0719538298735981	0.079805757384257	0.0641722296884214	0.0712454348554398	0.0666899970158318	0.00227274825756809	0.00692395827450596	0.0641722296884214	0.0166283355051799	0.0363639721210894	0.0360930927766186	0.0166801643016674	0.0179187837922693	0.0124894296263434	1.06731371283652	0.0195080936789042	0.0124376008298559	0.00802373997169547	0.0229297935282375	0.00926235946229735	0.00332523989101071	0.0106232814441811	0.00332523989101071	0.00332523989101071	0.0195080936789042	0.00860459553348442	0.0089725645730571
"Citellophilus_tesquorum"	0.0173713365897136	0.296621212025562	0.0142918701796268	0.0143161480803799	0.0155808716752254	0.274911093822329	0.0110184693007579	0.00887702151208351	0.00109661556842394	0.00433760075690227	0.00824442715566227	0.0144910600711369	0.0175458490947831	0.0175397414051839	0.0144893259353688	0.0139967647863335	0.0132979228542883	0.0877864215550689	1.08013628161041	0.0132996569900564	0.00205996991056619	0.0144571894888762	0.00156740876153088	0.000649202986467724	0.0129262779707827	0.000649202986467724	0.000649202986467724	0.0134696149437449	0.0124310901605707	0.0018911488352271
"Megabothris_turbidus"	0.198095569829867	0.202645358522739	0.0144523583364692	0.193212378480336	0.0201067890652168	0.00428954296998539	0.00966312715708944	0.00794369040920858	0.00226890522610162	0.00969940369966803	0.00428954296998539	0.0335499232597107	0.036302483617626	0.0363804564670337	0.0207813503922916	0.0104694070347639	0.0187311420521157	0.0373128024895678	0.00886643799337094	1.03149971491954	0.0119549868316692	0.0106245854581976	0.00164304347414149	0.000837782877717365	0.0185366136200853	0.000837782877717365	0.000837782877717365	0.00886643799337094	0.0215949364280415	0.0237056626686602
"Ctenophthalmus_golovi"	0.198079553338636	0.0247821260773638	0.0139562055282769	0.0153699065723586	0.208180962295154	0.00168061831371028	0.00998849064594865	0.00617976896255954	0.00149876843601492	0.185269648182934	0.00168061831371028	0.0437878996168341	0.0239802949762387	0.0463896167810981	0.0436869209708282	0.0114566115015254	0.0118540081856634	0.0240712199150864	0.00137331327371079	0.0119549868316692	1.0417368904521	0.00355487585954724	0.00950658098279379	0.00867420676229807	0.0195313431245131	0.00867420676229806	0.00867420676229807	0.00137331327371079	0.00205100916473741	0.011001828136386
"Ctenophthalmus_secundus"	0.0185800442180395	0.157566539653986	0.148574304773328	0.0137085950063004	0.0222580951289174	0.00467337287713922	0.147001181319499	0.139975523933612	0.00317776445161063	0.00647787242709512	0.00467337287713922	0.00970559377740664	0.0508442312257701	0.0500650830533517	0.0193388587607657	0.0298502209397684	0.0176017040770073	0.0515920354385344	0.00722859474443813	0.00796843909364819	0.00266615689466043	1.0464197408011	0.0131775190736631	0.000927420630371559	0.00791667436642686	0.000927420630371559	0.00092742063037156	0.00722859474443812	0.00703943688274621	0.00190818756849487
