"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Roscheria_melanochaetes"	"Gastonia_crassa"	"Chrysobalanus_icaco"	"Dillenia_ferruginea"	"Memecylon_eleagni"	"Campnosperma_seychellarum"	"Glionnetia_sericea"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Unidentified_sp5_M_PL_106"	"Pachycerina_seychellensis"	"Ceratina_tabescens"	"Neophyllomyza_approximatonervis"	"Unidentified_sp1_M_PL_106"	"Scaptodrosophila_sp1_M_PL_106"	"Agrius_convolvuli"	"Lygistorrhina_sp1_M_PL_106"	"Rhynchium_brunneum"	"Unidentified_sp2_M_PL_106"	"Unidentified_sp6_M_PL_106"	"Forcipomyia_sp1_M_PL_106"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_106"	"Unidentified_sp4_M_PL_106"	"Hemipyrellia_sp1_M_PL_106"	"Megachile_seychellensis"	"Melanostoma_annulipes"	"Perissoma_aenescens"	"Simosyrphus_aegyptius"	"Xylocopa_caffra"
"Scaptodrosophila_sp1_M_PL_106"	0.589014192581403	0.00905709597461025	0.0124027645493364	0.00384819304612754	0.0115578918597005	0.0172926058046836	0.00845253706739853	0.0117977516444908	0	0.00324363413891582	0.0454108779448215	0.0416712234278617	0.00362735344327032	0.0392043623512137	0.00283847032674703	0.000620138227466822	0.0368133870363377	0.0377965330067119	0.0374335252638045	0.000620138227466822	1.03681338703634	0	0.00098314597037423	0.00115578918597005	0.000620138227466822	0.000620138227466822	0.00160328419784105	0.00239097531487603	0.000620138227466822	0.000620138227466822	0.00098314597037423	0.00123518612890597	0.0368133870363377	0.000620138227466822	0.00098314597037423	0.00123518612890597
"Agrius_convolvuli"	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_106"	0.0157303355259877	0.000417761614575325	0.0272801975633329	0.000180476033488131	0.000722598217591918	0.0104840854416084	0.000386593986926362	0.611315309877316	0	0.000149308405839168	0.00209031768174836	0.00189828464869755	0.000187005765893779	0.00180426903796259	0.0530558156137722	0.00136400987816665	0.00098314597037423	0.0519260884601506	0.00234715584854088	0.00136400987816665	0.00098314597037423	0	1.05094294248978	7.22598217591917e-05	0.00136400987816665	0.00136400987816665	0.052306952367943	0.000821123067588365	0.00136400987816665	0.00136400987816665	0.0509429424897764	0.000748863245829173	0.00098314597037423	0.00136400987816665	0.0509429424897764	0.000748863245829173
"Rhynchium_brunneum"	0.0184926269755208	0.0166732225075081	0.000911585443731343	0.0156896734276221	0.569051940103235	0.0338197653411915	0.00607214204331691	0.000867117861110301	0	0.0050885929634309	0.0712403014880326	0.00786839263908811	0.063606482785147	0.0604766807206643	0.00253353661831658	4.55792721865671e-05	0.00115578918597005	0.00122804900772924	0.00120136845815662	4.55792721865671e-05	0.00115578918597005	0	7.22598217591918e-05	1.05690519401032	4.55792721865671e-05	4.55792721865671e-05	0.000117839093945759	0.0593208915346943	4.55792721865671e-05	4.55792721865671e-05	7.22598217591918e-05	0.00241569752437082	0.00115578918597005	4.55792721865671e-05	7.22598217591918e-05	0.00241569752437082
"Unidentified_sp2_M_PL_106"	0.00992221163946915	0.00026351117227059	0.632592124616872	0.000113838728815591	0.000455792721865671	0.00661303850932224	0.000243851591753551	0.0163681185379998	0	9.41791482985523e-05	0.00131850807617973	0.00119737954763999	0.00011795748310223	0.00113807739317641	0.0334659760025332	0.0316296062308436	0.000620138227466822	0.00198414810563347	0.0322497444583104	0.0316296062308436	0.000620138227466822	0	0.00136400987816665	4.55792721865671e-05	1.03162960623084	0.0316296062308436	0.0329936161090102	0.000517939165709584	0.0316296062308436	0.0316296062308436	0.00136400987816665	0.000472359893523017	0.000620138227466822	0.0316296062308436	0.00136400987816665	0.000472359893523017
"Unidentified_sp6_M_PL_106"	0.00992221163946915	0.00026351117227059	0.632592124616871	0.000113838728815591	0.000455792721865671	0.00661303850932224	0.000243851591753551	0.0163681185379998	0	9.41791482985523e-05	0.00131850807617973	0.00119737954763999	0.00011795748310223	0.00113807739317641	0.0334659760025332	0.0316296062308436	0.000620138227466822	0.00198414810563347	0.0322497444583104	0.0316296062308436	0.000620138227466822	0	0.00136400987816665	4.55792721865671e-05	0.0316296062308436	1.03162960623084	0.0329936161090102	0.000517939165709584	0.0316296062308436	0.0316296062308436	0.00136400987816665	0.000472359893523017	0.000620138227466822	0.0316296062308436	0.00136400987816665	0.000472359893523017
"Forcipomyia_sp1_M_PL_106"	0.0128262735827284	0.000340636393422957	0.329936161090102	0.000147157381151861	0.000589195469728795	0.00854856197546533	0.000315222789339957	0.313841714207658	0	0.00012174377706886	0.00170441287896404	0.00154783209816877	0.000152481624498004	0.0014711732155695	0.0432608958081527	0.0164968080545051	0.000801642098920526	0.0269551182828921	0.0172984501534256	0.0164968080545051	0.000801642098920526	0	0.0261534761839715	5.89195469728794e-05	0.0164968080545051	0.0164968080545051	1.04265028423848	0.000669531116648974	0.0164968080545051	0.0164968080545051	0.0261534761839715	0.000610611569676095	0.000801642098920526	0.0164968080545051	0.0261534761839715	0.000610611569676095
"Ornidia_obesa"	0.0191278025190082	0.0135383679374302	0.00517939165709584	0.0101404365060958	0.296604457673471	0.304954650707879	0.00779637634574529	0.00492673840553019	0	0.00439844491441086	0.061578228801752	0.0271834514506755	0.0344519495501095	0.0526384084753479	0.0224520061672117	0.000258969582854792	0.00119548765743801	0.0016060491912322	0.00145445724029281	0.000258969582854792	0.00119548765743801	0	0.000410561533794182	0.0296604457673471	0.000258969582854792	0.000258969582854792	0.000669531116648974	1.05144292081791	0.000258969582854792	0.000258969582854792	0.000410561533794183	0.0217824750505628	0.00119548765743801	0.000258969582854792	0.000410561533794183	0.0217824750505628
"Unidentified_sp3_M_PL_106"	0.00992221163946915	0.00026351117227059	0.632592124616872	0.000113838728815591	0.000455792721865671	0.00661303850932224	0.000243851591753551	0.0163681185379998	0	9.41791482985523e-05	0.00131850807617973	0.00119737954763999	0.00011795748310223	0.00113807739317641	0.0334659760025332	0.0316296062308436	0.000620138227466822	0.00198414810563347	0.0322497444583104	0.0316296062308436	0.000620138227466822	0	0.00136400987816665	4.55792721865671e-05	0.0316296062308436	0.0316296062308436	0.0329936161090102	0.000517939165709584	1.03162960623084	0.0316296062308436	0.00136400987816665	0.000472359893523017	0.000620138227466822	0.0316296062308436	0.00136400987816665	0.000472359893523017
"Unidentified_sp4_M_PL_106"	0.00992221163946915	0.00026351117227059	0.632592124616872	0.000113838728815591	0.000455792721865671	0.00661303850932224	0.000243851591753551	0.0163681185379998	0	9.41791482985523e-05	0.00131850807617973	0.00119737954763999	0.00011795748310223	0.00113807739317641	0.0334659760025332	0.0316296062308436	0.000620138227466822	0.00198414810563347	0.0322497444583104	0.0316296062308436	0.000620138227466822	0	0.00136400987816665	4.55792721865671e-05	0.0316296062308436	0.0316296062308436	0.0329936161090102	0.000517939165709584	0.0316296062308436	1.03162960623084	0.00136400987816665	0.000472359893523017	0.000620138227466822	0.0316296062308436	0.00136400987816665	0.000472359893523017
"Hemipyrellia_sp1_M_PL_106"	0.0157303355259877	0.000417761614575325	0.0272801975633329	0.000180476033488131	0.000722598217591918	0.0104840854416084	0.000386593986926362	0.611315309877317	0	0.000149308405839168	0.00209031768174836	0.00189828464869755	0.000187005765893779	0.00180426903796259	0.0530558156137722	0.00136400987816665	0.00098314597037423	0.0519260884601506	0.00234715584854088	0.00136400987816665	0.00098314597037423	0	0.0509429424897764	7.22598217591918e-05	0.00136400987816665	0.00136400987816665	0.052306952367943	0.000821123067588365	0.00136400987816665	0.00136400987816665	1.05094294248978	0.000748863245829173	0.00098314597037423	0.00136400987816665	0.0509429424897764	0.000748863245829173
"Megachile_seychellensis"	0.0197629780624956	0.0104035133673523	0.00944719787046034	0.00459119958456947	0.0241569752437082	0.576089536074566	0.00952061064817367	0.00898635894995008	0	0.00370829686539082	0.0519161561154714	0.0464985102622628	0.0052974163150719	0.0448001362300315	0.0423704757161069	0.000472359893523017	0.00123518612890597	0.00198404937473515	0.00170754602242899	0.000472359893523017	0.00123518612890597	0	0.000748863245829173	0.00241569752437082	0.000472359893523017	0.000472359893523017	0.00122122313935219	0.0435649501011255	0.000472359893523017	0.000472359893523017	0.000748863245829173	1.04114925257675	0.00123518612890597	0.000472359893523017	0.000748863245829173	0.0411492525767547
"Melanostoma_annulipes"	0.589014192581403	0.00905709597461025	0.0124027645493364	0.00384819304612754	0.0115578918597005	0.0172926058046836	0.00845253706739854	0.0117977516444908	0	0.00324363413891582	0.0454108779448215	0.0416712234278617	0.00362735344327031	0.0392043623512137	0.00283847032674703	0.000620138227466822	0.0368133870363377	0.0377965330067119	0.0374335252638045	0.000620138227466822	0.0368133870363377	0	0.00098314597037423	0.00115578918597005	0.000620138227466822	0.000620138227466822	0.00160328419784105	0.00239097531487603	0.000620138227466822	0.000620138227466822	0.00098314597037423	0.00123518612890597	1.03681338703634	0.000620138227466822	0.00098314597037423	0.00123518612890597
"Perissoma_aenescens"	0.00992221163946915	0.00026351117227059	0.632592124616872	0.000113838728815591	0.000455792721865671	0.00661303850932224	0.000243851591753551	0.0163681185379998	0	9.41791482985523e-05	0.00131850807617973	0.00119737954763999	0.00011795748310223	0.00113807739317641	0.0334659760025332	0.0316296062308436	0.000620138227466822	0.00198414810563347	0.0322497444583104	0.0316296062308436	0.000620138227466822	0	0.00136400987816665	4.55792721865671e-05	0.0316296062308436	0.0316296062308436	0.0329936161090102	0.000517939165709584	0.0316296062308436	0.0316296062308436	0.00136400987816665	0.000472359893523017	0.000620138227466822	1.03162960623084	0.00136400987816665	0.000472359893523017
"Simosyrphus_aegyptius"	0.0157303355259877	0.000417761614575325	0.0272801975633329	0.000180476033488131	0.000722598217591918	0.0104840854416084	0.000386593986926362	0.611315309877317	0	0.000149308405839168	0.00209031768174836	0.00189828464869755	0.000187005765893779	0.00180426903796259	0.0530558156137722	0.00136400987816665	0.00098314597037423	0.0519260884601506	0.00234715584854088	0.00136400987816665	0.00098314597037423	0	0.0509429424897764	7.22598217591918e-05	0.00136400987816665	0.00136400987816665	0.0523069523679431	0.000821123067588365	0.00136400987816665	0.00136400987816665	0.0509429424897764	0.000748863245829173	0.00098314597037423	0.00136400987816665	1.05094294248978	0.000748863245829173
"Xylocopa_caffra"	0.0197629780624956	0.0104035133673523	0.00944719787046034	0.00459119958456947	0.0241569752437082	0.576089536074566	0.00952061064817367	0.00898635894995008	0	0.00370829686539082	0.0519161561154714	0.0464985102622628	0.0052974163150719	0.0448001362300315	0.0423704757161069	0.000472359893523017	0.00123518612890597	0.00198404937473515	0.00170754602242899	0.000472359893523017	0.00123518612890597	0	0.000748863245829173	0.00241569752437082	0.000472359893523017	0.000472359893523017	0.00122122313935219	0.0435649501011256	0.000472359893523017	0.000472359893523017	0.000748863245829173	0.0411492525767547	0.00123518612890597	0.000472359893523017	0.000748863245829173	1.04114925257675
