"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Campnosperma_seychellarum"	"Craterispermum_microdon"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Colea_seychellarum"	"Cinnamomum_verum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_100"	"Lygistorrhina_sp1_M_PL_100"	"Scaptodrosophila_sp1_M_PL_100"	"Eristalinus_vicarians"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Phelsuma_sp1_M_PL_100"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_100"	"Unidentified_sp3_M_PL_100"
"Apis_mellifera"	0.219977553310887	0.219977553310887	0	0.210998877665544	0	0	0.00785634118967452	0	0.00785634118967452	0.0628507295173962	1.10774410774411	0	0	0.0527497194163861	0	0	0	0.0274971941638608	0	0.0274971941638608	0.0274971941638608	0.0274971941638608
"Unidentified_sp1_M_PL_100"	0	0	0.666666666666667	0	0	0	0	0	0	0	0	1.16666666666667	0	0	0	0	0	0	0.166666666666667	0	0	0
"Lygistorrhina_sp1_M_PL_100"	0	0	0	0	0.363636363636364	0.303030303030303	0	0	0	0	0	0	1.21212121212121	0	0.0606060606060606	0	0.0606060606060606	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_100"	0.0314253647586981	0.0314253647586981	0	0.601571268237935	0	0	0.00112233445566779	0	0.00112233445566779	0.00897867564534231	0.158249158249158	0	0	1.15039281705948	0	0	0	0.00392817059483726	0	0.00392817059483726	0.00392817059483726	0.00392817059483726
"Eristalinus_vicarians"	0	0	0	0	0.636363636363636	0.0303030303030303	0	0	0	0	0	0	0.121212121212121	0	1.10606060606061	0	0.106060606060606	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0	0	0.636363636363636	0.0303030303030303	0	0	0	0	0	0	0.121212121212121	0	0.106060606060606	0	1.10606060606061	0	0	0	0	0
"Phelsuma_sp1_M_PL_100"	0.599967933301267	0.0285393618726952	0	0.0157126823793491	0	0	0.0112233445566779	0	0.0112233445566779	0.0897867564534231	0.0824915824915825	0	0	0.00392817059483726	0	0	0	1.07499599166266	0	0.0749959916626584	0.0035674202340869	0.0035674202340869
"Rhiparida_seychellensis"	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	1.16666666666667	0	0	0
"Cratopus_aurostriatus"	0.599967933301267	0.0285393618726952	0	0.015712682379349	0	0	0.0112233445566779	0	0.0112233445566779	0.0897867564534231	0.0824915824915825	0	0	0.00392817059483726	0	0	0	0.0749959916626583	0	1.07499599166266	0.0035674202340869	0.0035674202340869
"Unidentified_sp2_M_PL_100"	0.0285393618726952	0.599967933301266	0	0.0157126823793491	0	0	0.0112233445566779	0	0.0112233445566779	0.0897867564534231	0.0824915824915825	0	0	0.00392817059483726	0	0	0	0.0035674202340869	0	0.0035674202340869	1.07499599166266	0.0749959916626583
"Unidentified_sp3_M_PL_100"	0.0285393618726952	0.599967933301267	0	0.0157126823793491	0	0	0.0112233445566779	0	0.0112233445566779	0.0897867564534231	0.0824915824915825	0	0	0.00392817059483726	0	0	0	0.0035674202340869	0	0.0035674202340869	0.0749959916626583	1.07499599166266
