"Catharus_ustulatus"	"Machaeropterus_regulus"	"Manacus_manacus"	"Pipra_coronata"	"Pipra_pipra"	"Tachyphonus_surinamus"	"Tangara_schrankii"	"Artibeus_gnomus"	"Artibeus_jamaicensis"	"Artibeus_lituratus"	"Artibeus_obscurus"	"Carollia_brevicauda"	"Carollia_castanea"	"Carollia_perspicillata"	"Phyllostomus_hastatus"	"Rhinophylla_pumilio"	"Sturnira_lilium"	"Uroderma_bilobatum"
"Psychotria_spp."	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"otherRubiaceae"	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coussapoa_cf_parvifolia"	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0
"Ficus_americana"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"Coussapoa_sp."	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"Clusia_sp."	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"Marcgraviaceae_1"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alchornea_triplinervia"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Croton_schiedianus"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthurium_acaule"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_1"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_2"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Codonanthe_sp."	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dilleniaceae"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sorocea_sp."	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Iryanthera_grandis"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_3"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_sp."	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Piper_aduncum"	0	0	0	0	0	0	0	0	1	1	0	51	18	127	3	0	1	1
"Piper_sp._2"	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
"Piper_arboreum"	0	0	0	0	0	0	0	0	1	0	0	8	6	17	0	0	0	1
"Pothomorphe_peltata"	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0
"Piper_sp._5"	0	0	0	0	0	0	0	0	0	0	0	5	1	9	0	0	0	0
"Piperaceae_unknown_6"	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	0	0
"Piperaceae_unknown_7"	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
"Cecropia_distachya"	0	0	0	0	0	0	0	0	2	6	0	2	0	4	49	2	1	0
"Cecropia_ficifolia"	0	0	0	0	0	0	0	3	12	18	19	17	1	29	5	2	4	1
"Cecropia_sciadophylla"	0	0	0	0	0	0	0	0	1	0	0	0	0	2	10	0	0	0
"Cecropia_membranacea"	0	0	0	0	0	0	0	0	0	5	0	1	1	2	32	0	0	0
"Ficus_sp._1"	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
"Ficus_sp._2"	0	0	0	0	0	0	0	0	4	2	2	2	2	3	0	0	0	4
"Ficus_sp._3"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2
"Vismia_angusta"	0	0	0	0	0	0	0	3	3	2	0	80	9	152	1	13	0	1
"Vismia_macrophylla"	0	0	0	0	0	0	0	1	0	1	0	11	3	35	0	3	0	0
"Vismia_sp._1"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
"Anthurium_sp."	0	0	0	0	0	0	0	2	1	0	0	2	1	3	1	0	0	0
"Philodendron_sp."	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
"Araceae_unknown"	0	0	0	0	0	0	0	0	0	0	0	9	1	4	0	1	0	0
"Solanum_lanceolatum"	0	0	0	0	0	0	0	0	0	0	0	4	1	13	0	0	2	3
"Solanum_sp."	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0
"Guttiferae_unknown"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	1	0
"Passifloraceae_unknown"	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0
"Gurania_acuminata"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
"Unknown_family"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
"Amaranthaceae"	0	0	0	0	0	0	0	0	0	0	0	1	1	9	0	1	0	0
"Solanum_jamiacense"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Physalis_sp."	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Thoracocarpus_bissectus"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Ficus_sp._9"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Cactaceae"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Curcurbid"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Unknown_1"	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
"Vismia_sp._2"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Piper_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Ficus_sp._42"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Passifloraceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Gesneriacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Unknown_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"Marcgravia_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Marcgravia_sp._301"	0	0	0	1	5	1	2	0	0	0	0	2	0	2	0	1	0	0
"Souroubea_guianensis"	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
"Coussapoa_villosa"	1	0	0	0	0	1	0	1	1	0	0	0	0	2	1	0	0	0
"Havetiopsis_flavida"	0	0	0	0	5	1	1	0	1	0	0	2	0	1	0	0	0	0
"Philodendron_cuneatum"	0	0	0	1	1	1	0	0	0	0	0	3	0	1	0	4	0	0
"Phytolacca_rivinoides"	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0
