"Clethrionomys_rutilus"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Sorex_caecutiens"	"Sorex_arcticus"	"Sciurus_vulgaris"	"Sorex_daphaenodon"	"Alticola_macrotis"	"Lemmus_sibiricus"	"Spermophilus_parryii"	"Sorex_cinereus"	"Sorex_minutissimus"	"Sorex_roboratus"	"Megabothris_advenarius"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Megabothris_calcarifer"	"Amalaraeus_penicilliger"	"Ceratophyllus_indages"	"Catallagia_ioffi"	"Tarsopsylla_octodecimdentata"	"Oropsylla_alaskensis"	"Megabothris_beljaevi"	"Amphipsylla_marikovskii"	"Rhadinopsylla_pseudodahurica"	"Peromyscopsylla_ostsibirica"	"Ctenophyllus_armatus"	"Neopsylla_acanthina"
"Sorex_roboratus"	0.775467652093131	0.591792356985839	0.642726922819375	0.264597493677344	0.321656382463465	0.0699278494542119	0.0546048330901016	0.326463139425848	0.455714294327613	0.326248525016076	0	0.0699278494542119	0.182015297964813	1.18201529796481	0.542214050345638	1.82015297964813	0.466185663028079	0.413999955593461	0.300215029239854	0.0721997237524677	0.347842578101776	0.0245721748905457	0	0.0820285729789703	0.218186456260884	0.142098867505562	0.189726416367484	0.0476275488619219	0.0697920886883818
"Megabothris_advenarius"	0.897480822781788	0.672574254470225	0.754233807346912	0.518373863584658	0.361546112916871	0.0705510687895515	0.106976517070974	0.225458647109316	0.53573416990685	0.368443472397707	0	0.0705510687895515	0.0774591500493768	0.0774591500493768	1.66083473171733	0.774591500493769	0.47034045859701	0.430269045946596	0.348530560677722	0.141446728127177	0.441837856122961	0.0481394326819383	0	0.096432150583233	0.252098410094489	0.165624577376889	0.258931872822127	0.0933072954452385	0.0807732740503609
"Catallagia_dacenkoi"	0.861630724547923	0.657547063317599	0.714141025354861	0.293997215197049	0.357395980514961	0.0776976105046799	0.0606720367667795	0.362736821584276	0.50634921591957	0.362498361128973	0	0.0776976105046799	0.202239219960904	0.202239219960904	0.602460055939598	2.02239219960904	0.517984070031199	0.459999950659401	0.333572254710949	0.0802219152805196	0.386491753446418	0.0273024165450508	0	0.0911428588655226	0.242429395845426	0.157887630561735	0.210807129297204	0.0529194987354688	0.0775467652093131
"Corrodopsylla_birulai"	0.925102111110918	0.726654066940427	0.552879529702125	0.26705871022041	0.44553798970304	0.297289310408808	0.0551127529372057	0.454868129827345	0.331525084786623	0.228129888208088	0	0.297289310408808	0.0776976105046799	0.0776976105046799	0.548730535029845	0.776976105046799	1.98192873605872	0.443784493965871	0.298559603816833	0.0728713066614164	0.346630171656507	0.0248007388217426	0	0.0596745152615922	0.238885088555241	0.145458137091472	0.193528704931146	0.0480705678396739	0.0832591899999826
"Megabothris_calcarifer"	0.981470733107235	0.749736656243597	0.822090394811692	0.307811035832911	0.240129628302936	0.0798812089138567	0.0635227870126517	0.439964164326552	0.369222921877405	0.437531383683083	0	0.0798812089138567	0.0827999911186922	0.0827999911186922	0.602376664325234	0.827999911186922	0.532541392759045	1.54046091274446	0.343672374279505	0.0839912406056172	0.399078360729429	0.0285852541556932	0	0.0664601259379329	0.277212248341572	0.180817535395966	0.236223521845891	0.055405986449924	0.0883323659796511
"Amalaraeus_penicilliger"	1.03668122002497	0.789910779515833	0.885534130344161	0.335302538660026	0.220649044321238	0.0671759108587874	0.0691961926916232	0.219555952381639	0.664753493310825	0.230799417675339	0	0.0671759108587874	0.0750537573099635	0.0750537573099635	0.609928481186013	0.750537573099635	0.44783940572525	0.429590467849381	1.41413948562823	0.091492743670035	0.47449394258704	0.0311382867112304	0	0.119655628795949	0.294483856832287	0.192923899465966	0.25327835642477	0.0603544569588046	0.0933013098022474
"Ceratophyllus_indages"	0.508551408466286	0.32704963762556	0.434566656382879	1.28361713057734	0.132542977531101	0.0327920879976374	1.41139614669239	0.106688008146399	0.257099292287467	0.137546947805991	0	0.0327920879976374	0.0360998618762338	0.0360998618762338	0.495063548445119	0.360998618762338	0.218613919984249	0.209978101514043	0.18298548734007	1.8661793495155	0.414036570843991	0.635128266011577	0	0.0462778726117441	0.136707614728326	0.0946583756050396	0.325709459108961	0.231051083503921	0.0457696267619657
"Catallagia_ioffi"	0.963534171195115	0.718225754885294	0.823094472430139	0.606944366223218	0.211492760620659	0.0623934308981712	0.125254760927594	0.203796051449824	0.599642439840479	0.220933434653785	0	0.0623934308981712	0.0695685156203552	0.0695685156203552	0.618572998572145	0.695685156203552	0.415956205987808	0.399078360729429	0.379595154069632	0.165614628337596	1.48884513998981	0.0563646424174173	0	0.107935639171286	0.271659514898346	0.179316203555951	0.28856618947613	0.109249985920179	0.0867180754075604
"Tarsopsylla_octodecimdentata"	0.346156841056884	0.222613618887987	0.295797471991708	0.873722584678693	0.0902183292438585	0.0223206649395683	2.47330325951331	0.0726195685702379	0.175000358615839	0.0936243930444141	0	0.0223206649395683	0.0245721748905457	0.0245721748905457	0.336976028773568	0.245721748905457	0.148804432930455	0.142926270778466	0.124553146844922	1.27025653202315	0.281823212087086	2.11298646678099	0	0.031500064550851	0.0930530822940706	0.0644313312941866	0.221701396536352	0.157270065242165	0.0311541156951195
"Oropsylla_alaskensis"	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0
