"Leycesteria_formosa"	"Juniperus_brevifolia"	"Duchesnea_indica"	"Vaccinium_cylindraceum"	"Ilex_perado"	"Rubus_ulmifolius"	"Cerastium_sp1_M_SD_031"	"Pittosporum_undulatum"	"Morella_faya"	"Potentilla_erecta"	"Solanum_nigrum"	"Fragaria_vesca"	"Acacia_melanoxylon"	"Clethra_arborea"	"Hedera_azorica"	"Unidentified_sp1_M_SD_031"	"Hedychium_gardneranum"	"Juncus_effusus"	"Laurus_azorica"	"Bellis_perennis"	"Hypericum_humifusum"	"Myrsine_africana"	"Calluna_vulgaris"	"Carex_viridula"	"Holcus_lanatus"	"Lotus_pedunculatus"	"Aphanes_microcarpa"	"Carex_vulcani"	"Centaurium_erythraea"	"Conyza_bonariensis"	"Cryptomeria_japonica"	"Epilobium_parviflorum"	"Persicaria_capitata"	"Sonchus_tenerrimus"	"Unidentified_sp2_M_SD_031"	"Unidentified_sp3_M_SD_031"	"Unidentified_sp4_M_SD_031"	"Unidentified_sp5_M_SD_031"	"Unidentified_sp6_M_SD_031"	"Unidentified_sp7_M_SD_031"	"Viburnum_tinus"	"Turdus_merula"	"Sylvia_atricapilla"	"Fringilla_coelebs"	"Erithacus_rubecula"	"Pyrrhula_murina"	"Serinus_serinus"	"Carduelis_carduelis"	"Regulus_regulus"
"Solanum_nigrum"	0.391935198010883	0.105349025021768	0.268788774729837	0.232591785384652	0.0422089812621741	0.105349025021768	0.142950132349387	0.169893186763796	0.105349025021768	0.21178118591653	1.2549269658645	0.105349025021768	0.169893186763796	0.138082869755434	0.105349025021768	0.105349025021768	0.105349025021768	0.169572204654356	0.0422089812621741	0.106753143004201	0.0418879991527345	0.105349025021768	0.105349025021768	0.0645441617420273	0.0361969893451854	0.0645441617420273	0.0645441617420273	0.0645441617420273	0.0422089812621741	0.0361969893451854	0.0422089812621741	0.0645441617420273	0.0645441617420273	0.031329726751233	0.0422089812621741	0.0645441617420273	0.0645441617420273	0.0645441617420273	0.0361969893451854	0.0418879991527345	0.0422089812621741	1.12557283365798	1.19264527101456	1.29088323484055	0.565523379390593	0.232711106404081	0.20109438525103	0.06962161500274	0.0587902797016324
"Fragaria_vesca"	0.306814937111779	0.14668970935002	0.224190707623939	0.192022473817114	0.0699408004789894	0.14668970935002	0.138050898480342	0.182631573544548	0.14668970935002	0.220062156134595	0.158023537532653	1.14668970935002	0.182631573544548	0.136956924958137	0.14668970935002	0.14668970935002	0.14668970935002	0.150121355655606	0.0699408004789894	0.105882664673517	0.0374305825900472	0.14668970935002	0.14668970935002	0.0359418641945281	0.0321682338068249	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0699408004789894	0.0321682338068249	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0310742602846193	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0321682338068249	0.0374305825900472	0.0699408004789894	1.86508801277305	1.44970161200836	0.718837283890561	0.201478953187083	0.207947681055818	0.178712410037916	0.0690539117435983	0.0460222405667669
"Acacia_melanoxylon"	0.309140514933411	0.121754382363032	0.196332313680924	0.164713124105831	0.0584596770086573	0.121754382363032	0.153718606250371	0.185394122029654	0.121754382363032	0.224447803674601	0.169893186763796	0.121754382363032	1.18539412202965	0.157932941134328	0.121754382363032	0.121754382363032	0.121754382363032	0.165988126665944	0.0584596770086573	0.122099416675279	0.0390536816449473	0.121754382363032	0.121754382363032	0.0636397396666215	0.0316191895750923	0.0636397396666215	0.0636397396666215	0.0636397396666215	0.0584596770086573	0.0316191895750923	0.0584596770086573	0.0636397396666215	0.0636397396666215	0.0358335244590492	0.0584596770086573	0.0636397396666215	0.0636397396666215	0.0636397396666215	0.0316191895750923	0.0390536816449473	0.0584596770086573	1.55892472023086	1.19556665669375	1.27279479333243	0.190927741079108	0.216964898027485	0.175662164306068	0.0796300543534427	0.0463710772400116
"Clethra_arborea"	0.260098850466368	0.0913046166387578	0.15333008887924	0.125647058766757	0.054192513506893	0.0913046166387578	0.148503868114946	0.157932941134328	0.0913046166387578	0.190643063525409	0.138082869755434	0.0913046166387578	0.157932941134328	1.44975738828579	0.0913046166387578	0.0913046166387578	0.0913046166387578	0.136450550018516	0.054192513506893	0.120820838002463	0.0327101223910812	0.0913046166387578	0.0913046166387578	0.0666283244955702	0.0276830301124832	0.0666283244955702	0.0666283244955702	0.0666283244955702	0.054192513506893	0.0276830301124832	0.054192513506893	0.0666283244955702	0.0666283244955702	0.328936550283332	0.054192513506893	0.0666283244955702	0.0666283244955702	0.0666283244955702	0.0276830301124832	0.0327101223910812	0.054192513506893	1.44513369351715	0.70100639249078	1.3325664899114	0.152633076124442	0.181722902172673	0.153794611736018	0.730970111740737	0.0390148275699553
"Hedera_azorica"	0.306814937111779	0.14668970935002	0.224190707623939	0.192022473817114	0.0699408004789894	0.14668970935002	0.138050898480342	0.182631573544548	0.14668970935002	0.220062156134595	0.158023537532653	0.14668970935002	0.182631573544548	0.136956924958137	1.14668970935002	0.14668970935002	0.14668970935002	0.150121355655606	0.0699408004789894	0.105882664673517	0.0374305825900472	0.14668970935002	0.14668970935002	0.0359418641945281	0.0321682338068249	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0699408004789894	0.0321682338068249	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0310742602846193	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0321682338068249	0.0374305825900472	0.0699408004789894	1.86508801277305	1.44970161200836	0.718837283890561	0.201478953187083	0.207947681055818	0.178712410037916	0.0690539117435983	0.0460222405667669
"Unidentified_sp1_M_SD_031"	0.306814937111779	0.14668970935002	0.224190707623939	0.192022473817114	0.0699408004789894	0.14668970935002	0.138050898480342	0.182631573544548	0.14668970935002	0.220062156134595	0.158023537532653	0.14668970935002	0.182631573544548	0.136956924958137	0.14668970935002	1.14668970935002	0.14668970935002	0.150121355655606	0.0699408004789894	0.105882664673517	0.0374305825900472	0.14668970935002	0.14668970935002	0.0359418641945281	0.0321682338068249	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0699408004789894	0.0321682338068249	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0310742602846193	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0321682338068249	0.0374305825900472	0.0699408004789894	1.86508801277305	1.44970161200836	0.718837283890561	0.201478953187083	0.207947681055818	0.178712410037916	0.0690539117435983	0.0460222405667669
"Hedychium_gardneranum"	0.306814937111779	0.14668970935002	0.224190707623939	0.192022473817114	0.0699408004789894	0.14668970935002	0.138050898480342	0.182631573544548	0.14668970935002	0.220062156134595	0.158023537532653	0.14668970935002	0.182631573544548	0.136956924958137	0.14668970935002	0.14668970935002	1.14668970935002	0.150121355655606	0.0699408004789894	0.105882664673517	0.0374305825900472	0.14668970935002	0.14668970935002	0.0359418641945281	0.0321682338068249	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0699408004789894	0.0321682338068249	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0310742602846193	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0321682338068249	0.0374305825900472	0.0699408004789894	1.86508801277305	1.44970161200836	0.718837283890561	0.201478953187083	0.207947681055818	0.178712410037916	0.0690539117435983	0.0460222405667669
"Juncus_effusus"	0.3974236275495	0.100080903770404	0.170658012829426	0.143248940390197	0.0395839586313803	0.100080903770404	0.132900253966149	0.165988126665944	0.100080903770404	0.300603401210524	0.169572204654356	0.100080903770404	0.165988126665944	0.136450550018516	0.100080903770404	0.100080903770404	0.100080903770404	1.26101944257914	0.0395839586313803	0.10549118152692	0.134615274544581	0.100080903770404	0.100080903770404	0.0659072228955398	0.0274090724392292	0.0659072228955398	0.0659072228955398	0.0659072228955398	0.0395839586313803	0.0274090724392292	0.0395839586313803	0.0659072228955398	0.0659072228955398	0.0309593684915961	0.0395839586313803	0.0659072228955398	0.0659072228955398	0.0659072228955398	0.0274090724392292	0.134615274544581	0.0395839586313803	1.05557223017014	1.14272007484823	1.3181444579108	0.191857940532412	0.747862636358781	0.152272624662384	0.0687985966479914	0.0596135441324249
"Laurus_azorica"	0.28946280613524	0.139881600957979	0.215007201353597	0.181322283044675	0.0901927693261454	0.139881600957979	0.15937511770306	0.175379031025972	0.139881600957979	0.208944645220286	0.126626943786522	0.139881600957979	0.175379031025972	0.162577540520679	0.139881600957979	0.139881600957979	0.139881600957979	0.118751875894141	1.09019276932615	0.125690199394138	0.0335656141943146	0.139881600957979	0.139881600957979	0.035497430067993	0.0336849183089221	0.035497430067993	0.035497430067993	0.035497430067993	0.0901927693261454	0.0336849183089221	0.0901927693261454	0.035497430067993	0.035497430067993	0.0368873411265406	0.0901927693261454	0.035497430067993	0.035497430067993	0.035497430067993	0.0336849183089221	0.0335656141943146	0.0901927693261454	2.40514051536388	0.938566819712408	0.70994860135986	0.184180809274204	0.186475634412859	0.187138435049567	0.0819718691700903	0.043419420920286
"Bellis_perennis"	0.301627238355957	0.105882664673517	0.177811363574245	0.145708353863971	0.0628450996970692	0.105882664673517	0.172214569746745	0.183149125012918	0.105882664673517	0.221081871987449	0.160129714506302	0.105882664673517	0.183149125012918	0.181231257003695	0.105882664673517	0.105882664673517	0.105882664673517	0.15823677229038	0.0628450996970692	1.14011156003647	0.0379327469745311	0.105882664673517	0.105882664673517	0.0772664603394007	0.0321030097102746	0.0772664603394007	0.0772664603394007	0.0772664603394007	0.0628450996970692	0.0321030097102746	0.0628450996970692	0.0772664603394007	0.0772664603394007	0.0411196969672249	0.0628450996970692	0.0772664603394007	0.0772664603394007	0.0772664603394007	0.0321030097102746	0.0379327469745311	0.0628450996970692	1.67586932525518	0.812931782888467	1.54532920678801	0.17700306306868	0.21073748319184	0.17835005394597	0.0913771043716108	0.0452440857533935
