"Apodemus_flavicollis"	"Clethrionomys_glareolus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Apodemus_uralensis"	"Sorex_araneus"	"Microtus_subterraneus"	"Neomys_fodiens"	"Crocidura_leucodon"	"Apodemus_sylvaticus"	"Arvicola_terrestris"	"Talpa_europaea"	"Neomys_anomalus"	"Sorex_alpinus"	"Micromys_minutus"	"Myoxus_glis"	"Muscardinus_avellanarius"	"Ctenophthalmus_agyrtes"	"Megabothris_turbidus"	"Ctenophthalmus_assimilis"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Peromyscopsylla_bidentata"	"Doratopsylla_dasycnema"	"Ctenophthalmus_solutus"	"Hystrichopsylla_orientalis"	"Rhadinopsylla_integella"	"Ctenophthalmus_uncinatus"	"Rhadinopsylla_pentacantha"	"Atyphloceras_nuperus"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_bisoctodentatus"	"Peromyscopsylla_silvatica"	"Amalaraeus_arvicolae"	"Rhadinopsylla_isacantha"	"Amphipsylla_rossica"	"Ctenophthalmus_obtusus"	"Palaeopsylla_kohauti"
"Amalaraeus_penicilliger"	0.45954585605301	0.940652375581671	0.36235091843875	0.691919724491883	0.158974307403016	0.250143799420691	0.714887910405965	0.221721842271126	0.236386589827647	0.119763638768687	0.119763638768687	0.107286499920487	0.10938661274003	0.0828963996398833	0.0408990959977654	0.0796398652676897	0.0406230302661694	0.57557800111357	0.545321279970206	0.606928544468092	1.22881478709463	0.33482315899264	0.302649085342845	0.0982356058024809	0.104226859797481	0.217837047968497	0.144383226416837	0.104226859797481	0.188573024493634	0.0705489281686253	0.180546801182975	0.0947398571652179	0.0705489281686253	0.0804248899206711	0.0705489281686253	0.148389897173962	0.0303925615492688	0.065419621980472
"Palaeopsylla_soricis"	0.592289880717008	0.461684482590877	0.518192502138924	0.478824047141597	0.167900268103783	0.452183160320995	0.488903093960254	0.412709036736047	0.280002157767897	0.126873790708625	0.126873790708625	0.124807665413707	0.12920921661304	0.229479934439038	0.0415402488798658	0.0726978550691134	0.032670973953759	0.654429543638067	0.553869985064878	0.622640372905513	0.143495639568274	1.43245879564381	0.24377497093174	0.158806955392733	0.136279608790767	0.227924874417548	0.134905667557782	0.136279608790767	0.138088015414418	0.0346263361943158	0.145204328683373	0.131580411949827	0.0346263361943158	0.0550015980705286	0.0346263361943158	0.0884940414977455	0.036000277427301	0.120044190408821
"Peromyscopsylla_bidentata"	0.675094476650315	0.759235708614595	0.580638892342213	0.548302897645641	0.163484626403671	0.25205196513523	0.559668418439805	0.221968339599886	0.274076746367227	0.119023645833178	0.119023645833178	0.10877877244722	0.108763887447261	0.0836385826753798	0.0403284989213019	0.0808495299556322	0.041913470951423	0.574297936444073	0.537713318950692	0.605672028954365	0.181589451205707	0.341284959304436	1.29488834307495	0.0983310984058338	0.148537330687891	0.247005447613851	0.170241570015342	0.148537330687891	0.175140377855598	0.0569426781460947	0.186282093117436	0.100278751784482	0.0569426781460947	0.062962697074478	0.0569426781460947	0.118626754131229	0.0352384388186435	0.0657019321716554
"Doratopsylla_dasycnema"	0.391602303341317	0.390804653700503	0.336093697520432	0.306285085919378	0.170977648502003	0.73063971861814	0.306383863191228	0.679817466974826	0.260515704608445	0.140004782535277	0.140004782535277	0.139910789257174	0.502628761019338	0.0890283003574956	0.0509162449214176	0.0744653130675438	0.0267629891933599	0.59780086512865	0.678883265618902	0.742036149153973	0.0982356058024809	0.370549562583043	0.163885164009723	1.34670064074579	0.099144434514042	0.172071477592923	0.0949599072347796	0.099144434514042	0.0958187220917496	0.0293103490275377	0.118946618637155	0.169407505477713	0.0293103490275377	0.0344681846090132	0.0293103490275377	0.0637674211934677	0.0334948763068001	0.195912012439985
"Ctenophthalmus_solutus"	0.832080582351063	0.44822292312379	0.752560376414919	0.321469104865466	0.173354067993382	0.267895413959296	0.306176589029617	0.218496165225627	0.708742074360853	0.117620797845238	0.117620797845238	0.130321617919429	0.106421045499057	0.0818269653376245	0.0366984286594783	0.0786572206592217	0.038677934173856	0.591400083450142	0.489312382126377	0.621900011994578	0.104226859797481	0.317985753845123	0.247562217813151	0.099144434514042	1.23445933900492	0.309629278600798	0.176952077249954	0.234459339004922	0.136140905874294	0.0336167192342843	0.171901929661582	0.164664162445562	0.0336167192342843	0.0344448662658319	0.0336167192342843	0.0697819935316491	0.0911239809892526	0.067218120864325
"Hystrichopsylla_orientalis"	0.679962880696837	0.464330307555428	0.606698922302846	0.531692746228899	0.364406526471084	0.271342224017081	0.32055130456613	0.228568097725469	0.540356042548979	0.125441321948984	0.125441321948984	0.127397384235638	0.113569381744362	0.0838712835665065	0.0408180640049589	0.0770863737368233	0.0353079219641462	0.618869422475026	0.544240853399452	0.649887027574977	0.130702228781098	0.319094824184567	0.247005447613851	0.103242886555754	0.185777567160479	1.32758446956722	0.15112799189941	0.185777567160479	0.126520121432815	0.0348247730666571	0.156924097618428	0.142580420972042	0.0348247730666571	0.0360620217636897	0.0348247730666571	0.0946402070174083	0.0694743483277258	0.0691720720324451
"Rhadinopsylla_integella"	0.822039853788951	0.90446079554255	0.72094917389636	0.343870717407424	0.161077571292124	0.243485048899316	0.336561875936098	0.213175544683984	0.292439417209505	0.115739173722301	0.115739173722301	0.10709035501261	0.105594516531376	0.0791043296286934	0.0389583229250234	0.0873522282502293	0.0492040068143108	0.558026868552962	0.519444305666978	0.593416777892066	0.144383226416838	0.314779890968157	0.283735950025569	0.0949599072347796	0.176952077249954	0.251879986499017	1.20718728327442	0.176952077249954	0.172955576927598	0.0678345596656913	0.21868447473027	0.101031680717774	0.0678345596656913	0.0378632110428111	0.0678345596656913	0.106520015374026	0.0375993536412221	0.0632815522753669
"Ctenophthalmus_uncinatus"	0.832080582351063	0.44822292312379	0.752560376414919	0.321469104865466	0.173354067993382	0.267895413959296	0.306176589029617	0.218496165225627	0.708742074360853	0.117620797845238	0.117620797845238	0.130321617919429	0.106421045499057	0.0818269653376245	0.0366984286594783	0.0786572206592218	0.038677934173856	0.591400083450142	0.489312382126377	0.621900011994578	0.104226859797481	0.317985753845123	0.247562217813151	0.099144434514042	0.234459339004922	0.309629278600798	0.176952077249954	1.23445933900492	0.136140905874294	0.0336167192342842	0.171901929661582	0.164664162445562	0.0336167192342842	0.0344448662658319	0.0336167192342842	0.0697819935316492	0.0911239809892525	0.067218120864325
"Rhadinopsylla_pentacantha"	0.795586898803691	0.928372955492014	0.382341317272134	0.354627618449215	0.154801582688273	0.244548441323399	0.702661740055074	0.215728087523237	0.255214560289087	0.116845546258428	0.116845546258428	0.106042009786929	0.106725221691328	0.0802923458189502	0.0396238902716621	0.0874700290367244	0.049114314244583	0.561396928366803	0.528318536955494	0.5966444523222	0.188573024493634	0.322205369300308	0.291900629759331	0.0958187220917496	0.136140905874294	0.210866869054692	0.172955576927598	0.136140905874294	1.21377089095658	0.0696279716619011	0.218285841087036	0.096067846000541	0.0696279716619011	0.0790494457561958	0.0696279716619011	0.109523578737438	0.0328133006085969	0.0638011555843511
"Atyphloceras_nuperus"	0.469284746274305	1.73916097029969	0.346705815294269	0.365856837469717	0.142732504067066	0.22062671928387	0.356007266827168	0.1948504628659	0.21609428927532	0.111390208307074	0.111390208307074	0.0992367025631872	0.101123950577911	0.0678092744288311	0.0379297621618569	0.096728630775596	0.0599137564843256	0.529324926779233	0.505730162158092	0.572675822308651	0.211646784505876	0.24238435336021	0.284713390730473	0.0879310470826131	0.100850157702853	0.174123865333286	0.203503678997074	0.100850157702853	0.208883914985703	1.13043707277248	0.266283362152558	0.0859208547265663	0.130437072772476	0.0400508175180564	0.130437072772476	0.17159596698782	0.0277835514782555	0.0575938619092398
