"Sideroxylon_cinereum"	"Geniostoma_borbonicum"	"Croton_fothergillifolius"	"Aphloia_theiformis"	"Psiadia_terebinthina"	"Erythroxylum_macrocarpum"	"Toddalia_asiatica"	"Molinaea_alternifolia"	"Claoxylon_linostachys"	"Antirhea_borbonica"	"Roussea_simplex"	"Pachycerina_crinicornis"	"Melanostoma_annulipes"	"Apis_mellifera"	"Stomorhina_lunata"	"Musca_domestica"	"Stomoxys_niger"	"Fannia_pusio"	"Stomoxys_calcitrans"	"Brachymyrmex_sp1_M_PL_060"	"Nacoleia_sp1_M_PL_060"	"Technomyrmex_albipes"	"Zosterops_mauritianus"	"Chrysomya_megacephala"	"Henotesia_narcissus"	"Miridae_sp1_M_PL_060"	"Nyctemera_insulare"	"Orthellia_albigena"	"Ceratitis_roas"	"Chaetocnema_sp1_M_PL_060"	"Homoneura_quadrivittata"	"Lygistorrhina_sp1_M_PL_060"	"Ophyra_capensis"	"Orchisia_costata"	"Chironomidae_sp1_M_PL_060"	"Cicadellidae_sp1_M_PL_060"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_060"	"Eristalinus_flaveolus"	"Ischiodon_aegyptius"	"Limnophora_quaterna"	"Ornidia_obesa"	"Pelecophora_intemipta"	"Psyllidae_sp1_M_PL_060"	"Sapromyza_sp1_M_PL_060"	"Scirtidae_sp1_M_PL_060"	"Scirtidae_sp2_M_PL_060"	"Syritta_nigrofemorata"	"Tarundia_servillei"	"Tettigoniidae_sp1_M_PL_060"
"Roussea_simplex"	0.271763603437579	0.3387660194559	0.285318408087328	0.381636099627486	0.299455084924243	0.245352933256611	0.859469221337427	0.834807187247742	0.223475341496345	0.0597095341024972	1.46340446176368	0.225320051051918	0.426989928428297	0.0222352039176202	0.194556227616677	0.138981813232759	0.126603363265951	0.0930476393005487	0.194556227616677	0.150265293704594	0.094579735750891	0.208320344190812	0.0713042465050482	0.0704335004530274	1.54468153921228	0.135408824470481	0.0463115647982177	0.0462786861211616	0.0463131088621119	0.101853100505079	0.0217778155364507	0.0335213012244517	0.049036163910372	0.0991300454568192	0.0222352039176202	0.0245008705847108	0.0213988806065496	0.0773522299203685	0.0217778155364507	0.0213988806065496	0.024533749261767	0.0213988806065496	0.024533749261767	0.0213988806065496	0.0222352039176201	0.0773522299203685	0.0217778155364507	0.0213988806065496	0.0217778155364507	0.150265293704594
"Pachycerina_crinicornis"	0.583238166510705	0.693261809858792	0.623516161476473	0.694917410669936	0.58109709162425	0.357209444783664	0.540624645845195	0.164829574611531	0.387990109367811	0.0779691117930978	0.0321885787217026	1.33812233323765	0.438598701452991	0.0477194863508759	0.271077930677071	0.266988543184783	0.230879039982689	0.184503886595681	0.271077930677071	0.0296693234300756	0.171089905165905	0.132541101949743	0.128113692943738	0.138981281721761	0.107295262405675	0.142575679009606	0.0892400927482754	0.0921111381303091	0.0802877751121459	0.0962005256225971	0.0445668306337795	0.0581985164051716	0.083265251974896	0.093223048759847	0.0477194863508758	0.0475443074965296	0.0467637121107355	0.0486562181260675	0.0445668306337795	0.0467637121107355	0.0446732621144959	0.0467637121107355	0.0446732621144959	0.0467637121107355	0.0477194863508758	0.0486562181260675	0.0445668306337795	0.0467637121107355	0.0445668306337795	0.0296693234300756
"Melanostoma_annulipes"	0.521507028061552	0.634813388725207	0.564618263843359	0.648990091077777	0.519686150291621	0.44963081171267	0.494325067330091	0.330064591802838	0.349764724621087	0.180742994954127	0.0426989928428297	0.307019091017094	1.49272814644223	0.0426687568413997	0.258708031362863	0.25502820743549	0.22262677040745	0.167718756475971	0.258708031362863	0.0594116265245108	0.20621094121923	0.153597126786959	0.129352629581952	0.126586937290488	0.142329976142766	0.141917045924138	0.0825302237016204	0.0833292080652856	0.0857725133036018	0.087009031992659	0.0408094321323348	0.0524647086931631	0.0874828571042178	0.0852986881920429	0.0426687568413997	0.0425197759329508	0.042346369788252	0.0444892560597082	0.0408094321323348	0.0423463697882519	0.0417207915692856	0.042346369788252	0.0417207915692857	0.042346369788252	0.0426687568413997	0.0444892560597082	0.0408094321323348	0.042346369788252	0.0408094321323348	0.0594116265245108
"Apis_mellifera"	1.6512451250386	0.49613067613196	0.423622664253205	0.572116738670002	0.429394997426652	0.385156287611955	0.339039153021132	0.131067439412817	0.218959606218404	0.0678742135608069	0.0222352039176201	0.334036404456131	0.426687568413997	1.13510187386679	0.307813977390369	0.309194568512664	0.275134491655163	0.238907239932478	0.307813977390369	0.0235921390943071	0.130988144015765	0.0932150132272821	0.210396435828205	0.103682950990476	0.0741173463920672	0.101873093465858	0.0686730480944119	0.067026432865469	0.070409743655393	0.0656458417431735	0.0318941148941975	0.0328439409327606	0.073647946732467	0.0624076386660994	0.135101873866795	0.0351323179712715	0.0317716998189904	0.0305135237719019	0.0318941148941975	0.0317716998189904	0.0367789332002144	0.0317716998189904	0.0367789332002145	0.0317716998189904	0.135101873866795	0.0305135237719019	0.0318941148941975	0.0317716998189904	0.0318941148941975	0.0235921390943071
"Stomorhina_lunata"	0.627028472461862	0.505087627420567	0.670822472857176	0.720519943665968	0.625415992972909	0.534215872883114	0.570851134149563	0.152926427246744	0.222050074138481	0.0754980495306611	0.0324260379361128	0.316257585789916	0.431180052271439	0.0513023295650614	1.30390174305185	0.284995059883994	0.216820486115422	0.181261787131395	0.303901743051847	0.0275267569044139	0.163074865894363	0.107153407260855	0.151043056089042	0.147801224125014	0.108086793120376	0.138105700482544	0.0787890581412773	0.0836403183306641	0.0858915061939193	0.102547001498517	0.0324699189056079	0.0333075111207721	0.104591986713368	0.0838465209790686	0.0513023295650614	0.0511703994250562	0.0503116854642882	0.0513766020734607	0.0324699189056079	0.0503116854642882	0.0463191392356694	0.0503116854642882	0.0463191392356694	0.0503116854642882	0.0513023295650614	0.0513766020734607	0.0324699189056079	0.0503116854642882	0.0324699189056079	0.0275267569044139
"Musca_domestica"	0.629840787710983	0.73923095253951	0.670283445903585	0.734788707807672	0.621975437507865	0.533846707566079	0.352015402624654	0.137130334675063	0.215695031880546	0.0788716615084089	0.0231636355387932	0.31148663371558	0.425047012392483	0.051532428085444	0.284995059883994	1.30083566345389	0.232029760360738	0.19717973425451	0.284995059883995	0.0246834602415114	0.180521912858157	0.104274131954086	0.152153515772545	0.148396574805724	0.0772121184626441	0.117420311774909	0.0947584067366045	0.0984108892385731	0.100906660562719	0.0825702856686805	0.0475219898061114	0.0323542547820819	0.10427357018907	0.0792033760423302	0.051532428085444	0.0508888994324617	0.0502712584427689	0.0316813862362189	0.0475219898061114	0.0502712584427688	0.0472364169304932	0.0502712584427689	0.0472364169304932	0.0502712584427689	0.051532428085444	0.0316813862362189	0.0475219898061114	0.0502712584427689	0.0475219898061114	0.0246834602415114
"Stomoxys_niger"	0.672550979601509	0.785620453625001	0.412636298580485	0.775695692971647	0.419058207094594	0.578041874180658	0.358367143604119	0.163114410361437	0.468973920243828	0.0774624523466906	0.0253206726531901	0.323230655975765	0.4452535408149	0.0550268983310326	0.260184583338507	0.278435712432886	1.28354749749546	0.189683802621284	0.260184583338507	0.0293605938650587	0.166176149659332	0.149572833592667	0.162697237440133	0.115100454665038	0.0844022421773005	0.160403318379011	0.100370323709785	0.0847907525992169	0.108308359436816	0.0665396235048375	0.0505041720187501	0.0703460880365741	0.0920907679985326	0.0827572149431208	0.0550268983310325	0.0342865805804668	0.0309477223935363	0.0322530429243707	0.0505041720187501	0.0309477223935363	0.0498661516910345	0.0309477223935363	0.0498661516910345	0.0309477223935363	0.0550268983310325	0.0322530429243707	0.0505041720187501	0.0309477223935363	0.0505041720187501	0.0293605938650587
"Fannia_pusio"	0.729994344238128	0.861945624746082	0.434800737331904	0.829703163332723	0.710826165652246	0.365253809740877	0.350376327528612	0.139278394982919	0.214024744381258	0.0773768835032727	0.0232619098251372	0.322881801542442	0.419296891189927	0.0597268099831196	0.271892680697092	0.295769601381765	0.237104753276605	1.22663416510778	0.271892680697092	0.0250701110969254	0.176178503538574	0.110511883254075	0.149590251457168	0.14410662026231	0.0775396994171239	0.100162962108851	0.108748850662209	0.113569294624705	0.0919361711363358	0.0896923739400315	0.0554107901622481	0.0321037116571887	0.0946838854365441	0.0869446596398231	0.0597268099831195	0.0581585044624564	0.0326100552998928	0.0315338694775751	0.0554107901622482	0.0326100552998928	0.0533380604999608	0.0326100552998928	0.0533380604999608	0.0326100552998928	0.0597268099831195	0.0315338694775751	0.0554107901622482	0.0326100552998928	0.0554107901622481	0.0250701110969254
"Stomoxys_calcitrans"	0.627028472461862	0.505087627420567	0.670822472857176	0.720519943665968	0.625415992972909	0.534215872883114	0.570851134149563	0.152926427246744	0.222050074138481	0.0754980495306611	0.0324260379361128	0.316257585789916	0.431180052271439	0.0513023295650614	0.303901743051847	0.284995059883994	0.216820486115422	0.181261787131395	1.30390174305185	0.0275267569044139	0.163074865894363	0.107153407260855	0.151043056089042	0.147801224125014	0.108086793120376	0.138105700482544	0.0787890581412773	0.0836403183306641	0.0858915061939193	0.102547001498517	0.0324699189056079	0.0333075111207721	0.104591986713368	0.0838465209790686	0.0513023295650614	0.0511703994250561	0.0503116854642882	0.0513766020734607	0.0324699189056079	0.0503116854642882	0.0463191392356694	0.0503116854642882	0.0463191392356694	0.0503116854642882	0.0513023295650614	0.0513766020734607	0.0324699189056079	0.0503116854642882	0.0324699189056079	0.0275267569044139
"Brachymyrmex_sp1_M_PL_060"	0.288348366708198	0.352051343203396	0.301708719083818	0.47136104379436	0.29033463364325	0.251921631300803	0.441018356005455	1.81085497763345	0.300566757673667	0.0784109825121743	0.150265293704593	0.207685264010529	0.594116265245107	0.0235921390943071	0.165160541426484	0.148100761449068	0.146802969325293	0.100280444387702	0.165160541426484	1.32595389597402	0.11084674951162	0.40134069101185	0.0790860836111677	0.0766845871616053	0.500884312348645	0.109968828821621	0.0529336534498557	0.0463865239066142	0.0478240351931558	0.0634463038840296	0.0226318720630755	0.0450850136510501	0.048946814973619	0.0623235241035664	0.0235921390943071	0.0237546518435387	0.0226281539312863	0.0396916520404909	0.0226318720630755	0.0226281539312863	0.0303017813867803	0.0226281539312863	0.0303017813867803	0.0226281539312863	0.0235921390943071	0.0396916520404909	0.0226318720630755	0.0226281539312863	0.0226318720630755	0.32595389597402
