"Apollonia_melanostoma"	"Proterorhinus_marmoratus"	"Perca_flavescens"	"Amia_calva"	"Percina_caprodes"	"Acipenser_fulvescens"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Micropterus_dolomieu"	"Micropterus_sp."	"Notropis_hudsonius"	"Salvelinus_namaycush"	"Sander_vitreus"	"Cystidicola_stigmatura"	"Sphaeromyxa_sevastopoli"	"Proteocephalus_ambloplitis"	"Dichelyne_cotylophora"	"Raphidascaris_acus"	"Eustrongylides_tubifex"	"Spiroxys_sp."	"Leptorhynchoides_thecatus"	"Myxobolus_burti"	"Neochasmus_umbellus"	"Diplostomum_spathaceum"	"Diplostomum_sp."	"Ichthyocotylurus_pileatus"	"Digenea_gen._sp."	"Proteocephalus_sp."	"Scolex_pleuronectis"	"Hysterothylacium_brachyurum"	"Truttaedacnitis_clitellarius"	"Philometra_cylindraceum"	"Haplonema_immutatum"	"Rhabdochona_decaturensis"	"Contracaecum_sp."	"Spinitectus_sp."	"Spiroxys_contortus"	"Philometra_sp."	"Dioctophymidae"	"Neoechinorhynchus_tumidus"	"Neoechinorhynchus_sp."	"Southwellina_hispida"	"Myzobdella_lugubris"	"Piscicolaria_reducta"
"Ichthyocotylurus_pileatus"	3.40894811773354	0.995044315446546	0.284446039338493	0	0	0	0	0	0	0	0	0	0.0484036327445756	0	0.304041318608667	0	0.107563628321279	0.304041318608667	0.268537245915173	0.304041318608667	0.304041318608667	0	0.204536887064012	0.204536887064012	0.204536887064012	1.20453688706401	0.204536887064012	0.0995044315446547	0.204536887064012	0	0	0.064000358851161	0	0.204536887064012	0.0995044315446546	0.204536887064012	0.0995044315446547	0.204536887064012	0.064000358851161	0.204536887064012	0.0995044315446547	0.0995044315446547	0	0
"Digenea_gen._sp."	3.40894811773354	0.995044315446547	0.284446039338493	0	0	0	0	0	0	0	0	0	0.0484036327445756	0	0.304041318608667	0	0.107563628321279	0.304041318608667	0.268537245915173	0.304041318608667	0.304041318608667	0	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	1.20453688706401	0.0995044315446547	0.204536887064012	0	0	0.064000358851161	0	0.204536887064012	0.0995044315446546	0.204536887064012	0.0995044315446547	0.204536887064012	0.064000358851161	0.204536887064012	0.0995044315446546	0.0995044315446546	0	0
"Proteocephalus_sp."	1.65840719241091	2.91650804535237	0.138379154272781	0	0	0	0	0	0	0	0	0	0.0235477132270908	0	0.391155236079892	0	0.0523282516157574	0.391155236079892	0.13063974125603	0.391155236079892	0.391155236079892	0	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.0995044315446546	0.0995044315446546	1.29165080453524	0.0995044315446546	0	0	0.0311353097113756	0	0.0995044315446546	0.291650804535237	0.0995044315446546	0.291650804535237	0.0995044315446546	0.0311353097113756	0.0995044315446546	0.291650804535237	0.291650804535237	0	0
"Scolex_pleuronectis"	3.40894811773354	0.995044315446547	0.284446039338493	0	0	0	0	0	0	0	0	0	0.0484036327445756	0	0.304041318608667	0	0.107563628321279	0.304041318608667	0.268537245915173	0.304041318608667	0.304041318608667	0	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.0995044315446547	1.20453688706401	0	0	0.064000358851161	0	0.204536887064012	0.0995044315446547	0.204536887064012	0.0995044315446547	0.204536887064012	0.064000358851161	0.204536887064012	0.0995044315446547	0.0995044315446547	0	0
"Hysterothylacium_brachyurum"	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Truttaedacnitis_clitellarius"	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0
"Philometra_cylindraceum"	1.06667264751935	0.311353097113756	2.87037089346482	0	0	0	0	0	0	0	0	0	0.488445467165232	0	0.0951356685625366	0	1.08543437147829	0.0951356685625366	0.709833809880746	0.0951356685625366	0.0951356685625366	0	0.064000358851161	0.064000358851161	0.064000358851161	0.064000358851161	0.064000358851161	0.0311353097113756	0.064000358851161	0	0	1.64583345102959	0	0.064000358851161	0.0311353097113756	0.064000358851161	0.0311353097113756	0.064000358851161	0.645833451029584	0.064000358851161	0.0311353097113756	0.0311353097113756	0	0
"Haplonema_immutatum"	0	0	0	3.53407028543145	0	0	0	0	1.20277181983171	0	0	0	0	0	0	2.67282626629269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59033162844415	0	0	0	0	0	0	0	0	0	0	0
"Rhabdochona_decaturensis"	3.40894811773354	0.995044315446547	0.284446039338493	0	0	0	0	0	0	0	0	0	0.0484036327445756	0	0.304041318608667	0	0.107563628321279	0.304041318608667	0.268537245915173	0.304041318608667	0.304041318608667	0	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.0995044315446546	0.204536887064012	0	0	0.064000358851161	0	1.20453688706401	0.0995044315446547	0.204536887064012	0.0995044315446546	0.204536887064012	0.064000358851161	0.204536887064012	0.0995044315446546	0.0995044315446546	0	0
"Contracaecum_sp."	1.65840719241091	2.91650804535238	0.138379154272781	0	0	0	0	0	0	0	0	0	0.0235477132270908	0	0.391155236079892	0	0.0523282516157574	0.391155236079892	0.13063974125603	0.391155236079892	0.391155236079892	0	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.291650804535237	0.0995044315446547	0	0	0.0311353097113756	0	0.0995044315446547	1.29165080453524	0.0995044315446547	0.291650804535238	0.0995044315446546	0.0311353097113756	0.0995044315446547	0.291650804535237	0.291650804535237	0	0
"Spinitectus_sp."	3.40894811773354	0.995044315446547	0.284446039338493	0	0	0	0	0	0	0	0	0	0.0484036327445756	0	0.304041318608667	0	0.107563628321279	0.304041318608667	0.268537245915173	0.304041318608667	0.304041318608667	0	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.0995044315446547	0.204536887064012	0	0	0.064000358851161	0	0.204536887064012	0.0995044315446547	1.20453688706401	0.0995044315446547	0.204536887064012	0.064000358851161	0.204536887064012	0.0995044315446547	0.0995044315446547	0	0
"Spiroxys_contortus"	1.65840719241091	2.91650804535237	0.138379154272781	0	0	0	0	0	0	0	0	0	0.0235477132270908	0	0.391155236079892	0	0.0523282516157574	0.391155236079892	0.13063974125603	0.391155236079892	0.391155236079892	0	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.291650804535237	0.0995044315446547	0	0	0.0311353097113756	0	0.0995044315446547	0.291650804535238	0.0995044315446547	1.29165080453524	0.0995044315446546	0.0311353097113756	0.0995044315446547	0.291650804535237	0.291650804535237	0	0
"Philometra_sp."	3.40894811773354	0.995044315446546	0.284446039338493	0	0	0	0	0	0	0	0	0	0.0484036327445755	0	0.304041318608667	0	0.107563628321279	0.304041318608667	0.268537245915173	0.304041318608667	0.304041318608667	0	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.0995044315446547	0.204536887064012	0	0	0.064000358851161	0	0.204536887064012	0.0995044315446547	0.204536887064012	0.0995044315446547	1.20453688706401	0.064000358851161	0.204536887064012	0.0995044315446546	0.0995044315446546	0	0
"Dioctophymidae"	1.06667264751935	0.311353097113756	2.87037089346482	0	0	0	0	0	0	0	0	0	0.488445467165232	0	0.0951356685625366	0	1.08543437147829	0.0951356685625366	0.709833809880745	0.0951356685625366	0.0951356685625366	0	0.064000358851161	0.064000358851161	0.064000358851161	0.064000358851161	0.064000358851161	0.0311353097113756	0.064000358851161	0	0	0.645833451029584	0	0.064000358851161	0.0311353097113756	0.064000358851161	0.0311353097113756	0.064000358851161	1.64583345102958	0.064000358851161	0.0311353097113756	0.0311353097113756	0	0
"Neoechinorhynchus_tumidus"	3.40894811773354	0.995044315446546	0.284446039338493	0	0	0	0	0	0	0	0	0	0.0484036327445756	0	0.304041318608667	0	0.107563628321279	0.304041318608667	0.268537245915173	0.304041318608667	0.304041318608667	0	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.204536887064012	0.0995044315446547	0.204536887064012	0	0	0.064000358851161	0	0.204536887064012	0.0995044315446547	0.204536887064012	0.0995044315446547	0.204536887064012	0.064000358851161	1.20453688706401	0.0995044315446546	0.0995044315446546	0	0
"Neoechinorhynchus_sp."	1.65840719241091	2.91650804535237	0.138379154272781	0	0	0	0	0	0	0	0	0	0.0235477132270908	0	0.391155236079892	0	0.0523282516157574	0.391155236079892	0.13063974125603	0.391155236079892	0.391155236079892	0	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.291650804535237	0.0995044315446547	0	0	0.0311353097113756	0	0.0995044315446547	0.291650804535237	0.0995044315446547	0.291650804535237	0.0995044315446546	0.0311353097113756	0.0995044315446547	1.29165080453524	0.291650804535237	0	0
"Southwellina_hispida"	1.65840719241091	2.91650804535237	0.138379154272781	0	0	0	0	0	0	0	0	0	0.0235477132270908	0	0.391155236079892	0	0.0523282516157574	0.391155236079892	0.13063974125603	0.391155236079892	0.391155236079892	0	0.0995044315446547	0.0995044315446547	0.0995044315446547	0.0995044315446546	0.0995044315446546	0.291650804535237	0.0995044315446546	0	0	0.0311353097113756	0	0.0995044315446546	0.291650804535237	0.0995044315446546	0.291650804535237	0.0995044315446546	0.0311353097113756	0.0995044315446546	0.291650804535237	1.29165080453524	0	0
"Myzobdella_lugubris"	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13157894736842	2.13157894736842
"Piscicolaria_reducta"	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13157894736842	3.13157894736842
