"Dipterocarpus_pachyphyllus"	"Dipterocarpus_geniculatus"	"Dipterocarpus_crinitus"	"Dipterocarpus_globosus"	"Dipterocarpus_palembanicus"	"Dipterocarpus_tempehes"	"Dryobalanops_aromatica"	"Dryobalanops_lanceolata"	"Shorea_smithiana"	"Shorea_macrophylla"	"Shorea_xantophylla"	"Shorea_laxa"	"Shorea_argentifolia"	"Sternuchopsis_hoplomachus"	"Araecerus_corporaali"	"Phloebius_sp._1"	"Ctenomerus_sp._2"	"Manoja_sp._1"	"Meregallia_dipterocarpi"	"Meregallia_sp._1"	"Nanophyes_shoreae"	"Nanophyes_sp._2"	"Apionidae_Gn._sp._1"	"Involvulus_sp._3"	"Imathia_sp._1"	"Ochyromera_sp._2"	"Idotasia_sp._1"	"Sternuchopsis_curranae"	"Sternuchopsis_dipterocarpi"	"Sternuchopsis_shoreaphilus"	"Niphades_sp._1"	"Orchestes_sp._1"	"Orchestes_sp._2"	"Orchestes_sp._4"	"Coccotrypes_advena"	"Coccotrypes_cardamoni"	"Coccotrypes_gedeanus"	"Coccotrypes_papuanus"	"Dryocoetiops_malaccensis"	"Xyleborinus_exiguus"	"Xyleborinus_similis"	"Andrioplecta_shoreae"	"Andrioplecta_subpulverula"	"Andrioplecta_sp._A"	"Andrioplecta_sp._B"	"Lamoria_adaptella"	"Cosmopterigidae_sp._A"	"Assara_albicostalis"	"Sesiidae_Gn._Sp._A"	"Imma_homocrossa"
"Shorea_xantophylla"	0.510468546636218	0.323503860243341	0.0422253581018391	0.106161717835941	0.571115298793759	0.289850070691477	0.0801275571944909	0.0823398085419458	1.16556961017331	0.309098849349215	1.61753542531655	0.0423268653979999	0.122834926460759	0.0479777953020986	0.230840399322966	0.0237150057838481	0.103643330688	0.0278188964414293	0.0242627895182505	0.0751153826752864	0.0749294749397125	0.0278188964414293	0.0514003768914383	0.0287138557482873	0.131819515594242	0.0242627895182505	0.104816175202309	0.195879327091855	0.11177995287794	0.0190470894291	0.151621125990098	0.0749294749397125	0.802820416332161	0.8542207932236	0.227364676102962	0.126329851831151	0.228537520617271	0.0718641818151854	0.0287138557482873	0.0237150057838481	0.103643330688	0.192575494585907	0.0237150057838481	0.168312705067657	0.0242627895182505	0.0287138557482873	0.104377022157976	0.140751193672797	0.0278188964414293	0.0287138557482873
"Shorea_laxa"	0.600571811152158	0.506048630304626	0.0182061832353112	0.131066844923385	0.444518728611211	0.489948366858365	0.218903482481728	0.229375855263645	0.332671995779869	0.254618396307715	0.0423268653979999	1.93023449063801	0.0646662437828179	0.0780403318339859	0.196130894325561	0.040086684561139	0.0551682212488719	0.0229156556676943	0.037953647272847	0.080093370136148	0.021386056871563	0.0229156556676943	0.040006685575009	0.0337821643773089	0.126194545727774	0.037953647272847	0.142601606531411	1.15491850389702	0.0407859300064084	0.868605520787105	0.133208553082858	0.021386056871563	0.040433146300663	0.080439831875672	0.251285293602832	0.061392742446572	0.338718678885372	0.107530371941748	0.0337821643773089	0.040086684561139	0.0551682212488719	0.135437397324259	0.040086684561139	0.0974837500514116	0.037953647272847	0.0337821643773089	0.111742497225165	0.0606872774510374	0.0229156556676943	0.0337821643773089
"Shorea_argentifolia"	0.745351034039046	0.448926987183609	0.0459519610666281	0.122507760484097	0.310382946287405	0.304747421127079	0.0889906769796138	0.0831546543062103	0.951414135682552	0.56282334779537	0.0818899509738395	0.0431108291885453	1.47390618962285	0.0586034039491681	0.240280303375192	0.0249338799103974	0.103088332958575	0.0506541013015834	0.0336695240387707	0.0528683450762638	0.0611623372938783	0.0506541013015833	0.0279344651658664	0.0419259956646963	0.148078808241068	0.0336695240387707	0.0948068571224258	0.199507337300323	0.503334194180733	0.0193998731348454	0.161691736907743	0.0611623372938783	0.0980128152321061	0.125947280397973	0.266607287412132	0.0890968024597447	0.258325811575983	0.0861676500580898	0.0419259956646963	0.0249338799103974	0.103088332958575	0.629583815185783	0.0249338799103974	0.595914291147013	0.0336695240387707	0.0419259956646963	0.103529984869333	0.153173203555427	0.0506541013015834	0.0419259956646963
"Sternuchopsis_hoplomachus"	0.583130983458513	1.15142420801306	0.0241337021616137	0.189083999147431	0.390504344668851	1.14650496773842	0.137005254139357	0.122751038393451	0.44056801354391	0.337812360938721	0.0479777953020986	0.0780403318339859	0.0879051059237521	1.18016176750685	0.306833618273181	0.0938049519058704	0.0611233472616499	0.0304031124844849	0.0863568156009794	0.128950342926067	0.0283222294421085	0.0304031124844849	0.0351453910201966	0.0328011178195414	0.140893521132395	0.0863568156009794	0.104771820357773	0.361153313431724	0.0546937612192341	0.0351181493252937	0.2412851147685	0.0283222294421085	0.0499122373280529	0.0850576283482495	0.355333703302964	0.0634676204623051	0.398982176399087	0.222705667315022	0.0328011178195414	0.0938049519058703	0.0611233472616499	0.20425480712424	0.0938049519058704	0.11789799152326	0.0863568156009794	0.0328011178195414	0.154303324440717	0.0804456738720458	0.0304031124844849	0.0328011178195414
"Araecerus_corporaali"	0.820440476128318	0.670386801345556	0.0410070611682787	0.166679713468174	0.581203106596733	0.635541654694349	0.121187607146161	0.120127397796126	0.731832286834476	0.585972083847882	0.076946799774322	0.065376964775187	0.120140151687596	0.102277872757727	1.30051977797646	0.0519988626568103	0.0931961380787199	0.0527374875463094	0.0502790101009167	0.104307142250516	0.047046361296502	0.0527374875463094	0.052308279593706	0.0461497767822179	0.188698479452572	0.0502790101009167	0.134496275714762	0.302550064765171	0.0830884068027809	0.0294196341488342	0.195474010836447	0.047046361296502	0.081672421194947	0.133980700788653	0.322070716056944	0.099354640890208	0.363370853692986	0.139780808288066	0.0461497767822179	0.0519988626568103	0.0931961380787199	0.232254681232225	0.0519988626568103	0.181975671131308	0.0502790101009167	0.0461497767822179	0.148737066476841	0.136690203894262	0.0527374875463094	0.0461497767822179
"Phloebius_sp._1"	0.556478622409519	0.572721455333875	0.0232576144780846	0.193231190196062	0.405420233947186	1.76801526808745	0.139982514013441	0.125173727690242	0.424688161271624	0.325468297414513	0.0474300115676962	0.080173369122278	0.0748016397311921	0.187609903811741	0.311993175940862	1.1446557946617	0.0586033043065684	0.0292921467673062	0.0429541091500407	0.181143615716947	0.0273013817960329	0.0292921467673062	0.0364878210552467	0.0313019225105355	0.140558908127202	0.0429541091500407	0.105341861872855	0.371024535993653	0.0497418737153906	0.0360780161050251	0.246213208118309	0.0273013817960329	0.0486448870014962	0.085132708056743	0.360977126883762	0.0637892028512796	0.407715684450048	0.231086921605855	0.0313019225105355	0.1446557946617	0.0586033043065684	0.153290052143273	0.1446557946617	0.110335942993232	0.0429541091500407	0.0313019225105355	0.110743852715823	0.0775253815936152	0.0292921467673062	0.0313019225105355
"Ctenomerus_sp._2"	1.25148857020434	0.424289268111542	0.0464945911880506	0.139560354469288	0.388133292699181	0.358131304095696	0.105863467296299	0.107566509685351	1.20678149257912	0.395089203559562	0.103643330688	0.0551682212488719	0.154632499437862	0.0611233472616498	0.27958841423616	0.0293016521532842	1.14797504231122	0.0355580283203605	0.0318216951083657	0.0642336484962105	0.0775788102372293	0.0355580283203605	0.0349319963429263	0.0703962320739939	0.17228733649287	0.0318216951083657	0.137598181322525	0.255306268335057	0.123968560068588	0.0248256995619924	0.209098389572873	0.0775788102372293	0.124218309046829	0.159150305389755	0.307816537837713	0.112510806580156	0.297439676849015	0.0925244270172396	0.0703962320739938	0.0293016521532842	0.147975042311223	0.261744515571308	0.0293016521532842	0.229922820462942	0.0318216951083657	0.0703962320739939	0.137149923525286	0.154981970626835	0.0355580283203605	0.0703962320739938
"Manoja_sp._1"	0.613382765592126	0.420187709355516	0.0779927331445589	0.178161717514369	0.348151138065587	0.358015127155964	0.116867906934487	0.0992335132787515	0.569539850073662	1.70187823602514	0.0556377928828587	0.0458313113353886	0.15196230390475	0.0608062249689698	0.316424925277856	0.0292921467673062	0.0711160566407211	1.15316904124226	0.0315140782016637	0.060625749193209	0.036613276076164	0.153169041242263	0.0313336024259029	0.0345027805645571	0.259091810673456	0.0315140782016637	0.0956064369740854	0.212097124124326	0.082201967247589	0.0206240901009249	0.131922281609691	0.036613276076164	0.0616502828734504	0.0929838852993533	0.360238081373033	0.0679468785020669	0.384728461706397	0.100892611409703	0.0345027805645571	0.0292921467673062	0.0711160566407211	0.301387867256072	0.0292921467673062	0.269873789054409	0.0315140782016637	0.0345027805645571	0.0973504611921236	0.25997577714853	0.153169041242263	0.0345027805645571
"Meregallia_dipterocarpi"	0.609783344507508	1.73012696069224	0.0250097898451429	0.184936808098799	0.375588455390517	0.524994667389386	0.134027994265273	0.12032834909666	0.456447865816196	0.35015642446293	0.0485255790365011	0.0759072945456939	0.101008572116312	0.172713631201959	0.3016740606055	0.0429541091500406	0.0636433902167313	0.0315140782016637	1.12975952205192	0.0767570701351872	0.029343077088184	0.0315140782016637	0.0338029609851465	0.0343003131285473	0.141228134137587	0.129759522051918	0.104201778842692	0.351282090869795	0.0596456487230777	0.0341582825455623	0.23635702141869	0.029343077088184	0.0511795876546095	0.0849825486397561	0.349690279722166	0.0631460380733306	0.390248668348126	0.214324413024189	0.0343003131285473	0.0429541091500406	0.0636433902167314	0.255219562105207	0.0429541091500406	0.125460040053289	0.129759522051918	0.0343003131285473	0.197862796165612	0.0833659661504763	0.0315140782016637	0.0343003131285473
"Meregallia_sp._1"	0.598249803130803	0.511713800901248	0.0250253308219345	0.178929523128649	0.993606230362967	1.10698876271468	0.132251403542305	0.143034752515321	0.475721509979378	0.33680971774005	0.0751153826752864	0.080093370136148	0.0793025176143958	0.128950342926067	0.312921426751549	0.0905718078584734	0.0642336484962105	0.0303128745966045	0.0383785350675936	1.17999636859114	0.0305820970701029	0.0303128745966045	0.089424560732667	0.0336515514261077	0.193648129459325	0.0383785350675936	0.165986537913371	0.370654318463396	0.0543728523544216	0.0360420165612666	0.193183991422277	0.0305820970701029	0.0643840192739817	0.153808580006649	0.30343142978552	0.12000665780277	0.40518431920268	0.169209485630013	0.0336515514261077	0.0905718078584734	0.0642336484962105	0.156715813444727	0.0905718078584734	0.118337278377134	0.0383785350675936	0.0336515514261077	0.161454647226368	0.0834177694064485	0.0303128745966045	0.0336515514261077
