"Microtus_arvalis"	"Lagurus_lagurus"	"Marmota_bobak"	"Arvicola_terrestris"	"Allocricetulus_eversmanni"	"Apodemus_uralensis"	"Microtus_gregalis"	"Spermophilus_major"	"Sorex_araneus"	"Clethrionomys_glareolus"	"Microtus_oeconomus"	"Spermophilus_pygmaeus"	"Allactaga_major"	"Cricetus_cricetus"	"Spermophilus_fulvus"	"Micromys_minutus"	"Ctenophthalmus_breviatus"	"Ctenophthalmus_assimilis"	"Citellophilus_tesquorum"	"Neopsylla_pleskei"	"Frontopsylla_elata"	"Oropsylla_ilovaiskii"	"Amalaraeus_penicilliger"	"Peromyscopsylla_bidentata"	"Corrodopsylla_birulai"	"Mesopsylla_hebes"	"Amphipsylla_prima"	"Frontopsylla_semura"	"Palaeopsylla_soricis"	"Leptopsylla_segnis"	"Neopsylla_setosa"	"Oropsylla_silantiewi"	"Amphipsylla_kalabukhovi"	"Amphipsylla_kuznetzovi"
"Microtus_oeconomus"	0.437224949704254	0.292467601555568	0.160717088601369	0.336598220335955	0.324740714633025	0.386631776952762	0.336419918397962	0.149871683319897	0.425440422470498	0.408870926508817	1.43076533503176	0.151656153034015	0.109115096427675	0.163488420272216	0.102659982929067	0.0464896045619981	0.94207424238678	0.806923357941093	0.414825835555473	0.471058117513052	0.609843987410275	0.108494028802991	0.154965348539994	0.166778522056024	0.417646295438009	0.0327345289283024	0.105213287402564	0.0795091020736738	0.095724095055862	0.101615645204227	0.0762948407889247	0.0482151265804106	0.0487111071949538	0.056214636390547
"Spermophilus_pygmaeus"	0.384430225403773	0.297541643814427	0.23239311212556	0.29900016907284	0.38946995881638	0.339946156464193	0.237757567263518	0.241191669752197	0.201151378786288	0.280528561460116	0.202208204045354	1.41391800508459	0.158252362131472	0.157461830091617	0.395497055900087	0.0324099945244307	1.01325834023873	0.435836913024561	0.832467522966697	0.439795264554368	0.278599863088592	0.238482326335127	0.108033315081436	0.136486624637843	0.0907559061371195	0.0474757086394417	0.0896254537886117	0.177069610592483	0.0452590602269149	0.0833065069294999	0.542824518295403	0.0697179336376679	0.058420493822457	0.0494267432661993
"Allactaga_major"	0.328946448962487	0.254561545070946	0.120025570581552	0.252794282974058	0.331969433220636	0.290882645582542	0.242165941333479	0.310267605375941	0.135634493463459	0.319166532151921	0.1454867952369	0.158252362131472	1.7986492950531	0.174617115638281	0.364960197919931	0.0347776300401318	0.562835931250964	0.374922832123751	0.403608637161872	0.903650465373587	0.248788577998607	0.742163129504693	0.115925433467106	0.126961208694948	0.0632522899575808	0.539594788515931	0.0868567751037315	0.159283474359075	0.0305177610292783	0.0934208316824456	0.156963768015421	0.0360076711744656	0.0497954149830954	0.0422931148666055
"Cricetus_cricetus"	0.410015402705463	0.315761145826684	0.165036773334226	0.308298889858379	0.341943783912903	0.362570763249546	0.315162038855307	0.161184040957809	0.208975798971601	0.574033942904008	0.217984560362954	0.157461830091617	0.174617115638281	1.37996686529437	0.11650102589084	0.0536439168828549	0.982614355307445	0.497323866491698	0.415829047874905	0.867632979921218	0.342175737887349	0.135690654746079	0.178813056276183	0.180906244637221	0.0960660808502751	0.0523851346914844	0.130641370336461	0.0862418753541873	0.0470195547686103	0.487794423675968	0.082188856794737	0.0495110320002679	0.0512915675869354	0.052716266062131
"Spermophilus_fulvus"	0.265949678215818	0.205620119225183	0.136109515135265	0.205925517590844	0.525512672558413	0.235175501165131	0.176647723571732	0.323116888715851	0.13455273819237	0.218011811239708	0.136879977238756	0.395497055900087	0.364960197919931	0.11650102589084	1.79811116522098	0.0245863069559366	0.606611267649264	0.343274011973185	0.478792008667097	0.426640018144413	0.197161123535607	0.745856475557028	0.0819543565197886	0.097499945247623	0.0610723609720032	0.109488059375979	0.0650417114770668	0.618260250450055	0.0302743660932831	0.0629803977837858	0.658082466336319	0.0408328545405794	0.078826900883762	0.0341935300563195
"Micromys_minutus"	0.331591985215362	0.243377119456801	0.101570522566772	0.235713219601728	0.233649187284195	0.293222055497584	0.664469465433029	0.0990931257831668	0.158774885502516	0.817285436226326	0.185958418247993	0.0972299835732921	0.104332890120395	0.160931750648565	0.0737589208678097	1.46219892871131	0.542717314583125	0.510149255897829	0.297268292266746	0.512163654784653	0.395569647064909	0.0831554810314116	1.54066309570437	0.191696119652855	0.0775649933438644	0.0312998670361186	0.148887437588466	0.0571750543529722	0.035724349238066	0.153359081280811	0.0512966713323306	0.0304711567700315	0.0350473780926293	0.0426332552419751
"Ctenophthalmus_breviatus"	0.470660733030047	0.360174197497475	0.272115049032142	0.365134316975922	0.414045564568213	0.416198562493713	0.348778702660706	0.247204997548043	0.324286693349623	0.367662124151484	0.31402474746226	0.253314585059684	0.140708982812741	0.245653588826861	0.151652816912316	0.0452264428819271	1.82749238128427	0.569276759678012	0.54739606397461	0.541565456987219	0.36937406343957	0.16187003918193	0.150754809606424	0.170214151725968	0.143620074182674	0.0422126948438223	0.112102200083308	0.107602679758927	0.0729645060036653	0.120966921181821	0.1214902205916	0.0816345147096426	0.0621068346852319	0.0605135228181488
"Ctenophthalmus_assimilis"	0.514549549346852	0.392829319314938	0.150984903264779	0.394810676588764	0.434662981883095	0.455008815779573	0.398202623828591	0.144796576600216	0.369928933484119	0.515299329783142	0.358632603529375	0.145278971008187	0.124974277374584	0.165774622163899	0.114424670657728	0.0566832506553143	0.759035679570683	1.64323792863168	0.473700474804331	0.566536252665186	0.424095193838597	0.115258657389758	0.188944168851048	0.200660463969364	0.163926345828036	0.0374922832123751	0.136962048448807	0.0995268484797827	0.0832340100339269	0.115985157621288	0.0779110924997746	0.0452954709794336	0.0651994472824642	0.0661563706303095
"Citellophilus_tesquorum"	0.51810239502038	0.405208488516123	0.336702475785686	0.404316354268221	0.472445447367731	0.458150546453736	0.257264140675157	0.302828383648657	0.195151049964275	0.343089913000648	0.207412917777737	0.312175321112511	0.151353238935702	0.15593589295309	0.179547003250161	0.0371585365333433	0.821094095961915	0.532913034154872	1.63742889001251	0.534522880979557	0.345199702874848	0.190118587750356	0.123861788444478	0.17944730728505	0.0905768927419527	0.0454059716807106	0.117049088175843	0.124730918080208	0.043908986241962	0.0908923281288672	0.147516697308802	0.101010742735706	0.0708668171051596	0.0666131650740488
"Neopsylla_pleskei"	0.506526996858502	0.392027663302603	0.147409361365312	0.387806930422101	0.437430943758548	0.447914587222018	0.391261715077995	0.162107195936503	0.189598256737275	0.529252642491454	0.209359163339134	0.146598421518123	0.301216821791195	0.289210993307073	0.142213339381471	0.0569070727538503	0.722087275982959	0.566536252665186	0.475131449759606	1.65389917767748	0.387697023941048	0.181661207132751	0.189690242512834	0.200358855999726	0.0897654195171921	0.0903650465373586	0.138611747714798	0.108278643378223	0.0426596077658869	0.154810066312451	0.0866435282698782	0.0442228084095935	0.0656146415637822	0.0651248995960931
