"Syzygium_coriaceum"	"Diospyros_revaughanii"	"Syzygium_petrinese"	"Casearia_coriacea"	"Labourdonnaisia_callophylloides"	"Calophyllum_eputamen"	"Gaertnera_sp1_M_PL_070"	"Ocotea_laevigata"	"Stillingia_lineata"	"Syzygium_mauritianum"	"Cordemoya_integrifolia"	"Tristhema_mauritiana"	"Euodia_obtusifolia"	"Syzygium_commersonii"	"Technomyrmex_albipes"	"Apis_mellifera"	"Musca_domestica"	"Chaetocnema_sp1_M_PL_070"	"Phelsuma_cepediana"	"Eristalinus_flaveolus"	"Brachymyrmex_sp1_M_PL_070"	"Chrysomya_megacephala"	"Episyrphus_sp1_M_PL_070"	"Panara_naso"	"Paragus_borbonicus"	"Anthomyia_faciata"	"Macroglossum_milvus"	"Melanagromyza_sojae"	"Nacoleia_sp1_M_PL_070"	"Ornidia_obesa"	"Phorinia_sp1_M_PL_070"	"Polistes_hebraeus"	"Syritta_sp1_M_PL_070"	"Thelairodrino_sp1_M_PL_070"
"Panara_naso"	0.712088188101391	0.065390716413286	0.115700616243522	0.0772625166503799	0.0615728113613963	0.290014846387233	2.40725648127314	0.532317606357518	0.297639325224506	0.0477352229816988	0.0287955259508247	0.0327772854105717	0.049351265876819	0.0189396970308741	0.182096030058731	0.159975144171248	0.674163488594703	0.218633074933604	0.0841764312483294	0.520783754098226	0.0988560694217961	0.650125031464479	0.109669479726264	1.36108847219097	0.0901205755839176	0.361088472190971	0.361088472190971	0.0640879369291252	0.0196172149239858	0.0640879369291252	0.0640879369291252	0.0260326386547924	0.0640879369291252	0.0892917975673519
"Paragus_borbonicus"	1.58041247321831	0.234181371617142	1.07201402269314	0.234249196637894	0.184183401452514	0.24744705920924	0.300401918613059	0.17873914157477	0.198394100726072	0.170952401280513	0.061376372299135	0.122807029153379	0.0421075878066144	0.109576028981378	0.682261273074329	0.340979846106306	0.300437383071859	0.257430941129548	0.487004573250571	0.0986820302643898	0.2476492610767	0.296594741176116	0.093572417348032	0.0450602877919588	1.38344027769561	0.0450602877919588	0.0450602877919588	0.142237122589648	0.0702544114851425	0.142237122589648	0.142237122589648	0.241203155105957	0.142237122589648	0.0595182302178217
"Anthomyia_faciata"	0.712088188101391	0.065390716413286	0.115700616243522	0.0772625166503799	0.0615728113613963	0.290014846387233	2.40725648127314	0.532317606357518	0.297639325224506	0.0477352229816988	0.0287955259508247	0.0327772854105717	0.049351265876819	0.0189396970308741	0.182096030058731	0.159975144171248	0.674163488594703	0.218633074933604	0.0841764312483294	0.520783754098226	0.0988560694217961	0.650125031464479	0.109669479726265	0.361088472190971	0.0901205755839176	1.36108847219097	0.361088472190971	0.0640879369291251	0.0196172149239858	0.0640879369291251	0.0640879369291251	0.0260326386547924	0.0640879369291252	0.0892917975673519
"Macroglossum_milvus"	0.712088188101391	0.065390716413286	0.115700616243522	0.0772625166503799	0.0615728113613963	0.290014846387233	2.40725648127314	0.532317606357518	0.297639325224506	0.0477352229816988	0.0287955259508247	0.0327772854105717	0.049351265876819	0.0189396970308741	0.182096030058731	0.159975144171248	0.674163488594703	0.218633074933605	0.0841764312483294	0.520783754098226	0.0988560694217961	0.650125031464479	0.109669479726265	0.361088472190971	0.0901205755839176	0.361088472190971	1.36108847219097	0.0640879369291251	0.0196172149239858	0.0640879369291251	0.0640879369291251	0.0260326386547924	0.0640879369291251	0.0892917975673519
"Melanagromyza_sojae"	2.31921832205466	0.11827235293442	0.336642649752781	0.24080936947868	0.142113975027034	0.295752414092782	0.427252912860834	0.254215483152196	0.281442243825628	0.0863388176421267	0.0439968449110004	0.0981171301160334	0.0503276166838557	0.0423419727311263	0.545095167311296	0.244426916172224	0.433514904007392	0.359706615303484	0.188186545471672	0.140352581874784	0.317093865250325	0.41562652403058	0.111839148186346	0.0640879369291252	0.284474245179295	0.0640879369291252	0.0640879369291252	1.20872964898492	0.035481705880326	0.20872964898492	0.20872964898492	0.0757445961943756	0.20872964898492	0.0844326731476884
"Nacoleia_sp1_M_PL_070"	0.394241176448067	1.84580455914941	0.466787187066484	0.103241160259961	0.271139632152523	0.338775294884555	0.130781432826572	0.0778149525318104	0.0893652587697338	0.447437328179071	0.204771574491351	0.0663680576611725	0.0576487371547247	0.24266575368772	0.368711431450958	1.13761985828528	0.105252984194775	0.138515724860271	1.07851446083431	0.0429617006835289	0.0819402279973087	0.15466784791288	0.128108304788277	0.0196172149239858	0.140508822970285	0.0196172149239858	0.0196172149239858	0.035481705880326	1.55374136774482	0.035481705880326	0.035481705880326	0.105027117089959	0.035481705880326	0.0268095776309201
"Ornidia_obesa"	2.31921832205466	0.11827235293442	0.336642649752781	0.24080936947868	0.142113975027034	0.295752414092782	0.427252912860834	0.254215483152196	0.281442243825628	0.0863388176421267	0.0439968449110004	0.0981171301160333	0.0503276166838557	0.0423419727311263	0.545095167311296	0.244426916172225	0.433514904007392	0.359706615303484	0.188186545471672	0.140352581874784	0.317093865250325	0.41562652403058	0.111839148186346	0.0640879369291252	0.284474245179295	0.0640879369291252	0.0640879369291252	0.208729648984919	0.035481705880326	1.20872964898492	0.208729648984919	0.0757445961943756	0.208729648984919	0.0844326731476883
"Phorinia_sp1_M_PL_070"	2.31921832205466	0.11827235293442	0.33664264975278	0.24080936947868	0.142113975027034	0.295752414092782	0.427252912860834	0.254215483152197	0.281442243825628	0.0863388176421267	0.0439968449110004	0.0981171301160333	0.0503276166838557	0.0423419727311263	0.545095167311296	0.244426916172224	0.433514904007392	0.359706615303484	0.188186545471672	0.140352581874784	0.317093865250325	0.41562652403058	0.111839148186346	0.0640879369291252	0.284474245179295	0.0640879369291252	0.0640879369291252	0.20872964898492	0.035481705880326	0.20872964898492	1.20872964898492	0.0757445961943756	0.20872964898492	0.0844326731476884
"Polistes_hebraeus"	0.841606624381952	0.350090390299863	1.8073853956335	0.227689023797109	0.226252827877995	0.199141704325698	0.173550924365283	0.103262799997343	0.115345957626517	0.2555659849189	0.0787558996872696	0.147496928190725	0.0338875589293731	0.176810085231631	0.819427378837363	0.437532776040387	0.167359862136326	0.155155266955613	0.78582260102947	0.0570114786539954	0.178204656903075	0.177562958321653	0.0753056865097179	0.0260326386547924	0.482406310211913	0.0260326386547924	0.0260326386547924	0.0757445961943756	0.105027117089959	0.0757445961943756	0.0757445961943756	1.40666171401754	0.0757445961943756	0.034603787287955
"Syritta_sp1_M_PL_070"	2.31921832205466	0.11827235293442	0.336642649752781	0.24080936947868	0.142113975027034	0.295752414092782	0.427252912860834	0.254215483152197	0.281442243825628	0.0863388176421267	0.0439968449110004	0.0981171301160333	0.0503276166838557	0.0423419727311263	0.545095167311296	0.244426916172225	0.433514904007392	0.359706615303484	0.188186545471672	0.140352581874784	0.317093865250325	0.41562652403058	0.111839148186346	0.0640879369291252	0.284474245179295	0.0640879369291252	0.0640879369291252	0.208729648984919	0.035481705880326	0.208729648984919	0.20872964898492	0.0757445961943756	1.20872964898492	0.0844326731476883
"Thelairodrino_sp1_M_PL_070"	0.938140812752093	0.0893652587697338	0.153794610168689	0.102157301638262	0.0831033347685245	0.404115018957716	0.595278650449013	0.354190797017163	1.77397982608471	0.0652366389019057	0.0396275896284701	0.0434757451400543	0.0687674717133929	0.0256090492734356	0.241531917444746	0.220153275713723	0.812175657645601	0.707552500238587	0.113817996770825	0.195549036672501	0.130403458884906	0.370907589085675	0.15281660380754	0.0892917975673519	0.119036460435643	0.0892917975673519	0.0892917975673519	0.0844326731476884	0.0268095776309202	0.0844326731476884	0.0844326731476884	0.034603787287955	0.0844326731476884	1.53219394782541
