"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"
"R21"	0.0899186574681852	0.267401615180704	0.141198134601964	0.0796471737448243	0.24235722197443	0.24235722197443	0.24235722197443	0.0763437993403337	0.146237293463865	0.141198134601964	0.0763437993403337	0.0763437993403337	0.267401615180704	0.24235722197443	0.267401615180704	0.24235722197443	0.24235722197443	0.23862035566707	0.141198134601964	0.141198134601964	1.16129416797375	0.165564666802151	0.165851732899723	0.165851732899723	0.117084411806525	0.117084411806525	0.305185719403959	0.316746689649869	0.339154323291295	0.339154323291295	0.0951378994617061	0.339154323291295	0.339154323291295	0.244139345911624	0.339154323291295	0.095137899461706	0.106440968940672	0.139135517812633	0.130049061617237	0.106440968940672	0.186258796497339	0.117084411806525	0.2483319779411	0.305185719403959	0.294542276538106	0.117084411806525
"R22"	0.0876867254157871	0.266272723629575	0.136462843216287	0.0676348283995841	0.256455923743512	0.256455923743512	0.256455923743512	0.075027486213996	0.132884285609053	0.136462843216287	0.075027486213996	0.075027486213996	0.266272723629575	0.256455923743512	0.266272723629575	0.256455923743512	0.256455923743512	0.23676974779798	0.136462843216287	0.136462843216287	0.130086523915976	1.18755390357912	0.156027167581205	0.156027167581205	0.18618289418593	0.18618289418593	0.284108240488336	0.295382248041794	0.318999392578155	0.318999392578155	0.098624734135338	0.318999392578155	0.318999392578155	0.308355949712302	0.318999392578155	0.098624734135338	0.109840143241558	0.0545377771447932	0.130373720060365	0.109840143241558	0.252447222721805	0.18618289418593	0.163104922673179	0.284108240488336	0.207765489543964	0.18618289418593
"R23"	0.0897567594056056	0.258524193131222	0.143037651663385	0.0818809887656577	0.248833929348986	0.248833929348986	0.248833929348986	0.0767249367362215	0.143525549866221	0.143037651663385	0.0767249367362215	0.0767249367362215	0.258524193131222	0.248833929348986	0.258524193131222	0.248833929348986	0.248833929348986	0.224301050154785	0.143037651663385	0.143037651663385	0.140336081684381	0.168029257395144	1.17221331755763	0.172213317557631	0.11714050412272	0.11714050412272	0.292535707504908	0.304075862285629	0.32631993550208	0.32631993550208	0.0957138367038959	0.32631993550208	0.32631993550208	0.314837892455176	0.32631993550208	0.0957138367038959	0.106338623290175	0.0538347987901968	0.201071675142109	0.106338623290175	0.257028516608647	0.11714050412272	0.234921504309801	0.292535707504908	0.281733826672363	0.11714050412272
"R24"	0.0897567594056056	0.258524193131222	0.143037651663385	0.0818809887656577	0.248833929348986	0.248833929348986	0.248833929348986	0.0767249367362215	0.143525549866221	0.143037651663385	0.0767249367362215	0.0767249367362215	0.258524193131222	0.248833929348986	0.258524193131222	0.248833929348986	0.248833929348986	0.224301050154785	0.143037651663385	0.143037651663385	0.140336081684381	0.168029257395144	0.172213317557631	1.17221331755763	0.11714050412272	0.11714050412272	0.292535707504908	0.304075862285629	0.32631993550208	0.32631993550208	0.0957138367038959	0.32631993550208	0.32631993550208	0.314837892455176	0.32631993550208	0.0957138367038959	0.106338623290175	0.0538347987901968	0.201071675142109	0.106338623290175	0.257028516608647	0.11714050412272	0.234921504309801	0.292535707504908	0.281733826672363	0.11714050412272
"C1"	0.0730015975511245	0.330582966633655	0.116001078819135	0.0649675185518676	0.319043079993734	0.319043079993734	0.319043079993734	0.062409937259079	0.116013098139079	0.116001078819135	0.062409937259079	0.062409937259079	0.330582966633655	0.319043079993734	0.330582966633655	0.319043079993734	0.319043079993734	0.29469636995253	0.116001078819135	0.116001078819135	0.117084411806525	0.236960047145729	0.138438777599578	0.138438777599578	1.15180364266882	0.151803642668819	0.237752820462583	0.247138740147727	0.265478084131533	0.265478084131533	0.122611195046286	0.265478084131533	0.265478084131533	0.255898450438272	0.265478084131533	0.122611195046285	0.136570496780879	0.0641104813328942	0.151524768958238	0.136570496780879	0.208936078229708	0.151803642668819	0.184555685142926	0.237752820462583	0.222519674574643	0.151803642668819
"C2"	0.0730015975511245	0.330582966633655	0.116001078819135	0.0649675185518676	0.319043079993734	0.319043079993734	0.319043079993734	0.062409937259079	0.116013098139079	0.116001078819135	0.062409937259079	0.062409937259079	0.330582966633655	0.319043079993734	0.330582966633655	0.319043079993734	0.319043079993734	0.29469636995253	0.116001078819135	0.116001078819135	0.117084411806525	0.236960047145729	0.138438777599578	0.138438777599578	0.151803642668819	1.15180364266882	0.237752820462583	0.247138740147727	0.265478084131533	0.265478084131533	0.122611195046286	0.265478084131533	0.265478084131533	0.255898450438272	0.265478084131533	0.122611195046285	0.136570496780879	0.0641104813328942	0.151524768958238	0.136570496780879	0.208936078229708	0.151803642668819	0.184555685142926	0.237752820462583	0.222519674574643	0.151803642668819
"C3"	0.0767796600475126	0.286332578817271	0.167621872392253	0.113561055135191	0.275370020084754	0.275370020084754	0.275370020084754	0.0653662547999161	0.167728863272131	0.167621872392253	0.0653662547999161	0.0653662547999161	0.286332578817271	0.275370020084754	0.286332578817271	0.275370020084754	0.275370020084754	0.253944082108838	0.167621872392253	0.167621872392253	0.167852145672177	0.198875768341835	0.19014820987819	0.19014820987819	0.130764051254421	0.130764051254421	1.25644111853305	0.266312789110586	0.27869344550027	0.27869344550027	0.10595025022729	0.27869344550027	0.27869344550027	0.264960088127092	0.27869344550027	0.10595025022729	0.117979180432446	0.0609031040695442	0.14931262217301	0.117979180432446	0.211950332258236	0.130764051254421	0.1887981803827	0.256441118533049	0.243656247711074	0.130764051254421
"C4"	0.120619161568872	0.283452980034645	0.165969320140575	0.110901080339774	0.272604195910453	0.272604195910453	0.272604195910453	0.0662274727557137	0.166059720066887	0.165969320140575	0.0662274727557137	0.0662274727557137	0.283452980034645	0.272604195910453	0.283452980034645	0.272604195910453	0.272604195910453	0.251407020407721	0.165969320140575	0.165969320140575	0.165914932673741	0.196921498694529	0.18823743855777	0.18823743855777	0.129453625791667	0.129453625791667	0.253631227724368	1.26913940564037	0.282306606329471	0.282306606329471	0.104885632991615	0.282306606329471	0.282306606329471	0.268731748201619	0.282306606329471	0.104885632991615	0.116794386589876	0.0602710229121821	0.147584440381349	0.116794386589876	0.209834503176441	0.129453625791667	0.18665475647657	0.253631227724368	0.240971988522577	0.129453625791667
"C5"	0.119902838666397	0.277790757895639	0.163508535428396	0.0646788224305827	0.267160302209772	0.267160302209772	0.267160302209772	0.108856058418722	0.163182573038991	0.163508535428396	0.108856058418722	0.108856058418722	0.277790757895639	0.267160302209772	0.277790757895639	0.267160302209772	0.267160302209772	0.246880276979176	0.163508535428396	0.163508535428396	0.162204241574098	0.194173543308442	0.184441702675089	0.184441702675089	0.126967779367255	0.126967779367255	0.242342126521974	0.257758205779082	1.29704160870292	0.29704160870292	0.102790865530744	0.29704160870292	0.29704160870292	0.28377035257413	0.29704160870292	0.102790865530744	0.114485194440284	0.0590580871437036	0.13803077080419	0.114485194440284	0.206017745598134	0.126967779367255	0.176347657272982	0.242342126521974	0.229859541595003	0.126967779367255
"C6"	0.119902838666397	0.277790757895639	0.163508535428396	0.0646788224305827	0.267160302209772	0.267160302209772	0.267160302209772	0.108856058418722	0.163182573038991	0.163508535428396	0.108856058418722	0.108856058418722	0.277790757895639	0.267160302209772	0.277790757895639	0.267160302209772	0.267160302209772	0.246880276979176	0.163508535428396	0.163508535428396	0.162204241574098	0.194173543308442	0.184441702675089	0.184441702675089	0.126967779367255	0.126967779367255	0.242342126521974	0.257758205779082	0.29704160870292	1.29704160870292	0.102790865530744	0.29704160870292	0.29704160870292	0.28377035257413	0.29704160870292	0.102790865530744	0.114485194440284	0.0590580871437036	0.13803077080419	0.114485194440284	0.206017745598134	0.126967779367255	0.176347657272982	0.242342126521974	0.229859541595003	0.126967779367255
