"Rhombomys_opimus"	"Spermophilus_pygmaeus"	"Spermophilus_fulvus"	"Meriones_meridianus"	"Stylodipus_telum"	"Allactaga_elater"	"Allactaga_major"	"Pygeretmus_pumilio"	"Meriones_tamariscinus"	"Cricetulus_migratorius"	"Allocricetulus_eversmanni"	"Xenopsylla_skrjabini"	"Nosopsyllus_laeviceps"	"Coptopsylla_lamellifer"	"Neopsylla_setosa"	"Citellophilus_trispinus"	"Rhadinopsylla_cedestis"	"Echidnophaga_oschanini"	"Oropsylla_ilovaiskii"	"Citellophilus_tesquorum"	"Ctenophthalmus_dolichus"	"Mesopsylla_hebes"	"Mesopsylla_tuschkan"	"Mesopsylla_lenis"	"Ctenophthalmus_breviatus"	"Xenopsylla_conformis"	"Ophthalmopsylla_volgensis"	"Frontopsylla_semura"	"Amphipsylla_schelkovnikovi"	"Amphipsylla_kalabukhovi"	"Paradoxopsyllus_repandus"	"Leptopsylla_segnis"	"Stenoponia_conspecta"
"Citellophilus_trispinus"	0.990286087678885	0.831767936136559	0.472799908269103	0.447130944073609	0.398621755008429	0.358525174989645	0.211543502745598	0.248645624453334	0.511562783849017	0.135793767822846	0.130164620236134	0.390159006855433	0.388981079203733	0.143870052674516	0.291239998136288	1.22804216451704	0.254892987975265	0.222388524494037	0.289973439929278	0.194884313821559	0.0913498203532312	0.284020260451762	0.253466662691622	0.319239020615067	0.153251367134324	0.124884641158752	0.249218881439232	0.156231593330262	0.0305535977601403	0.0292870395531302	0.0445628739455498	0.0780976947510705	0.0445628739455498
"Rhadinopsylla_cedestis"	0.897744079551238	0.743787663297696	0.217435418514124	0.611862066759281	0.398321140767379	0.525437614009484	0.227777620993554	0.419371516944725	0.42837515958811	0.137645073457805	0.129084751379761	0.383783448620091	0.380586946999064	0.141364944819509	0.271590945730556	0.169928658650177	1.28441158117661	0.217369644029037	0.269664873262996	0.147441763934751	0.0822365396403011	0.327061471138221	0.296091329610215	0.351168135842972	0.143870520218078	0.128126194647247	0.279245743663715	0.162115836418486	0.0309701415280061	0.0290440690604462	0.0403984835798057	0.0862881385867518	0.0403984835798057
"Echidnophaga_oschanini"	0.938340191082113	0.776321868816359	0.215161379444733	0.647481344913959	0.392020345747045	0.364329848945892	0.414854583200487	0.263325789087265	0.46466932523592	0.132538443502422	0.127798985286961	0.387420359156386	0.355013321464358	0.150529608426146	0.261413949622806	0.177910819595229	0.260843572834845	1.25642590102714	0.260347571524327	0.150242012561084	0.0858934137196153	0.325224103068817	0.295402953280772	0.355146152239676	0.14672257733394	0.134454514588162	0.275596624101792	0.150757492049504	0.0298211497880449	0.0287547716895663	0.0422253085986951	0.0907864094672421	0.0422253085986951
"Oropsylla_ilovaiskii"	0.868531754569313	0.727721793587265	0.360103659731984	0.562601924041335	0.549622783806237	0.499655146779974	0.213892314763244	0.251172855540407	0.246285508982455	0.136444506957914	0.32080985650303	0.362209852970869	0.360826019821913	0.112944352985035	0.296867087240403	0.165699108531016	0.231141319939711	0.185962551088805	1.33834929088805	0.179002965661574	0.0800182798449027	0.307229038350287	0.276529024284756	0.308194304011072	0.197169634414958	0.122213424148003	0.306516097694838	0.169956379911974	0.0307000140655306	0.0721822177131816	0.0390839289556191	0.0812790732587192	0.0390839289556191
"Citellophilus_tesquorum"	0.983858177302928	0.836952176902664	0.473084026876718	0.430887377716619	0.647915257135571	0.367845562527687	0.210428350550377	0.247475527878728	0.253318581138349	0.140603708657916	0.144473358575602	0.376700750827283	0.376772332692757	0.109159703168023	0.312384518676276	0.194884313821559	0.221162645902126	0.187802515701354	0.313255189907755	1.21532603027201	0.0913521779294066	0.304804449383161	0.27316861493513	0.305738146795775	0.176869931920009	0.123668731258153	0.273358567285894	0.177469526867991	0.0316358344480312	0.0325065056795105	0.0442736179786318	0.0765901713073782	0.0442736179786318
"Ctenophthalmus_dolichus"	1.24636611515926	1.06846100657413	0.222770519809977	0.443655112723686	0.404572313265455	0.359745920620868	0.214502254065306	0.247133365700534	0.257418435034481	0.131291029917503	0.140926032391964	0.345401906087551	0.342767049709193	0.122457264569448	0.277896103900406	0.182699640706463	0.246709618920903	0.214733534299038	0.280063979457159	0.182704355858813	1.11618740680196	0.308430153914488	0.27888967218305	0.311986328116055	0.180997135175509	0.149461540256238	0.277323896016965	0.181665910743195	0.0295404817314382	0.0317083572881919	0.0560864751821667	0.0893606086364431	0.0560864751821667
"Mesopsylla_hebes"	0.837907451086669	0.700474723195056	0.215763983980385	0.560381326833008	0.524701083083232	0.493450115289726	0.343939548511411	0.38275580650449	0.2530732878349	0.291132227938193	0.133262551006087	0.372181721843336	0.386095540852718	0.112272428961577	0.304346085866225	0.142010130225881	0.245296103353666	0.203265064418011	0.268825408556501	0.152402224691581	0.077107538478622	1.37278388138217	0.307279130096077	0.339817124246278	0.150021701070892	0.119136137991098	0.295234604559971	0.164448137470598	0.0655047512860935	0.0299840739763696	0.0377058352989001	0.0797344348113758	0.0377058352989001
"Mesopsylla_tuschkan"	0.865815034981442	0.723930433897004	0.213518702316465	0.579450108068056	0.542492897994198	0.510544067853501	0.364887091746601	0.401135438715174	0.257658521075667	0.139521147809118	0.13788866080593	0.384939219909949	0.36159841440501	0.115547958817569	0.276896333860474	0.144838092966641	0.253792568237327	0.211002109486266	0.276529024284756	0.156096351391503	0.0796827634808714	0.351176148681231	1.31978389042418	0.352911414562479	0.155093494725367	0.123141521585976	0.307350081000409	0.170017512150848	0.0313922582570516	0.0310249486813342	0.0389616765741649	0.0824204346792691	0.0389616765741649
"Mesopsylla_lenis"	0.850489013909923	0.706214691610082	0.215741783935003	0.567150395505711	0.51958162396095	0.490807545045722	0.347812151797242	0.384291447928134	0.383146249797651	0.137865051129374	0.133742150643366	0.390420416020689	0.369268229755212	0.130069945977144	0.27059766861904	0.159619510307534	0.263376101882229	0.221966345149798	0.269670016009688	0.152869073397887	0.0779965820290137	0.339817124246278	0.308797487742169	1.35805914843044	0.150599789702394	0.120532861691942	0.296353191973998	0.164680484861752	0.0310196365041091	0.0300919838947573	0.0382720056259465	0.0808082852888749	0.0382720056259465
"Ctenophthalmus_breviatus"	0.973829566956642	0.829799770216984	0.219778906074493	0.41505893050247	0.652722014035436	0.364463649281812	0.213261804377265	0.245700784629372	0.231668606053077	0.127243494988409	0.463314578147198	0.334166415315962	0.330806931031765	0.10473771393613	0.26943086651545	0.153251367134324	0.215805780327118	0.183403221667425	0.345046860226177	0.176869931920009	0.0904985675877542	0.300043402141785	0.271413615769393	0.301199579404788	1.24814887609196	0.121627987375439	0.344529976064827	0.176704824444198	0.0286297863723921	0.10424578008312	0.0438223305130489	0.0749517503007341	0.0438223305130489
