"Discaria_nana"	"Azorella_monanthos"	"Phacelia_secunda"	"Senecio_looseri"	"Sisyrinchium_junceum"	"Adesmia_haemisphaerica"	"Jaborosa_laciniata"	"Astragalus_nivicola"	"Cerastium_arvense"	"Montiopsis_gilliesii"	"Oxalis_erythrorhiza"	"Perezia_pilifera"	"Senecio_tricephalus"	"Tarasa_humilis"	"Astragalus_cruckshanksii"	"Calandrinia_caespitosa"	"Epilobium_nivale"	"Hypochoeris_montana"	"Leuceria_candidissima"	"Loasa_incurva"	"Menonvillea_hookeri"	"Megachile_sp1_M_PL_022"	"Chilimelissa_sp1_M_PL_022"	"Geron_sp1_M_PL_022"	"Megachile_sp2_M_PL_022"	"Unidentified_sp2_M_PL_022"	"Unidentified_sp5_M_PL_022"	"Anthidium_chubuti"	"Thysanoptera_sp1_M_PL_022"	"Astylus_sp1_M_PL_022"	"Chironomidae_sp1_M_PL_022"	"Chlorobrachycoma_versicolor"	"Hypodinerus_sp1_M_PL_022"	"Ichneumonidae_sp1_M_PL_022"	"Liphantus_sp1_M_PL_022"	"Liphantus_sp2_M_PL_022"	"Microcerella_rusca"	"Mosillus_sp1_M_PL_022"	"Spinoliella_sp1_M_PL_022"	"Thyridanthrax_sp2_M_PL_022"	"Tropidia_notata"	"Unidentified_sp1_M_PL_022"	"Agrotis_ipsilon"	"Alloscirtetica_antarctica"	"Alloscirtetica_sp1_M_PL_022"	"Calliphoridae_sp1_M_PL_022"	"Chilimelissa_farellones"	"Coccinela_anchoralis"	"Dasybaris_chillan"	"Dolichogyna_sp1_M_PL_022"	"Hypodinerus_sp2_M_PL_022"	"Issoria_lathonioides"	"Peridroma_saucia"	"Phulia_sp1_M_PL_022"	"Phulia_sp2_M_PL_022"	"Podagritus_sp1_M_PL_022"	"Pseudoleucania_nobilis"	"Pseudoleucania_sp1_M_PL_022"	"Pyrgus_fides"	"Tamseuxoa_ingoufii"	"Thyridanthrax_sp1_M_PL_022"	"Thyridanthrax_sp3_M_PL_022"	"Thyridanthrax_sp4_M_PL_022"	"Unidentified_sp3_M_PL_022"	"Unidentified_sp4_M_PL_022"	"Unidentified_sp6_M_PL_022"
"Oxalis_erythrorhiza"	0.388096187533592	0.0832449419712797	0.054139957938468	0.0578966056159986	0.0593967296653385	0.0524229725562297	0.027777977357718	0.148528900622657	0.0190693304156633	0.521870723465039	2.12596735750566	0.521870723465039	0.0104126896864479	0.0211693565738697	0.0129745409885812	0.0125793482153745	0.402423845077265	0.723543512428398	0.00673828445783252	0.0075393059629817	0.00549460323341152	0.100913096577853	1.78855042256562	0.530875015056771	0.0715888055391189	0.035997094014445	0.0324849902411373	0.0251310198766057	0.0183153441113717	1.60787447206311	0.0247536874422098	0.0228760643992856	0.0279541071452767	0.0109290810067475	0.01497396546185	0.0112434065722352	0.0228760643992856	0.0112434065722352	0.0182107013006411	0.0228760643992856	0.0252138924384881	0.0112434065722352	0.0166326937514396	0.00890950944980078	0.00890950944980077	0.00858119868704848	0.00812099369077019	0.00624337064784598	0.0166326937514396	0.0166326937514397	0.0166326937514397	0.0166326937514396	0.0166326937514396	0.0166326937514397	0.00943613506012134	0.00624337064784598	0.0166326937514397	0.0166326937514397	0.0086844908423998	0.0166326937514396	0.0166326937514396	0.0166326937514397	0.00624337064784598	0.0166326937514396	0.00500003592438924	0.00812099369077019
"Perezia_pilifera"	0.814200757786522	0.174642516499971	0.11358213812965	0.121463342542455	0.124610505995692	0.109980013593949	0.0582764039970716	0.311604049008337	0.0400062246774087	0.594851101764706	0.521870723465038	1.59485110176471	0.0218451510363471	0.0444119440436552	0.0272197497531993	0.0263906608166099	0.344259258756349	0.17761146470869	0.0141364859743012	0.0158169774025745	0.0115273230196128	0.211709164747106	1.53004115002822	1.11374152448159	0.150188694430134	0.0755195803672692	0.0681514132852244	0.0527232580085818	0.0384244100653759	0.394692143797088	0.0519316389102985	0.0479925069283487	0.0586459129257999	0.022928506703854	0.0314144132762249	0.0235879414569707	0.0479925069283488	0.0235879414569707	0.0382048762010131	0.0479925069283487	0.0528971192956849	0.0235879414569707	0.034894318190851	0.0186915758993538	0.0186915758993538	0.0180028011048339	0.0170373207194475	0.0130981887374978	0.034894318190851	0.034894318190851	0.034894318190851	0.034894318190851	0.0348943181908509	0.034894318190851	0.0197964024469109	0.0130981887374978	0.034894318190851	0.034894318190851	0.0182195013813683	0.034894318190851	0.034894318190851	0.034894318190851	0.0130981887374978	0.034894318190851	0.0104897527194729	0.0170373207194475
"Senecio_tricephalus"	0.437937353136257	0.924804936217503	0.200856681856262	0.644567867356661	0.166540198487916	0.184100678289577	0.216852053087746	0.0937728220500357	0.021518304885676	0.0218451510363471	0.0104126896864479	0.0218451510363471	1.7482874392511	0.101748259571409	0.0376359059616244	0.0141948481808871	0.00686887512929547	0.00354381455715244	0.0188932157948477	0.0238845829583471	0.363047066205408	0.292723713034857	0.0305283339079799	0.0665612262535627	0.182936178583821	0.157290985756386	0.229312174690375	0.0796152765278238	1.21015688735136	0.00787514346033875	0.0488972459842789	0.0881291139221523	0.0315441070686379	0.856089717879305	0.0419849239885503	0.108393739772107	0.0881291139221523	0.108393739772107	0.142471896910633	0.0881291139221523	0.0284519809043938	0.108393739772107	0.0187687437058396	0.0249810297731875	0.0249810297731874	0.00968323719855417	0.0301285022784392	0.0693603702163127	0.0187687437058396	0.0187687437058396	0.0187687437058396	0.0187687437058396	0.0187687437058396	0.0187687437058396	0.0331381220921239	0.0693603702163127	0.0187687437058396	0.0187687437058396	0.0966851801034991	0.0187687437058396	0.0187687437058396	0.0187687437058396	0.0693603702163127	0.0187687437058396	0.0390333695557943	0.0301285022784393
"Tarasa_humilis"	0.29697225563379	0.261754691034329	0.387084008255068	0.867784372744149	0.500884619348915	0.445882940868273	0.0844860580586247	0.275410440736314	0.0145919033705411	0.0444119440436552	0.0211693565738697	0.0444119440436552	0.101748259571409	1.5306552465248	0.162122113943297	0.00962575138308804	0.0139646595886451	0.00720469698522455	0.0568230450521879	0.0638595707912164	0.0723100161857904	1.26094977511453	0.0620651537273116	0.135321264244489	0.368182410391143	0.105629075900693	0.288120788333746	0.212865235970721	0.241033387285968	0.0160104377449435	0.0707899836225656	0.03235898421188	0.0213905586290846	0.0654183186347089	0.126273433449306	0.0348390922781271	0.03235898421188	0.0348390922781271	0.818962516847781	0.03235898421188	0.0192937389010488	0.0348390922781271	0.0127273823843053	0.0751326929023373	0.0751326929023372	0.0065663565167435	0.0580626012382602	0.0196316018275747	0.0127273823843053	0.0127273823843053	0.0127273823843053	0.0127273823843053	0.0127273823843053	0.0127273823843053	0.0802589293562892	0.0196316018275747	0.0127273823843053	0.0127273823843053	0.130167655911622	0.0127273823843053	0.0127273823843053	0.0127273823843053	0.0196316018275747	0.0127273823843053	0.0152074904505524	0.0580626012382603
"Astragalus_cruckshanksii"	0.342194333481836	0.261191980992798	0.473849209914956	0.604990112557083	0.617165702455648	0.528319508599672	0.0904336242782048	0.340712563837951	0.0168139162948309	0.0544394995063986	0.0259490819771623	0.0544394995063986	0.0752718119232488	0.324244227886593	1.21774793914196	0.0110915330180187	0.0171176717244306	0.00883141025273171	0.0700145964970693	0.0771256302395705	0.051214040650284	1.69359508221521	0.0760785409974693	0.16587479014208	0.380634652951236	0.121610303866716	0.276512808493207	0.257085434131902	0.17071346883428	0.0196253561171816	0.0857428529221794	0.0342548700093957	0.0246478511511527	0.0534617139399218	0.155587992215709	0.0358674509445367	0.0342548700093957	0.0358674509445367	0.236658419432529	0.0342548700093957	0.0222317337676098	0.0358674509445367	0.0146654714349358	0.0925748553683472	0.0925748553683471	0.0075662623326739	0.0710773814872435	0.0195893985744598	0.0146654714349358	0.0146654714349359	0.0146654714349359	0.0146654714349358	0.0146654714349358	0.0146654714349359	0.0950975115479409	0.0195893985744598	0.0146654714349359	0.0146654714349359	0.0907485168835625	0.0146654714349358	0.0146654714349358	0.0146654714349359	0.0195893985744598	0.0146654714349358	0.0162780523700769	0.0710773814872435
"Calandrinia_caespitosa"	2.24608767318532	0.399964911695797	0.166829321089938	0.0631339324149144	0.0442454365846698	0.0524017506114719	0.134418480331307	0.0568610148151501	0.110362815606922	0.0527813216332199	0.0251586964307491	0.0527813216332199	0.0283896963617742	0.0192515027661761	0.0110915330180187	1.75347463046339	0.0165962829396118	0.00856241349113728	0.00501944028481548	0.00660375230045153	0.00914196707878173	0.0862674790290344	0.0737612575093856	0.160822394193814	0.0425975249045476	0.175477993279682	0.0739241715129776	0.0220125076681718	0.0304732235959391	0.0190275855358606	0.121285298442862	0.126258268656556	1.67438806769642	0.0427727317399832	0.0111543117440344	0.0541926948368201	0.126258268656556	0.0541926948368201	0.0181332661070164	0.126258268656556	0.145924167302486	0.0541926948368202	0.0962609002793711	0.00663681548770047	0.00663681548770047	0.049663267023115	0.0250243981634907	0.0299973683771848	0.0962609002793711	0.0962609002793711	0.0962609002793711	0.0962609002793711	0.096260900279371	0.0962609002793711	0.00943231511006493	0.0299973683771848	0.0962609002793711	0.0962609002793711	0.00947008986223717	0.0962609002793711	0.0962609002793711	0.0962609002793711	0.0299973683771848	0.0962609002793711	0.0241953264596354	0.0250243981634907
"Epilobium_nivale"	0.512026062544318	0.10982736041589	0.0714283478683989	0.0763845973253091	0.0783637525836819	0.0691630814397316	0.0366482558416952	0.195958297460143	0.025158696430749	0.688518517512698	0.804847690154529	0.688518517512698	0.0137377502585909	0.0279293191772902	0.0171176717244306	0.0165962829396117	1.53092893846328	0.273918751691248	0.00889000554520761	0.00994681543015232	0.00724918241718998	0.133137446745571	2.35968417094792	0.700398129108513	0.0944490963835433	0.0474919643719989	0.0428583484693996	0.0331560514338411	0.0241639413906333	0.608708337091662	0.0326582262893021	0.030181026140234	0.0368806287546928	0.0144190396475577	0.0197555678782391	0.0148337380826969	0.030181026140234	0.0148337380826969	0.024025883228577	0.030181026140234	0.0332653875028793	0.0148337380826969	0.0219439741090422	0.0117545628875523	0.0117545628875523	0.0113214133938371	0.0107142521802598	0.00823705203119175	0.0219439741090422	0.0219439741090422	0.0219439741090422	0.0219439741090422	0.0219439741090422	0.0219439741090422	0.0124493546591517	0.00823705203119175	0.0219439741090422	0.0219439741090422	0.0114576895987964	0.0219439741090422	0.0219439741090422	0.0219439741090422	0.00823705203119175	0.0219439741090422	0.00659668605150513	0.0107142521802598
"Hypochoeris_montana"	0.264166312522865	0.0566625235266694	0.036851568008537	0.0394086139066882	0.0404297067469951	0.0356828636727278	0.0189076988737408	0.10109950378517	0.0129799644005775	0.355222929417379	1.44708702485679	0.355222929417379	0.00708762911430488	0.0144093939704491	0.00883141025273171	0.00856241349113728	0.273918751691248	2.17316827316555	0.00458656337045743	0.00513179649581107	0.00374002404963305	0.0686887464101355	1.21741667418332	0.361351901005029	0.0487285146946944	0.0245022236568912	0.022111632012875	0.0171059883193702	0.0124667468321102	2.60704060703455	0.0168491485951176	0.0155711026583373	0.0190275855358606	0.0074391223659374	0.010192363045461	0.00765307506177355	0.0155711026583373	0.00765307506177355	0.0123955193727053	0.0155711026583373	0.017162397374097	0.00765307506177356	0.0113214133938371	0.00606445601204927	0.00606445601204926	0.00584098398025989	0.00552773520128055	0.0042496892645002	0.0113214133938371	0.0113214133938371	0.0113214133938371	0.0113214133938371	0.0113214133938371	0.0113214133938371	0.00642291546109099	0.0042496892645002	0.0113214133938371	0.0113214133938371	0.00591129208600322	0.0113214133938371	0.0113214133938371	0.0113214133938371	0.0042496892645002	0.0113214133938371	0.00340338579727335	0.00552773520128055
"Leuceria_candidissima"	0.154859028046344	0.127923178299007	0.178520316049843	0.305454227572894	1.56730473953629	0.381378754332331	0.040810224685275	0.180213423689929	0.00760908782029353	0.0282729719486024	0.013476568915665	0.0282729719486024	0.0377864315896953	0.113646090104376	0.0700145964970693	0.00501944028481548	0.00889000554520762	0.00458656337045743	1.85847574776252	0.124826254812437	0.0258172719251905	0.544557972754983	0.0395111357564783	0.0861465173484212	0.403626047953176	0.050354941710952	0.150838595695656	0.416087516041456	0.0860575730839685	0.010192363045461	0.033414862895177	0.016231053860126	0.0111543117440344	0.0265981325877884	1.90772388391671	0.016940078815775	0.016231053860126	0.016940078815775	0.0969588746829031	0.016231053860126	0.0100609050068326	0.016940078815775	0.00663681548770047	0.235095710930443	0.235095710930443	0.00342408951913209	0.0267780474074765	0.00959423837242549	0.00663681548770047	0.00663681548770047	0.00663681548770047	0.00663681548770047	0.00663681548770047	0.00663681548770047	0.0686481757798195	0.0095942383724255	0.00663681548770047	0.00663681548770047	0.0458181341359341	0.00663681548770047	0.00663681548770047	0.00663681548770047	0.0095942383724255	0.00663681548770047	0.0073458404433495	0.0267780474074765
"Loasa_incurva"	0.203737987639857	0.197838795353343	0.23553946200199	0.36637607662844	1.10032032019852	0.880326969320182	0.0600248527557532	0.197283662482514	0.0100107837420858	0.031633954805149	0.0150786119259634	0.031633954805149	0.0477691659166943	0.127719141582433	0.0771256302395705	0.00660375230045154	0.00994681543015232	0.00513179649581107	0.124826254812437	1.50281105582496	0.0314188504753884	0.599866012974437	0.0442080685784548	0.0963872861110966	0.437648412746431	0.0697049304895429	0.263584094923698	1.67603685274988	0.104729501584628	0.0114039922129135	0.0440625473420066	0.0235695376932089	0.0146750051121145	0.0363340343140131	0.277391677360971	0.0256423831475363	0.0235695376932089	0.0256423831475363	0.112430025206361	0.0235695376932089	0.0132364807256467	0.0256423831475363	0.00873162804170814	0.165048048029778	0.165048048029778	0.0045048526839386	0.0353309193002985	0.0148379096515007	0.00873162804170815	0.00873162804170815	0.00873162804170815	0.00873162804170815	0.00873162804170814	0.00873162804170815	0.158458854477633	0.0148379096515007	0.00873162804170815	0.00873162804170815	0.0549564114942659	0.00873162804170815	0.00873162804170815	0.00873162804170815	0.0148379096515007	0.00873162804170815	0.0108044734960356	0.0353309193002985
