"Claytonia_virginica"	"Erythronium_umbilicatum"	"Stellaria_pubera"	"Thalictrum_thalictroides"	"Cardamine_angustata_angustata"	"Hepatica_americana"	"Sangiunaria_canadensis"	"Tiarella_cordifolia_collina"	"Aesculus_sylvatica"	"Viola_papilionacea"	"Uvularia_sessilifolia"	"Podophyllum_peltatum"	"Trillium_catesbei"	"Bombylius_major"	"Andrena_erigeniae"	"Andrena_nigrihirta"	"Andrena_tridens"	"Apis_mellifera"	"Nomada_sp1_M_PL_025"	"Bombus_bimaculatus"	"Gonia_sp1_M_PL_025"	"Halictid_sp1_M_PL_025"	"Dialictus_abanci"	"Hylema_platura"	"Osmia_conjucta"	"Nomada_perplexa"	"Andrena_carlini"	"Platycheirus_obscurus"	"Osmia_sp1_M_PL_025"	"Nomada_pygmaea"	"Andrena_nasonii"	"Evylaeus_macoupinensis"	"Osmia_lignaria"	"Augochlora_pura"	"Toxomerous_geminatus"	"Ceratina_calcarata"	"Dialictus_cressonii"	"Euchlo_creusa_lotta"	"Xylocopa_virginica_virginica"	"Osmia_atriventris"	"Andrena_violae"	"Bombus_pennsylvanicus"	"Ephemoropsis_laboriosa"	"Nomada_luteola"	"Andrena_arabis"	"Andrena_ziziaeformis"	"Augochorella_striata"	"Lycaenopsis_argiolus"	"Unidentified_sp1_M_PL_025"	"Andrena_ceanothi"	"Andrena_dunningi"	"Andrena_imatrix"	"Andrena_personata"	"Lassioglossum_fuscipenne"	"Nomada_bishopii"	"Nomada_sayi"	"Osmia_simillima"
"Platycheirus_obscurus"	0.125	0	0.125	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Osmia_sp1_M_PL_025"	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nomada_pygmaea"	0.166666666666667	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_nasonii"	0.166666666666667	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Evylaeus_macoupinensis"	0.1	0	0	0.1	0	0.1	0	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Osmia_lignaria"	0.166666666666667	0.166666666666667	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Augochlora_pura"	0.125	0.125	0.125	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Toxomerous_geminatus"	0.166666666666667	0	0.166666666666667	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratina_calcarata"	0.166666666666667	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dialictus_cressonii"	0.166666666666667	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Euchlo_creusa_lotta"	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_virginica_virginica"	0.0833333333333333	0.0833333333333333	0	0	0.0833333333333333	0	0.0833333333333333	0	0	0	0	0.0833333333333333	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Osmia_atriventris"	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_violae"	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombus_pennsylvanicus"	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ephemoropsis_laboriosa"	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nomada_luteola"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_arabis"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_ziziaeformis"	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
