"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"
"R11"	4.56949388587101e-07	8.59465030846813e-07	1.39392188808135e-06	0.000359529730575111	0.000279809645048026	0.000280375777487257	0.00028085138601187	1.71229417246189e-06	0.000639075023474883	0.000280871102316763	1.00162405653711	0.000988186966924233	2.66546746145172e-06	0.000360422346812464	0.000360951970453139	2.16758547924212e-06	2.08508073058123e-06	0.000720553648200859	0.000361729772630445	4.23489069164968e-06	0.000361849457939706	0.00100121464676599	0.000912895437815535	0.00127306099660366	8.59465030846813e-05	4.35916603704436e-05	0.025134701768952	5.43872197530148e-05	3.74626663990964e-05	0.0251316519365261	0.0251069185880985	4.91806761065828e-05	1.44293858971483e-05	3.27085813702935e-05	4.33564425658926e-05	6.07847214930333e-05	0.0250835283348118	1.42974115517464e-05	2.54568426636476e-05	1.85088481768626e-05	9.15379127133544e-06	1.84550056999456e-05	9.09043594786477e-06	9.13898777174202e-06	9.12895437815535e-06	9.12895437815535e-06	9.0932928328833e-06
"R12"	5.368046737519e-07	0.000251317836525103	1.01019372130678e-06	0.000252512651612905	1.14434115526456e-06	1.73564274399053e-06	1.93300634604677e-06	1.50330639007855e-06	0.000360449704371501	2.1439131433341e-06	0.000988186966924233	1.00173937956367	0.000253709856369777	0.000253305386483762	0.000361108280471548	0.000252830924853474	2.16358946794911e-06	0.000863744482267944	0.000254957079536731	0.000505593821422769	0.000255069797675289	0.00111649833933495	0.000884636790771317	0.00149553782107279	0.0251317836525103	5.33798709954696e-05	7.04556436080943e-05	4.55350797704654e-05	2.53050469511128e-05	0.0251311453923172	8.36370561461297e-05	4.26342911532987e-05	2.79238989956706e-05	3.0641176694292e-05	5.1519374794738e-05	0.025092620789864	0.0250877179441803	1.72493680050689e-05	2.46279225061106e-05	1.07907774518612e-05	1.79051818851309e-05	1.0746846552531e-05	1.53704534210331e-05	1.0736093475038e-05	8.84636790771318e-06	8.84636790771318e-06	1.06824130076628e-05
"R13"	1.02739882490756e-07	0.000251698812045628	7.93579320372276e-07	0.000252705283441364	9.58031905892929e-07	0.000280007737422658	1.36621259267016e-06	1.95481171633074e-06	1.67086613148412e-06	1.67325387586903e-06	2.66546746145172e-06	0.000253709856369777	1.00228757002492	0.000253757639696787	0.00125713730450405	0.00053224938797675	0.000280963562122328	0.000505200382425151	0.00103515689214275	0.000282733415283081	0.000534611893110621	0.00103701580803397	0.000759073826012744	0.000286233312619245	0.0251698812045627	0.0251342398862762	3.22031001380384e-05	2.89090333843773e-05	4.20153777495862e-05	6.30047401565919e-05	7.04529977015299e-05	5.41473276544595e-05	3.40512089625244e-05	4.51948582424045e-05	0.0251085498319748	3.54930241094964e-05	1.60446450174742e-05	1.80854629314455e-05	3.03383997645484e-05	1.14177938750066e-05	6.08357245132434e-06	2.09006408132171e-06	0.0250886176832355	2.05479764981511e-06	7.59073826012744e-06	7.59073826012744e-06	2.04452366156603e-06
"R14"	2.36414615092293e-09	0.000251726111556863	4.54939408499259e-07	0.00061071919403097	0.000359659529796425	1.37831261406825e-06	1.10096632959789e-06	0.000987603859143859	1.34164034366243e-06	1.6893675116407e-06	0.000360422346812464	0.000253305386483762	0.000253757639696787	1.00159754105726	2.17667151584217e-06	0.000612973518522798	0.00036169848846668	0.000361278179046668	0.00061304633605542	0.000631814310204195	0.0016002257134895	0.000614709659724235	0.000615797997673851	6.58651117647127e-06	0.0251726111556863	8.26348149497907e-05	4.10661086184599e-05	3.15757050521434e-05	0.0251442267790465	3.03988123009801e-05	0.0251295157731875	4.69197549081075e-05	5.63001327359074e-05	3.20244482267197e-05	3.96722820177529e-05	3.03150342151865e-05	2.15482198175475e-05	0.0251047449411224	1.84659532062503e-05	1.15737232630604e-07	9.07296522560614e-06	8.37453860566293e-08	6.39835778031573e-06	4.72829230184585e-08	6.15797997673851e-06	6.15797997673851e-06	4.70465084033662e-08
"R15"	4.62109848071758e-07	6.19859356062031e-07	9.50585228078767e-07	1.09746900381923e-06	1.20210719742076e-06	1.86874839787815e-06	0.000504211722923699	0.000419655184841582	0.000360327520401671	0.000420051690915724	0.000360951970453139	0.000361108280471547	0.00125713730450406	2.17667151584217e-06	1.0025342432737	2.18507393821825e-06	2.20560624852516e-06	0.000361874171868395	3.32583153441346e-06	0.000506298300210569	0.000505451349653905	0.000781988176723816	0.000424179055344401	0.00128743803672792	6.19859356062031e-05	6.50914124735318e-05	7.51785227816183e-05	4.48274166458265e-05	2.56753194337501e-05	0.0251196268270854	3.34326753430037e-05	0.0251145589397736	2.37593194079319e-05	0.0251038126916766	5.27490754431493e-05	4.24688614949832e-05	3.14892828031891e-05	2.84964893759175e-05	1.35042931607603e-05	9.30580685129452e-06	1.6428818836779e-05	2.60030434074179e-05	0.0250947845144551	9.24219696143516e-06	4.24179055344401e-06	4.24179055344401e-06	9.19598597662798e-06
"R16"	2.82712673879799e-07	0.000251509511207948	1.1599644561509e-06	0.00025244292800238	0.000359578836543539	0.000280346438107354	1.53257758055706e-06	0.000361040684243876	1.43929052018874e-06	1.68013370159645e-06	2.16758547924212e-06	0.000252830924853474	0.00053224938797675	0.000612973518522798	2.18507393821825e-06	1.00139191380954	0.00114106330073106	3.19734749493093e-06	0.000533262945650941	0.000785636730660564	0.00139504770448503	0.00053440342607754	0.000615427759133329	0.00078763750942912	0.0251509511207948	0.0251400994624634	4.59933820886584e-05	4.61301679562883e-05	0.0251347459275344	1.88475379435222e-05	6.53391756102713e-05	3.06056234074817e-05	0.0251001030447548	3.68843297658095e-05	3.68697609796387e-05	2.99141269739922e-05	1.81552225598592e-05	5.851166222566e-05	2.24455187145601e-05	1.50288617032607e-05	1.68493640767875e-05	5.6770681295599e-06	1.33608615478742e-05	5.65425347759598e-06	6.15427759133329e-06	6.15427759133329e-06	5.625982210208e-06
"R17"	2.83144305297378e-07	7.75449048720186e-07	0.000359817780584054	1.37410002417057e-06	0.000359734681881409	0.000281075069276522	1.80757147525382e-06	0.000360999442301629	0.000359880143893838	0.000360147225275098	2.08508073058123e-06	2.16358946794911e-06	0.000280963562122328	0.00036169848846668	2.20560624852517e-06	0.00114106330073106	1.00149900581128	0.000360993620680634	0.000281824921634567	0.00114389259525899	0.00114377448853997	0.000283701412280942	0.00072290298094634	0.000788840034558495	7.75449048720186e-05	0.0251298932819308	6.78790639147517e-05	0.0251102571716293	0.0251286329042094	2.85580734501799e-05	4.19055682815269e-05	4.05032315471637e-05	0.0251043172578156	3.84309225541245e-05	3.06557573623374e-05	3.27961242686551e-05	1.29698182398445e-05	5.37567352950398e-05	1.85000999175726e-05	3.29946296805046e-05	2.19758944648319e-05	5.69482405792628e-06	7.07922920927133e-06	5.66288610594756e-06	7.2290298094634e-06	7.2290298094634e-06	5.63457167541782e-06
"R18"	2.50074815619495e-07	9.1360814895316e-07	0.000287798624319034	0.000288122001448931	1.17405947910578e-06	2.20525796357846e-06	1.58408909155263e-06	1.66898992290443e-06	0.000575294847091796	0.000288725589876959	0.000576442918560687	0.000690995585814355	0.000404160305940121	0.000289022543237334	0.000289499337494716	2.55787799594475e-06	0.000288794896544507	1.00166497957074	0.000691360072469043	0.000691883453278971	0.000290825378106745	0.00138106826066422	0.000694974321692884	0.000696708436315913	9.1360814895316e-05	6.75670767405364e-05	7.25863540448283e-05	0.0201005438688261	2.57281103914267e-05	0.0201136393744537	0.0201045875309985	4.61068880700896e-05	2.62990057855638e-05	2.63054728291388e-05	0.0200814438969878	0.0200826983724818	4.36121946571328e-05	2.1319894169588e-05	2.57534334971377e-05	1.94399286455656e-05	1.48605381633847e-05	5.02929180054637e-06	1.73414910858709e-05	5.0014963123899e-06	6.94974321692885e-06	6.94974321692885e-06	4.97648883082795e-06
"R19"	3.22591309469343e-07	0.000201659630245045	9.74251684532846e-07	0.000489054109817394	1.27271980335017e-06	0.000224488198048052	1.25720053006897e-06	1.93871547211191e-06	1.71027321213412e-06	1.59934895933303e-06	0.000289383818104356	0.000203965663629385	0.000828125513714198	0.000490437068844336	2.66066522753077e-06	0.000426610356520753	0.000225459937307654	0.000691360072469043	1.00178297673896	0.00022710023419351	0.000715049202159624	0.00111708940552278	0.00127777499709737	0.000898739388181588	0.0201659630245045	0.0201139898321923	4.80943333995443e-05	3.56447722362288e-05	5.16836824793105e-05	4.66676488579584e-05	0.0201176135700644	3.33453867101848e-05	3.61806020663377e-05	1.99872680356514e-05	0.0200969312416114	4.25538167274974e-05	3.15310540727571e-05	2.57848282323664e-05	0.0200548568518086	1.39512195776016e-05	9.66385611834721e-06	6.46147374277555e-06	2.07696544735432e-05	6.45182618938686e-06	1.27777499709737e-05	1.27777499709737e-05	6.41956705843992e-06
"R20"	6.2648449720552e-07	5.82630434773055e-07	0.000206238902554972	1.20494529976048e-06	1.49494669081904e-06	0.000161402087468896	0.000288922496996489	0.000360604193261452	0.00020655158009795	0.000206618452084322	2.41993753808553e-06	0.000288910755098725	0.000161561951590332	0.000361036748688111	0.000289313314406039	0.000448935274663179	0.000653652911576563	0.000494202466627836	0.000162214452995364	1.00230248822153	0.00109571205365247	0.000450720671849635	0.000210208812191124	0.00174538580921458	5.82630434773055e-05	0.0143925891659117	4.91215376756698e-05	0.014371018714371	6.64406279429228e-05	4.93862520710699e-05	4.35620405491199e-05	4.63433923860983e-05	0.0143742917500816	0.0143635906281856	2.4903483702254e-05	0.0143538148426958	2.18523969322213e-05	0.0143553060624238	1.78134186762084e-05	2.8159056204435e-05	0.0143310740160877	2.20977913942728e-05	1.12718816499093e-05	1.25296899441104e-05	2.10208812191124e-06	2.10208812191124e-06	1.24670414943898e-05
"R21"	2.65830495792582e-07	0.000144153900650891	9.2577416540277e-07	0.000349518864009612	0.000206238850881566	0.000160822038994431	0.000288194392104162	0.000565585315560872	1.53426365662219e-06	1.76752717820063e-06	0.000206771118822689	0.000145754170100165	0.000305492510348926	0.000914414693422571	0.000288829342659375	0.000797170116848586	0.000653585422022841	0.00020773241293339	0.000510749430114017	0.00109571205365247	1.00164864162551	0.000512472064561222	0.000354074621035451	0.000740603761278134	0.0144153900650891	0.014396097190413	4.57951684627349e-05	3.984440776025e-05	0.0144011010973497	3.19355838433986e-05	0.0143755474351105	4.13691688747623e-05	0.0143664782536118	0.0143470365784434	3.19535966370411e-05	3.5147459522352e-05	1.76439052996983e-05	0.0143666325494614	1.90457616789072e-05	1.06970502076902e-05	2.09430562041649e-05	1.48965066030778e-05	1.48580463252075e-05	5.31660991585165e-06	3.54074621035451e-06	3.54074621035451e-06	5.29002686627239e-06
"R22"	3.32379031725085e-07	0.000126153551230826	1.33660837114997e-06	0.000306033594660276	0.000140522992107956	0.000280222440263781	0.000141098938963803	0.000210668978205015	0.000320519773045312	0.000350020696222446	0.000500607323382995	0.000558249169667476	0.000518507904016986	0.000307354829862117	0.000390994088361908	0.00026720171303877	0.000141850706140471	0.000863167662915139	0.000698180878451736	0.000394380587868431	0.000448413056491069	1.00147755478904	0.000731629457282855	0.000926007982386086	0.0126153551230826	0.0125836170604572	0.012588336799807	5.6178103276913e-05	4.56808254847761e-05	0.0125892773878228	0.0125916030400615	0.0125608645801905	2.88805624159459e-05	3.31324021109727e-05	0.0125699753978636	0.0125619373684925	4.04020496304195e-05	2.67460792251892e-05	2.78942548731925e-05	1.60219211586794e-05	1.22483511294496e-05	1.13176406967893e-05	2.27375498094724e-05	6.6475806345017e-06	7.31629457282856e-06	7.31629457282856e-06	6.61434273132919e-06
"R23"	3.13026071728385e-07	0.000101022151844703	0.000144586894230824	0.000101750137204506	0.000256240108712353	0.000113431388657028	0.000113124193823409	0.00031251882057397	0.000256971284110099	0.000424188498834366	0.000365158175126214	0.000353854716308527	0.000303629530405098	0.00024631919906954	0.000169671622137761	0.000246171103653331	0.000289161192378536	0.000347487160846442	0.000638887498548685	0.000147146168533787	0.000247852234724815	0.000585303565826284	1.00346413079355	0.000872090635835279	0.0101022151844703	5.67211896529546e-05	0.010100384959997	0.0100808568398935	0.0100809526409782	5.12780789268014e-05	5.09589751862048e-05	0.0100769855225361	2.52553605604573e-05	1.98846501738849e-05	0.0100692758339564	3.14437126467767e-05	0.0100588458490488	2.22181083281366e-05	0.0100536482767339	1.72396098275037e-05	8.33130694930609e-06	1.00000252881751e-05	1.18325288135715e-05	6.26052143456769e-06	0.0100346413079355	0.0100346413079355	6.22921882739485e-06
"R24"	0.000360111146725689	4.304088612131e-07	0.000240493429220368	8.94487278242646e-07	8.08620269791411e-05	0.000400402836619201	0.00058395702042774	0.000120970533762784	0.00018423620375518	0.000201177713745609	0.000363731713315332	0.000427296520306513	8.17809464626414e-05	1.88186033613465e-06	0.000367839439065119	0.00022503928840832	0.000225382867016713	0.000248824441541397	0.000320978352921996	0.000872692904607288	0.000370301880639067	0.000529147418506335	0.000622921882739485	1.00326965477777	4.304088612131e-05	0.00722365463675947	0.00723785090140002	5.41791228724085e-05	3.09022985620796e-05	0.00721291555001238	3.24854891920682e-05	0.0071989896422935	0.00719522944208749	0.00721263010819275	2.62841411095579e-05	0.00720095210590541	0.00719221674450915	2.18364659944917e-05	0.00717886060572704	0.00719158325252286	0.00717867886133559	0.00718567705385546	1.1240509638194e-05	0.00720222293451377	6.22921882739485e-06	6.22921882739485e-06	0.0071662118198412
"C1"	2.16285859906081e-08	0.0100308474568505	1.51679130744422e-06	0.0100483886811494	1.32831506145038e-05	1.34512906456537e-05	5.50944528683996e-06	2.44775159548868e-05	9.48160085985218e-06	7.86603879652273e-06	3.43786012338726e-05	0.0100527134610041	0.0100679524818251	0.0100690444622745	2.47943742424812e-05	0.0100603804483179	3.10179619488074e-05	4.5680407447658e-05	0.0100829815122523	4.07841304341138e-05	0.0100907730455624	0.0100922840984661	0.0101022151844703	6.0257240569834e-05	1.00308474568505	0.0009774122700799	0.00023034001368461	0.000103947933697734	0.000750667199038346	0.000380610782515	0.00122788570092089	0.000229304089784518	0.000397451900203545	0.000145970447479167	0.000681447753515155	0.000379398035200869	0.000353629862261866	0.000397278559841023	0.000303112190950961	9.54624781440434e-07	1.01303929598615e-06	6.14057037441099e-07	0.00025231867140169	4.32571719812161e-07	0.000101022151844703	0.000101022151844703	4.304088612131e-07
