"Sideroxylon_puberulum"	"Psiadia_terebinthina"	"Psidium_cattleianum"	"Helichrysum_proteoides"	"Stillingia_lineata"	"Grangeria_borbonica"	"Antidesma_madagascariense"	"Labourdonnaisia_callophylloides"	"Olea_lancea"	"Euodia_obtusifolia"	"Warneckea_trinervis"	"Homalanthus_populifolius"	"Phyllanthus_phillyreifolius"	"Wikstroemia_indica"	"Badula_platiphylla"	"Eugenia_orbiculata"	"Euodia_chapelieri"	"Gaertnera_sp1_M_PL_078"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_078"	"Villa_unifasciata"	"Pachycerina_crinicornis"	"Musca_domestica"	"Chrysomya_megacephala"	"Technomyrmex_albipes"	"Cerambycidae_sp1_M_PL_078"	"Stomorhina_lunata"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_078"	"Pelecophora_intemipta"	"Scolia_carniflex"
"Villa_unifasciata"	1.81515444025258e-05	0.0168972391659638	0.0167796127466656	2.13268733581943e-05	2.11451228201419e-05	4.08513468906155e-05	0.0168157621901024	3.93282821937876e-05	0.0167721015044322	1.05735964347525e-05	1.80848386681613e-05	1.05735964347525e-05	1.05735964347525e-05	1.05735964347525e-05	1.05735964347525e-05	0.0167615279079975	1.05735964347525e-05	0.0167615279079975	0.00108509032008968	0.0012688315721703	1.00569167447985	0.000422861055415575	1.44782113942927e-06	1.33411468729017e-06	0.0006617831856949	0.00024138913094234	0.000242410414614606	4.26537467163885e-07	0.00024138913094234	9.83207054844691e-07	0.00024138913094234
"Pachycerina_crinicornis"	3.58840148530674e-05	5.29718834813225e-05	2.11641374207916e-05	0.0252016937805325	0.0251007206939216	6.12811612972639e-05	0.0251427585054985	0.0251742489272752	3.58673429038458e-05	2.52958165184564e-05	1.05926110354023e-05	2.52958165184564e-05	2.52958165184564e-05	2.52958165184564e-05	2.52958165184564e-05	1.05715263853894e-05	2.52958165184564e-05	1.05715263853894e-05	0.000635556662124135	0.00303549798221477	0.000634291583123363	1.00301699509613	0.000505565904643082	0.000505828076353303	0.000629325703830053	7.56741192590321e-07	2.28877022502192e-06	0.00050403387561065	7.56741192590321e-07	0.00062935622318188	7.56741192590321e-07
"Musca_domestica"	7.1570523021577e-05	8.4463735761502e-05	2.11555361069556e-05	0.0503084516640389	4.42689528977458e-05	0.0502159825419744	4.44572467529881e-05	6.55158876668972e-05	1.90630487225632e-05	1.89906576655917e-05	2.10831450499842e-05	1.89906576655917e-05	1.89906576655917e-05	1.89906576655917e-05	1.89906576655917e-05	7.23910569714637e-08	1.89906576655917e-05	7.23910569714637e-08	0.00126498870299905	0.00227887891987101	4.34346341828782e-06	0.00101113180928616	1.00226156859683	0.00100974755943186	2.31805596541759e-06	1.20662479659289e-06	0.00125660618834595	0.00100616903328078	1.20662479659289e-06	1.63789719167243e-06	1.20662479659289e-06
"Chrysomya_megacephala"	0.0502179431512151	4.25159279077649e-05	4.21040951165171e-05	0.0503609039549534	3.37890072389145e-05	0.000101179213311568	3.39284921083486e-05	7.60164377153555e-05	8.56430915561389e-06	8.49760342124938e-06	4.20373893821526e-05	8.49760342124938e-06	8.49760342124938e-06	8.49760342124938e-06	8.49760342124938e-06	6.67057343645087e-08	8.49760342124938e-06	6.67057343645087e-08	0.00252224336292915	0.00101971241054993	4.00234406187052e-06	0.00101165615270661	0.00100974755943186	1.00351811523666	1.45558270139107e-06	6.07370398682356e-07	3.13685073147157e-06	0.00100721807909907	6.07370398682356e-07	1.90041094288389e-06	6.07370398682356e-07
"Technomyrmex_albipes"	1.21869860423641e-05	0.0503959712382606	4.52033661920395e-05	4.23116699636433e-05	4.20383646903756e-05	5.88729026457889e-05	0.0501738419487241	5.42882923284914e-05	4.36612387836179e-05	1.0572079498873e-05	1.21142069072945e-05	1.0572079498873e-05	1.0572079498873e-05	1.0572079498873e-05	1.0572079498873e-05	3.3089159284745e-05	1.0572079498873e-05	3.3089159284745e-05	0.000726852414437672	0.00126864953986476	0.0019853495570847	0.00125865140766011	2.31805596541759e-06	1.45558270139107e-06	1.00197428849498	0.000719942446260866	0.000721414268827011	8.46233399272867e-07	0.000719942446260866	1.35720730821229e-06	0.000719942446260866
"Cerambycidae_sp1_M_PL_078"	2.4169478949184e-05	0.100623479647002	4.82476550035498e-05	3.13342495275668e-07	1.31316290757593e-07	9.62793097312103e-05	9.62644740110782e-05	2.43008102256374e-05	2.41945552657326e-05	5.56421714985609e-08	2.41087419093157e-05	5.56421714985609e-08	5.56421714985609e-08	5.56421714985609e-08	5.56421714985609e-08	2.4138913094234e-05	5.56421714985609e-08	2.4138913094234e-05	0.00144652451455894	6.67706057982731e-06	0.00144833478565404	3.02696477036128e-06	2.41324959318577e-06	1.21474079736471e-06	0.00143988489252173	1.00143747828067	0.00143988526341473	6.26684990551337e-09	0.00143747828067145	6.07520255640935e-07	0.00143747828067145
"Stomorhina_lunata"	3.3213406385939e-05	0.0503959842195157	4.51770845800957e-05	7.38090206087307e-05	1.0674250613642e-05	0.0502052003173511	5.88654847857228e-05	4.38404155017619e-05	2.26803328331212e-05	1.05598121023909e-05	3.30565638493655e-05	1.05598121023909e-05	1.05598121023909e-05	1.05598121023909e-05	1.05598121023909e-05	1.21205207307303e-05	1.05598121023909e-05	1.21205207307303e-05	0.00198339383096193	0.00126717745228691	0.000727231243843818	4.57754045004383e-06	0.00125660618834595	3.13685073147156e-06	0.000721414268827011	0.000719942631707367	1.00197507263964	1.47618041217461e-06	0.000719942631707367	1.09601038754405e-06	0.000719942631707367
"Dysauxes_florida"	0.00010088371222046	4.38679493385936e-07	2.04558057269534e-07	0.100469598629356	6.73207208589651e-05	0.000117843758977749	6.74479979456088e-05	6.7651754555908e-05	1.69599870446165e-05	1.69173332979001e-05	1.61904310553145e-07	1.69173332979001e-05	1.69173332979001e-05	1.69173332979001e-05	1.69173332979001e-05	4.26537467163885e-08	1.69173332979001e-05	4.26537467163885e-08	9.71425863318872e-06	0.00203007999574801	2.55922480298331e-06	0.0020161355024426	0.00201233806656156	0.00201443615819814	1.69246679854573e-06	6.26684990551337e-09	2.95236082434923e-06	1.00200939197259	6.26684990551337e-09	1.6912938638977e-06	6.26684990551337e-09
"Lygaeidae_sp1_M_PL_078"	2.4169478949184e-05	0.100623479647002	4.82476550035498e-05	3.13342495275668e-07	1.31316290757593e-07	9.62793097312103e-05	9.62644740110782e-05	2.43008102256374e-05	2.41945552657326e-05	5.56421714985609e-08	2.41087419093157e-05	5.56421714985609e-08	5.56421714985609e-08	5.56421714985609e-08	5.56421714985609e-08	2.4138913094234e-05	5.56421714985609e-08	2.4138913094234e-05	0.00144652451455894	6.67706057982731e-06	0.00144833478565404	3.02696477036128e-06	2.41324959318577e-06	1.21474079736471e-06	0.00143988489252173	0.00143747828067145	0.00143988526341473	6.26684990551337e-09	1.00143747828067	6.07520255640935e-07	0.00143747828067145
"Pelecophora_intemipta"	4.21905604374015e-05	4.25264178948655e-05	4.20988400485976e-05	8.4564693194885e-05	8.40417329950396e-05	6.33800207778864e-05	8.42757744313453e-05	0.100376984714123	2.12044313823361e-05	2.11061106768516e-05	4.20005193431131e-05	2.11061106768516e-05	2.11061106768516e-05	2.11061106768516e-05	2.11061106768516e-05	9.83207054844691e-08	2.11061106768516e-05	9.83207054844691e-08	0.00252003116058679	0.0025327332812222	5.89924232906815e-06	0.00251742489272752	3.27579438334486e-06	3.80082188576778e-06	2.71441461642457e-06	6.07520255640935e-07	2.1920207750881e-06	1.6912938638977e-06	6.07520255640935e-07	1.00250942461785	6.07520255640936e-07
"Scolia_carniflex"	2.4169478949184e-05	0.100623479647002	4.82476550035498e-05	3.13342495275669e-07	1.31316290757593e-07	9.62793097312103e-05	9.62644740110782e-05	2.43008102256374e-05	2.41945552657326e-05	5.56421714985609e-08	2.41087419093157e-05	5.56421714985609e-08	5.56421714985609e-08	5.56421714985609e-08	5.56421714985609e-08	2.4138913094234e-05	5.56421714985609e-08	2.4138913094234e-05	0.00144652451455894	6.67706057982731e-06	0.00144833478565404	3.02696477036128e-06	2.41324959318577e-06	1.21474079736471e-06	0.00143988489252173	0.00143747828067145	0.00143988526341473	6.26684990551337e-09	0.00143747828067145	6.07520255640935e-07	1.00143747828067
