"Brachypodium_sylvaticum"	"Dactylis_glomerata"	"Phalaris_arundinacea"	"Calamagrostis_epigejos"	"Calamagrostis_canescens"	"Elymus_repens"	"Agrostis_capillaris"	"Corynephorus_canescens"	"Holcus_lanatus"	"Phragmites_australis"	"Tetramesa_fulvicollis"	"Tetramesa_sp._4"	"Tetramesa_longula"	"Tetramesa_longicornis"	"Eurytoma_sp."	"Tetramesa_eximia"	"Tetramesa_calamagrostidis"	"Tetramesa_sp._2"	"Tetramesa_sp._1"	"Tetramesa_linearis"	"Tetramesa_hyallpennis"	"Tetramesa_sp._3"	"Tetramesa_agrostidis"	"Tetramesa_schmidti"	"Tetramesa_sp."	"Tetramesa_phragmitis"
"Tetramesa_fulvicollis"	0.101010101010101	0	0	0	0	0	0	0	0	0	1.0050505050505	0.00505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_sp._4"	0.101010101010101	0	0	0	0	0	0	0	0	0	0.00505050505050505	1.0050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_longula"	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_longicornis"	0	0	0.100615781240234	0.000112986690167898	0.000281333079698997	0	0	0	0	0	0	0	0	1.00335385937467	3.76622300559661e-06	3.76622300559661e-06	0.00336700336700337	0.00336323714399777	9.37776932329991e-06	0	0	0	0	0	0	0
"Eurytoma_sp."	0	0	0.000112986690167898	0.100784127629765	0.000112986690167898	0	0	0	0	0	0	0	0	3.76622300559661e-06	1.00335947092099	0.00335947092099217	0.00336700336700337	7.53244601119322e-06	3.76622300559661e-06	0	0	0	0	0	0	0
"Tetramesa_eximia"	0	0	0.000112986690167898	0.100784127629765	0.000112986690167898	0	0	0	0	0	0	0	0	3.76622300559661e-06	0.00335947092099217	1.00335947092099	0.00336700336700337	7.53244601119322e-06	3.76622300559661e-06	0	0	0	0	0	0	0
"Tetramesa_calamagrostidis"	0	0	0.0336700336700337	0.0336700336700337	0.0336700336700337	0	0	0	0	0	0	0	0	0.00112233445566779	0.00112233445566779	0.00112233445566779	1.003367003367	0.00224466891133558	0.00112233445566779	0	0	0	0	0	0	0
"Tetramesa_sp._2"	0	0	0.0504485571599666	0.000112986690167898	0.0504485571599666	0	0	0	0	0	0	0	0	0.00168161857199889	3.76622300559661e-06	3.76622300559661e-06	0.00336700336700337	1.003363237144	0.00168161857199889	0	0	0	0	0	0	0
"Tetramesa_sp._1"	0	0	0.000281333079698997	0.000112986690167898	0.100615781240234	0	0	0	0	0	0	0	0	9.37776932329991e-06	3.76622300559661e-06	3.76622300559661e-06	0.00336700336700337	0.00336323714399777	1.00335385937467	0	0	0	0	0	0	0
"Tetramesa_linearis"	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	1.003367003367	0.00336700336700337	0.00336700336700337	0	0	0	0
"Tetramesa_hyallpennis"	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00336700336700337	1.003367003367	0.00336700336700337	0	0	0	0
"Tetramesa_sp._3"	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00336700336700337	0.00336700336700337	1.003367003367	0	0	0	0
"Tetramesa_agrostidis"	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0
"Tetramesa_schmidti"	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0
"Tetramesa_sp."	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0
"Tetramesa_phragmitis"	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101
