"Centaurea_nigra"	"Leucanthemum_vulgare"	"Cirsium_palustre"	"Ranunculus_acris"	"Cirsium_arvense"	"Filipendula_ulmaria"	"Galium_verum"	"Hypochoeris_radicata"	"Primula_veris"	"Lotus_corniculatus"	"Lathyrus_pratensis"	"Orchis_morio"	"Taraxacum_officinale"	"Trifolium_repens"	"Cerastium_fontanum"	"Trifolium_dubium"	"Bombus_lapidarius"	"Maniola_jurtina"	"Bombus_pascuorum"	"Calocoris_bipunctatus"	"Empis_livida"	"Psithyrus_vest"	"Episyrphus_balteatus"	"Bombus_pratorum"	"Apis_mellifera"	"Bombus_terrestris.lucorum"	"Eristalis_tenax"	"Helophilus_sp1_M_PL_007"	"Syrphus_sp1_M_PL_007"	"Scathophaga_stercoraria"	"Sphaerophoria_sp1_M_PL_007"	"Anthophora_plumipes"	"Cheilosia_bergenstammi"	"Lucillia_sp1_M_PL_007"	"Melanostoma_sp1_M_PL_007"	"Platycheirus_sp1_M_PL_007"	"Eriothrix_rufomaculatus"	"Eristalis_nemorum"	"Meliscaeva_sp1_M_PL_007"	"Andrena_chrysosceles"	"Pollenia_sp1_M_PL_007"	"Andrena_pubescens"	"Bombus_hortorum"	"Cephus_pygmaeus"	"Eristalis_intricarius"	"Lasioglossum_calceatum"	"Lasioglossum_villosulum"	"Lycaena_phlaeas"	"Panameria_tenebrata"	"Sarcophagus_sp1_M_PL_007"	"Tropidia_scitta"	"Volucella_bombylans"
"Lathyrus_pratensis"	0.00144602307877009	9.77002111240156e-06	0.00143957712895759	0.00144465935165384	2.69661166135363e-06	4.76691359003564e-06	2.11945032701225e-06	2.7182153428511e-06	1.64245043231958e-06	0.00143653205522476	1.00143522207501	0.00143734152533926	1.40916836157862e-06	0.00143522207501225	0	1.3099802125135e-06	0.00013099802125135	2.28738768349701e-05	0.100465545250857	9.69408609169435e-06	9.74061000175341e-06	4.56761059924661e-05	5.77935647019364e-05	4.56761059924661e-05	9.64015385846729e-06	9.72773902933432e-06	9.75477653409827e-06	2.2819944601743e-05	9.82273191766956e-06	1.32267630219951e-05	4.81789516486762e-05	4.10612608079895e-08	1.31332668332167e-05	4.6523910059055e-08	1.32478895088477e-05	9.75477653409828e-06	5.39322332270726e-08	4.6523910059055e-08	1.31797907432758e-05	4.6523910059055e-08	4.6523910059055e-08	1.31332668332167e-05	9.64015385846728e-06	1.31332668332167e-05	4.10612608079895e-08	1.31332668332167e-05	6.79553835712775e-08	0	4.69722787192874e-08	4.6523910059055e-08	4.6523910059055e-08	4.6523910059055e-08
"Orchis_morio"	0.00115837217251925	0.000681903089519617	0.00048152406717428	0.000484933582311078	2.02102881527757e-06	0.00134517377563646	0.00134021342005949	0.000673832227949926	1.24931834896341e-06	0.000479990217814372	0.000479113841779753	1.00181932726184	0.000673365879428026	0.000479113841779753	0	8.76376034618816e-07	8.76376034618816e-05	1.54185464074938e-05	0.0335379689245827	7.76290172643388e-06	1.10100592955749e-05	2.30077403986264e-05	0.0335047733014698	2.30077403986264e-05	7.72248115012833e-06	1.10008716779934e-05	3.01864069426474e-05	1.53781258311882e-05	4.70322126413956e-05	3.01011739953274e-05	0.0335058977015044	3.12329587240854e-08	4.40848711191889e-06	3.24715756914103e-06	2.6872412904438e-05	3.01864069426474e-05	4.04205763055515e-08	3.24715756914103e-06	7.65564468105993e-06	3.24715756914103e-06	3.24715756914103e-06	4.4084871119189e-06	7.72248115012833e-06	4.40848711191889e-06	3.12329587240854e-08	4.40848711191889e-06	1.68458056987482e-05	0	2.24455293142675e-05	3.24715756914103e-06	3.24715756914103e-06	3.24715756914103e-06
"Taraxacum_officinale"	6.01282063303145e-06	0.00180113609724646	1.33328842028501e-06	0.00112528606485378	1.05166884547008e-06	0.000675807905237484	0.000672896156640833	2.06685372067078e-06	5.77481325818828e-07	7.56604670970981e-07	4.69722787192874e-07	0.000673365879428026	1.00513949295253	4.69722787192874e-07	0	2.86881883778107e-07	2.86881883778107e-05	1.88678307229653e-05	3.28805951035012e-05	6.1118847796278e-08	8.63795740611273e-06	8.65025623971046e-06	6.58364926064626e-05	8.65025623971046e-06	4.00854708868763e-08	8.6313610623488e-06	1.82713226754531e-05	1.88467973460558e-05	1.83229940184699e-05	0.0335234564769595	0.0335789713394352	1.44370331454707e-08	1.02298733168525e-05	8.57683855831645e-06	2.84611105214187e-05	1.82713226754531e-05	2.10333769094017e-08	8.57683855831645e-06	1.8806711875169e-05	8.57683855831645e-06	8.57683855831645e-06	1.02298733168525e-05	4.00854708868763e-08	1.02298733168525e-05	1.44370331454707e-08	1.02298733168525e-05	5.16713430167696e-08	0	0.0335046497650843	8.57683855831645e-06	8.57683855831645e-06	8.57683855831645e-06
"Trifolium_repens"	0.00144602307877009	9.77002111240156e-06	0.00143957712895759	0.00144465935165384	2.69661166135363e-06	4.76691359003564e-06	2.11945032701225e-06	2.7182153428511e-06	1.64245043231958e-06	0.00143653205522476	0.00143522207501225	0.00143734152533926	1.40916836157862e-06	1.00143522207501	0	1.3099802125135e-06	0.00013099802125135	2.28738768349701e-05	0.100465545250857	9.69408609169435e-06	9.74061000175341e-06	4.56761059924661e-05	5.77935647019364e-05	4.56761059924661e-05	9.64015385846729e-06	9.72773902933432e-06	9.75477653409827e-06	2.2819944601743e-05	9.82273191766956e-06	1.32267630219951e-05	4.81789516486762e-05	4.10612608079895e-08	1.31332668332167e-05	4.6523910059055e-08	1.32478895088477e-05	9.75477653409828e-06	5.39322332270726e-08	4.6523910059055e-08	1.31797907432758e-05	4.6523910059055e-08	4.6523910059055e-08	1.31332668332167e-05	9.64015385846728e-06	1.31332668332167e-05	4.10612608079895e-08	1.31332668332167e-05	6.79553835712775e-08	0	4.69722787192874e-08	4.6523910059055e-08	4.6523910059055e-08	4.6523910059055e-08
"Cerastium_fontanum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0
"Trifolium_dubium"	0.00101723511401448	0.00101819321653636	0.00100657756463652	0.00101164194351464	0.0010082631309689	0.00100809792200253	1.31914789134294e-06	0.00100754448232334	0.00100908863530378	0.00100412459492525	1.30998021251351e-06	2.62912810385645e-06	8.60645651334322e-07	1.30998021251351e-06	0	1.00100281461471	0.100281461471273	4.09921141135471e-05	9.16986148759454e-05	2.69468300461413e-05	3.17953691725049e-05	3.67945456690398e-05	4.65251733686261e-05	3.67945456690398e-05	6.78156742676323e-06	3.68573224357213e-05	2.60315054388773e-05	2.08268514941691e-05	5.12201174969609e-05	1.40739722557837e-05	1.94322211985209e-05	2.52272158825944e-05	9.19674494104222e-06	4.84853912636364e-06	2.84466829531563e-05	2.60315054388773e-05	2.0165262619378e-05	4.84853912636364e-06	1.40452840674059e-05	4.84853912636364e-06	4.84853912636364e-06	9.19674494104223e-06	6.78156742676323e-06	9.19674494104222e-06	2.52272158825944e-05	9.19674494104222e-06	2.51886120580835e-05	0	2.86881883778107e-08	4.84853912636364e-06	4.84853912636364e-06	4.84853912636364e-06
"Bombus_lapidarius"	0.0101723511401448	0.0101819321653636	0.0100657756463652	0.0101164194351464	0.010082631309689	0.0100809792200253	1.31914789134294e-05	0.0100754448232334	0.0100908863530378	0.0100412459492525	1.30998021251351e-05	2.62912810385645e-05	8.60645651334322e-06	1.30998021251351e-05	0	0.0100281461471274	1.00281461471273	0.000409921141135471	0.000916986148759454	0.000269468300461413	0.000317953691725049	0.000367945456690398	0.000465251733686261	0.000367945456690398	6.78156742676323e-05	0.000368573224357213	0.000260315054388773	0.000208268514941691	0.000512201174969609	0.000140739722557837	0.000194322211985209	0.000252272158825944	9.19674494104222e-05	4.84853912636364e-05	0.000284466829531563	0.000260315054388773	0.00020165262619378	4.84853912636364e-05	0.000140452840674059	4.84853912636364e-05	4.84853912636364e-05	9.19674494104222e-05	6.78156742676323e-05	9.19674494104222e-05	0.000252272158825944	9.19674494104222e-05	0.000251886120580835	0	2.86881883778107e-07	4.84853912636364e-05	4.84853912636364e-05	4.84853912636364e-05
"Maniola_jurtina"	0.0252110923832961	0.0252622543898713	3.5249940885108e-05	0.0251911180926991	0.0251459734761762	5.42809959475945e-05	5.84544059687782e-06	2.09431359879885e-05	1.99769071097789e-05	1.59664977371293e-05	5.71846920874253e-06	1.15639098056204e-05	1.41508730422239e-05	5.71846920874253e-06	0	1.02480285283868e-05	0.00102480285283868	1.0010203000327	0.000400292844611977	0.000670993418745498	0.000791289868221076	0.00028925164721968	0.000170050706110956	0.00028925164721968	0.000168073949221974	0.000288869821375296	0.000289145841496803	0.000517380563176634	0.000289669419896503	0.000349778309722735	0.000122221323732935	4.99422677744472e-07	0.000229010164479083	0.000120296449475578	0.000350082056753912	0.000289145841496804	0.000502919469523525	0.000120296449475578	0.000349306613954661	0.000120296449475578	0.000120296449475578	0.000229010164479083	0.000168073949221974	0.000229010164479083	4.99422677744472e-07	0.000229010164479083	5.23578399699712e-07	0	4.71695768074131e-07	0.000120296449475578	0.000120296449475578	0.000120296449475578
"Bombus_pascuorum"	0.0144602307877009	9.77002111240156e-05	0.0143957712895759	0.0144465935165384	2.69661166135363e-05	4.76691359003564e-05	2.11945032701225e-05	2.7182153428511e-05	1.64245043231958e-05	0.0143653205522476	0.0143522207501225	0.0143734152533926	1.40916836157862e-05	0.0143522207501225	0	1.3099802125135e-05	0.0013099802125135	0.000228738768349701	1.00465545250857	9.69408609169435e-05	9.74061000175341e-05	0.000456761059924661	0.000577935647019364	0.000456761059924661	9.64015385846729e-05	9.72773902933432e-05	9.75477653409827e-05	0.00022819944601743	9.82273191766956e-05	0.000132267630219951	0.000481789516486762	4.10612608079895e-07	0.000131332668332167	4.6523910059055e-07	0.000132478895088477	9.75477653409828e-05	5.39322332270726e-07	4.6523910059055e-07	0.000131797907432758	4.6523910059055e-07	4.6523910059055e-07	0.000131332668332167	9.64015385846728e-05	0.000131332668332167	4.10612608079895e-07	0.000131332668332167	6.79553835712775e-07	0	4.69722787192874e-07	4.6523910059055e-07	4.6523910059055e-07	4.6523910059055e-07
"Calocoris_bipunctatus"	0.0503132939138939	0.000168372030745914	4.08033791008151e-05	6.3513197757443e-05	0.0502592856891586	5.12466792690447e-05	6.79730954380364e-06	2.87391313428171e-05	2.48256892436901e-05	1.83204580689178e-05	4.84704304584717e-06	1.16443525896508e-05	9.1678271694417e-08	4.84704304584717e-06	0	1.34734150230706e-05	0.00134734150230706	0.001341986837491	0.000339293013209303	1.00134060767321	0.00134140944478411	0.00033724381547846	0.00033760054369117	0.00033724381547846	0.000335421959425959	0.000336844373232032	0.000336955826419069	0.000336801123707825	0.00033767430470264	1.3822202242562e-06	2.26493349901144e-06	6.20642231092254e-07	5.77392706885845e-07	8.01771574980543e-07	2.1112596999956e-06	0.000336955826419069	0.00100518571378317	8.01771574980543e-07	1.37916428186639e-06	8.01771574980543e-07	8.01771574980543e-07	5.77392706885846e-07	0.000335421959425959	5.77392706885845e-07	6.20642231092254e-07	5.77392706885845e-07	7.18478283570427e-07	0	3.0559423898139e-09	8.01771574980543e-07	8.01771574980544e-07	8.01771574980543e-07
