"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"R26"	"R27"	"R28"	"R29"	"R30"	"R31"	"R32"	"R33"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R11"	0.000351634665043323	0.000179937051514073	0.000787232384746069	0.000390072550050106	9.02703373608051e-05	0.000360503868176261	0.000644076887531005	0.000361933008147424	9.02703373608051e-05	0.000187343614799913	1.00104003255715	0.000277640094101296	0.000464067120992133	9.79669560111346e-05	7.91044576252551e-05	0.000179937051514073	0.00018823729337194	8.42929140461279e-05	9.02703373608051e-05	0.000644030314446783	0.000350767128411874	9.0296479301383e-05	0.000372949678143523	0.000470916634154657	0.000163397371671383	0.000560272861799791	0.000350767128411874	0.000253693850972766	0.000253693850972766	7.91044576252551e-05	9.0296479301383e-05	0.000288656764097395	0.000187343614799913	0.0126567132200408	0.0125731383883284	0.0126439371069192	0.0125703440032751	0.0125955936059851	0.012619526067084	0.0126378472305127	7.14942857621546e-05	0.0126415071021936
"R12"	0.000499816564087461	5.97229473640966e-07	0.000500470448467084	0.000480187238383788	0.000239851081066795	0.000479909493969477	0.000242600842568545	0.000737898012726678	0.000239851081066795	0.000497723382446904	0.000740373584270122	1.00073718456588	0.000242819236595305	0.000258697916013388	5.54120156544554e-07	5.97229473640966e-07	0.000498548997080184	7.13446850733115e-07	0.000239851081066795	0.000243026568431191	0.000498601051816427	0.00023946118342904	1.71681503258437e-06	0.000260414731045973	1.26756700727767e-06	0.000499476025704379	0.000498601051816427	0.000240728750436318	0.000240728750436318	5.54120156544554e-07	0.00023946118342904	1.00336818185125e-06	0.000497723382446904	8.86592250471286e-05	2.69548815184018e-05	0.000107017027609967	5.24984332771344e-05	4.18060631548676e-05	0.0335233991794141	0.0335791513493514	6.6049170662364e-05	0.0335245656800656
"R13"	0.000656691971791824	7.02597979082467e-07	0.000732572944298715	0.000479474757169745	0.000143985854477471	0.000145454797836231	0.000514158975349961	0.000280090474845957	0.000143985854477471	0.000144925196577505	0.000742507393587412	0.000145691541957183	1.000990475187	0.000252238677752683	0.000126068506672895	7.02597979082467e-07	0.000396224532230155	0.000134398932888774	0.000143985854477471	0.000847958275885675	0.000262173127041381	7.66345379677605e-07	0.000261390696338551	0.000513629374091235	0.000260467439561669	0.000596895684353977	0.000262173127041381	0.000261233784941347	0.000261233784941347	0.000126068506672895	7.66345379677605e-07	0.000126991763449777	0.000144925196577505	0.0201709610676632	5.53954066129192e-05	0.0201598399333162	0.0200833534387558	4.91818585357727e-05	0.000122114473004409	0.020158019626846	0.020103946852212	0.000107288353154865
"R14"	0.00101614374938015	6.15283631167003e-07	0.00101707593481352	2.49981902163917e-06	1.07495555566665e-06	2.23439985793329e-06	0.000630681061636308	0.000388823288116162	1.07495555566665e-06	0.000387502713348983	0.000391867824044538	0.000388046874020083	0.000630596694381709	1.00101362441153	6.67968199464728e-07	6.15283631167003e-07	0.00101469936708461	7.76414096079057e-07	1.07495555566665e-06	0.000630681183128309	0.00038841630075996	5.44160671099645e-07	2.32496359841598e-06	0.00101594937512736	1.44438229554378e-06	0.000389297003554832	0.00038841630075996	1.98854296664343e-06	1.98854296664343e-06	6.67968199464728e-07	5.44160671099645e-07	1.54854950233692e-06	0.000387502713348983	0.000106874911914356	5.28348781723317e-05	0.000116462114411859	5.28421676923727e-05	4.30698541816902e-05	0.0502356085131311	0.00015049377779333	0.05017573229885	7.61824939539503e-05
"R15"	0.000630210213414125	4.16680013740706e-07	4.11551594677657e-06	1.79468041998353e-06	2.40278015317745e-07	1.48163008812497e-06	0.000632006768249555	3.0325768755555e-06	2.40278015317745e-07	8.3768841056714e-07	0.000632835661002041	1.66236046963366e-06	0.000630342533364475	1.33593639892946e-06	1.00062726378259	4.16680013740706e-07	1.5762144142472e-06	1.37021640592183e-06	2.40278015317745e-07	0.000631343607421965	0.000630056081454194	8.24672059066521e-07	0.000630026890173068	0.000631362826571997	0.000628633998999878	0.000630785811799793	0.000630056081454194	0.000629458671058945	0.000629458671058945	0.000627263782593956	8.24672059066521e-07	0.000628656673767146	8.3768841056714e-07	0.100362205215033	8.35734703913638e-05	0.000205532460888275	4.3783820735956e-05	2.91676009618494e-05	7.76633513824213e-05	3.36389221444844e-05	5.90820802944049e-05	0.000115454088269313
"R16"	2.73790301491003e-06	0.00143463877608133	0.00143872113590812	2.5667753014252e-06	6.4659035335289e-07	0.00143610284430009	0.00143832244153455	2.23575380640533e-06	6.4659035335289e-07	9.74210555522267e-07	0.00143949641211258	1.7916884209229e-06	3.51298989541234e-06	1.23056726233401e-06	4.16680013740706e-07	1.00143463877608	1.8771576156869e-06	4.4406538548243e-07	6.4659035335289e-07	0.00143832265348879	2.00584346679314e-06	8.1747786540063e-07	1.96324052765562e-06	3.19380778998962e-06	8.60745399223136e-07	3.10855054946482e-06	2.00584346679314e-06	1.67822326462377e-06	1.67822326462377e-06	4.16680013740706e-07	8.1747786540063e-07	1.51917514217319e-06	9.74210555522267e-07	6.6668802198513e-05	6.61497077059488e-05	6.66098078223645e-05	6.61624249603009e-05	0.100424714325693	4.2590626282019e-05	9.05226494694047e-05	7.22357648131703e-05	0.000114446901156088
"R17"	0.000917520050264092	6.25719205228965e-07	0.000918600462423108	0.000241403167199683	0.000239885452331367	0.000241110846256098	0.000421501127842767	0.000499191945485087	0.000239885452331367	0.000497949322360681	0.000501966115658506	0.000498548997080184	0.000660374220383591	0.000676466244723072	5.25404804749067e-07	6.25719205228965e-07	1.00091635169705	6.42948404903664e-07	0.000239885452331367	0.000421714161976956	0.00025983189795847	5.99674719502138e-07	1.87335922427864e-06	0.000678339603947351	1.16835320965273e-06	0.000260749938107284	0.00025983189795847	1.76802792915487e-06	1.76802792915487e-06	5.25404804749067e-07	5.99674719502138e-07	1.23041081937497e-06	0.000497949322360681	8.40647687598507e-05	4.23003608775543e-05	9.64422607355497e-05	5.50824089288727e-05	4.38003443660276e-05	0.0335483031038109	0.0335839633263913	0.0334721899755006	8.39544607302993e-05
"R18"	0.000671982292347316	4.4406538548243e-07	4.0783698989304e-06	2.15271264875523e-06	3.76017022552879e-07	1.81880269948752e-06	0.00067321094172749	0.000670823571278882	3.76017022552879e-07	1.14162026074714e-06	0.000674343312369024	2.14034055219935e-06	0.000671994664443872	1.55282819215811e-06	1.37021640592183e-06	4.4406538548243e-07	1.92884521471099e-06	1.00066868323073	3.76017022552879e-07	0.000673061433098253	0.000671817770662251	9.98720291452206e-07	0.000670980931096592	0.00067253375928875	0.000670053447132605	0.000672595745997001	0.000671817770662251	0.000671052167424057	0.000671052167424057	1.37021640592183e-06	9.98720291452206e-07	2.29770036990867e-06	1.14162026074714e-06	0.000219234624947494	5.56490378392099e-05	0.100302484609002	4.66785200850085e-05	3.10845769837701e-05	9.95284209652539e-05	5.26423831574031e-05	6.29779963171082e-05	0.000139820840803309
"R19"	0.000720272652031971	6.4659035335289e-07	0.000721649517642284	0.000719209863555772	0.000717506445882767	0.000718863739052427	3.1412602556853e-06	0.000719929260222939	0.000717506445882767	0.000718842540384079	0.000722162698886441	0.000719553243200386	0.000719929272387357	2.14991111133329e-06	2.40278015317745e-07	6.4659035335289e-07	0.0007196563569941	3.76017022552879e-07	1.00071750644588	3.78011967424985e-06	2.6630923554897e-06	7.10702816307123e-07	9.70150476003949e-07	3.12006158733724e-06	6.16295037870625e-07	3.65580721218758e-06	2.6630923554897e-06	1.32699785417775e-06	1.32699785417775e-06	2.40278015317745e-07	7.10702816307123e-07	5.94133453451069e-07	0.000718842540384079	3.84444824508393e-05	2.12313262879994e-05	5.64025533829319e-05	5.95628914018727e-05	4.52613247347023e-05	0.000173692285170554	0.100450902423587	6.5105328801707e-05	9.94983942829972e-05
"R20"	0.000428257921075181	0.000239720442248132	0.000730650042615224	0.00039988725971181	6.30019945708309e-07	0.000360488491549297	0.000787694446786601	0.000233690189731971	6.30019945708309e-07	1.37525486013842e-06	0.000858707085929045	0.000121513284215595	0.000706631896571395	0.00021022706104277	0.000105223934570327	0.000239720442248132	0.000210857080988478	0.000112176905516376	6.30019945708309e-07	1.00106586034823	0.00033828410435659	0.000120138029355457	0.000218354149054672	0.000428581210097442	0.000217400840086703	0.000617403314767235	0.00033828410435659	0.00033753886944216	0.00033753886944216	0.000105223934570327	0.000120138029355457	0.000106177243538297	1.37525486013842e-06	0.0168358295312524	5.71985380781629e-05	0.0168265358274563	0.0167471526246387	0.0167804309573692	9.68805388759142e-05	8.82027923991633e-05	0.0167585460902671	0.016819324109764
"R21"	0.000520342386497964	5.01460866698286e-07	0.000196988928401168	0.000181324811166083	6.65773088872425e-07	0.000181041293910904	0.000507469744356749	0.000541905231527883	6.65773088872425e-07	0.000194076728906987	0.000701534256823748	0.00037395078886232	0.000327716408801726	0.00019420815037998	0.000157514020363549	5.01460866698286e-07	0.000194873923468852	0.000167954442665563	6.65773088872425e-07	0.000507426156534885	1.0006987534788	0.000179874059955333	0.000326297028972852	0.000520505179352832	0.000325468463029111	0.000699538456924436	0.000698753478802559	0.000505342522984444	0.000505342522984444	0.000157514020363549	0.000179874059955333	0.000158342586307289	0.000194076728906987	0.0252022432581678	4.9713956624445e-05	0.0251931663998344	4.70986873126237e-05	3.510226066888e-05	0.0251434242563549	9.32082324421396e-05	6.37755649492245e-05	0.0251823683937466
"R22"	3.62241650902514e-06	8.17477865400631e-07	3.96391593193077e-06	0.000718592860676484	7.10702816307123e-07	0.000718417854866968	0.000720190622690933	0.000719382270578573	7.10702816307123e-07	1.49387610186077e-06	0.000722371834411064	0.000718383550287121	3.83172689838802e-06	1.08832134219929e-06	8.24672059066521e-07	8.17477865400631e-07	1.79902415850641e-06	9.98720291452206e-07	7.10702816307123e-07	0.000720828176132742	0.000719496239821333	1.00071688967419	2.17832258362593e-06	3.26664392582522e-06	1.82339235051873e-06	0.000720488723496249	0.000719496239821333	0.000718713066535779	0.000718713066535779	8.24672059066521e-07	0.00071688967418526	1.17960229217372e-06	1.49387610186077e-06	0.000131947529450643	2.12958139864321e-05	0.000149808043717831	5.95490204949917e-05	5.72234505780441e-05	0.000101812527121974	9.94983942829973e-05	2.44118445316517e-05	0.100364554385936
