ID	IntType	Resources	Consumers	Sampling
M_PL_071	Pol-P	44	8	No
M_PL_072_01	Pol-P	39	67	Yes
M_PL_072_02	Pol-P	33	63	Yes
M_PL_072_03	Pol-P	38	79	Yes
M_PL_072_04	Pol-P	25	69	Yes
M_PL_072_05	Pol-P	17	67	Yes
M_SD_001	SD-P	7	21	No
M_SD_002	SD-P	31	9	No
M_SD_003	SD-P	25	16	Yes
M_SD_004	SD-P	34	20	Yes
M_SD_005	SD-P	25	13	Yes
M_SD_006	SD-P	21	15	Yes
M_SD_007	SD-P	72	7	No
M_SD_008	SD-P	16	10	No
M_SD_009	SD-P	7	18	No
M_SD_010	SD-P	50	14	No
M_SD_011	SD-P	11	14	No
M_SD_012	SD-P	35	29	No
M_SD_013	SD-P	36	19	No
M_SD_014	SD-P	16	17	Yes
M_SD_015	SD-P	5	27	No
M_SD_016	SD-P	24	61	No
M_SD_017	SD-P	16	8	No
M_SD_018	SD-P	29	32	No
M_SD_019	SD-P	169	40	Yes
M_SD_020	SD-P	25	33	NA
M_SD_021	SD-P	18	28	NA
M_SD_022	SD-P	207	110	No
M_SD_023	SD-P	15	8	No
M_SD_024	SD-P	12	7	NA
M_SD_025	SD-P	7	6	No
M_SD_026	SD-P	3	3	NA
M_SD_027	SD-P	12	4	NA
M_SD_028	SD-P	8	5	NA
M_SD_029	SD-P	4	5	NA
M_SD_030	SD-P	5	4	NA
M_SD_031	SD-P	41	8	No
M_SD_032	SD-P	4	19	No
M_SD_033	SD-P	13	11	No
M_SD_034	SD-P	33	88	No
M_AF_001	F-Ane	10	26	No
M_AF_002_01	F-Ane	6	5	No
M_AF_002_02	F-Ane	2	4	No
M_AF_002_03	F-Ane	3	2	No
M_AF_002_04	F-Ane	4	5	No
M_AF_002_05	F-Ane	3	4	No
M_AF_002_06	F-Ane	4	4	No
M_AF_002_07	F-Ane	2	3	No
M_AF_002_08	F-Ane	5	3	No
M_AF_002_09	F-Ane	4	4	No
M_AF_002_10	F-Ane	4	5	No
M_AF_002_11	F-Ane	4	4	No
M_AF_002_12	F-Ane	4	4	No
M_AF_002_13	F-Ane	4	4	No
M_AF_002_14	F-Ane	5	5	No
M_AF_002_15	F-Ane	4	5	No
M_AF_002_16	F-Ane	4	3	No
M_PA_001	Ant-P	16	8	No
M_PA_002	Ant-P	6	4	No
M_PA_003	Ant-P	24	15	Yes
M_PA_004	Ant-P	41	48	Yes
Herb_Basset&Sam	Her-P	10	36	No
Herb_Bluthgen2006	Her-P	38	12	No
Herb_Bodner2009	Her-P	45	59	No
Herb_Coley2006	Her-P	37	45	No
Herb_CuevasReyes	Her-P	29	29	No
Herb_Dawah1995	Her-P	10	17	No
Herb_Futuyma1979	Her-P	18	57	Yes
Herb_Hen&Mem_P100	Her-P	32	26	No
Herb_Hen&Mem_P199	Her-P	22	23	No
Herb_Hen&Mem_P200	Her-P	32	27	No
Herb_Hen&Mem_P299	Her-P	26	25	No
Herb_Janzen1980	Her-P	95	110	No
Herb_Memmott1994	Her-P	54	92	No
Herb_Muller1999	Her-P	26	25	No
Herb_Nakagawa2003_96	Her-P	20	29	No
Herb_Nakagawa2003_98	Her-P	13	37	No
Herb_Novotny2005	Her-P	30	29	No
Herb_Prado&Lewin	Her-P	81	35	No
Herb_Rathcke1976_70	Her-P	7	10	No
Herb_Rathcke1976_71	Her-P	7	11	No
Herb_Tavakilian1997	Her-P	302	353	No
Herb_Tscharnatke2001	Her-P	10	16	No
1_medioparana	Pa-Ho	54	93	No
2_planicieparana	Pa-Ho	65	307	No
3_smallwood	Pa-Ho	6	25	No
4_parsnip	Pa-Ho	17	53	No
5_mcgregor	Pa-Ho	14	51	No
6_woods	Pa-Ho	31	144	No
7_coldlake	Pa-Ho	10	40	No
8_aishihik	Pa-Ho	7	29	No
9_coastalrj	Pa-Ho	39	339	No
10_littlecolorado	Pa-Ho	11	20	No
11_lakemichigan	Pa-Ho	45	109	No
12_lakesuperior	Pa-Ho	36	164	No
13_guandu	Pa-Ho	22	85	No
14_lebsko	Pa-Ho	8	14	No
15_zarivar	Pa-Ho	8	20	No
16_stmary	Pa-Ho	26	42	No
17_lakehuron	Pa-Ho	79	280	No
18_lakestclair	Pa-Ho	13	31	No
19_lakeerie	Pa-Ho	91	274	No
20_lakeontario	Pa-Ho	61	249	No
21_devilslake	Pa-Ho	6	21	No
22_bengal	Pa-Ho	37	49	No
23_hidvegi	Pa-Ho	12	34	No
24_riga	Pa-Ho	52	95	No
25_aluksnes	Pa-Ho	48	22	No
26_raznas	Pa-Ho	48	86	No
27_trespalos	Pa-Ho	13	39	No
28_mekong	Pa-Ho	52	125	No
29_tonkin	Pa-Ho	80	212	No
30_coyuca	Pa-Ho	10	33	No
abe	Ph-B	10	4	No
bac15	Ph-B	25	12	No
barrangou	Ph-B	7	6	No
braunbreton	Ph-B	17	3	No
campbell	Ph-B	5	5	No
capparelli	Ph-B	16	8	No
caso	Ph-B	9	4	No
ceyssens	Ph-B	4	12	No
comeau2005	Ph-B	23	13	No
comeau2006	Ph-B	17	16	No
depaola	Ph-B	5	17	No
doi	Ph-B	11	9	No
duplessis	Ph-B	12	12	No
gamage	Ph-B	4	5	No
goodridge	Ph-B	49	2	No
holmfeldt	Ph-B	22	46	No
kankila	Ph-B	31	12	No
krylov	Ph-B	10	10	No
kudva	Ph-B	11	3	No
langley	Ph-B	33	9	No
mclaughlin	Ph-B	5	6	No
meyer	Ph-B	24	26	NA
middelboe	Ph-B	11	24	No
miklic	Ph-B	18	14	No
mizoguchi	Ph-B	7	4	No
pantucek	Ph-B	88	4	No
paterson	Ph-B	93	5	No
poullain	Ph-B	24	23	No
quiberoni	Ph-B	20	11	No
rybniker	Ph-B	15	14	No
seed	Ph-B	10	6	No
stenholm	Ph-B	24	22	No
sullivan	Ph-B	20	44	No
suttle	Ph-B	6	7	No
synott	Ph-B	16	16	No
wang	Ph-B	8	7	No
wichels	Ph-B	59	22	No
zinno	Ph-B	17	27	No
hansen	Her-P	17	10	No
Herb_Loye1992	Her-P	42	34	No
Herb_Ueckert&Hans	Her-P	40	14	No
basker	Pr-Pr	16	8	No
owensmith	Pr-Pr	22	5	No
radloffanddutoit	Pr-Pr	18	4	No
ESKI	Pol-P	14	13	NA
KAIS09_CONT	Pol-P	58	100	No
KAIS09_REST	Pol-P	73	135	No
SANT10	Pol-P	49	25	No
DON	SD-P	45	46	Yes
FARIA	SD-P	14	8	Yes
GOR	SD-P	84	18	No
PAS	SD-P	24	6	No
STI	SD-P	31	31	No
Herb_Jermy2003	Her-P	51	27	No
Herb_Novotny2012	Her-P	38	544	Yes
Herb_Pearse&Alterm	Her-P	759	900	No
Herb_Stary&Hav	Her-P	101	92	No
Pol_Weiner2011	Pol-P	82	517	No
Pol_Junker2013	Pol-P	53	248	No
IZ_PA_COLpen	Ant-P	5	6	Yes
IZ_PA_DIM10	Ant-P	9	8	Yes
IZ_PA_DIM100	Ant-P	7	9	Yes
IZ_PA_FLO	Ant-P	8	13	Yes
IZ_PA_PA10	Ant-P	7	8	Yes
IZ_PA_PAcamp	Ant-P	9	12	Yes
IZ_PA_POW	Ant-P	8	10	Yes
