"Alyxia_oliviformis"	"Cheirodendron_trigynum"	"Dubautia_raillardioides"	"Carex"	"Elaeocarpus_bifidus"	"Styphelia_tameiameiae"	"Vaccinium_calycinum"	"Acacia__melanoxylon"	"Dicranopteris_linearis"	"Scaevola_procera"	"Stenogyne_purpurea"	"Dianella_sandwicianaum"	"Metrosideros_polymorpha"	"Syzygium_sandwicensis"	"Rubus_argutus"	"Coprosma_kauensis"	"Hedyotis_terminalis"	"Melicope_anisata"	"Cryptomeria_japonica"	"Wilkstroemia_oahuensis"	"Athyrium_microphyllum"	"Hedychium_gardinerianum"	"Amorbia_emigratella"	"Croesia_zimmermani"	"Schreckensteinia_festaliella"	"Spheterista_pleonectes"	"Udea_ommatias"	"Omiodes_antidoxa"	"Casposina_sp._2"	"Scotorythra_complex"	"Thyrocopa_complex"	"Udea_pyranthes"	"Eupithecia_sp._2"	"Eupithecia_rhodopyra"	"Udea_constricta"	"Udea_sp._1"	"Carposina_graminis"	"Eccoptocera_sp._1"	"Eupithecia_monticolans"	"Eupithecia_orichloris"	"Fletcherana_leucoxyla"	"Hyles_calida"	"Paralopostega_sp._1"	"Agrotis_hephaestaea"	"Haliophyle_euclidias"
"Udea_constricta"	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Udea_sp._1"	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Carposina_graminis"	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eccoptocera_sp._1"	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eupithecia_monticolans"	0.45	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eupithecia_orichloris"	0	0	0	0	0	0	0.3	0	0	0	0	0	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fletcherana_leucoxyla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hyles_calida"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paralopostega_sp._1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agrotis_hephaestaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Haliophyle_euclidias"	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
