"Pistacia_lentiscus"	"Rubus_ulmifolius"	"Rhamnus_lycioides"	"Phillyrea_angustifolia"	"Myrtus_communis"	"Olea_europaea"	"Daphne_gnidium"	"Smilax_aspera"	"Asparagus_aphyllus"	"Asparagus_aculeatus"	"Lonicera_periclymenum"	"Osyris_alba"	"Crataegus_monogyna"	"Tamus_communis"	"Pyrus_bourgaeana"	"Rubia_pregrina"	"Sylvia_atricapilla"	"Turdus_merula"	"Sylvia_borin"	"Sylvia_melanocephala"	"Erithacus_rubecula"	"Cyanopica_cyanus"	"Sylvia_cantillans"	"Turdus_philomelos"	"Ficedula_hypoleuca"	"Sylvia_communis"	"Phoenicurus_phoenicurus"	"Sturnus_unicolor"	"Sylvia_hortensis"	"Luscinia_megarhynchos"	"Muscicapa_striata"	"Saxicola_torquata"	"Sylvia_undata"
"Turdus_philomelos"	0.15	0	0	0.15	0.15	0.15	0	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficedula_hypoleuca"	0.18	0.18	0.18	0.18	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_communis"	0.18	0.18	0.18	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phoenicurus_phoenicurus"	0.225	0.225	0.225	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sturnus_unicolor"	0.225	0	0	0	0.225	0.225	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_hortensis"	0.225	0.225	0	0.225	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Luscinia_megarhynchos"	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Muscicapa_striata"	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Saxicola_torquata"	0.3	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_undata"	0.45	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
