"Cornus_florida"	"Vitis_sp1_M_SD_001"	"Celastrus_orbiculatus"	"Rhus_radicans"	"Lindera_benzoin"	"Smilax_rotundifolia"	"Lonicera_japonica"	"Quiscalus_quiscula"	"Turdus_migratorius"	"Zonotrichia_albicollis"	"Junco_hyemalis"	"Cardinalis_cardinalis"	"Dendroica_coronata"	"Parus_atricapillus"	"Catharus_guttata"	"Parus_bicolor"	"Picoides_pubescens"	"Mimus_polyglottos"	"Bombycilla_cedrorum"	"Melanerpes_carolinensis"	"Picoides_villosus"	"Sturnus_vulgaris"	"Carpodacus_purpureus"	"Colaptes_auratus"	"Zenaidura_macroura"	"Euphagus_carolinus"	"Pipilo_erythophtalmus"	"Vireo_olivaceus"
"Picoides_pubescens"	0.0198290690690969	0.00479067147996904	0.0132729372645477	0.62508991977514	0.001093630487792	0.00142653345314888	0.00116390513697229	0.00481005165016951	0.00476230582182008	0.00860792543304689	0.0484599884961836	0.00139415039276668	0.111623199959846	0.0714388479743017	0.000437445606013075	0.0136645084669739	1.03571942398715	0.00480384531812434	0.000282402920522291	0.00897462862744163	0.0133947839951816	0.000211802190391718	7.10719321473006e-05	0.0045004639644675	3.48139345064126e-05	7.06007301305728e-05	3.55359660736503e-05	3.55359660736503e-05
"Mimus_polyglottos"	0.119077704426996	0.0144579709174782	0.327958876262671	0.0960769063624868	0.0115033011272041	0.0862195752669535	0.0113723323028768	0.0240704454061949	0.0326011221131507	0.10145650491769	0.066801620036486	0.0319399417328317	0.0171565904218726	0.0109802178699985	0.00664451107827765	0.00757313868972017	0.00549010893499924	1.00914544788238	0.00697784843112067	0.00150764845727764	0.00205879085062472	0.0052333863233405	0.000426801807982064	0.000899664520865937	0.000198279942754872	0.00174446210778017	0.000213400903991032	0.000213400903991032
"Bombycilla_cedrorum"	0.0479829142665806	0.012482192592153	0.554898624022278	0.00988410221828019	0.0118346362559462	0.0168836816443639	0.0127005156670645	0.0119387959196453	0.0221295133211338	0.110910802335716	0.0879712131289952	0.0412205219204291	0.00176501825326432	0.00112961168208916	0.00950519509455415	0.00921088635589244	0.000564805841044582	0.0122112347544612	1.0118063537026	0.000257857465795286	0.000211802190391718	0.00885476527695124	0.000171981771564805	0.000156591615912975	0.000192812505675549	0.00295158842565042	8.59908857824025e-05	8.59908857824025e-05
"Melanerpes_carolinensis"	0.0517882770775249	0.279643656080464	0.0121193008923784	0.314112001960457	0.00406005530648338	0.00299605587245678	0.00194731947690232	0.102438663980185	0.033586111457181	0.0137178636155831	0.0290109724532125	0.0144737361999436	0.0560914289215102	0.0358985145097665	0.000796393285847582	0.00832392115877545	0.0179492572548833	0.00263838480023588	0.000257857465795286	1.00710080642662	0.00673097147058122	0.000193393099346464	0.000185621064793996	0.00233646768925741	0.00135288304856989	6.44643664488214e-05	9.28105323969979e-05	9.28105323969979e-05
"Picoides_villosus"	0.0198290690690969	0.00479067147996904	0.0132729372645477	0.62508991977514	0.001093630487792	0.00142653345314888	0.00116390513697229	0.00481005165016951	0.00476230582182008	0.00860792543304689	0.0484599884961836	0.00139415039276668	0.111623199959846	0.0714388479743017	0.000437445606013075	0.0136645084669739	0.0357194239871508	0.00480384531812434	0.000282402920522291	0.00897462862744163	1.01339478399518	0.000211802190391718	7.10719321473006e-05	0.00450046396446751	3.48139345064126e-05	7.06007301305728e-05	3.55359660736503e-05	3.55359660736503e-05
"Sturnus_vulgaris"	0.0479829142665806	0.012482192592153	0.554898624022278	0.00988410221828019	0.0118346362559462	0.0168836816443639	0.0127005156670645	0.0119387959196453	0.0221295133211338	0.110910802335716	0.0879712131289952	0.0412205219204291	0.00176501825326432	0.00112961168208917	0.00950519509455415	0.00921088635589245	0.000564805841044582	0.0122112347544612	0.0118063537026017	0.000257857465795286	0.000211802190391718	1.00885476527695	0.000171981771564805	0.000156591615912975	0.000192812505675549	0.00295158842565042	8.59908857824025e-05	8.59908857824025e-05
"Carpodacus_purpureus"	0.596820833721316	0.032118211126154	0.0161662865270917	0.00497503525031104	0.0108737488689237	0.00304200938529034	0.00267054178757973	0.107067551901626	0.123057143750476	0.0221580834217117	0.0573606996566559	0.0052487621515406	0.000888399151841257	0.000568575457178405	0.0067989663049872	0.00158423704088584	0.000284287728589202	0.00149380632793722	0.00034396354312961	0.000371242129587992	0.000106607898220951	0.000257972657347208	1.00213914277319	0.00110510735267099	0.000273650426776296	8.59908857824025e-05	0.00106957138659734	0.00106957138659734
"Colaptes_auratus"	0.308324951395206	0.0184544413030615	0.0147196118958197	0.315032477512725	0.00598368967835782	0.00223427141921961	0.00191722346227601	0.0559388017758975	0.0639097247861478	0.0153830044273793	0.0529103440764198	0.00332145627215364	0.0562557995558438	0.0360037117157401	0.00361820595550014	0.00762437275392987	0.01800185585787	0.00314882582303078	0.000313183231825951	0.00467293537851481	0.00675069594670126	0.000234887423869463	0.00110510735267099	1.00280278565857	0.000154232180641354	7.82958079564877e-05	0.000552553676335495	0.000552553676335495
"Zenaidura_macroura"	0.0763484690705866	0.285791881401771	0.0181243755335016	0.00243697541544888	0.265094966329279	0.0104803373201728	0.00838966159590595	0.108468547059735	0.101304384396717	0.0783619440349103	0.0100068947384132	0.019129599179184	0.000435174181330158	0.000278511476051301	0.00412261283803857	0.00181374095497778	0.00013925573802565	0.000693979799642053	0.000385625011351098	0.00270576609713979	5.22209017596189e-05	0.000289218758513324	0.000273650426776296	0.000154232180641354	1.00434791888051	9.64062528377746e-05	0.000136825213388148	0.000136825213388148
"Euphagus_carolinus"	0.0479829142665806	0.012482192592153	0.554898624022278	0.00988410221828019	0.0118346362559462	0.0168836816443639	0.0127005156670645	0.0119387959196453	0.0221295133211338	0.110910802335716	0.0879712131289951	0.0412205219204291	0.00176501825326432	0.00112961168208916	0.00950519509455415	0.00921088635589244	0.000564805841044582	0.0122112347544612	0.0118063537026017	0.000257857465795286	0.000211802190391718	0.00885476527695125	0.000171981771564805	0.000156591615912975	0.000192812505675549	1.00295158842565	8.59908857824025e-05	8.59908857824025e-05
