"Sorex_araneus"	"Clethrionomys_glareolus"	"Talpa_europaea"	"Microtus_oeconomus"	"Apodemus_uralensis"	"Clethrionomys_rutilus"	"Microtus_arvalis"	"Sorex_caecutiens"	"Apodemus_agrarius"	"Sciurus_vulgaris"	"Sorex_minutus"	"Microtus_agrestis"	"Neomys_fodiens"	"Myopus_schisticolor"	"Micromys_minutus"	"Palaeopsylla_soricis"	"Ctenophthalmus_uncinatus"	"Doratopsylla_dasycnema"	"Megabothris_turbidus"	"Ctenophthalmus_bisoctodentatus"	"Ctenophthalmus_agyrtes"	"Peromyscopsylla_bidentata"	"Amalaraeus_penicilliger"	"Palaeopsylla_kohauti"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"	"Amphipsylla_rossica"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_assimilis"	"Megabothris_rectangulatus"	"Ceratophyllus_sciurorum"	"Tarsopsylla_octodecimdentata"	"Corrodopsylla_birulai"	"Ceratophyllus_indages"	"Rhadinopsylla_integella"	"Leptopsylla_segnis"
"Amphipsylla_rossica"	0.00958778291861791	0.118449061534803	0.0107608001079848	0.0425003352555865	0.0124450028268208	0.00582869728122853	0.430874384588608	0.000433300658393817	0.0266639018676399	0.00012078528837404	0.000470685922693096	0.00796389017103321	7.84932615974524e-05	0.000214938542706324	0.00027460644057938	0.00623073680019221	0.0391076896520702	0.0022197822459736	0.0447096910785107	0.00654112273902547	0.023246629507362	0.0228432849299573	0.00851630450316605	0.00118992968338344	0.0163216506504822	0.0173775306319066	1.12973553014045	0.00255885234309663	0.00961228931305046	0.00110312317155661	2.58825617944372e-05	1.89805453159206e-05	0.000121883078293191	1.12157767775894e-05	0.000100902536595757	0.0017403214443716
"Peromyscopsylla_silvatica"	0.0117217337951608	0.524789850551246	0.00824096899019906	0.0061434155552872	0.0094851077480559	0.0936457790177234	0.00346848468013541	0.000625556801886529	0.00466363357048886	0.00021013418920456	0.000521012707127459	0.00251538616673896	0.00011165652172989	0.000324776356488667	0.000199170015194166	0.00722225836014604	0.1193373295011	0.00385937690447165	0.0611032369498482	0.00290618552247182	0.0268331235039443	0.0384151588277449	0.0351206336160953	0.000913641017448771	0.00616635554645246	0.00607498434823919	0.00298031037607725	1.01403447591764	0.00283043931191172	0.00490569582626478	4.50287548295485e-05	3.30210868750022e-05	5.67721005788958e-05	1.95124604261377e-05	0.000438781759561652	3.70116412037556e-05
"Ctenophthalmus_assimilis"	0.0403583730248075	0.278969907937911	0.201049965735581	0.00592957038456533	0.0196606334793974	0.00622730581839212	0.0700844651046044	0.000857428691485121	0.0401255382601709	0.000238157076847486	0.000759101160460833	0.00185986477255689	0.000167299566504895	0.000178821816982767	0.000200233836399193	0.017253206932801	0.0654193881466168	0.00823483493090646	0.0455194601362675	0.0564499358591746	0.0363997997131934	0.0175660566216776	0.015854765469363	0.0221575023582743	0.00492662509353061	0.00714436665997482	0.0226575390950475	0.0057282700360118	1.00472210813292	0.00240967275398216	5.10336593244613e-05	3.7424683504605e-05	0.000210504299787449	2.21145857072666e-05	0.000242423381346938	0.000326300783919689
"Megabothris_rectangulatus"	0.0126689583567515	0.529309307537181	0.00846459648328687	0.0070817605214479	0.00967406845377272	0.0562487666083038	0.00354203982925394	0.000650631795625677	0.0199241484154882	0.000209655767469877	0.000536402150116207	0.00254864441766449	0.000121040577546814	0.0154904499136132	0.000196195839144262	0.0095843153458097	0.117562035732286	0.0040399896319133	0.0625954634891954	0.0029744035640357	0.0282089993066282	0.0358722110223593	0.0326022412305219	0.00093877189084108	0.00851688878430826	0.0051460663838154	0.00330936951466982	0.0126358831888638	0.00306685623234094	1.00563984340972	4.49262358864023e-05	3.2945906316695e-05	6.2099748248567e-05	1.94680355507743e-05	0.000442788014324241	3.77666657007307e-05
"Ceratophyllus_sciurorum"	0.000512097733119941	0.00548189623465943	0.00592799975676731	0.00214024166373248	0.000272836286905668	0.00049996861683735	0.000121092343491275	1.97805705237951e-05	0.000136318833420919	0.651224530723875	5.7678286405231e-05	0.000228689410158977	6.91819428881768e-06	3.297031946167e-05	3.64769301850121e-06	0.000297261438040808	0.00606078370580043	0.000126194918065316	0.000725761767692912	0.0109495070052814	0.000988031792237929	0.000369687813865628	0.0049871266121584	0.000652954082460515	0.00535730508585802	0.000115305215716228	8.54124539216426e-05	0.000127581472017054	7.14471230542458e-05	4.94188594750425e-05	1.13954811372654	0.102335283399466	9.4701276533871e-06	0.0604708492815027	4.68821095874873e-06	1.1492415620591e-06
"Tarsopsylla_octodecimdentata"	0.000512097733119941	0.00548189623465943	0.00592799975676731	0.00214024166373248	0.000272836286905668	0.00049996861683735	0.000121092343491275	1.97805705237951e-05	0.000136318833420919	0.651224530723875	5.7678286405231e-05	0.000228689410158977	6.91819428881768e-06	3.297031946167e-05	3.64769301850121e-06	0.000297261438040808	0.00606078370580043	0.000126194918065316	0.000725761767692912	0.0109495070052814	0.000988031792237929	0.000369687813865628	0.0049871266121584	0.000652954082460515	0.00535730508585802	0.000115305215716228	8.54124539216427e-05	0.000127581472017054	7.14471230542458e-05	4.94188594750425e-05	0.139548113726545	1.10233528339947	9.4701276533871e-06	0.0604708492815027	4.68821095874873e-06	1.1492415620591e-06
"Corrodopsylla_birulai"	0.292310383121241	0.0133351553862031	0.0454091630979488	0.038256784406325	0.00155891268459579	0.000996202689506958	0.000735230707821892	0.0054786157448675	0.000904731621040113	8.28636169671372e-05	0.00318921381325157	0.000681242832439848	0.263366730168637	0.000193986103217496	0.000167450672604168	0.145376409852841	0.0165327687831409	0.0688403596585584	0.00345024969518558	0.0127962712776987	0.0109374606922577	0.00157690527465054	0.00107575434201829	0.00515675084488333	0.0116303196989027	0.00335188025820552	0.000754151546939118	0.000301601784325384	0.000552573786942053	0.000128080730762669	1.77564893501008e-05	1.30214255234073e-05	1.05073693662474	7.69447871837702e-06	8.96476410963183e-05	6.7384465969253e-06
"Ceratophyllus_indages"	0.000512097733119942	0.00548189623465943	0.00592799975676731	0.00214024166373248	0.000272836286905668	0.00049996861683735	0.000121092343491275	1.97805705237951e-05	0.000136318833420919	0.651224530723875	5.7678286405231e-05	0.000228689410158977	6.91819428881768e-06	3.297031946167e-05	3.64769301850121e-06	0.000297261438040808	0.00606078370580043	0.000126194918065316	0.000725761767692912	0.0109495070052814	0.000988031792237929	0.000369687813865628	0.0049871266121584	0.000652954082460515	0.00535730508585802	0.000115305215716228	8.54124539216427e-05	0.000127581472017054	7.14471230542459e-05	4.94188594750425e-05	0.139548113726545	0.102335283399466	9.4701276533871e-06	1.0604708492815	4.68821095874873e-06	1.1492415620591e-06
"Rhadinopsylla_integella"	0.166563445253456	0.458044437206232	0.00754346979479109	0.005226681054419	0.00774351247872334	0.0081828182599278	0.00271352638665417	0.00245546441537416	0.0037930661437458	0.000164087383556206	0.00146248130843337	0.00191312128739141	0.000396635856664712	0.000273515516606721	0.000190404320691114	0.0530988982638886	0.0974780732085969	0.0296383683430288	0.0487844161606451	0.0027376139830572	0.0223959440676942	0.0246101427851649	0.0253534535483671	0.000920093883456537	0.00538658232261019	0.00402032865709546	0.00249733778074499	0.0093241123906851	0.00254544550414284	0.00365300111817499	3.51615821906155e-05	2.5785160273118e-05	0.000358590564385273	1.52366856159334e-05	1.00042500016441	2.97471591035752e-05
"Leptopsylla_segnis"	0.0102566030073354	0.0683493736786626	0.0133766984326606	0.0086955889521398	0.262415164991266	0.00578826626266974	0.285601877867964	0.000469526869883929	0.00789697737793007	8.04469093441371e-05	0.000404378459798798	0.0028176704524351	6.82833354736226e-05	0.00012874578797802	0.000317064281123842	0.00640665043850237	0.0460440864635114	0.00340674496703678	0.0883862351542426	0.00605366692972049	0.0467278115364757	0.0152695527353624	0.00524855209290821	0.00147830231194465	0.00590537380508395	0.011284716753677	0.0861459114963944	0.00157299475115961	0.00685231646231347	0.000623149984062057	1.72386234308865e-05	1.26416571826501e-05	5.39075727754024e-05	7.47007015338416e-06	5.94943182071503e-05	1.00177651520919
