"Spermophilus_xanthoprymnus"	"Meriones_vinogradovi"	"Cricetulus_migratorius"	"Meriones_persicus"	"Microtus_arvalis"	"Mesocricetus_brandti"	"Meriones_tristrami"	"Arvicola_terrestris"	"Microtus_socialis"	"Apodemus_flavicollis"	"Crocidura_suaveolens"	"Dryomys_nitedula"	"Chionomys_nivalis"	"Allactaga_elater"	"Sciurus_anomalus"	"Neomys_schelkovnikovi"	"Neopsylla_setosa"	"Xenopsylla_cheopis"	"Citellophilus_transcaucasicus"	"Amphipsylla_schelkovnikovi"	"Nosopsyllus_iranus"	"Oropsylla_ilovaiskii"	"Nosopsyllus_consimilis"	"Ctenophthalmus_teres"	"Megabothris_walkeri"	"Ctenophthalmus_acuminatus"	"Wagnerina_schelkovnikovi"	"Amphipsylla_rossica"	"Ctenophthalmus_secundus"	"Neopsylla_pleskei"	"Nosopsyllus_mokrzeckyi"	"Stenoponia_ivanovi"	"Leptopsylla_segnis"	"Nosopsyllus_fasciatus"	"Callopsylla_saxatilis"	"Ctenophthalmus_bogatschevi"	"Frontopsylla_elata"	"Callopsylla_caspia"	"Stenoponia_tripectinata"	"Ceratophyllus_sciurorum"	"Xenopsylla_conformis"	"Ctenophthalmus_proximus"	"Mesopsylla_tuschkan"	"Rhadinopsylla_cedestis"	"Megabothris_turbidus"	"Ctenophthalmus_golovi"	"Myoxopsylla_jordani"	"Rhadinopsylla_integella"	"Ophthalmopsylla_volgensis"	"Hystrichopsylla_talpae"	"Paradoxopsyllus_hesperius"	"Mesopsylla_apscheronica"	"Rhadinopsylla_ucrainica"
"Crocidura_suaveolens"	0.0426586978069141	0.00165026135940741	0.0193508967554693	0.00155938905320725	0.141322518915622	0.0428144610421444	0.000422790102661874	0.0444459557525009	0.00399126454505339	0.0105102019794534	1.02311231590431	0.000287661805763731	0.000566357845319925	4.39871323900007e-05	1.69212826919842e-05	0.000579652050421412	0.0114940266661486	0.0014464123163682	0.00866753288530335	0.0116257798736335	0.000725373907637442	0.00209462459115579	0.0315283422287415	0.383729657378975	0.0353091662602972	0.0103047269034423	0.00059413678006796	0.0144052090041342	0.0013865691848142	0.00199731336928248	0.0181347002532863	0.00965652786516723	0.000628917147680478	0.00116224530452926	0.00267761403537364	0.00378119422703514	0.109149227009904	0.00286790041754471	9.66716185925053e-06	8.0376092786925e-05	1.84907792870425e-05	0.000373546096610696	0.000168675557510383	7.89113088095714e-06	0.000391809875726358	0.00107294754057414	7.12699085947182e-05	0.000354815975487385	6.40380581175178e-06	0.000459834660246059	4.71964871099937e-05	0.000118271991829128	0.000118271991829128
"Dryomys_nitedula"	0.00202897275721316	0.00060803579784896	0.0124188256353997	0.000214314009681334	0.042964365516876	0.00476251288424135	0.000143983403646123	0.00409079038039982	0.0123535377563149	0.0201424825846813	0.000379190562143101	1.16451134154702	0.000119957407571447	8.17712011980321e-05	0.0685006671498244	1.25847392785995e-05	0.000618601221710893	0.000857058652184681	0.000582442301116626	0.00619004331827718	0.0001654839050135	0.00010167904753597	0.0076307872296768	0.00833109740243287	0.00208769379623917	0.00236959869249832	0.000381299180522804	0.138030077928711	0.0040022767401251	0.000377700820841887	0.000460130973899484	0.00293574298000346	0.000722247688747421	0.000330174572273888	0.000567131965796121	0.00190725094679446	0.00108579566756143	0.00104363563950142	2.49394292009976e-06	0.325378168961666	2.54127284207116e-06	0.000562426761879934	0.000322775270400251	2.07479015261901e-06	0.00021712030599011	0.000326193664444829	0.158858411127928	3.94683388196797e-05	9.35596885908576e-07	0.00013979728476207	9.99645063095395e-06	1.31561129398932e-05	1.31561129398932e-05
"Chionomys_nivalis"	0.00324671669864228	0.000195413854132612	0.00327670206451329	9.64491212636419e-05	0.0714009275150624	0.00276676642452122	5.29082864314103e-05	0.103503917062945	0.000922796108642512	0.00169893090233558	0.000912465417459879	0.000146614609253991	1.14506530160691	7.01467855269048e-06	8.62438877964655e-06	3.17845938905176e-05	0.000871492127252509	0.000161367302313089	0.00147524121166711	0.00325620769369275	6.37512354541916e-05	0.000159742085025816	0.00440275761095056	0.0210414011555227	0.0372501762557759	0.000864612812333644	0.000100605632826899	0.00763641838812696	0.000307660163715324	0.000213623753327555	0.000455487715247738	0.00487880524235242	0.000456892272437558	0.000423276845825632	0.480280953708209	0.00189422797831955	0.00172966255630898	0.0021388413998467	8.83251292678533e-07	4.09658467033211e-05	1.14366546952935e-06	0.00023746647636098	2.72473135705955e-05	7.89223021356211e-07	3.46465050872848e-05	0.000542089471372491	2.51725686470774e-05	2.29290035181317e-05	4.0966634342865e-07	0.000232324059159639	0.0954221084672422	7.64300117271055e-06	7.64300117271055e-06
"Allactaga_elater"	0.00187803496857902	0.184190606237993	0.00423556031389109	0.0193553854485725	0.00288430432060785	0.00314730202527512	0.0105586644707007	0.000574021294623611	0.00123552582919228	0.0537597245851286	9.81251414853862e-05	0.00013838203279667	9.7126318421868e-06	1.05125688670857	8.14011957627469e-06	2.95720449988985e-06	0.000526727237836561	0.406351926863291	0.000360085248463586	0.00180381024422602	0.022418705742857	9.28191566035658e-05	0.0111752115391975	0.00195766937892708	0.000245973569391338	0.0039741550871194	0.000130045764724967	0.0030096875513909	0.00115009843738464	0.00101918484091209	0.000409427457377554	0.000197083700865829	0.00167288172700952	5.93033955817073e-05	4.59191649872276e-05	0.0025252737433322	0.000244094145250421	0.000871708618423623	0.000620405678850145	3.86655679873048e-05	0.000229510499390188	0.00147692566033496	0.202984293902219	0.000199982661859956	0.000513440309258989	2.18981889850921e-05	0.00018277187654445	2.60826134691309e-05	0.000103314359511139	9.38493813646806e-06	8.093859868489e-07	8.69420448971029e-06	8.69420448971028e-06
"Sciurus_anomalus"	0.000328216181313894	9.83587320049788e-05	0.00200892767631466	3.46684427425688e-05	0.00695011795125936	0.000770406495980218	2.32914329427552e-05	0.000661745502711735	0.00199836640175682	0.00325834277105138	6.13396497584427e-05	0.188376834662017	1.94048747542047e-05	1.32276943114464e-05	1.12872804909777	2.03576664800874e-06	0.000100067844688527	0.000138641840794581	9.4218607533572e-05	0.00100133053678013	2.67694552227721e-05	1.6448081219054e-05	0.00123439205185948	0.00134767752098179	0.000337715172921042	0.000383317435551198	6.16807497904537e-05	0.0223283949590562	0.00064742711972612	6.10986621950111e-05	7.44329516602107e-05	0.000474899599706442	0.000116834184944436	5.34105925737172e-05	9.17419356434901e-05	0.000308525888452045	0.000175643416811408	0.000168823412272288	4.03431942957315e-07	0.611458233214387	4.11088253864452e-07	9.09807997158717e-05	5.22136466823935e-05	3.35627818806016e-07	3.51224024395767e-05	5.27666221896047e-05	0.0256976841530471	6.38458422083054e-06	1.51346555073446e-07	2.26142666526877e-05	1.61707289618373e-06	2.12819474027685e-06	2.12819474027684e-06
"Neomys_schelkovnikovi"	0.0555678056675669	0.000946463827347576	0.00786489723271533	0.000321926718525687	0.137128116966817	0.0540877101387922	0.000288266675891732	0.047199268309398	0.00205697898633095	0.00934664569727289	0.016809909462221	0.000276864264129189	0.000572122690029317	3.84436584985681e-05	1.628613318407e-05	1.00081162690461	0.0149312719663186	0.00077606346958492	0.0110246295333352	0.00688667117055329	0.000411676748049006	0.0027253911087314	0.0146366435446749	0.537297010853615	0.018857070269779	0.0126766627026688	0.000241478458412538	0.0139264008436559	0.000756187468651364	0.00234777445653293	0.00061928119545549	0.00936992556280855	0.000517451102085918	0.00115789318697945	0.00270486894008305	0.00363750994722311	0.00496546732518835	0.00280723081726724	3.84744908659479e-06	7.73591326243323e-05	3.81731286789351e-06	0.000344630144642957	0.00014987236639108	3.86329006286398e-06	0.000459021522883102	0.00104110284031206	6.62500888640695e-05	0.000448240691757946	1.41020528308933e-06	0.000446186931562312	4.76768908357764e-05	0.000149413563919315	0.000149413563919315
"Neopsylla_setosa"	0.659368673870695	0.000407710596187121	0.00199667932350513	0.000135164294540485	0.00100797742765427	0.00234952961548931	9.76722295370513e-05	0.00034635830641134	0.0004723673696439	0.000381345278515568	8.92919296325502e-05	3.64565413277247e-06	4.20221223963171e-06	1.83430326597249e-06	2.14450243104263e-07	3.99980497356513e-06	1.16910184672022	0.000232936761667518	0.120660559819869	0.000831642684814216	0.00054846265322569	0.0323232416350829	0.00521942142125391	0.00264787089250012	0.00013781576213267	0.000539607604133105	6.13046846916963e-05	0.000162590359741546	0.000152946050309029	0.000336609034453772	3.58250446138905e-05	6.88748133863549e-05	2.78695051565673e-05	3.20285432638931e-05	1.98671256440366e-05	4.10345298558628e-05	3.66032119931526e-05	2.53953956295439e-05	1.64696159918649e-06	1.01863865474525e-06	1.60273867044054e-06	1.1456853046966e-05	6.16594084934554e-06	1.38587311055985e-06	1.9713947388906e-05	7.65275704292832e-06	1.65977269872375e-06	1.947123990737e-05	5.93592744031434e-07	3.27975301839785e-06	3.50184353302642e-07	6.49041330245667e-06	6.49041330245667e-06
"Xenopsylla_cheopis"	0.00101550437615464	0.566376917437571	0.00278913219877108	0.0591292183973132	0.000270908589363073	0.000797356015140111	0.0322009318483481	5.40170731244952e-05	0.000400454293055781	0.00195147027617104	1.31822618399365e-05	5.92560978883186e-06	9.12825720187176e-07	0.00166014300729817	3.48565281695992e-07	2.43891725199535e-07	0.000273272448555891	1.2512351357581	0.000187792135438286	0.00118848229851261	0.0687561288702394	5.02788806408275e-05	0.00339472811038084	0.000161456322082092	2.32071169820323e-05	0.000295579903381144	8.56356190982909e-05	0.000157092329578831	0.000491629381578102	0.00220911608719281	0.000569953145185109	1.85111075161319e-05	8.06056604540065e-05	2.14143015168338e-05	4.31563715488493e-06	9.5513732770168e-05	1.45849763947699e-05	3.46519095055791e-05	0.00190656739800011	1.65568508805596e-06	0.000701136977043239	5.41436181013808e-05	0.000349006293136872	0.000611442646594344	2.33554158160679e-05	2.05678972401466e-06	6.75764219899851e-06	6.60792277740424e-06	0.000316154380621046	8.81481310291996e-07	7.6068810015598e-08	2.20264092580141e-06	2.20264092580141e-06
"Citellophilus_transcaucasicus"	0.659842614641314	0.000394393248664984	0.0015191177848868	0.000130683367626612	0.00185332261627894	0.000995259337775312	9.22910104210823e-05	0.00104254570099961	0.000315842337291692	0.000365199922409817	9.44246632884287e-05	4.81357273650104e-06	9.97533501502931e-06	1.7584929489206e-06	2.83151337441238e-07	4.1414836714257e-06	0.169205811347698	0.000224475798258687	1.12075470486142	0.000662111478588104	0.000540901296440169	0.032346389418116	0.00507309401403792	0.00274166219048381	0.000393893987229303	0.000244570687077897	4.66419598358676e-05	0.000225810160339388	0.000104327152257557	0.000282041523204345	3.01999564137612e-05	0.000126637011741403	2.63563483563999e-05	2.47879458231498e-05	4.71611672099441e-05	6.08299975143059e-05	5.44684878543818e-05	4.53009629667338e-05	1.59297016981272e-06	1.34496885284588e-06	1.54960514972267e-06	1.22083480667185e-05	5.9052437089008e-06	1.31804276005927e-06	1.02135811608343e-05	1.40707790823781e-05	1.76981067984105e-06	8.24800556167385e-06	5.73943091925751e-07	6.03033389244774e-06	8.31277917919109e-07	2.74933518722462e-06	2.74933518722462e-06
"Amphipsylla_schelkovnikovi"	0.00334876180060036	0.00201950327363389	0.641002965486842	0.00123112189271737	0.00972080181217211	0.00310147455229632	0.000561499600876678	0.000666893514455564	0.0027416321186007	0.00202188666865434	0.000147871761550602	5.97284881588149e-05	2.57069028449428e-05	1.02848829714641e-05	3.51344047993029e-06	3.02046981164618e-06	0.00136163251860152	0.0016586625762575	0.000773044191228742	1.2580686738145	0.00180831992070399	0.000278583466959391	0.0190911319861923	0.00199955101530977	0.000383076246222861	0.00127890904032169	0.019680919325908	0.00300392668488899	0.00245963803814813	0.00427692181042665	0.0069413087953057	0.000664219646601782	0.00486990058253862	0.00339242940562736	0.000121536524005813	0.000315096785422143	0.000247151720902547	0.000195098514003369	9.82272493975821e-06	1.66888422796689e-05	1.45982833128542e-05	0.000171128454380439	3.27993052296277e-05	8.77010932909604e-06	3.99118890230561e-05	7.38021829557535e-05	1.43090824637845e-05	2.57028277814612e-05	5.16005415721543e-06	3.16295069810372e-05	2.14224190374523e-06	8.56760926048707e-06	8.56760926048707e-06
