"Toddalia_asiatica"	"Molinaea_alternifolia"	"Aphloia_theiformis"	"Psiadia_terebinthina"	"Stillingia_lineata"	"Croton_fothergillifolius"	"Roussea_simplex"	"Erythroxylum_macrocarpum"	"Chassalia_coriacea"	"Bertiera_zaluzania"	"Dodonaea_viscosa"	"Antirhea_borbonica"	"Claoxylon_linostachys"	"Stomorhina_lunata"	"Pachycerina_crinicornis"	"Apis_mellifera"	"Brachymyrmex_sp1_M_PL_062"	"Fannia_pusio"	"Technomyrmex_albipes"	"Chaetocnema_sp1_M_PL_062"	"Chrysomya_megacephala"	"Eristalinus_flaveolus"	"Musca_domestica"	"Allograpta_nasuta"	"Syritta_nigrofemorata"	"Phorinia_sp1_M_PL_062"	"Leptotes_pirithous"	"Lygaeidae_sp1_M_PL_062"	"Lygistorrhina_sp1_M_PL_062"	"Nacoleia_sp1_M_PL_062"	"Polistes_hebraeus"	"Psilopa_iceryae"	"Diptera_sp1_M_PL_062"	"Paragus_borbonicus"	"Stomoxys_niger"	"Episyrphus_sp1_M_PL_062"	"Unidentified_sp7_M_PL_062"	"Graphomya_maculata"	"Sepsis_lateralis"	"Acalyptrate_sp1_M_PL_062"	"Homoneura_sp1_M_PL_062"	"Limnophora_quaterna"	"Pelecophora_intemipta"	"Stomoxys_calcitrans"	"Villa_unifasciata"	"Zosterops_mauritianus"	"Dioxyna_sororcula"	"Henotesia_narcissus"	"Phelsuma_cepediana"	"Pteromalidae_sp1_M_PL_062"	"Tarundia_servillei"	"Cheloninae_sp1_M_PL_062"	"Hyadina_sp1_M_PL_062"	"Ischiodon_aegyptius"	"Mauritiborium_undulatus"	"Panara_naso"	"Pterophoridae_sp1_M_PL_062"	"Sarcophaga_arno"
"Dodonaea_viscosa"	0.173504990752535	0.0155781912450235	0.011871170943424	0.0121903198366733	0.0491226101419939	0.0297004376096005	0.0199208495450134	0.00526559929599118	0.00670287925883706	0.000653594385823811	1.00837050232183	0.000172323367794597	0.000279864628795836	0.0230373964440571	0.552453153240584	0.00698523386344615	0.00657191627577427	0.00859450835313304	0.00882246776689168	0.00728799044586387	0.00219513433956648	0.00185998069958152	0.00479658989024096	0.00254203027123455	0.00314538798146258	0.00477185238436951	0.00221599266115045	0.000566991620310385	0.00169539145063944	0.000507443377581021	0.000913901509105426	0.00510308796330986	0.00312598428176325	0.000719703389063964	0.00154040455298934	0.000617246423663616	0.000670331864923783	0.000492189877896591	0.00255154398165493	0.00133970754932711	0.00133970754932711	0.000282085676570956	0.0019136579862412	0.000476564127945853	0.000453409521627665	0.000635771793989789	0.00127577199082747	0.00127577199082747	0.000423847862659859	0.00089313836621807	0.000609352659894279	0.000637885995413732	0.000446569183109035	9.40285588569852e-05	9.40285588569852e-05	0.000304676329947139	7.08739525387982e-05	0.000315962102229792
"Antirhea_borbonica"	0.0261729731955377	0.121750742975991	0.0090732342248579	0.00786234888794432	0.00546316724565452	0.0662165015743589	0.00259883637625335	0.0166949642069839	0.0294376515387954	0.00117431833366414	0.000258485051691895	1.04629557417701	0.000334535544590015	0.0259684817936894	0.0170600134116651	0.0121088241236682	0.00846052840455969	0.0165491276221971	0.00484957754096826	0.00585909104623825	0.00566686670751099	0.00309391524894043	0.00633675788762014	0.00108061847281054	0.00345163878770065	0.00110882751619104	0.267614160907997	0.000365690645950899	0.000221177563936455	0.00273494151712252	0.00032079874897468	0.000769793329280521	0.000347656097450742	0.00335165380060727	0.00311170419375923	0.00119470106040597	0.00093298752153164	0.263318929052885	0.00038489666464026	0.000148995470336032	0.000148995470336032	0.000894373082516996	0.000288672498480195	0.00152285754906155	0.00127044451896641	8.29415864761706e-05	0.00019244833232013	0.00019244833232013	5.52943909841137e-05	9.93303135573548e-05	0.00267615013989049	9.62241661600651e-05	4.96651567786774e-05	0.000298124360838998	0.000298124360838999	0.00133807506994525	4.57113307438623e-05	0.000704430867812329
"Claoxylon_linostachys"	0.0302435956838819	0.102957232069973	0.00751280725615238	0.00651865742714936	0.106048396050733	0.0526252626519931	0.00598656477104913	0.00901381315142568	0.000953059718207366	0.000938945074809031	0.000419796943193754	0.000334535544590015	1.00978066699018	0.018418233593675	0.0277065982507878	0.0106812871434973	0.00826464502726061	0.273012981488195	0.0071952327720332	0.267129869839664	0.00455020891973765	0.00233065536106729	0.00705099694624375	0.00103849268561121	0.00160696851978859	0.00105298629249674	0.00288207727098039	0.000303193368704622	0.000509494874131841	0.00231042331584531	0.000386389462277269	0.000889517520114174	0.00674853429413755	0.00279768324698614	0.00258873981422406	0.000878233882224406	0.000749339075142442	0.00152345344832796	0.000444758760057087	0.0028922289832018	0.0028922289832018	0.000482882847397804	0.000333569070042815	0.00116079234007386	0.00103773056202933	0.00019106057779944	0.000222379380028544	0.000222379380028544	0.00012737371853296	0.00192815265546787	8.66417925643059e-05	0.000111189690014272	0.000964076327733935	0.000160960949132601	0.000160960949132601	4.3320896282153e-05	3.78991710880777e-05	0.000559843219702053
"Stomorhina_lunata"	0.141597531176548	0.119795073462783	0.137450342519266	0.134356833736486	0.00820494247036928	0.0489472571670885	0.00894861000823148	0.0411682505766331	0.0174748330399456	0.00724742596625987	0.00064590831151562	0.000485392183059615	0.000344266048479907	1.06722050260632	0.0426299485600309	0.0476002411399428	0.0341134944844095	0.0186646357389163	0.00953375521310895	0.00528671660332525	0.00984048993032705	0.00987557206976487	0.00673557947988168	0.00525569592537597	0.00877319109009752	0.00672263458945338	0.00554296100039637	0.00624915505751097	0.000761583830487786	0.00458105235839961	0.00345043818339458	0.00416463326989848	0.000522132702659864	0.00386158367590623	0.00387898881964515	0.00363956269827591	0.00442643741272189	0.00166595306431837	0.00208231663494924	0.000223771158282799	0.000223771158282799	0.00220544199517677	0.00156173747621193	0.00176780759189109	0.00181380464235437	0.00028559393643292	0.00104115831747462	0.00104115831747462	0.000190395957621946	0.000149180772188532	0.0015886211854496	0.00052057915873731	7.45903860942662e-05	0.00073514733172559	0.00073514733172559	0.000794310592724801	0.000781144382188871	0.000520715501777537
"Pachycerina_crinicornis"	0.347009981505071	0.0311563824900469	0.0237423418868481	0.0243806396733466	0.0982452202839877	0.059400875219201	0.0398416990900268	0.0105311985919824	0.0134057585176741	0.00130718877164762	0.016741004643654	0.000344646735589193	0.000559729257591672	0.0460747928881142	1.10490630648117	0.0139704677268923	0.0131438325515485	0.0171890167062661	0.0176449355337834	0.0145759808917277	0.00439026867913295	0.00371996139916304	0.00959317978048191	0.0050840605424691	0.00629077596292516	0.00954370476873902	0.00443198532230091	0.00113398324062077	0.00339078290127888	0.00101488675516204	0.00182780301821085	0.0102061759266197	0.0062519685635265	0.00143940677812793	0.00308080910597868	0.00123449284732723	0.00134066372984757	0.000984379755793181	0.00510308796330986	0.00267941509865421	0.00267941509865421	0.000564171353141911	0.0038273159724824	0.000953128255891705	0.000906819043255331	0.00127154358797958	0.00255154398165493	0.00255154398165493	0.000847695725319719	0.00178627673243614	0.00121870531978856	0.00127577199082746	0.00089313836621807	0.00018805711771397	0.00018805711771397	0.000609352659894279	0.000141747905077596	0.000631924204459585
"Apis_mellifera"	0.0180792279780049	0.14201287644964	0.319482208852465	0.0738138947299075	0.00442222200391345	0.00723101349014327	0.0909623055561336	0.00587048986525422	0.00155358517166253	0.00244674823472464	0.00024947263798022	0.000288305336277815	0.000254316360559459	0.060633640499689	0.0164651941066945	1.09800958696289	0.0406635588131131	0.0198517951009235	0.00509999974456388	0.00114911119468586	0.00566366083143274	0.0119265058786371	0.00336243918547907	0.00959664458620411	0.00508106713191032	0.00185755607786503	0.00235913852981416	0.00343320440604221	0.00774147281328797	0.00773273094924299	0.00815280804471663	0.000531741999353084	0.000281414127521765	0.0035405393981832	0.00247014755472904	0.00500236104057067	0.00222267842920344	0.00136278727829686	0.000265870999676542	0.000120606054652185	0.000120606054652185	0.000314490528495762	0.000199403249757407	0.000788648485992484	0.0011129688605825	0.00290305230498299	0.000132935499838271	0.000132935499838271	0.00193536820332199	8.040403643479e-05	0.000141235015605684	6.64677499191356e-05	4.0202018217395e-05	0.000104830176165254	0.000104830176165254	7.06175078028421e-05	0.000429150550755276	7.69256754270561e-05
"Brachymyrmex_sp1_M_PL_062"	0.0512818563474339	0.132763864108492	0.153578778555773	0.233660821960127	0.0156852260955786	0.0184600590962169	0.0500807351650606	0.00602679186341764	0.00181603023409916	0.00234584695517663	0.000358468160496778	0.000307655578347625	0.00030053254644584	0.066366252906033	0.0236588985927873	0.0621043443691181	1.04895044900968	0.0195697470683947	0.00647324608024378	0.00312596228129057	0.00762148805015763	0.00907652677563428	0.0050629444645512	0.00772031105098802	0.00674855674812887	0.00550285439206837	0.00263303310879592	0.0108679452074478	0.00426219022681367	0.00509534615252252	0.00533261828309454	0.00150828989257158	0.000998150751536824	0.00439171146151045	0.00364189742421929	0.00267980868779032	0.00698884936206143	0.00140803138326263	0.000754144946285792	0.000427778893515781	0.000427778893515781	0.000322863849825945	0.000565608709714344	0.00087137183131646	0.00212224369897212	0.00159832133505513	0.000377072473142896	0.000377072473142896	0.00106554755670342	0.000285185929010521	0.000165093657645378	0.000188536236571448	0.00014259296450526	0.000107621283275315	0.000107621283275315	8.25468288226893e-05	0.00135849315093097	0.000196383607406562
"Fannia_pusio"	0.087631614744773	0.387575979301592	0.0217164389185759	0.015923675159257	0.10048048553203	0.0118648071856622	0.0191749390780974	0.00448918149634627	0.00182227766826445	0.0022393643257009	0.000585989205895434	0.000752233073736233	0.0124096809767361	0.0453890005469101	0.0386752875890987	0.0378988815563085	0.0244621838354934	1.06100072506009	0.0178784557014129	0.0141141822239516	0.0115297596051782	0.00482538128603184	0.0069640009264969	0.00231400432168857	0.00190671396877096	0.00261312785497257	0.00597742440177733	0.00074063605391893	0.00163190970877425	0.0086008974151262	0.00113587325967666	0.00257740043366979	0.00639421271567462	0.00850033887904362	0.00563612007858538	0.000637712920477312	0.000589118886738291	0.00362689482917893	0.0012887002168349	0.00274037687814626	0.00274037687814626	0.000240491865875693	0.000966525162626173	0.00186269291218382	0.00187510846363178	0.000611966140790344	0.000644350108417448	0.000644350108417449	0.000407977427193562	0.00182691791876418	0.000165661606205859	0.000322175054208724	0.000913458959382088	8.01639552918977e-05	8.01639552918977e-05	8.28308031029294e-05	9.25795067398662e-05	0.00012622135303896
"Technomyrmex_albipes"	0.315368595486414	0.199238603962789	0.0159233250254674	0.0145329987139093	0.0924061551752541	0.0119092650768022	0.00632498903569617	0.00473307202447458	0.00228245586353645	0.00153972897248103	0.00126035253812738	0.000461864527711263	0.000685260264003162	0.0485767527525076	0.0831832675164074	0.0203999989782555	0.0169537397339718	0.0374596214696271	1.02123417407014	0.0103833098921142	0.00732145947277744	0.00387991060205595	0.00674053415602315	0.00212352179474767	0.00437192339565315	0.00845410523931404	0.00437465432367649	0.00067595342855392	0.000538296939208185	0.0044914016719022	0.000597508523888529	0.009275546926071	0.00588039169297072	0.00446842361530696	0.0040516672394295	0.000522366445738091	0.000549165202173883	0.00194505449221951	0.0046377734630355	0.00252016786841602	0.00252016786841602	0.000253557429882567	0.00347833009727663	0.00106266047810388	0.00106263551337893	0.000201861352203069	0.00231888673151775	0.00231888673151775	0.000134574234802046	0.00168011191227735	0.000207495987594223	0.00115944336575888	0.000840055956138674	8.45191432941888e-05	8.45191432941888e-05	0.000103747993797112	8.449417856924e-05	0.000126694309327683
"Chaetocnema_sp1_M_PL_062"	0.0333427679907547	0.0242529489783005	0.00833479010603367	0.0101509545493405	0.323713098670902	0.19863624342231	0.00477132000609909	0.0315660711093564	0.00198996120456501	0.00151641597353523	0.00109319856687958	0.000585909104623825	0.0267129869839664	0.0282839338277901	0.0721511054140524	0.0048262670176806	0.00859639627354908	0.0310512008926936	0.0109024753867199	1.0544052971347	0.00667107607377243	0.0044972401582373	0.0212399868584781	0.00183996642075627	0.00452116011038341	0.00159881731501438	0.00555088468214424	0.000472137420899556	0.000406069787753114	0.00064079584825503	0.000409684589432413	0.000980669646786903	0.0205999244608756	0.00269039410890094	0.00471883917831086	0.00287522260842031	0.00240823741383148	0.00246691896413291	0.000490334823393452	0.00882853905466096	0.00882853905466095	0.00169103952371552	0.000367751117545089	0.00278047644811161	0.00227581378448555	0.000152276170407418	0.000245167411696726	0.000245167411696726	0.000101517446938278	0.00588569270310731	0.000180905564051365	0.000122583705848363	0.00294284635155365	0.000563679841238507	0.000563679841238507	9.04527820256825e-05	5.90171776124445e-05	0.00211315152576925
