"Sideroxylon_puberulum"	"Psiadia_terebinthina"	"Psidium_cattleianum"	"Helichrysum_proteoides"	"Stillingia_lineata"	"Grangeria_borbonica"	"Antidesma_madagascariense"	"Labourdonnaisia_callophylloides"	"Olea_lancea"	"Euodia_obtusifolia"	"Warneckea_trinervis"	"Homalanthus_populifolius"	"Phyllanthus_phillyreifolius"	"Wikstroemia_indica"	"Badula_platiphylla"	"Eugenia_orbiculata"	"Euodia_chapelieri"	"Gaertnera_sp1_M_PL_078"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_078"	"Villa_unifasciata"	"Pachycerina_crinicornis"	"Musca_domestica"	"Chrysomya_megacephala"	"Technomyrmex_albipes"	"Cerambycidae_sp1_M_PL_078"	"Stomorhina_lunata"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_078"	"Pelecophora_intemipta"	"Scolia_carniflex"
"Villa_unifasciata"	0.000162241473485484	0.0233228577840701	0.046414682515275	8.34493508935729e-06	1.88915445761357e-05	3.3945312428287e-05	0.00776590106424011	2.1776903190824e-05	0.00774142290941955	1.01484252030301e-05	2.02767074819524e-05	6.76561680202009e-06	6.76561680202009e-06	6.76561680202009e-06	3.38280840101005e-06	0.00773127448421652	3.38280840101005e-06	0.00773127448421652	0.00297391709735302	0.000845702100252512	1.00506568294815	0.000131146790596584	7.6309753766839e-07	8.34408895927653e-07	0.000396056649890769	0.000274386562165531	0.000137678214117455	9.27215009928588e-08	0.000137193281082765	3.62948386513734e-07	0.000137193281082765
"Pachycerina_crinicornis"	2.90667644328136e-05	2.3841675662608e-05	1.21980879100134e-05	0.0112496548177476	0.0670368735588304	3.80192367245204e-05	0.0112187134334553	0.0112127317935108	4.04655127917016e-05	3.90083262295173e-05	2.59122640268082e-06	2.60055508196782e-05	2.60055508196782e-05	2.60055508196782e-05	1.30027754098391e-05	1.45718656218427e-06	1.30027754098391e-05	1.45718656218427e-06	0.000380046539059853	0.00325069385245978	0.000189434253083955	1.00496797848901	0.000375531625878127	0.000250108596341011	0.000374097359599467	2.80490301913036e-07	6.83377104163952e-07	0.00012499616464164	1.40245150956518e-07	0.00018687886322518	1.40245150956518e-07
"Musca_domestica"	0.000115436420225838	3.79841426192181e-05	1.0037746210165e-05	0.0754398079551717	8.52709118811736e-05	0.0251165248139209	2.87803321208367e-05	3.37002104537699e-05	2.89602454378963e-05	2.89411679994546e-05	7.44246118463607e-06	1.92941119996364e-05	1.92941119996364e-05	1.92941119996364e-05	9.64705599981819e-06	1.90774384417098e-08	9.64705599981819e-06	1.90774384417098e-08	0.00109156097374662	0.00241176399995455	2.48006699742227e-06	0.000844946158225785	1.00287346776251	0.0016769019224625	1.18278053708212e-06	4.46872266108448e-07	0.000359030933474781	0.000838220088390797	2.23436133054224e-07	5.61670174229498e-07	2.23436133054224e-07
"Chrysomya_megacephala"	0.0335638292262447	5.91263903784952e-05	2.95607689381404e-05	0.0670374801820611	6.80744306637729e-05	9.00590050238951e-05	2.04685803254245e-05	3.51275836940484e-05	1.8080525025435e-05	1.80527113955707e-05	2.20454153692162e-05	1.20351409303805e-05	1.20351409303805e-05	1.20351409303805e-05	6.01757046519024e-06	2.78136298642551e-08	6.01757046519024e-06	2.78136298642551e-08	0.00323332758748504	0.00150439261629756	3.61577188235316e-06	0.000750325789023033	0.00223586922995	1.00162397709873	1.03008830719157e-06	6.95604592688178e-07	1.63435951097116e-06	0.00074486089091179	3.47802296344089e-07	5.85459728234139e-07	3.47802296344089e-07
"Technomyrmex_albipes"	8.70870352787103e-05	0.0335717356673104	9.37201131451211e-05	3.06783074734529e-05	0.000101800508726362	3.88101326896073e-05	0.0668720958688766	3.77746191396779e-05	4.01829251361611e-05	2.69810368064689e-05	1.08815873752255e-05	1.79873578709792e-05	1.79873578709792e-05	1.79873578709792e-05	8.99367893548961e-06	1.32018883296923e-05	8.99367893548961e-06	1.32018883296923e-05	0.00159596614836641	0.0022484197338724	0.00171624548286	0.0011222920787984	1.57704071610949e-06	1.03008830719157e-06	1.00242655066034	0.000394961596086004	0.000198035228509996	3.40870083038366e-07	0.000197480798043002	6.29576985661299e-07	0.000197480798043002
"Cerambycidae_sp1_M_PL_078"	0.00025977637590957	0.100413330954348	0.000125606234596315	1.9356234272933e-07	1.48244279342251e-07	6.21104717888143e-05	5.32722436911515e-05	2.17381191461795e-05	1.37834252970449e-05	6.40971887683403e-08	3.2467699459992e-05	4.27314591788935e-08	4.27314591788935e-08	4.27314591788935e-08	2.13657295894468e-08	1.37193281082765e-05	2.13657295894468e-08	1.37193281082765e-05	0.00476192925413216	5.34143239736169e-06	0.00178351265407595	1.26220635860866e-06	8.93744532216897e-07	1.04340688903227e-06	0.000592442394129006	1.00118133330535	0.00059155394512676	2.15069269699255e-09	0.000590666652672635	3.62301985769659e-07	0.000590666652672635
"Stomorhina_lunata"	0.000247997450296742	0.0502820853357746	8.26227529554355e-05	6.56797259371398e-05	1.753676858578e-05	0.050111077992616	3.82761060484345e-05	3.23021537746193e-05	2.42156661604036e-05	1.73317554545308e-05	3.09894665401492e-05	1.15545036363539e-05	1.15545036363539e-05	1.15545036363539e-05	5.77725181817695e-06	6.88391070587276e-06	5.77725181817695e-06	6.88391070587276e-06	0.00454512175922189	0.00144431295454424	0.000894908391763459	3.07519696873778e-06	0.000718061866949562	2.45153926645674e-06	0.000297052842764995	0.00059155394512676	1.00101164951531	7.29774732634887e-07	0.00029577697256338	5.38369229576988e-07	0.00029577697256338
"Dysauxes_florida"	7.51757187398132e-05	3.65617758488734e-07	1.70571175368092e-07	0.100542688643718	0.000102052784877492	0.000102017914080095	3.06137866925432e-05	3.06448844706735e-05	2.70643582426076e-05	2.70550860925083e-05	8.62037060792826e-08	1.80367240616722e-05	1.80367240616722e-05	1.80367240616722e-05	9.01836203083611e-06	9.27215009928587e-09	9.01836203083611e-06	9.27215009928587e-09	1.26432102249615e-05	0.00225459050770903	1.20537951290716e-06	0.00112496548177476	0.00335288035356319	0.00223458267273537	1.0226102491151e-06	4.3013853939851e-09	1.45954946526977e-06	1.00111714098493	2.15069269699255e-09	5.10748074511225e-07	2.15069269699255e-09
"Lygaeidae_sp1_M_PL_078"	0.00025977637590957	0.100413330954348	0.000125606234596315	1.9356234272933e-07	1.48244279342251e-07	6.21104717888143e-05	5.32722436911515e-05	2.17381191461795e-05	1.37834252970449e-05	6.40971887683403e-08	3.2467699459992e-05	4.27314591788935e-08	4.27314591788935e-08	4.27314591788935e-08	2.13657295894468e-08	1.37193281082765e-05	2.13657295894468e-08	1.37193281082765e-05	0.00476192925413216	5.34143239736169e-06	0.00178351265407595	1.26220635860866e-06	8.93744532216897e-07	1.04340688903227e-06	0.000592442394129006	0.00118133330534527	0.00059155394512676	2.15069269699255e-09	1.00059066665267	3.62301985769659e-07	0.000590666652672635
"Pelecophora_intemipta"	0.000183720758919992	6.1591337580842e-05	3.08281378564363e-05	4.59673267060103e-05	0.000152541476802296	5.00105531369022e-05	4.57928691364271e-05	0.100227982480781	4.04504537058396e-05	4.04141588671882e-05	2.29577766183961e-05	2.69427725781255e-05	2.69427725781255e-05	2.69427725781255e-05	1.34713862890627e-05	3.62948386513734e-08	1.34713862890627e-05	3.62948386513734e-08	0.00336714057069809	0.00336784657226569	4.71832902467854e-06	0.00168190976902662	2.24668069691799e-06	1.75637918470242e-06	1.8887309569839e-06	7.24603971539317e-07	1.07673845915398e-06	5.10748074511225e-07	3.62301985769659e-07	1.00167046637468	3.62301985769659e-07
"Scolia_carniflex"	0.00025977637590957	0.100413330954348	0.000125606234596315	1.9356234272933e-07	1.48244279342251e-07	6.21104717888143e-05	5.32722436911515e-05	2.17381191461795e-05	1.37834252970449e-05	6.40971887683403e-08	3.2467699459992e-05	4.27314591788935e-08	4.27314591788935e-08	4.27314591788935e-08	2.13657295894468e-08	1.37193281082765e-05	2.13657295894468e-08	1.37193281082765e-05	0.00476192925413216	5.34143239736169e-06	0.00178351265407595	1.26220635860866e-06	8.93744532216897e-07	1.04340688903227e-06	0.000592442394129006	0.00118133330534527	0.00059155394512676	2.15069269699255e-09	0.000590666652672635	3.62301985769659e-07	1.00059066665267
