"Cabralea_canjerana"	"Trema_micrantha"	"Trichilia_clauseni"	"Protium_heptaphyllum"	"Chamissoa_altissima"	"Ixora_venulosa"	"Dendropanax_cuneatum"	"Chiroxiphia_caudata"	"Manacus_manacus"	"Vireo_olivaceus"	"Saltator_similis"	"Myiodynastes_maculatus"	"Tachyphonus_coronatus"	"Pitangus_sulphuratus"	"Turdus_leucomelas"	"Trichothraupis_melanops"	"Turdus_rufiventris"	"Tyrannus_savanna"	"Cyclarhis_gujanensis"	"Dacnis_cayana"	"Empidonomus_varius"	"Myiarchus_ferox"	"Myiophobus_fasciatus"	"Turdus_amaurochalinus"	"Tyrannus_melancholicus"
"Saltator_similis"	7.306641073551e-05	0.0297931432091557	0.0118732304085989	0.0355227583467153	4.2783774983364e-05	0.00595515627493351	0.0177499625849788	0.00153632935895589	0.0031242215842735	0.000771815211701122	1.00279298761579	1.71920966436494e-06	0.000918580557144065	1.28940724827371e-06	1.14613977624329e-06	6.4629875110215e-05	0.000444034479333941	2.86534944060823e-07	6.24906863610468e-05	1.43267472030412e-07	1.43267472030412e-07	1.43267472030412e-07	0.000295832709749646	8.50736610704788e-05	1.43267472030412e-07
"Myiodynastes_maculatus"	0.100809086646314	7.20350374871989e-05	0.000101069055151321	7.81021400659536e-06	1.00536385182673e-05	8.45649811726983e-06	1.5899205065015e-06	0.00079477515811179	0.0002007577516596	0.00217998444793005	2.435547024517e-06	1.00237197850932	2.97504390300759e-06	0.00177898388199377	0.00158131900621669	1.03462432144664e-06	9.7627675082442e-08	0.000395329751554172	5.31942395533271e-07	0.000197664875777086	0.000197664875777086	0.000197664875777086	2.64986751083583e-08	1.20807115960998e-07	0.000197664875777086
"Tachyphonus_coronatus"	0.000126439365877822	0.0587275465285845	0.0251662172586787	0.00846490383573075	0.00843078482341619	5.37331110350397e-05	4.04760867779925e-05	0.00257859451388564	0.00226773465161892	0.00161374071075933	0.00130132245595409	2.97504390300759e-06	1.00153724025088	2.23128292725569e-06	1.98336260200506e-06	0.000553993016216487	0.000105811297946634	4.95840650501265e-07	0.000132453775045677	2.47920325250632e-07	2.47920325250632e-07	2.47920325250632e-07	6.74601446299876e-07	7.67615871929139e-07	2.47920325250632e-07
"Pitangus_sulphuratus"	0.100809086646314	7.20350374871988e-05	0.000101069055151321	7.81021400659536e-06	1.00536385182673e-05	8.45649811726983e-06	1.5899205065015e-06	0.00079477515811179	0.0002007577516596	0.00217998444793005	2.435547024517e-06	0.00237197850932503	2.97504390300759e-06	1.00177898388199	0.00158131900621669	1.03462432144664e-06	9.7627675082442e-08	0.000395329751554172	5.31942395533271e-07	0.000197664875777086	0.000197664875777086	0.000197664875777086	2.64986751083583e-08	1.20807115960998e-07	0.000197664875777086
"Turdus_leucomelas"	0.100809086646314	7.20350374871988e-05	0.000101069055151321	7.81021400659536e-06	1.00536385182673e-05	8.45649811726983e-06	1.5899205065015e-06	0.000794775158111789	0.0002007577516596	0.00217998444793005	2.435547024517e-06	0.00237197850932503	2.97504390300759e-06	0.00177898388199377	1.00158131900622	1.03462432144664e-06	9.7627675082442e-08	0.000395329751554172	5.31942395533271e-07	0.000197664875777086	0.000197664875777086	0.000197664875777086	2.64986751083583e-08	1.20807115960998e-07	0.000197664875777086
"Trichothraupis_melanops"	8.7943067322964e-05	0.000265611511077346	0.0168360721300346	4.57384880890786e-05	0.0837332618362836	3.16929018954918e-05	9.78107539802379e-06	0.00270017045491838	0.000849326380523791	0.000889301536639183	0.000183117979478942	2.06924864289327e-06	0.00110798603243297	1.55193648216995e-06	1.37949909526218e-06	1.00427527399776	5.71731101113483e-07	3.44874773815545e-07	8.86109059475503e-05	1.72437386907772e-07	1.72437386907773e-07	1.72437386907772e-07	1.63017923300397e-07	4.52755741364169e-07	1.72437386907772e-07
"Turdus_rufiventris"	2.48950571460227e-05	0.000371830997413449	6.5541488335125e-05	0.100353686456323	2.74047620315327e-05	7.08880193961546e-05	9.58542294557886e-05	0.000643639889153766	0.00378160906585857	5.80031397407183e-06	0.0037742930743385	5.85766050494652e-07	0.000634867787679806	4.39324537870989e-07	3.90510700329768e-07	1.71519330334045e-06	1.0012544210807	9.7627675082442e-08	3.44955201763816e-07	4.8813837541221e-08	4.8813837541221e-08	4.8813837541221e-08	1.59757049092981e-06	1.01268599137364e-06	4.8813837541221e-08
"Tyrannus_savanna"	0.100809086646314	7.20350374871989e-05	0.000101069055151321	7.81021400659536e-06	1.00536385182673e-05	8.45649811726984e-06	1.5899205065015e-06	0.00079477515811179	0.0002007577516596	0.00217998444793005	2.435547024517e-06	0.00237197850932503	2.97504390300759e-06	0.00177898388199377	0.00158131900621669	1.03462432144664e-06	9.7627675082442e-08	1.00039532975155	5.31942395533271e-07	0.000197664875777086	0.000197664875777086	0.000197664875777086	2.64986751083583e-08	1.20807115960998e-07	0.000197664875777086
"Cyclarhis_gujanensis"	0.000271290621721968	0.000228108504601072	0.100352077616189	5.51928322822106e-05	6.99321225282226e-05	1.46299681137029e-05	1.88693446645714e-05	0.00106911541755531	1.17896803028015e-05	0.00528865238635246	0.0010623416681378	6.38330874639925e-06	0.00158944530054813	4.78748155979944e-06	4.25553916426616e-06	0.000531665435685302	6.89910403527632e-07	1.06388479106654e-06	1.00052816882956	5.3194239553327e-07	5.31942395533271e-07	5.3194239553327e-07	3.14489077742857e-07	2.0899954448147e-07	5.3194239553327e-07
"Dacnis_cayana"	0.100809086646314	7.20350374871988e-05	0.000101069055151321	7.81021400659536e-06	1.00536385182673e-05	8.45649811726983e-06	1.5899205065015e-06	0.000794775158111789	0.0002007577516596	0.00217998444793005	2.435547024517e-06	0.00237197850932503	2.97504390300759e-06	0.00177898388199377	0.00158131900621669	1.03462432144664e-06	9.7627675082442e-08	0.000395329751554172	5.31942395533271e-07	1.00019766487578	0.000197664875777086	0.000197664875777086	2.64986751083583e-08	1.20807115960998e-07	0.000197664875777086
"Empidonomus_varius"	0.100809086646314	7.20350374871988e-05	0.000101069055151321	7.81021400659536e-06	1.00536385182673e-05	8.45649811726983e-06	1.5899205065015e-06	0.000794775158111789	0.0002007577516596	0.00217998444793005	2.435547024517e-06	0.00237197850932503	2.97504390300759e-06	0.00177898388199377	0.00158131900621669	1.03462432144664e-06	9.7627675082442e-08	0.000395329751554172	5.31942395533271e-07	0.000197664875777086	1.00019766487578	0.000197664875777086	2.64986751083583e-08	1.20807115960998e-07	0.000197664875777086
"Myiarchus_ferox"	0.100809086646314	7.20350374871988e-05	0.000101069055151321	7.81021400659536e-06	1.00536385182673e-05	8.45649811726983e-06	1.5899205065015e-06	0.00079477515811179	0.0002007577516596	0.00217998444793005	2.435547024517e-06	0.00237197850932503	2.97504390300759e-06	0.00177898388199377	0.00158131900621669	1.03462432144663e-06	9.7627675082442e-08	0.000395329751554172	5.31942395533271e-07	0.000197664875777086	0.000197664875777086	1.00019766487578	2.64986751083583e-08	1.20807115960998e-07	0.000197664875777086
"Myiophobus_fasciatus"	1.35143243052627e-05	0.000317542419285939	5.97529247711428e-05	0.00025561127854877	1.32723692411904e-05	6.86332803069281e-05	0.100281774413642	1.55345771680533e-05	0.00336548030357251	4.98536361477143e-06	0.00502915606574399	3.179841013003e-07	8.09521735559851e-06	2.38488075975225e-07	2.11989400866866e-07	9.78107539802379e-07	3.19514098185962e-06	5.29973502167166e-08	3.14489077742857e-07	2.64986751083583e-08	2.64986751083583e-08	2.64986751083583e-08	1.00167136290689	9.80475432956115e-07	2.64986751083583e-08
"Turdus_amaurochalinus"	6.16116291401088e-05	0.000414111647373182	3.97099134514793e-05	0.000162029758619782	5.01506980740709e-05	0.100223658837465	5.88285259773669e-05	0.00288109194184344	0.0043170894146806	5.43893053684022e-06	0.00144625223819814	1.44968539153197e-06	9.21139046314967e-06	1.08726404364898e-06	9.6645692768798e-07	2.71653444818501e-06	2.02537198274727e-06	2.41614231921995e-07	2.0899954448147e-07	1.20807115960997e-07	1.20807115960998e-07	1.20807115960998e-07	9.80475432956114e-07	1.00143176655482	1.20807115960997e-07
