"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Campnosperma_seychellarum"	"Craterispermum_microdon"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Colea_seychellarum"	"Cinnamomum_verum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_100"	"Lygistorrhina_sp1_M_PL_100"	"Scaptodrosophila_sp1_M_PL_100"	"Eristalinus_vicarians"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Phelsuma_sp1_M_PL_100"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_100"	"Unidentified_sp3_M_PL_100"
"Unidentified_sp1_M_PL_100"	0	0	0.101010101010101	0	0	0	0	0	0	0	0	1.00757575757576	0	0	0	0	0	0	0.00252525252525253	0	0	0
"Lygistorrhina_sp1_M_PL_100"	0	0	0	0	0.0405663056265466	0.0604437953835544	0	0	0	0	0	0	1.00739658972591	0	0.00135221018755155	0	0.00135221018755155	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_100"	0.000272695130457921	0.000117533280298218	0	0.100619523239032	0	0	2.62020234914235e-07	0	8.73400783047451e-08	1.83414164439965e-05	0.00504511032291471	0	0	1.00503097616195	0	0	0	3.40868913072402e-06	0	1.70434456536201e-06	7.34583001863864e-07	7.34583001863864e-07
"Eristalinus_vicarians"	0	0	0	0	0.100807269481968	0.000202831528132733	0	0	0	0	0	0	0.00338052546887888	0	1.00336024231607	0	0.00336024231606561	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0	0	0.100807269481968	0.000202831528132733	0	0	0	0	0	0	0.00338052546887888	0	0.00336024231606561	0	1.00336024231607	0	0	0	0	0
"Phelsuma_sp1_M_PL_100"	0.100534430791676	0.000301067187178596	0	0.000102260673921721	0	0	5.4256767993412e-05	0	1.80855893311373e-05	0.00379797375953884	0.00440913939059152	0	0	5.11303369608603e-06	0	0	0	1.0012566803849	0	0.000628340192447976	1.88166991986622e-06	1.88166991986622e-06
"Rhiparida_seychellensis"	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0.00757575757575758	0	0	0	0	0	0	1.00252525252525	0	0	0
"Cratopus_aurostriatus"	0.100534430791676	0.000301067187178596	0	0.000102260673921721	0	0	5.4256767993412e-05	0	1.80855893311373e-05	0.00379797375953884	0.00440913939059152	0	0	5.11303369608603e-06	0	0	0	0.00125668038489595	0	1.00062834019245	1.88166991986622e-06	1.88166991986622e-06
"Unidentified_sp2_M_PL_100"	0.000301067187178596	0.100532841993449	0	4.40749801118319e-05	0	0	9.90876370214998e-05	0	3.30292123405e-05	0.00693613459150499	0.00190036622582182	0	0	2.20374900559159e-06	0	0	0	3.76333983973245e-06	0	1.88166991986622e-06	1.00062833026246	0.000628330262459054
"Unidentified_sp3_M_PL_100"	0.000301067187178596	0.100532841993449	0	4.40749801118319e-05	0	0	9.90876370214998e-05	0	3.30292123405e-05	0.00693613459150499	0.00190036622582182	0	0	2.20374900559159e-06	0	0	0	3.76333983973245e-06	0	1.88166991986622e-06	0.000628330262459054	1.00062833026246
