"Pandanus_barklyi"	"Syzygium_coriaceum"	"Pittosporum_senacia"	"Aphloia_theiformis"	"Gaertnera_sp1_M_PL_067"	"Tabernaemontana_persicarifolia"	"Diospyros_revaughanii"	"Psiadia_terebinthina"	"Stillingia_lineata"	"Gaertnera_rotundifolia"	"Euodia_obtusifolia"	"Turraea_rigida"	"Gaertnera_petrinensis"	"Labourdonnaisia_callophylloides"	"Phyllanthus_phillyreifolius"	"Euodia_chapelieri"	"Ochna_mauritiana"	"Cordemoya_integrifolia"	"Smilax_anceps"	"Apis_mellifera"	"Nacoleia_sp1_M_PL_067"	"Technomyrmex_albipes"	"Villa_unifasciata"	"Phorinia_sp1_M_PL_067"	"Paragus_borbonicus"	"Pachycerina_crinicornis"	"Phelsuma_cepediana"	"Chrysomya_megacephala"	"Hippotion_eson"	"Nogodinidae_sp1_M_PL_067"	"Brachymyrmex_sp1_M_PL_067"	"Lecithoceridae_sp1_M_PL_067"	"Episyrphus_sp1_M_PL_067"	"Eristalinus_flaveolus"	"Ischiodon_aegyptius"	"Musca_domestica"	"Nacoleia_sp2_M_PL_067"	"Syritta_sp1_M_PL_067"	"Allograpta_nasuta"	"Cephonodes_trochilus"	"Fannia_pusio"	"Lygaeidae_sp1_M_PL_067"	"Melanagromyza_sojae"	"Pheidole_megacephala"	"Sarrothripinae_sp1_M_PL_067"	"Stomorhina_lunata"	"Zosterops_mauritianus"
"Nacoleia_sp2_M_PL_067"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syritta_sp1_M_PL_067"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allograpta_nasuta"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cephonodes_trochilus"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fannia_pusio"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygaeidae_sp1_M_PL_067"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanagromyza_sojae"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pheidole_megacephala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sarrothripinae_sp1_M_PL_067"	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomorhina_lunata"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zosterops_mauritianus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
