"Arvicola_terrestris"	"Sorex_araneus"	"Clethrionomys_rutilus"	"Microtus_gregalis"	"Lagurus_lagurus"	"Apodemus_agrarius"	"Neomys_fodiens"	"Sicista_betulina"	"Microtus_agrestis"	"Talpa_europaea"	"Myospalax_aspalax"	"Spermophilus_erythrogenys"	"Microtus_oeconomus"	"Phodopus_campbelli"	"Tamias_sibiricus"	"Clethrionomys_glareolus"	"Cricetus_cricetus"	"Microtus_arvalis"	"Myopus_schisticolor"	"Cricetulus_barabensis"	"Clethrionomys_rufocanus"	"Micromys_minutus"	"Sicista_subtilis"	"Pteromys_volans"	"Sciurus_vulgaris"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Corrodopsylla_birulai"	"Megabothris_rectangulatus"	"Megabothris_turbidus"	"Hystrichopsylla_talpae"	"Ctenophthalmus_arvalis"	"Amphipsylla_sibirica"	"Ctenophthalmus_dilatatus"	"Ceratophyllus_indages"	"Pectinoctenus_pavlovskii"	"Frontopsylla_elata"	"Citellophilus_tesquorum"	"Leptopsylla_sicistae"	"Peromyscopsylla_silvatica"	"Megabothris_calcarifer"	"Neopsylla_pleskei"	"Amphipsylla_kuznetzovi"	"Peromyscopsylla_bidentata"	"Neopsylla_acanthina"	"Neopsylla_mana"	"Ctenophthalmus_pisticus"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_vinogradovi"	"Oropsylla_ilovaiskii"	"Ctenophthalmus_uncinatus"	"Amphipsylla_prima"	"Catallagia_dacenkoi"	"Rhadinopsylla_integella"
"Pteromys_volans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.0373345935727788	0.0056710775047259	0.0101134215500945	0.0193761814744802	0.000756143667296786	0.00784499054820416	0.00179584120982987	0.00103969754253308	0.00293005671077505	0.00699432892249527	0	0	0.00132325141776938	0.000378071833648393	0.000378071833648393	0.00132325141776938	0.000472589792060492	0.00179584120982987	0	0	0	0.000283553875236295	0.000189035916824197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0.0879069767441861	0.000813953488372093	0.0013953488372093	0.00325581395348837	0	0.0013953488372093	0.000465116279069767	0	0.00174418604651163	0	0	0	0.00174418604651163	0	0	0.000813953488372093	0.000232558139534884	0	0	0	0.000232558139534884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.000576923076923077	0.0713461538461539	0.0111538461538462	0.00153846153846154	0	0	0.00903846153846154	0.00115384615384615	0	0.00346153846153846	0	0	0	0	0	0	0.000769230769230769	0	0	0.000384615384615385	0	0.000576923076923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.0405970149253731	0.00746268656716418	0.0286567164179105	0.00477611940298507	0	0.00358208955223881	0	0.00208955223880597	0.00208955223880597	0.00208955223880597	0	0	0.000895522388059702	0	0	0.0026865671641791	0.00328358208955224	0	0.0017910447761194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.0092436974789916	0.0441176470588235	0.00630252100840336	0.00210084033613445	0	0.00546218487394958	0.0243697478991597	0.000840336134453782	0.00336134453781513	0	0	0	0.00168067226890756	0	0	0.00168067226890756	0	0	0	0.000840336134453782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.0023121387283237	0.00635838150289017	0.0421965317919075	0.0121387283236994	0	0.00520231213872832	0	0.0023121387283237	0.00867052023121387	0.0023121387283237	0	0	0.00173410404624277	0	0	0.00115606936416185	0	0	0.00867052023121387	0	0.0069364161849711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.0603896103896104	0.00714285714285714	0.00584415584415584	0.00779220779220779	0	0.00714285714285714	0	0.00844155844155844	0	0	0	0	0	0	0	0.00194805194805195	0	0	0	0	0	0.0012987012987013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.00204081632653061	0.00748299319727891	0.0231292517006803	0.0129251700680272	0	0.00816326530612245	0.00408163265306122	0.0170068027210884	0.00816326530612245	0	0	0	0.00340136054421769	0	0	0	0.00136054421768707	0.00272108843537415	0	0.00476190476190476	0.00204081632653061	0	0.00272108843537415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_arvalis"	0.00859375	0.003125	0.0015625	0	0.08203125	0	0	0	0	0	0	0.0046875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.0850877192982456	0.00350877192982456	0.00350877192982456	0	0	0.0043859649122807	0	0	0	0	0	0	0	0	0	0	0.00350877192982456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_dilatatus"	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0	0	0.003125	0	0	0	0	0	0	0	0	0.071875	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pavlovskii"	0.0128205128205128	0	0	0	0.0487179487179487	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0.00512820512820513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0	0.00972222222222222	0.0152777777777778	0.0305555555555556	0	0.00833333333333333	0	0.00972222222222222	0	0.00416666666666667	0	0	0.00277777777777778	0.00555555555555556	0	0	0	0.00416666666666667	0	0.00277777777777778	0	0.00277777777777778	0.00416666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_tesquorum"	0	0.00357142857142857	0.00892857142857143	0	0.0607142857142857	0	0	0	0	0	0	0.0160714285714286	0	0.0107142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_sicistae"	0	0	0	0	0	0	0	0.0943396226415094	0	0	0	0	0	0	0	0	0	0.00566037735849057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0	0	0.0807692307692308	0.00576923076923077	0.00384615384615385	0	0	0	0	0	0	0	0.00961538461538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0	0.004	0.004	0.02	0	0	0	0	0.036	0	0	0	0.012	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0.00869565217391304	0	0	0.0260869565217391	0.00652173913043478	0	0	0	0.00434782608695652	0	0	0	0	0.0282608695652174	0	0	0.0152173913043478	0.0108695652173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_kuznetzovi"	0.0157894736842105	0	0.0263157894736842	0.0578947368421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.0210526315789474	0.0105263157894737	0	0	0	0.0578947368421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105263157894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_acanthina"	0.0133333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0866666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_mana"	0.0214285714285714	0	0	0	0	0.0142857142857143	0.0214285714285714	0.0214285714285714	0	0	0	0	0	0	0	0	0.0214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_pisticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tarsopsylla_octodecimdentata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0777777777777778	0.0222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_vinogradovi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_ilovaiskii"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_uncinatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_prima"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
