"ID"	"Species"	"MDim"	"Degree"	"GC_Aff"	"Fiedler"	"Mod_Aff"	"m6"
"Herb_Bodner2009"	"Gaultheria_erecta"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Heliocarpus_americanus"	1	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Hyptis_sp."	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Lichen_sp._indet."	1	3	NA	NA	NA	NA
"Herb_Bodner2009"	"Melastomataceae_sp._indet."	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Miconia_sp."	1	1	1	-1	0	0
"Herb_Bodner2009"	"Monochaetum"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Monochaetum_lineatum"	1	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Munnozia_hastifolia"	1	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Myrica_pubescens"	1	6	NA	NA	NA	NA
"Herb_Bodner2009"	"Paullinia_grandifolia"	1	1	1	-1	2	0
"Herb_Bodner2009"	"Piper_carpunya"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Piper_parareolatum"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Piper_sp._Type_1"	1	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Piper_sp._Type_3"	1	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Piper_sp._Type_8"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Pteridium"	1	3	NA	NA	NA	NA
"Herb_Bodner2009"	"Pteridium_arachnoideum"	1	3	1	-1	3	0
"Herb_Bodner2009"	"Saurauia_sp._JH1604"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Saurauia_sp."	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Sida_rhombifolia"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Siparuna_aspera"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Solanum_nutans"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Solanum_sp."	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Stemodia_suffruticosa"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Sticherus_sp."	1	1	1	-1	3	0
"Herb_Bodner2009"	"Tabebuia_chrysantha"	1	2	1	-1	2	0
"Herb_Bodner2009"	"Tapirira_guianensis"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Tibouchina_laxa"	1	4	1	1	1	0
"Herb_Bodner2009"	"Tibouchina_lepidota"	1	2	1	-1	0	0
"Herb_Bodner2009"	"Urticaceae_sp._indet."	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Viburnum_stipitatum"	1	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Pero_maculicosta"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Bryoptera_sp._2166"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Glena_sp._nr._juga"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Glena_sp._2167"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Iridopsis_scolancala"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Iridopsis_sp._nr._subnigrata"	2	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Melanolophia_atigrada"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Melanolophia_corza"	2	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Melanolophia_reducta_meridiana"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Oenoptila_sp._nr._nigriceps"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Physocleora_curvifera"	2	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Apiciopsis_sp._2168"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Callipseustes_sp._2169"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Mychonia_corticinaria"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Mychonia_violacea"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Cargolia_arana"	2	1	1	-1	0	0
"Herb_Bodner2009"	"Ischnopteris_brehmi"	2	2	1	1	1	0
"Herb_Bodner2009"	"Rucana_bisecta"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Bonatea_duciata"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Bonatea_viridilinea"	2	4	NA	NA	NA	NA
"Herb_Bodner2009"	"Nephodia_admirationis"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Nephodia_sp._nr._astychiodes"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Isochromodes_brumosa"	2	3	1	-1	3	0
"Herb_Bodner2009"	"Isochromodes_duplicata"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Isochromodes_fraterna"	2	3	NA	NA	NA	NA
"Herb_Bodner2009"	"Isochromodes_polvoreata"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Isochromodes_sp._106"	2	5	1	-1	0	0
"Herb_Bodner2009"	"Mesedra_sp._nr._confinis"	2	1	1	1	1	0
"Herb_Bodner2009"	"Mesedra_sp._180"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Perusia_praecisaria"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Certima_sp._97"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Eustenophasma_fuscata"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Microxydia_colorata"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Microxydia_sp._nr._ruficomma"	2	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Nematocampa_sp._nr._falsa"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Pantherodes_conglomerata"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Phyllodonta_flabellaria"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Phyllodonta_semicava"	2	1	1	-1	3	0
"Herb_Bodner2009"	"Prochoerodes_pilosa"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Sabulodes_bolivaria"	2	2	1	-1	2	0
"Herb_Bodner2009"	"Sabulodes_thermidora"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Sabulodes_sp._nr._carbina"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Cyclophora_costinotata"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Cyclophora_viator"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Erateina_radiaria"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Erateina_siliquata"	2	1	1	1	1	0
"Herb_Bodner2009"	"Perizoma_emmelesiata"	2	1	1	1	1	0
"Herb_Bodner2009"	"Eois_encina"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Eois_mucosa"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Eois_olivacea"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Eois_tegularia"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Eois_sp._nr._encina"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Eois_sp._nr._odatis"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Eupithecia_lachaumei"	2	1	NA	NA	NA	NA
