"ID"	"NRow"	"NCol"	"NLinks"	"Connectance"	"NComp"	"LargeCompSize"	"nLargeComp"	"SA_NMod"	"SA_Modularity"	"FG_NMod"	"FG_Modularity"	"FG_PNull"	"MS_congr"	"MS_mean"	"MS_sd"	"MS_pval"
"25_aluksnes"	48	22	247	0.2339	1	70	1	5	0.302841	5	0.266723	0	0.453	0.060227	0.0410436359384869	0
"26_raznas"	48	86	490	0.1187	1	134	1	5	0.318334	6	0.303007	0	0.686	0.037165	0.0238982195968633	0
"27_trespalos"	13	39	132	0.2604	1	52	1	5	0.282656	6	0.260991	1	0.829	0.07864	0.0503031490744546	0
"28_mekong"	52	125	280	0.0431	4	170	1	9	0.623228	10	0.618508	0	0.817	0.048088	0.0232983490631647	0
"29_tonkin"	80	212	523	0.0308	12	264	1	9	0.577915	13	0.537729	0	0.7	0.029788	0.0160983916654495	0
"3_smallwood"	6	25	53	0.3533	2	28	1	4	0.286044	4	0.253556	0.7	1	0.11316	0.0833771800563809	0
"30_coyuca"	10	33	104	0.3152	1	43	1	5	0.274223	5	0.249723	0.96	0.419	0.0957	0.0613246990919541	0.003
"4_parsnip"	17	53	158	0.1754	1	70	1	4	0.425773	5	0.431662	0	0.14	0.042257	0.031626938110007	0.024
"5_mcgregor"	14	51	114	0.1597	1	65	1	6	0.447753	6	0.434249	0.32	0.714	0.077588	0.0478944478424601	0
"6_woods"	31	144	384	0.086	1	175	1	7	0.474582	9	0.46874	0	0.362	0.033871	0.0196416943045949	0
"7_coldlake"	10	40	91	0.2275	1	50	1	5	0.441251	5	0.423862	0	0.308	0.08342	0.0562952285078651	0.005
"8_aishihik"	7	29	78	0.3842	1	36	1	4	0.281394	5	0.246548	0.88	1	0.0906	0.0691007591486151	0
"9_coastalrj"	39	339	678	0.0513	1	378	1	11	0.606865	14	0.598519	0	0.805	0.026409	0.0121684752861971	0
"A_HP_001"	10	18	61	0.3389	1	28	1	5	0.314432	5	0.282585	0.21	0.635	0.148227	0.0936132197176548	0
"A_HP_002"	18	24	96	0.2222	2	40	1	5	0.304155	4	0.280554	0.86	0.568	0.102677	0.068021331746538	0.002
"A_HP_003"	23	9	108	0.5217	2	30	1	4	0.172504	4	0.109398	0.99	0.572	0.101423	0.0785184769479275	0.005
"A_HP_004"	6	21	52	0.4127	2	25	1	3	0.267589	3	0.230104	0.09	0.148	0.08549	0.0749794626535815	0.257
"A_HP_005"	7	13	51	0.5604	1	20	1	4	0.166859	5	0.110534	1	0.412	0.165596	0.118521652731331	0.065
"A_HP_006"	16	37	123	0.2078	1	53	1	5	0.357195	5	0.353956	0.05	1	0.078711	0.0504590090131642	0
"A_HP_007"	8	17	43	0.3162	1	25	1	4	0.374256	4	0.347485	0.1	0.598	0.124284	0.0907435272167207	0
"A_HP_008"	8	24	37	0.1927	3	26	1	6	0.416896	6	0.386134	0.89	1	0.210431	0.110866869269867	0.001
"A_HP_009"	14	22	97	0.3149	2	34	1	5	0.243164	4	0.213487	0.92	1	0.120363	0.0758987605488578	0
"A_HP_010"	18	31	88	0.1577	1	49	1	4	0.500387	4	0.472947	0	0.918	0.061839	0.0445411157245751	0
"A_HP_011"	4	19	43	0.5658	1	23	1	4	0.232558	4	0.190373	1	0.84	0.142332	0.107095673391875	0
"A_HP_012"	7	23	63	0.3913	1	30	1	4	0.246662	4	0.22449	0.8	0.583	0.106437	0.080883893546461	0.001
"A_HP_013"	11	22	103	0.4256	1	33	1	4	0.22217	5	0.176925	0.96	0.788	0.099058	0.0740738791719158	0
"A_HP_014"	11	19	68	0.3254	1	30	1	4	0.29282	4	0.260272	0.7	0.749	0.100909	0.0806207195416874	0
"A_HP_015"	3	7	12	0.5714	1	10	1	3	0.25	3	0.208333	0.85	0.643	0.203295	0.169381817723081	0.094
"A_HP_016"	6	21	52	0.4127	2	25	1	3	0.267589	3	0.230104	0.15	0.148	0.084157	0.0725842877614007	0.258
"A_HP_017"	5	9	19	0.4222	1	14	1	4	0.288089	4	0.263158	0.8	0.611	0.203993	0.153151854188715	0.022
"A_HP_018"	15	21	127	0.4032	1	36	1	4	0.216256	4	0.195827	0.33	0.325	0.085848	0.0648958270181093	0.012
"A_HP_019"	9	18	36	0.2222	1	27	1	6	0.429012	6	0.404321	0.79	1	0.19189	0.106682365117329	0
"A_HP_020"	16	17	105	0.386	2	31	1	3	0.206084	4	0.16323	0.94	0.58	0.066466	0.062734619441553	0
"A_HP_021"	9	15	57	0.4222	1	24	1	5	0.227147	3	0.188673	0.97	1	0.180142	0.112055290924723	0.006
"A_HP_022"	16	18	68	0.2361	1	34	1	5	0.32872	4	0.312824	0.82	0.787	0.122535	0.0817234574556076	0
"A_HP_023"	9	8	41	0.5694	1	17	1	3	0.22903	3	0.198394	0.17	1	0.122576	0.113568322995402	0
"A_HP_024"	7	20	39	0.2786	2	25	1	4	0.350416	5	0.326524	0.51	1	0.135279	0.0982671949360548	0
"A_HP_025"	18	40	107	0.1486	4	52	1	6	0.401072	6	0.384985	0.21	0.398	0.098816	0.0550337792711064	0.001
"A_HP_026"	15	18	142	0.5259	1	33	1	4	0.167873	5	0.09455	1	0.202	0.096484	0.0591131127932213	0.148
"A_HP_027"	17	30	108	0.2118	3	43	1	5	0.308028	5	0.272294	0.84	0.541	0.094287	0.0619614384181876	0
"A_HP_028"	4	15	19	0.3167	2	16	1	3	0.380623	3	0.358131	0.67	1	0.142078	0.120908721086756	0.001
"A_HP_029"	15	34	79	0.1549	1	49	1	5	0.476046	5	0.473882	0.01	0.634	0.084308	0.0535443006129329	0
"A_HP_030"	14	15	51	0.2429	2	27	1	5	0.3252	4	0.288	0.94	1	0.157315	0.0981602221075533	0
"A_HP_031"	25	31	174	0.2245	3	50	1	4	0.263114	5	0.231436	0.56	0.542	0.059278	0.0436900622285839	0
"A_HP_032"	14	13	32	0.1758	4	21	1	4	0.429251	4	0.421522	0.17	1	0.159351	0.11414824405404	0
"A_HP_033"	22	25	198	0.36	1	47	1	6	0.184496	6	0.154793	1	1	0.111698	0.0723060091206461	0
"A_HP_034"	9	8	35	0.4861	1	17	1	4	0.206531	5	0.158776	0.99	0.696	0.197208	0.131320309776362	0.016
"A_HP_035"	6	7	15	0.3571	1	13	1	4	0.364444	4	0.335556	0.76	0.838	0.228062	0.151516062756637	0.004
"A_HP_036"	8	13	30	0.2885	1	21	1	3	0.423333	3	0.422778	0.03	1	0.100882	0.0940565186720448	0
"A_HP_037"	17	21	90	0.2521	1	38	1	5	0.336173	5	0.303704	0.17	0.511	0.109209	0.069123913622092	0
"A_HP_038"	10	20	52	0.26	2	28	1	4	0.364475	5	0.35198	0.16	1	0.108133	0.0840697629117392	0
"A_HP_039"	6	11	29	0.4394	1	17	1	4	0.281807	4	0.242568	0.75	1	0.190523	0.13772305221026	0
"A_HP_040"	8	18	28	0.1944	3	22	1	4	0.408284	4	0.383876	0.85	1	0.148055	0.111045752436255	0
"A_HP_041"	11	10	50	0.4545	1	21	1	3	0.2368	4	0.1954	0.7	0.568	0.102882	0.0994307424720773	0.003
"A_HP_042"	21	32	84	0.125	4	46	1	5	0.436406	4	0.400703	0.82	0.78	0.089915	0.0628558400757768	0
"A_HP_043"	9	29	73	0.2797	2	36	1	5	0.291281	5	0.26765	0.91	0.613	0.117364	0.0760118629380132	0
"A_HP_044"	27	26	197	0.2806	1	53	1	5	0.233966	6	0.200405	0.91	1	0.074821	0.07219051481621	0.001
"A_HP_045"	7	16	57	0.5089	1	23	1	4	0.204986	4	0.164358	0.94	1	0.138393	0.0992459485788176	0
"A_HP_046"	17	39	202	0.3047	1	56	1	4	0.246422	4	0.230664	0.05	0.479	0.055504	0.0432705942682595	0
"A_HP_047"	11	26	100	0.3497	2	33	1	4	0.212456	4	0.206611	0.5	0.254	0.099035	0.0753067519010207	0.05
"A_HP_048"	12	14	71	0.4226	1	26	1	3	0.260067	2	0.194803	0.69	0.343	0.080442	0.0749948455752985	0.034
"A_HP_049"	5	19	39	0.4105	1	24	1	3	0.350427	3	0.324458	0.09	1	0.094678	0.0873863873649477	0
"A_HP_050"	27	35	226	0.2392	2	60	1	6	0.265837	5	0.232089	0.19	0.901	0.087817	0.0506446679660692	0
"A_HP_051"	13	26	107	0.3166	1	39	1	4	0.24893	5	0.204035	1	0.379	0.079366	0.0567921067348922	0
"A_PH_004"	52	22	184	0.1608	1	74	1	5	0.422909	5	0.366996	0	0.757	0.05809	0.0404840321220214	0
"A_PH_005"	54	24	173	0.1335	1	78	1	5	0.419192	6	0.397307	0.03	0.781	0.05806	0.0383463798140691	0
"A_PH_006"	6	88	116	0.2197	1	94	1	5	0.392539	5	0.376672	0.95	1	0.054107	0.0420302044854541	0
"A_PH_007"	5	64	95	0.2969	1	69	1	3	0.328753	3	0.308199	1	1	0.031311	0.0298597703421323	0
"abe"	10	4	22	0.55	1	14	1	2	0.309917	2	0.305785	0.01	1	0.073824	0.108887949790643	0.001
"bac15"	25	12	146	0.4867	1	37	1	3	0.200225	3	0.192531	0	0.486	0.058089	0.0557753885954457	0
"barrangou"	7	6	25	0.5952	1	13	1	2	0.2144	2	0.2072	0.14	0.35	0.083582	0.102687155613192	0.057
"basker"	16	8	65	0.5078	1	24	1	4	0.175385	3	0.153728	0.85	0.6	0.117371	0.0794055451438978	0.001
"braunbreton"	17	3	30	0.5882	1	20	1	3	0.175556	3	0.126667	0.97	1	0.146814	0.144921536203753	0.016
"campbell"	5	5	14	0.56	1	10	1	4	0.22449	3	0.196429	0.83	0.583	0.350004	0.218089851132892	0.215
"capparelli"	16	8	54	0.4219	1	24	1	4	0.256516	3	0.235425	0.35	1	0.133353	0.0942759797156802	0
"caso"	9	4	17	0.4722	2	11	1	2	0.1875	2	0.179688	0.24	1	0.112254	0.138342937124568	0.01
"ceyssens"	4	12	29	0.6042	1	16	1	2	0.214031	2	0.192628	0.06	1	0.073996	0.102006869304892	0
"comeau2005"	23	13	152	0.5084	1	36	1	4	0.173996	4	0.142313	0.84	0.25	0.090313	0.068154002076173	0.042
"comeau2006"	17	16	118	0.4338	1	33	1	4	0.218472	4	0.204503	0.05	0.19	0.095525	0.0699005684130284	0.098
"depaola"	5	17	39	0.4588	1	22	1	3	0.291913	3	0.260026	0.42	1	0.103754	0.0904886715765221	0
"doi"	11	9	41	0.4141	3	13	1	3	0.101852	3	0.052855	0.9	1	0.177717	0.158327927554313	0.004
"DON"	45	46	273	0.1319	1	91	1	4	0.415758	3	0.408868	0	0.876	0.041449	0.0304055570068515	0
"duplessis"	12	12	37	0.2569	3	15	1	2	0.3	2	0.28	0	1	0.073721	0.0977763640987758	0
"ESKI"	14	13	52	0.2857	1	27	1	5	0.329142	5	0.268861	0.99	0.816	0.149928	0.0967687605015638	0
"FARIA"	14	8	35	0.3125	1	22	1	5	0.374694	4	0.353878	0.14	0.809	0.193939	0.118887869880003	0.001
"gamage"	4	5	9	0.45	2	7	1	3	0.21875	3	0.148438	1	1	0.403969	0.300001458186313	0.174
"goodridge"	49	2	60	0.6122	1	51	1	2	0.316667	2	0.299861	0.84	1	0.019261	0.0258629807402931	0
"GOR"	84	18	235	0.1554	1	102	1	3	0.459756	4	0.443323	0	0.927	0.020009	0.0199255601413598	0
"hansen"	17	10	111	0.6529	1	27	1	3	0.161513	2	0.142196	0	0.455	0.075162	0.0644331699467704	0.003
"Herb_Basset&Sam"	10	36	94	0.2611	1	46	1	5	0.367927	5	0.329448	0.64	0.898	0.090183	0.0618857120210502	0
"Herb_Bluthgen2006"	38	12	54	0.1184	4	43	1	6	0.5296	5	0.5188	0.76	0.779	0.118417	0.0688757503042978	0
"Herb_Bodner2009"	45	59	76	0.0286	28	19	1	4	0.574074	4	0.564815	0.46	1	0.166868	0.118069314129197	0
"Herb_Coley2006"	37	45	83	0.0498	9	61	1	8	0.705714	8	0.697347	0	0.867	0.115599	0.0574465865766567	0
"Herb_CuevasReyes"	29	29	29	0.0345	29	2	29	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Herb_Dawah1995"	10	17	19	0.1118	8	8	1	3	0.367347	3	0.357143	0.82	1	0.32375	0.237483864896304	0.043
"Herb_Futuyma1979"	18	57	440	0.4288	1	75	1	5	0.180563	4	0.161643	0.01	0.886	0.055809	0.0391630982848302	0
"Herb_Hen&Mem_P100"	32	26	74	0.0889	3	54	1	8	0.495563	7	0.496142	0.99	1	0.128528	0.0625612589957006	0
"Herb_Hen&Mem_P199"	22	23	47	0.0929	5	37	1	6	0.518659	5	0.509735	0.99	1	0.144619	0.0914507905164635	0
"Herb_Hen&Mem_P200"	32	27	69	0.0799	5	51	1	8	0.51432	8	0.505562	1	1	0.140107	0.0724217402404793	0.001
"Herb_Hen&Mem_P299"	26	25	53	0.0815	5	43	1	7	0.551853	9	0.542691	1	1	0.143962	0.0763289503705158	0
"Herb_Janzen1980"	95	110	160	0.0153	55	19	1	4	0.512397	4	0.494835	0.05	1	0.175177	0.125648100328322	0
"Herb_Jermy2003"	51	27	66	0.0479	17	16	1	4	0.404321	4	0.387346	0.63	0.556	0.177144	0.128551050702189	0.022
"Herb_Loye1992"	42	34	76	0.0532	10	53	1	6	0.631634	7	0.636837	0.07	1	0.095327	0.0561827604659434	0
"Herb_Memmott1994"	54	92	103	0.0207	45	12	1	4	0.372781	4	0.346154	0.9	1	0.301157	0.183130093054042	0.001
"Herb_Muller1999"	26	25	47	0.0723	13	14	1	2	0.24	2	0.23875	0.7	1	0.117473	0.146186380106796	0.004
"Herb_Nakagawa2003_96"	20	29	109	0.1879	1	49	1	6	0.334231	6	0.312095	0.83	0.74	0.106138	0.0647858175695743	0
"Herb_Nakagawa2003_98"	13	37	91	0.1892	1	50	1	6	0.396933	6	0.370789	0.83	0.325	0.104262	0.0600660576972327	0.004
"Herb_Novotny2005"	30	29	48	0.0552	14	13	1	4	0.357143	4	0.329082	0.97	1	0.261078	0.172237207279878	0.002
"Herb_Novotny2012"	38	544	1832	0.0886	1	582	1	5	0.436927	7	0.441304	0	0.415	0.006821	0.00485185526365941	0
"Herb_Pearse&Alterm"	759	900	5219	0.0076	12	1637	1	13	0.552863	19	0.512735	0	0.316	0.007245	0.00302293121210409	0
"Herb_Prado&Lewin"	81	35	163	0.0575	2	113	1	6	0.626365	8	0.618688	0	1	0.045484	0.0280148634938059	0
"Herb_Rathcke1976_70"	7	10	22	0.3143	2	15	1	4	0.340136	4	0.309524	0.53	0.799	0.230238	0.162295616771443	0.007
"Herb_Rathcke1976_71"	7	11	21	0.2727	2	16	1	4	0.395	4	0.38625	0.32	0.873	0.194687	0.141042412036213	0
"Herb_Stary&Hav"	101	92	146	0.0157	52	42	1	6	0.622449	5	0.617914	0.84	1	0.121887	0.0712364714585574	0
"Herb_Tavakilian1997"	302	353	1002	0.0094	37	559	1	12	0.749479	24	0.753566	0	0.248	0.019823	0.00825674541480145	0
"Herb_Tscharnatke2001"	10	16	19	0.1187	8	9	1	4	0.333333	3	0.32716	0.75	1	0.428913	0.244041360462969	0.081
"Herb_Ueckert&Hans"	40	14	152	0.2714	1	54	1	3	0.344529	3	0.30512	0	0.934	0.052937	0.0470372994392593	0
"holmfeldt"	22	46	418	0.413	2	66	1	4	0.186912	3	0.160945	0	0.476	0.046961	0.0363446889574724	0
"IZ_PA_COLpen"	5	6	7	0.2333	4	4	1	2	0.222222	2	0.166667	1	1	0.508	0.500186151533793	0.508
"IZ_PA_DIM10"	9	8	9	0.125	8	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IZ_PA_DIM100"	7	9	11	0.1746	5	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IZ_PA_FLO"	8	13	17	0.1635	5	8	1	3	0.25	2	0.25	0.86	0.75	0.315165	0.270666858561079	0.115
"IZ_PA_PA10"	7	8	9	0.1607	6	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IZ_PA_PAcamp"	9	12	16	0.1481	6	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IZ_PA_POW"	8	10	12	0.15	6	5	1	2	0.25	2	0.21875	1	1	0.343288	0.35788023040581	0.178
"KAIS09_CONT"	58	100	534	0.0921	1	158	1	6	0.308214	9	0.276982	0.99	0.204	0.033686	0.0196938379005021	0
"KAIS09_REST"	73	135	744	0.0755	1	208	1	7	0.315987	9	0.296915	0.21	0.113	0.030236	0.016640108088507	0.001
"kankila"	31	12	346	0.9301	1	43	1	2	0.043369	3	0.016644	1	0.809	0.025829	0.0360048622981551	0
"krylov"	10	10	73	0.73	1	20	1	3	0.1231	3	0.106305	0.19	1	0.110674	0.132862493451561	0.013
"kudva"	11	3	33	1	1	14	1	7	0	1	0	1	0.611	0.444709	0.11613541989744	0.165
"langley"	33	9	99	0.3333	1	42	1	3	0.309458	3	0.309254	0.05	0.249	0.048796	0.0485485256557122	0.011
"M_AF_001"	10	26	80	0.3077	1	36	1	5	0.289531	5	0.273828	0.7	0.546	0.113602	0.0729533397850008	0
"M_AF_002_01"	6	5	10	0.3333	1	11	1	4	0.44	4	0.41	0.81	1	0.337857	0.208471347800732	0.018
"M_AF_002_02"	2	4	4	0.5	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
"M_AF_002_03"	3	2	4	0.6667	1	5	1	2	0.25	2	0.21875	1	1	0.338152	0.356358145724248	0.174
"M_AF_002_04"	4	5	8	0.4	1	9	1	3	0.4375	3	0.367188	0.89	1	0.249449	0.20549438274644	0.032
"M_AF_002_05"	3	4	6	0.5	1	7	1	2	0.333333	3	0.319444	0.74	1	0.178076	0.24282358517557	0.046
"M_AF_002_06"	4	4	7	0.4375	1	8	1	3	0.367347	2	0.357143	0.93	1	0.33	0.250824466336346	0.054
"M_AF_002_07"	2	3	3	0.5	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
"M_AF_002_08"	5	3	7	0.4667	1	8	1	3	0.408163	3	0.377551	0.32	1	0.321564	0.252115362602242	0.053
"M_AF_002_09"	4	4	7	0.4375	1	8	1	3	0.387755	3	0.357143	0.84	1	0.306274	0.244689525496879	0.043
"M_AF_002_10"	4	5	6	0.3	3	5	1	2	0.25	2	0.21875	1	1	0.316644	0.353519359018995	0.163
"M_AF_002_11"	4	4	4	0.25	4	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
"M_AF_002_12"	4	4	7	0.4375	1	8	1	3	0.387755	3	0.357143	0.86	1	0.30665	0.235039484042701	0.043
"M_AF_002_13"	4	4	6	0.375	2	6	1	2	0.32	3	0.26	1	1	0.206123	0.274939181319114	0.107
"M_AF_002_14"	5	5	8	0.32	2	8	1	3	0.367347	2	0.357143	0.84	1	0.322125	0.252925543798379	0.051
"M_AF_002_15"	4	5	7	0.35	2	7	1	3	0.333333	3	0.319444	0.78	1	0.383082	0.290695516235045	0.064
"M_AF_002_16"	4	3	4	0.3333	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
"M_PA_001"	16	8	19	0.1484	6	9	1	2	0.375	2	0.367188	0.69	1	0.145738	0.189927522544311	0.015
"M_PA_002"	6	4	13	0.5417	1	10	1	3	0.248521	2	0.221893	0.4	1	0.224169	0.196540547026881	0.029
"M_PA_003"	24	15	45	0.125	4	28	1	4	0.580716	4	0.563915	0	0.85	0.109454	0.0819901351765337	0
"M_PA_004"	41	48	284	0.1443	1	89	1	5	0.305173	8	0.268746	0.95	0.484	0.044485	0.0302057968801547	0
"M_PL_001"	84	101	361	0.0426	4	177	1	8	0.50909	8	0.503002	0	0.469	0.039873	0.0211791271403339	0
"M_PL_002"	43	64	196	0.0712	2	103	1	6	0.507396	8	0.499946	0	0.119	0.049441	0.0294468612357351	0.022
"M_PL_003"	36	25	81	0.09	1	61	1	7	0.587563	7	0.578189	0.09	0.722	0.0973	0.0507923208749104	0
"M_PL_004"	12	102	167	0.1364	2	112	1	5	0.478952	6	0.472982	0.69	0.48	0.037991	0.0260584335860957	0
"M_PL_005"	96	275	923	0.035	6	361	1	10	0.423537	14	0.401694	0.05	0.426	0.024904	0.0138250466876577	0
"M_PL_006"	17	61	146	0.1408	1	78	1	5	0.399465	7	0.371716	0.99	0.615	0.051006	0.0391032611047855	0
"M_PL_007"	16	36	85	0.1476	2	50	1	6	0.423753	6	0.407384	0.78	1	0.102653	0.0596968366272728	0
"M_PL_008"	11	38	106	0.2536	1	49	1	5	0.35858	5	0.330011	0.41	0.219	0.08438	0.055897263833788	0.026
"M_PL_009"	24	118	242	0.0855	1	142	1	7	0.507923	8	0.495706	0.62	0.363	0.042654	0.0236257160411798	0
"M_PL_010"	31	76	456	0.1935	1	107	1	6	0.249091	6	0.22594	0.94	0.236	0.046837	0.0283130722646106	0
"M_PL_011"	14	13	52	0.2857	1	27	1	5	0.329142	5	0.268861	0.99	0.816	0.153328	0.0969661531197915	0.001
"M_PL_012"	29	55	145	0.0909	1	84	1	6	0.458026	7	0.439738	0.96	0.646	0.06174	0.0359300900551525	0
"M_PL_013"	9	56	103	0.2044	1	65	1	6	0.444622	6	0.415732	0.94	0.909	0.075888	0.0459247268531511	0
"M_PL_014"	29	81	179	0.0762	2	108	1	7	0.492299	8	0.484677	0.44	0.658	0.060453	0.0324021865418476	0
"M_PL_015"	131	666	2933	0.0336	2	793	1	6	0.44156	8	0.406397	0	0.054	0.008125	0.00722160138241696	0
"M_PL_016"	26	179	412	0.0885	1	205	1	7	0.468576	8	0.457624	0.01	0.615	0.029474	0.0161990040351786	0
"M_PL_017"	25	79	299	0.1514	1	104	1	5	0.339851	5	0.308626	0.35	0.52	0.038076	0.0263958512832029	0
"M_PL_018"	39	105	383	0.0935	1	144	1	6	0.378985	9	0.364458	0.21	0.107	0.034861	0.0204140739053579	0.006
"M_PL_019"	40	85	264	0.0776	2	123	1	7	0.411673	9	0.411485	0.79	0.208	0.04963	0.0265682700410278	0.002
"M_PL_020"	20	91	190	0.1044	2	109	1	5	0.464965	6	0.451569	0.09	0.288	0.038325	0.0262771738370941	0
"M_PL_021"	91	677	1193	0.0194	2	766	1	12	0.628991	15	0.618354	0	0.799	0.017045	0.00716284030823536	0
"M_PL_022"	21	45	83	0.0878	1	66	1	8	0.624764	8	0.621716	0.01	0.883	0.118786	0.0589811578470699	0
"M_PL_023"	23	72	125	0.0755	3	90	1	8	0.572091	9	0.559359	0.18	0.824	0.094173	0.0464978614790199	0
"M_PL_024"	11	18	38	0.1919	3	22	1	4	0.379247	4	0.35629	0.52	1	0.14771	0.107784235124351	0.001
"M_PL_025"	13	44	143	0.25	1	57	1	6	0.312534	4	0.297692	0.21	1	0.089896	0.0516628903395681	0
"M_PL_026"	105	54	204	0.036	4	150	1	8	0.563004	9	0.554229	1	0.715	0.126151	0.0405248128861746	0
"M_PL_027"	18	60	120	0.1111	2	75	1	6	0.556162	8	0.528404	0.03	0.729	0.070386	0.0423661408897942	0
"M_PL_028"	41	139	374	0.0656	1	180	1	8	0.477759	7	0.461301	0.03	0.396	0.03912	0.0212093714531439	0
"M_PL_029"	49	118	346	0.0598	1	167	1	7	0.481648	8	0.468801	0.01	0.872	0.041077	0.0221801494591454	0
"M_PL_030"	28	53	109	0.0735	5	70	1	8	0.558769	8	0.54578	0.27	0.614	0.101842	0.0501145338450085	0
"M_PL_031"	48	49	156	0.0663	3	91	1	8	0.595092	8	0.573883	0	0.561	0.079404	0.0414853687439297	0
"M_PL_032"	7	33	65	0.2814	1	40	1	5	0.35716	5	0.329349	0.76	0.714	0.105244	0.068276263167459	0
"M_PL_033"	13	34	141	0.319	1	47	1	5	0.266435	4	0.238997	0.6	0.479	0.091499	0.0589721774798652	0.001
"M_PL_034"	26	128	312	0.0938	2	151	1	8	0.443319	8	0.420645	0.13	0.595	0.06515	0.0300132353186772	0
"M_PL_035"	61	36	178	0.0811	1	97	1	6	0.481221	8	0.483651	0.03	0.901	0.050029	0.0290599146185538	0
"M_PL_036"	10	12	30	0.25	1	22	1	4	0.444444	4	0.419444	0.2	0.47	0.144606	0.107705028374432	0.009
"M_PL_037"	10	40	72	0.18	1	50	1	5	0.501157	6	0.479167	0.58	1	0.079711	0.0552164498617517	0
"M_PL_038"	8	42	79	0.2351	1	50	1	4	0.439994	6	0.408108	0.76	0.58	0.060655	0.0476223462553334	0
"M_PL_039"	17	51	129	0.1488	1	68	1	6	0.461451	6	0.46085	0	0.799	0.076973	0.0528019726839757	0
"M_PL_040"	29	43	114	0.0914	2	70	1	6	0.54554	6	0.53438	0	0.814	0.076834	0.0478008092124115	0
"M_PL_041"	31	43	145	0.1088	3	70	1	5	0.406524	6	0.398137	0.41	0.61	0.055031	0.0379241120829121	0
"M_PL_042"	12	6	25	0.3472	2	16	1	3	0.3125	3	0.288194	0.19	1	0.150793	0.13699252206636	0.007
"M_PL_043"	28	82	250	0.1089	1	110	1	7	0.404208	8	0.391816	0.36	0.303	0.055697	0.0324879155326354	0
"M_PL_044"	110	609	1125	0.0168	4	712	1	13	0.619743	19	0.619361	0	0.403	0.019095	0.00837939074093035	0
"M_PL_045"	17	26	63	0.1425	2	41	1	5	0.456035	6	0.441597	0.67	0.407	0.099414	0.0636769924176964	0.001
"M_PL_046"	16	44	278	0.3949	1	60	1	3	0.216798	3	0.189088	0	0.165	0.034388	0.0308378733123805	0.01
"M_PL_047"	19	186	425	0.1203	1	205	1	7	0.419006	6	0.41076	0	0.612	0.029379	0.0168001072199734	0
"M_PL_048"	30	236	671	0.0948	1	266	1	6	0.384323	8	0.376496	0	0.744	0.018829	0.0120058277056977	0
