"ID"	"IntType"	"NRow"	"NCol"	"NLinks"	"Connectance"	"NComp"	"LargeCompSize"	"nLargeComp"	"SA_NMod"	"SA_Modularity"	"FG_NMod"	"FG_Modularity"	"FG_PNull"	"MS_congr"	"MS_mean"	"MS_sd"	"MS_pval"	"n_m6"	"n_m6_mod"	"mean_m6_mod"	"sd_m6_mod"	"p_m6_mod"	"n_m6_sect"	"mean_m6_sect"	"sd_m6_sect"	"p_m6_sect"	"n_m6_ms"	"mean_m6_ms"	"sd_m6_ms"	"p_m6_ms"	"LinkSct"	"LinkMod"	"LinkMot"
"95"	"comeau2005"	"Phage-Bacteria"	23	13	152	0.5084	1	36	1	4	0.173996	4	0.142313	0.852	0.916666666666667	0.888981691919192	0.024410328158135	0.01	2206	128	38.303	14.385	0	1876	1413.104	239.578	0.029	113	21.94	12.0343112168768	0	0.9145	0.4211	0.9868
"96"	"comeau2006"	"Phage-Bacteria"	17	16	118	0.4338	1	33	1	4	0.218472	4	0.204503	0.192	0.881313131313131	0.849752904040404	0.0179777531000429	0.024	1104	99	17.109	9.922	0	893	553	153.647	0.01	47	5.58	4.14918758020863	0	0.8729	0.4746	0.9831
"97"	"depaola"	"Phage-Bacteria"	5	17	39	0.4588	1	22	1	3	0.291913	3	0.260026	0.361	1	0.631475	0.0732853107958553	0	88	13	2.751	2.114	0.003	14	8.781	4.846	0.13	13	3.07	2.20309699369691	0	0.6923	0.641	0.8205
"98"	"doi"	"Phage-Bacteria"	11	9	41	0.4141	3	13	1	3	0.101852	3	0.052855	0.494	1	0.714566666666667	0.0611591493781901	0.003	176	1	0.562	0.496	0.562	27	24.981	8.059	0.397	1	0.58	0.496044963748858	0.58	0.5278	0.3056	1
"99"	"DON"	"Seed Dispersal"	45	46	273	0.1319	1	91	1	4	0.415758	3	0.408868	0	0.982954545454545	0.623534090909091	0.0510318372830342	0	1901	1166	94.552	47.445	0	1670	183.805	91.47	0	1060	69.4	34.8949361033455	0	0.9194	0.8168	0.9524
"100"	"duplessis"	"Phage-Bacteria"	12	12	37	0.2569	3	15	1	2	0.3	2	0.28	0.005	1	0.615794642857143	0.0826342516079078	0	70	36	6.215	3.947	0.001	36	6.371	4.077	0	36	6.6	3.83761289440099	0	0.8	0.8	0.9667
"101"	"ESKI"	"Pollination"	14	13	52	0.2857	1	27	1	5	0.329142	5	0.268861	0.884	0.95	0.816364285714286	0.0242567173648231	0.002	89	11	0.344	0.813	0	64	34.897	23.726	0.166	11	0.34	0.855404683011013	0	0.9038	0.5577	0.8846
"102"	"FARIA"	"Seed Dispersal"	14	8	35	0.3125	1	22	1	5	0.374694	4	0.353878	0.3	0.966666666666667	0.76116	0.0517695861061411	0	40	6	0.231	0.581	0	8	8.423	7.432	0.454	3	0.13	0.441645225322889	0.01	0.7429	0.6	0.7429
"103"	"gamage"	"Phage-Bacteria"	4	5	9	0.45	2	7	1	3	0.21875	3	0.148438	0.379	1	0.792666666666667	0.121677738879408	0.19	2	0	0	0	1	0	0.3	0.458	1	0	0	0	1	0.625	0.5	0.875
"104"	"goodridge"	"Phage-Bacteria"	49	2	60	0.6122	1	51	1	2	0.316667	2	0.299861	0.035	1	0.613773387096774	0.0212070751390111	0	55	0	0	0	1	0	0	0	1	0	0	0	1	0.8167	0.8167	0.3667
"105"	"GOR"	"Seed Dispersal"	84	18	235	0.1554	1	102	1	3	0.459756	4	0.443323	0	0.977777777777778	0.560415177304964	0.0292330071652391	0	1260	479	51.069	37.436	0	1113	153.301	61.001	0	463	46.92	34.6406312490597	0	0.9447	0.7957	0.8553
"106"	"hansen"	"Plant-Herbivore"	17	10	111	0.6529	1	27	1	3	0.161513	2	0.142196	0.095	0.851851851851852	0.821295156695157	0.0278392159074338	0.126	1517	225	64.665	23.908	0	1412	702.642	151.949	0.001	196	53.84	23.019850897726	0	0.9099	0.5135	0.991
"107"	"Herb_Basset&Sam"	"Plant-Herbivore"	10	36	94	0.2611	1	46	1	5	0.367927	5	0.329448	0.522	0.981818181818182	0.749294172494173	0.0250373125734304	0	297	48	2.153	2.412	0	211	94.073	44.241	0.009	38	2.12	2.4382474249039	0	0.8723	0.5957	0.8511
"108"	"Herb_Bluthgen2006"	"Plant-Herbivore"	38	12	54	0.1184	4	43	1	6	0.5296	5	0.5188	0.349	0.925925925925926	0.698259722222222	0.0424162740103766	0	13	1	0.022	0.183	0.018	2	1.694	2.125	0.347	0	0	0	1	0.86	0.76	0.4
"109"	"Herb_Bodner2009"	"Plant-Herbivore"	45	59	76	0.0286	28	19	1	4	0.574074	4	0.564815	0.18	1	0.724541666666667	0.0496795390303184	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0.9444	0.8333	0
"110"	"Herb_Coley2006"	"Plant-Herbivore"	37	45	83	0.0498	9	61	1	8	0.705714	8	0.697347	0.015	0.96875	0.764624219877345	0.0178888652917422	0	11	9	0.013	0.113	0	11	3.484	2.249	0.002	9	0.01	0.1	0	0.9714	0.8429	0.3571
"111"	"Herb_CuevasReyes"	"Plant-Herbivore"	29	29	29	0.0345	29	2	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	"Herb_Dawah1995"	"Plant-Herbivore"	10	17	19	0.1118	8	8	1	3	0.367347	3	0.357143	0.225	1	0.700416666666667	0.136668309559858	0.026	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8571	0.7143	0
"113"	"Herb_Futuyma1979"	"Plant-Herbivore"	18	57	440	0.4288	1	75	1	5	0.180563	4	0.161643	0.251	0.98	0.878558974358974	0.0232881163592942	0	18202	1904	376.843	127.033	0	17688	11901.89	1550.271	0	1904	377.77	114.726011334691	0	0.975	0.475	0.9773
"114"	"Herb_Hen&Mem_P100"	"Plant-Herbivore"	32	26	74	0.0889	3	54	1	8	0.495563	7	0.496142	0.675	1	0.709565104166667	0.0379926510773159	0	69	2	0.289	1.226	0.045	26	12.341	10.327	0.113	2	0.18	0.716049769727826	0.02	0.875	0.6667	0.5278
"115"	"Herb_Hen&Mem_P199"	"Plant-Herbivore"	22	23	47	0.0929	5	37	1	6	0.518659	5	0.509735	0.564	1	0.866735064935065	0.0297966255813497	0	21	0	0.12	0.62	1	16	11.699	7.365	0.402	0	0.13	0.48523658709391	1	0.9535	0.7209	0.3488
"116"	"Herb_Hen&Mem_P200"	"Plant-Herbivore"	32	27	69	0.0799	5	51	1	8	0.51432	8	0.505562	0.658	1	0.942085416666667	0.0142127987607611	0	33	1	0.041	0.231	0.036	33	26.143	7.675	0.24	1	0.1	0.389249472080761	0.08	0.9846	0.6615	0.4923
"117"	"Herb_Hen&Mem_P299"	"Plant-Herbivore"	26	25	53	0.0815	5	43	1	7	0.551853	9	0.542691	0.557	1	0.680105952380952	0.046045727704339	0	9	0	0.057	0.275	1	0	1.243	1.583	1	0	0.1	0.627645914460848	1	0.8367	0.7347	0.3673
"118"	"Herb_Janzen1980"	"Plant-Herbivore"	95	110	160	0.0153	55	19	1	4	0.512397	4	0.494835	0.159	1	0.7939	0.0294169465722485	0.003	5	2	0.043	0.203	0	5	1.785	1.366	0.029	2	0.04	0.196946385566932	0	0.9545	0.7727	0.5909
"119"	"Herb_Jermy2003"	"Plant-Herbivore"	51	27	66	0.0479	17	16	1	4	0.404321	4	0.387346	0.298	0.791666666666667	0.7028125	0.0572075720516965	0.096	2	0	0	0	1	0	0.051	0.22	1	0	0	0	1	0.7778	0.6667	0.4444
"120"	"Herb_Loye1992"	"Plant-Herbivore"	42	34	76	0.0532	10	53	1	6	0.631634	7	0.636837	0.095	1	0.64493253968254	0.0443270930615478	0	13	11	0.092	0.46	0	13	1.756	2.243	0	11	0.09	0.451596494604856	0	0.9677	0.8387	0.3387
"121"	"Herb_Memmott1994"	"Plant-Herbivore"	54	92	103	0.0207	45	12	1	4	0.372781	4	0.346154	0.419	1	0.751145833333333	0.0822258506651098	0.007	2	0	0.013	0.113	1	0	0.287	0.501	1	0	0.01	0.1	1	0.7692	0.6154	0.5385
"122"	"Herb_Muller1999"	"Plant-Herbivore"	26	25	47	0.0723	13	14	1	2	0.24	2	0.23875	0.676	1	0.696525	0.0658056209966501	0.005	28	28	2.541	7.064	0.015	28	2.233	6.627	0.01	28	3.71	8.29176907200353	0.02	0.95	0.95	0.8
"123"	"Herb_Nakagawa2003_96"	"Plant-Herbivore"	20	29	109	0.1879	1	49	1	6	0.334231	6	0.312095	0.882	0.909722222222222	0.714197811447811	0.0308268618782123	0	473	28	1.771	3.058	0.002	265	78.052	64.11	0.016	26	1.45	2.53211693284812	0	0.8257	0.5229	0.8807
"124"	"Herb_Nakagawa2003_98"	"Plant-Herbivore"	13	37	91	0.1892	1	50	1	6	0.396933	6	0.370789	0.715	0.858134920634921	0.80161626984127	0.0143680862615265	0.003	189	12	0.564	1.172	0.001	104	61.648	30.812	0.103	4	0.2	0.492365963917331	0	0.8352	0.5714	0.7912
"125"	"Herb_Novotny2005"	"Plant-Herbivore"	30	29	48	0.0552	14	13	1	4	0.357143	4	0.329082	0.598	1	0.7082125	0.105925357091798	0.004	3	0	0.033	0.21	1	0	0.274	0.658	1	0	0.03	0.171446607997765	1	0.7857	0.6429	0.4286
"126"	"Herb_Novotny2012"	"Plant-Herbivore"	38	544	1832	0.0886	1	582	1	5	0.436927	7	0.441304	0	0.84875065452439	0.585350749073728	0.0124572268573263	0	73287	25574	1749.862	483.831	0	20754	9159.026	1050.357	0	8290	627.7	242.28122485903	0	0.7396	0.7167	0.8286
"127"	"Herb_Pearse&Alterm"	"Plant-Herbivore"	759	900	5219	0.0076	12	1637	1	13	0.552863	19	0.512735	0	0.929079439887874	0.938829247919127	0.00543769379240949	0.961	113222	53475	686.033	371.356	0	111806	88109.207	9531.004	0	53155	615.36	330.573683163073	0	0.9708	0.751	0.8656
"128"	"Herb_Prado&Lewin"	"Plant-Herbivore"	81	35	163	0.0575	2	113	1	6	0.626365	8	0.618688	0.027	1	0.849180050505051	0.0171006509374099	0	108	46	0.584	1.294	0	106	52.605	23.829	0	46	0.69	1.53540702990274	0	0.9752	0.8199	0.6211
"129"	"Herb_Rathcke1976_70"	"Plant-Herbivore"	7	10	22	0.3143	2	15	1	4	0.340136	4	0.309524	0.46	0.9375	0.684895833333333	0.0820444172868314	0.004	10	1	0.043	0.203	0.043	5	0.871	1.155	0.017	0	0	0	1	0.7619	0.5714	0.7619
"130"	"Herb_Rathcke1976_71"	"Plant-Herbivore"	7	11	21	0.2727	2	16	1	4	0.395	4	0.38625	0.354	0.875	0.702566666666667	0.0875815459663765	0.026	5	2	0.06	0.246	0.002	4	0.526	0.829	0.015	2	0.05	0.21904291355759	0	0.85	0.7	0.6
"131"	"Herb_Stary&Hav"	"Plant-Herbivore"	101	92	146	0.0157	52	42	1	6	0.622449	5	0.617914	0.251	1	0.773400252525253	0.0454689534672853	0	1	0	0.012	0.109	1	1	0.303	0.46	0.303	0	0	0	1	0.9762	0.8571	0.0952
"132"	"Herb_Tavakilian1997"	"Plant-Herbivore"	302	353	1002	0.0094	37	559	1	12	0.749479	24	0.753566	0	0.952358250699212	0.948155986595693	0.00418319421638571	0.165	1356	1137	1.485	2.195	0	1355	1091.423	108.618	0	1136	1.08	1.49531254122996	0	0.9947	0.8556	0.6476
"133"	"Herb_Tscharnatke2001"	"Plant-Herbivore"	10	16	19	0.1187	8	9	1	4	0.333333	3	0.32716	0.289	1	0.823875	0.0808294053409263	0.076	1	0	0	0	1	1	0.157	0.364	0.157	0	0	0	1	0.8889	0.5556	0.4444
"134"	"Herb_Ueckert&Hans"	"Plant-Herbivore"	40	14	152	0.2714	1	54	1	3	0.344529	3	0.30512	0.04	0.962962962962963	0.59791975308642	0.0471843468132892	0	1521	478	44.458	31.883	0	809	142.828	87.865	0	476	43.98	28.0659324743819	0	0.8355	0.7171	0.9079
"135"	"holmfeldt"	"Phage-Bacteria"	22	46	418	0.413	2	66	1	4	0.186912	3	0.160945	0.066	0.808712121212121	0.596283482142857	0.0405052537247552	0	16933	2267	392.4	115.669	0	4291	1964.668	231.575	0	1056	228.86	81.0005636593432	0	0.6307	0.482	0.988
"136"	"IZ_PA_COLpen"	"Plant-Ant"	5	6	7	0.2333	4	4	1	2	0.222222	2	0.166667	0.051	1	0.7615	0.249860321340104	0.523	0	0	0	0	1	0	0	0	1	0	0	0	1	0.6667	0.6667	0
"137"	"IZ_PA_DIM10"	"Plant-Ant"	9	8	9	0.125	8	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"IZ_PA_DIM100"	"Plant-Ant"	7	9	11	0.1746	5	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"139"	"IZ_PA_FLO"	"Plant-Ant"	8	13	17	0.1635	5	8	1	3	0.25	2	0.25	0.123	0.833333333333333	0.728277777777778	0.117346966019112	0.322	1	0	0	0	1	0	0	0	1	0	0	0	1	0.75	0.5	0.5
"140"	"IZ_PA_PA10"	"Plant-Ant"	7	8	9	0.1607	6	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	"IZ_PA_PAcamp"	"Plant-Ant"	9	12	16	0.1481	6	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	"IZ_PA_POW"	"Plant-Ant"	8	10	12	0.15	6	5	1	2	0.25	2	0.21875	0.075	1	0.73525	0.162006739624263	0.163	0	0	0	0	1	0	0	0	1	0	0	0	1	0.75	0.75	0
"143"	"KAIS09_CONT"	"Pollination"	58	100	534	0.0921	1	158	1	6	0.308214	9	0.276982	1	0.934408184408184	0.936875990675991	0.00490943759439659	0.714	9801	819	42.015	28.996	0	9036	7147.24	1097.174	0.036	776	32.68	22.7142459636451	0	0.9532	0.5	0.8801
"144"	"KAIS09_REST"	"Pollination"	73	135	744	0.0755	1	208	1	7	0.315987	9	0.296915	0.905	0.918051858424529	0.913946761313221	0.0191884464041075	0.706	13908	1047	53.826	34.98	0	12688	9145.057	1607.443	0.005	904	42.47	39.2712542980411	0	0.9368	0.5027	0.9059
"145"	"kankila"	"Phage-Bacteria"	31	12	346	0.9301	1	43	1	2	0.043369	3	0.016644	0.94	0.966666666666667	0.648805128205128	0.0248382247913083	0	24173	8264	6787.978	548.983	0.011	6635	5489.611	420.594	0.009	6635	5494.37	463.206820639408	0.02	0.5838	0.6358	1
"146"	"krylov"	"Phage-Bacteria"	10	10	73	0.73	1	20	1	3	0.1231	3	0.106305	0.333	1	0.904694444444444	0.0534961919432493	0.014	738	192	78.062	31.141	0.002	636	470.493	74.332	0.048	192	72.03	27.5854796381844	0	0.9178	0.589	0.9863
"147"	"kudva"	"Phage-Bacteria"	11	3	33	1	1	14	1	7	0	1	0	0	0.904761904761905	0.86702380952381	0.0526382353652848	0.261	165	0	0	0	1	30	30	0	1	0	0	0	1	0.4545	0.1818	1
"148"	"langley"	"Phage-Bacteria"	33	9	99	0.3333	1	42	1	3	0.309458	3	0.309254	0.134	0.788888888888889	0.809738888888889	0.00678023744185377	1	357	80	9.441	6.4	0	150	171.032	48.795	0.642	47	6.36	5.76215447922253	0	0.7576	0.6465	0.899
"149"	"M_AF_001"	"Anemone-Fish"	10	26	80	0.3077	1	36	1	5	0.289531	5	0.273828	0.719	0.905555555555556	0.734430555555556	0.0323954855567835	0.002	292	21	1.894	2.483	0.001	164	95.572	44.347	0.078	13	0.97	1.72594579546662	0	0.8	0.5	0.875
"150"	"M_AF_002_01"	"Anemone-Fish"	6	5	10	0.3333	1	11	1	4	0.44	4	0.41	0.354	1	0.745270833333333	0.101911846609413	0.01	0	0	0	0	1	0	0	0	1	0	0	0	1	0.9	0.7	0
"151"	"M_AF_002_02"	"Anemone-Fish"	2	4	4	0.5	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"152"	"M_AF_002_03"	"Anemone-Fish"	3	2	4	0.6667	1	5	1	2	0.25	2	0.21875	0.075	1	0.731833333333333	0.161034205523802	0.156	0	0	0	0	1	0	0	0	1	0	0	0	1	0.75	0.75	0
"153"	"M_AF_002_04"	"Anemone-Fish"	4	5	8	0.4	1	9	1	3	0.4375	3	0.367188	0.343	1	0.752555555555556	0.0679365031104386	0.033	0	0	0	0	1	0	0	0	1	0	0	0	1	0.875	0.75	0
"154"	"M_AF_002_05"	"Anemone-Fish"	3	4	6	0.5	1	7	1	2	0.333333	3	0.319444	0.194	1	0.675125	0.114771651146557	0.042	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8333	0.8333	0
"155"	"M_AF_002_06"	"Anemone-Fish"	4	4	7	0.4375	1	8	1	3	0.367347	2	0.357143	0.314	1	0.718833333333333	0.142718084996676	0.056	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8571	0.7143	0
"156"	"M_AF_002_07"	"Anemone-Fish"	2	3	3	0.5	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	"M_AF_002_08"	"Anemone-Fish"	5	3	7	0.4667	1	8	1	3	0.408163	3	0.377551	0.192	1	0.756333333333333	0.109585285785943	0.067	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8571	0.7143	0
"158"	"M_AF_002_09"	"Anemone-Fish"	4	4	7	0.4375	1	8	1	3	0.387755	3	0.357143	0.211	1	0.738	0.107311060995408	0.049	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8571	0.7143	0
"159"	"M_AF_002_10"	"Anemone-Fish"	4	5	6	0.3	3	5	1	2	0.25	2	0.21875	0.105	1	0.7335	0.162929317893668	0.166	0	0	0	0	1	0	0	0	1	0	0	0	1	0.75	0.75	0
"160"	"M_AF_002_11"	"Anemone-Fish"	4	4	4	0.25	4	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	"M_AF_002_12"	"Anemone-Fish"	4	4	7	0.4375	1	8	1	3	0.387755	3	0.357143	0.288	1	0.736444444444444	0.101983928681747	0.037	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8571	0.7143	0
"162"	"M_AF_002_13"	"Anemone-Fish"	4	4	6	0.375	2	6	1	2	0.32	3	0.26	0.242	1	0.704	0.105174751699549	0.112	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8	0.8	0
"163"	"M_AF_002_14"	"Anemone-Fish"	5	5	8	0.32	2	8	1	3	0.367347	2	0.357143	0.288	1	0.7055	0.147478246417903	0.052	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8571	0.7143	0
"164"	"M_AF_002_15"	"Anemone-Fish"	4	5	7	0.35	2	7	1	3	0.333333	3	0.319444	0.184	1	0.739333333333333	0.138971013424389	0.06	0	0	0	0	1	0	0	0	1	0	0	0	1	0.8333	0.6667	0
"165"	"M_AF_002_16"	"Anemone-Fish"	4	3	4	0.3333	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166"	"M_PA_001"	"Plant-Ant"	16	8	19	0.1484	6	9	1	2	0.375	2	0.367188	0.054	1	0.663525	0.110882795641927	0.012	0	0	0	0	1	0	0	0	1	0	0	0	1	0.875	0.875	0
"167"	"M_PA_002"	"Plant-Ant"	6	4	13	0.5417	1	10	1	3	0.248521	2	0.221893	0.497	1	0.748388888888889	0.0617240322115199	0.03	7	0	0	0	1	3	0.782	1.069	0.162	0	0	0	1	0.7692	0.5385	0.7692
"168"	"M_PA_003"	"Plant-Ant"	24	15	45	0.125	4	28	1	4	0.580716	4	0.563915	0.025	0.964285714285714	0.727248511904762	0.0267957869091447	0	13	11	0.103	0.358	0	13	3.425	2.088	0	11	0.13	0.544114515576093	0	0.973	0.8378	0.7297
"169"	"M_PA_004"	"Plant-Ant"	41	48	284	0.1443	1	89	1	5	0.305173	8	0.268746	0.979	0.879871794871795	0.695251581196581	0.0244114189803474	0	2982	441	33.383	21.077	0	1933	651.675	307.115	0	339	17.96	14.982090318211	0	0.7993	0.5528	0.9225
"170"	"M_PL_001"	"Pollination"	84	101	361	0.0426	4	177	1	8	0.50909	8	0.503002	0.026	0.940238747320791	0.827100456851385	0.034204929656481	0	842	297	3.964	3.881	0	479	393.51	119.803	0.263	161	2.03	2.47188228283671	0	0.8708	0.7022	0.7893
"171"	"M_PL_002"	"Pollination"	43	64	196	0.0712	2	103	1	6	0.507396	8	0.499946	0.07	0.912236399078504	0.903511678185362	0.00721726707756922	0.111	220	84	1.12	1.64	0	146	141.437	30.165	0.48	58	0.58	0.818720361480665	0	0.8912	0.6891	0.7979
"172"	"M_PL_003"	"Pollination"	36	25	81	0.09	1	61	1	7	0.587563	7	0.578189	0.161	0.947409733124019	0.665520550877694	0.0422900936599179	0	18	11	0.088	0.361	0	9	2.704	2.219	0.016	5	0.02	0.14070529413629	0	0.8889	0.7778	0.4938
"173"	"M_PL_004"	"Pollination"	12	102	167	0.1364	2	112	1	5	0.478952	6	0.472982	0.38	0.761708619374523	0.587695886874377	0.0294666831386518	0	282	12	1.764	2.799	0.014	118	40.088	25.432	0.008	12	1.39	3.03812475389047	0.02	0.8313	0.6928	0.6024
"174"	"M_PL_005"	"Pollination"	96	275	923	0.035	6	361	1	10	0.423537	14	0.401694	0.676	0.9875	0.96936651882777	0.00859853493558878	0	10584	930	20.469	17.07	0	8666	9465.248	900.464	0.806	749	18.32	15.8737951901042	0	0.9542	0.5675	0.8159
"175"	"M_PL_006"	"Pollination"	17	61	146	0.1408	1	78	1	5	0.399465	7	0.371716	0.922	0.98	0.935291895424837	0.0218536237163608	0	537	57	3.88	5.233	0	389	372.142	118.943	0.563	36	2.27	3.38402366445865	0	0.9041	0.6301	0.7671
"176"	"M_PL_007"	"Pollination"	16	36	85	0.1476	2	50	1	6	0.423753	6	0.407384	0.639	1	0.879733297258297	0.00946255884745533	0	129	7	0.339	0.817	0	72	75.985	29.917	0.625	7	0.23	0.617178329908861	0	0.881	0.5833	0.75
"177"	"M_PL_008"	"Pollination"	11	38	106	0.2536	1	49	1	5	0.35858	5	0.330011	0.46	0.753787878787879	0.659939393939394	0.0338664328384006	0.014	238	34	1.361	1.684	0	101	38.969	18.149	0.004	8	0.19	0.525991127935317	0	0.7547	0.566	0.8868
"178"	"M_PL_009"	"Pollination"	24	118	242	0.0855	1	142	1	7	0.507923	8	0.495706	0.243	0.90690737833595	0.85310002252406	0.0161712739007618	0	436	53	1.764	2.628	0	372	183.202	69.99	0.005	45	0.45	0.967919772950572	0	0.9256	0.6736	0.6694
"179"	"M_PL_010"	"Pollination"	31	76	456	0.1935	1	107	1	6	0.249091	6	0.22594	0.973	0.858946608946609	0.849850309820898	0.00869605543326567	0.158	7363	334	35.838	19.188	0	4358	4143.883	793.283	0.401	200	20.56	12.8206903484212	0	0.8224	0.4211	0.9715
"180"	"M_PL_011"	"Pollination"	14	13	52	0.2857	1	27	1	5	0.329142	5	0.268861	0.876	0.95	0.815447142857143	0.0241921225080501	0	89	11	0.385	0.867	0	64	35.271	23.505	0.16	11	0.35	0.770346898114313	0	0.9038	0.5577	0.8846
"181"	"M_PL_012"	"Pollination"	29	55	145	0.0909	1	84	1	6	0.458026	7	0.439738	0.773	0.948412698412698	0.867928780284043	0.0128722282300877	0	371	56	1.675	2.63	0	216	216.104	72.362	0.491	52	2.05	3.6745782414483	0	0.8552	0.6552	0.7241
"182"	"M_PL_013"	"Pollination"	9	56	103	0.2044	1	65	1	6	0.444622	6	0.415732	0.454	0.981481481481482	0.81526531986532	0.0126909179662324	0	203	7	0.311	0.906	0.001	134	78.49	39.615	0.09	7	0.44	1.13990961895842	0.01	0.9029	0.6117	0.6505
"183"	"M_PL_014"	"Pollination"	29	81	179	0.0762	2	108	1	7	0.492299	8	0.484677	0.537	0.946066145756548	0.794297244336331	0.0131950958773294	0	291	20	0.762	1.658	0	218	85.943	66.419	0.021	15	0.7	1.86135608217409	0.01	0.8989	0.6461	0.6685
"184"	"M_PL_015"	"Pollination"	131	666	2933	0.0336	2	793	1	6	0.44156	8	0.406397	0	0.986871158741544	0.984609061487948	0.0121304589227166	0.832	46862	15524	606.368	156.927	0	35899	40291.156	2515.284	0.951	14895	550.25	114.70686178871	0	0.9611	0.6918	0.9137
"185"	"M_PL_016"	"Pollination"	26	179	412	0.0885	1	205	1	7	0.468576	8	0.457624	0.056	0.863149778946743	0.586308476831782	0.0256914668850399	0	1661	231	7.129	6.661	0	638	241.814	92.015	0	124	4.17	5.03132610990805	0	0.7985	0.6383	0.7476
"186"	"M_PL_017"	"Pollination"	25	79	299	0.1514	1	104	1	5	0.339851	5	0.308626	0.771	0.909151138716356	0.807896574440053	0.0061962842107922	0	2800	277	20.063	16.652	0	1088	1162.892	372.456	0.572	183	13.36	14.7480661290033	0	0.7759	0.5485	0.9064
"187"	"M_PL_018"	"Pollination"	39	105	383	0.0935	1	144	1	6	0.378985	9	0.364458	0.554	0.896338867603235	0.896380241182827	0.00369427108352469	0.491	1767	182	8.104	6.67	0	1353	1042.109	234.962	0.097	149	5.86	5.295357219377	0	0.9086	0.5457	0.8642
"188"	"M_PL_019"	"Pollination"	40	85	264	0.0776	2	123	1	7	0.411673	9	0.411485	0.709	0.95078031212485	0.942493218866494	0.00551622571791571	0.042	835	80	1.864	2.479	0	587	643.681	105.783	0.718	71	1.38	1.94250697124446	0	0.8973	0.5665	0.8175
"189"	"M_PL_020"	"Pollination"	20	91	190	0.1044	2	109	1	5	0.464965	6	0.451569	0.43	0.933333333333333	0.934210956318867	0.00732296101739721	0.551	537	84	2.624	4.136	0	466	376.634	118.041	0.282	73	1.57	2.81502103621686	0	0.9471	0.6667	0.709
"190"	"M_PL_021"	"Pollination"	91	677	1193	0.0194	2	766	1	12	0.628991	15	0.618354	0	0.927694938334651	0.560256155909971	0.0136083913180954	0	2799	596	2.802	5.185	0	1468	357.513	126.338	0	379	1.44	2.35839356385235	0	0.8968	0.7458	0.5386
"191"	"M_PL_022"	"Pollination"	21	45	83	0.0878	1	66	1	8	0.624764	8	0.621716	0.055	0.988636363636364	0.857942094363969	0.0228067098719306	0	28	13	0.046	0.249	0	25	12.166	5.695	0.013	11	0.01	0.1	0	0.9639	0.7952	0.4819
"192"	"M_PL_023"	"Pollination"	23	72	125	0.0755	3	90	1	8	0.572091	9	0.559359	0.213	0.964285714285714	0.887293968837535	0.0178770076000567	0	98	8	0.175	0.601	0	94	45.838	29.354	0.004	7	0.07	0.256432399976243	0	0.9672	0.7295	0.5902
"193"	"M_PL_024"	"Pollination"	11	18	38	0.1919	3	22	1	4	0.379247	4	0.35629	0.424	1	0.823348214285714	0.0274910920974602	0	29	3	0.407	0.804	0.045	23	13.015	7.622	0.149	3	0.39	0.777135376842023	0.06	0.9091	0.6364	0.7879
"194"	"M_PL_025"	"Pollination"	13	44	143	0.25	1	57	1	6	0.312534	4	0.297692	0.537	1	0.894321047008547	0.0108186250009994	0	888	36	4.62	5.36	0.002	638	594.314	147.308	0.44	36	4.42	4.75708934012165	0	0.9021	0.4755	0.9091
