"ID" "NRow" "NCol" "NLinks" "Connectance" "NComp" "LargeCompSize" "nLargeComp" "SA_NMod" "SA_Modularity" "FG_NMod" "FG_Modularity" "FG_PNull" "MS_congr" "MS_mean" "MS_sd" "MS_pval" "n_m6" "n_m6_mod" "mean_m6_mod" "sd_m6_mod" "p_m6_mod" "n_m6_sect" "mean_m6_sect" "sd_m6_sect" "p_m6_sect" "n_m6_ms" "mean_m6_ms" "sd_m6_ms" "p_m6_ms"
"22" "29_tonkin" 80 212 523 0.0308 12 264 1 9 0.577915 13 0.537729 0 0.991769547325103 0.951231153884801 0.00955385504448832 0 2908 928 13.396 20.926 0 2873 2423.621 436.779 0.002 921 13.48 26.3206643863215 0
"23" "3_smallwood" 6 25 53 0.3533 2 28 1 4 0.286044 4 0.253556 0.7 1 0.798793560606061 0.0325522258946599 0 130 15 1.786 2.83 0.008 130 46.534 23.68 0.005 15 2.34 3.47928937362999 0.02
"24" "30_coyuca" 10 33 104 0.3152 1 43 1 5 0.274223 5 0.249723 0.96 0.9 0.862032727272727 0.0156234644169833 0 709 34 4.453 3.356 0 516 404.253 107.446 0.167 28 3.25 3.6745782414483 0
"25" "4_parsnip" 17 53 158 0.1754 1 70 1 4 0.425773 5 0.431662 0 0.955882352941176 0.957484749455338 0.00965597230452367 0.673 704 205 18.625 16.098 0 486 576.148 84.037 0.837 200 16.09 14.1207598444934 0
"26" "5_mcgregor" 14 51 114 0.1597 1 65 1 6 0.447753 6 0.434249 0.32 0.963450292397661 0.831829678362573 0.0256951698935147 0 296 61 2.481 3.846 0 203 164.04 55.237 0.266 49 2.82 4.40931062661956 0
"27" "6_woods" 31 144 384 0.086 1 175 1 7 0.474582 9 0.46874 0 0.849857039512212 0.846672963325673 0.00953001669563927 0.384 1914 325 7.249 7.423 0 963 784.572 221.263 0.202 210 2.85 3.39748867443724 0
"28" "7_coldlake" 10 40 91 0.2275 1 50 1 5 0.441251 5 0.423862 0 0.927272727272727 0.920651731601732 0.0192675151814135 0.465 237 80 2.519 3.689 0 162 160.213 47.15 0.521 77 2.07 4.30938604453211 0
"29" "8_aishihik" 7 29 78 0.3842 1 36 1 4 0.281394 5 0.246548 0.88 1 0.860373076923077 0.025163480385746 0 449 66 9.911 9.231 0.002 292 238.118 78.929 0.27 66 10.03 9.40175676685109 0
"30" "9_coastalrj" 39 339 678 0.0513 1 378 1 11 0.606865 14 0.598519 0 0.950575271430886 0.854900704970538 0.00733869322034536 0 2947 714 3.622 3.948 0 2055 1632.584 340.13 0.106 503 4.41 4.37184518287534 0
"31" "A_HP_001" 10 18 61 0.3389 1 28 1 5 0.314432 5 0.282585 0.21 0.95 0.832275555555556 0.0310495043616451 0.007 199 30 2.102 2.502 0 142 75.463 34.838 0.046 21 1.63 2.44393704559432 0
"32" "A_HP_002" 18 24 96 0.2222 2 40 1 5 0.304155 4 0.280554 0.86 0.92 0.923203214285714 0.0211293761655257 0.568 398 47 9.265 10.402 0.014 276 289.863 68.884 0.581 47 9.96 11.8269679849559 0.03
"33" "A_HP_003" 23 9 108 0.5217 2 30 1 4 0.172504 4 0.109398 0.99 0.946022727272727 0.839852272727273 0.0281055982433046 0.002 1279 66 23.052 12.02 0.007 817 634.464 130.388 0.087 55 17.74 9.25685113466199 0
"34" "A_HP_004" 6 21 52 0.4127 2 25 1 3 0.267589 3 0.230104 0.09 0.916666666666667 0.878404761904762 0.0202504933537466 0.091 158 31 4.129 6.406 0.004 30 76.061 40.341 0.8 3 0.39 1.07209791502173 0.07
"35" "A_HP_005" 7 13 51 0.5604 1 20 1 4 0.166859 5 0.110534 1 0.875 0.848333333333333 0.0426437000249566 0.658 276 12 2.961 2.546 0.001 213 110.432 60.654 0.091 12 1.8 2.41209075662211 0
"36" "A_HP_006" 16 37 123 0.2078 1 53 1 5 0.357195 5 0.353956 0.05 1 0.905252680652681 0.0148024016320369 0 450 74 3.329 3.734 0 375 286.725 71.21 0.122 74 3.52 3.86771145759245 0
"37" "A_HP_007" 8 17 43 0.3162 1 25 1 4 0.374256 4 0.347485 0.1 0.900793650793651 0.693666666666667 0.0489884906934165 0 61 18 0.61 1.184 0 28 9.591 7.514 0.034 13 0.35 0.78334945180064 0
"38" "A_HP_008" 8 24 37 0.1927 3 26 1 6 0.416896 6 0.386134 0.89 1 0.889154761904762 0.0223827907277992 0.003 15 0 0 0 1 15 8.378 5.143 0.149 0 0 0 1
"39" "A_HP_009" 14 22 97 0.3149 2 34 1 5 0.243164 4 0.213487 0.92 1 0.798828571428571 0.0227535109362675 0 694 41 3.845 4.142 0 407 279.094 100.922 0.115 41 3.59 3.57345714394282 0
"40" "A_HP_010" 18 31 88 0.1577 1 49 1 4 0.500387 4 0.472947 0 0.983333333333333 0.662739215686274 0.0432262849551176 0 109 81 2.35 2.657 0 90 18.296 10.159 0 81 2.19 2.67685553505518 0
"41" "A_HP_011" 4 19 43 0.5658 1 23 1 4 0.232558 4 0.190373 1 0.958333333333333 0.688473214285714 0.0502938888655057 0 112 0 0 0 1 27 10.235 7.422 0.059 0 0 0 1
"42" "A_HP_012" 7 23 63 0.3913 1 30 1 4 0.246662 4 0.22449 0.8 0.916666666666667 0.808722222222222 0.0279717949048517 0.006 270 6 3.388 3.994 0.256 256 87.624 50.824 0 6 1.93 2.71641103091724 0.1
"43" "A_HP_013" 11 22 103 0.4256 1 33 1 4 0.22217 5 0.176925 0.96 0.975 0.846138461538462 0.0292094941853902 0 831 101 20.183 13.212 0.001 578 451.488 114.408 0.138 76 18.89 14.1377744594638 0.01
"44" "A_HP_014" 11 19 68 0.3254 1 30 1 4 0.29282 4 0.260272 0.7 0.9375 0.668349305555555 0.0381078397449045 0 232 20 2.26 2.451 0 96 41.614 26.826 0.041 15 1.51 2.02257461687031 0
"45" "A_HP_015" 3 7 12 0.5714 1 10 1 3 0.25 3 0.208333 0.85 0.916666666666667 0.71225 0.0725789584191259 0.085 6 0 0 0 1 0 0 0 1 0 0 0 1
"46" "A_HP_016" 6 21 52 0.4127 2 25 1 3 0.267589 3 0.230104 0.15 0.916666666666667 0.87831746031746 0.0207537999843161 0.096 158 31 3.746 5.718 0.002 30 75.613 39.062 0.816 3 0.35 0.770346898114313 0.06
"47" "A_HP_017" 5 9 19 0.4222 1 14 1 4 0.288089 4 0.263158 0.8 0.8125 0.6963625 0.072316350144682 0.11 15 0 0 0 1 0 0 0 1 0 0 0 1
"48" "A_HP_018" 15 21 127 0.4032 1 36 1 4 0.216256 4 0.195827 0.33 0.9 0.889350324675325 0.00931480643517137 0.139 1205 104 14.241 8.734 0 1172 766.613 160.176 0 102 12.41 9.79290095379858 0
"49" "A_HP_019" 9 18 36 0.2222 1 27 1 6 0.429012 6 0.404321 0.79 1 0.856777777777778 0.0222782649241777 0 28 1 0.051 0.32 0.038 28 13.122 8.1 0.076 1 0.15 0.557320429022713 0.09
