"Pheidole_minutula"	"Allomerus_octoarticulatus"	"Azteca_sp2_M_PA_001"	"Pseudomyrmex_concolor"	"Allomerus_sp1_M_PA_001"	"Pseudomyrmex_nigrescens"	"Crematogaster_sp3_M_PA_001"	"Camponotus_balzanii"	"Azteca_isthmica"	"Crematogaster_sp4_M_PA_001"	"Allomerus_prancei"	"Crematogaster_sp2_M_PA_001"	"Allomerus_auripunctata"	"Solenops_sp1_M_PA_001"	"Azteca_schummani"	"Azteca_sp1_M_PA_001"	"Azteca_sp6_M_PA_001"	"Crematogaster_sp1_M_PA_001"	"Azteca_polymorpha"	"Crematogaster_sp5_M_PA_001"	"Azteca_alfari"	"Azteca_sp3_M_PA_001"	"Azteca_sp4_M_PA_001"	"Azteca_sp5_M_PA_001"	"Maieta_guianensis"	"Hirtella_physophora"	"Tachigali_myrmecophila"	"Cordia_nodosa"	"Maieta_poeppiggi"	"Duroia_saccifera"	"Tachigali_polyphylla"	"Tococa_bullifera"	"Pourouma_heterophylla"	"Cecropia_purpurascens"	"Amaioua_guianensis"	"Cecropia_ficifolia"	"Hirtella_myrmecophila"	"Cecropia_concolor"	"Cecropia_distachya"
"Azteca_sp4_M_PA_001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Azteca_sp5_M_PA_001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0
"Maieta_guianensis"	0.820588235294118	0	0.0176470588235294	0	0	0	0.061764705882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hirtella_physophora"	0	0.79746835443038	0	0	0	0	0.0113924050632911	0	0	0	0.0569620253164557	0	0	0.0341772151898734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tachigali_myrmecophila"	0	0	0	0.415384615384615	0	0.369230769230769	0	0	0	0	0	0	0	0	0.0230769230769231	0	0	0	0.0461538461538462	0.0230769230769231	0	0	0	0.0230769230769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cordia_nodosa"	0	0	0.6	0	0	0	0	0	0	0	0	0.075	0.05	0	0	0.075	0	0.05	0	0.025	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Maieta_poeppiggi"	0.7875	0	0	0	0	0	0.028125	0	0	0.084375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Duroia_saccifera"	0	0.783870967741936	0	0	0	0	0	0	0	0	0	0	0.0580645161290323	0.0290322580645161	0	0	0	0.0290322580645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tachigali_polyphylla"	0	0	0	0.576	0	0.252	0	0	0	0	0	0	0	0	0.072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tococa_bullifera"	0.036	0	0.396	0	0	0	0.252	0	0	0.108	0	0.072	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pourouma_heterophylla"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cecropia_purpurascens"	0	0	0	0	0	0	0	0.707142857142857	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amaioua_guianensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cecropia_ficifolia"	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hirtella_myrmecophila"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cecropia_concolor"	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cecropia_distachya"	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
