"Sp"	"MDim"
"Saccocoelioides_beauforti"	2
"Saturnius_maurepasi"	2
"Schikhobalotrema_acuta"	2
"Sclerodistomum_sp."	2
"Stephanostomum_sp.1"	2
"Stephanostomum_sp.3"	2
"Tergestia_selenei"	2
"Tetrochetus_aluterae"	2
"Tetrochetus_sp."	2
"Trematoda_sp."	2
"Varelacreptotrema_travassosi"	2
"Anilocra_laticauda"	2
"Cymothoidae_gen._sp.1"	2
"Cymothoidae_gen._sp.2"	2
"Cymothoidae_gen._sp.3"	2
"Cymothoidae_gen._sp.4"	2
"Isopoda_sp.1"	2
"Isopoda_sp.2"	2
"Isopoda_sp.3"	2
"Isopoda_sp.4"	2
"Rocinela_signata"	2
"Allopyragraphorus_hippos"	2
"Allopyragraphorus_sp.1"	2
"Allopyragraphorus_sp.2"	2
"Anoplodiscus_longivaginatus"	2
"Anthocotyle_merluccii"	2
"Axine_sp."	2
"Axinoides_sp."	2
"Benedenia"	2
"Bravocotyle_sp."	2
"Caballerocotyla"	2
"Capsalidae_gen._sp._2"	2
"Capsalidae_gen._sp.1"	2
"Cemocotyle_carangis"	2
"Cemocotyle_noveboracensis"	2
"Cemocotyle_sp."	2
"Chauhanellus_neotropicalus"	2
"Choricotyle_aspinochorda"	2
"Choricotyle_brasiliensis"	2
"Choricotyle_cynoscioni"	2
"Choricotyle_orthopristis"	2
"Choricotyle_sp."	2
"Dactylogyridea_gen._sp."	2
"Diclidophoroides_maccallumi"	2
"Diclidophoroides_sp."	2
"Diplectanotrema_sp."	2
"Encotyllabe_sp._3"	2
"Encotyllabe_sp.1"	2
"Hamatopeduncularia_sp."	2
"Hexostoma_auxisi"	2
"Hexostoma_lintoni"	2
"Macrovalvitrema_sinaloense"	2
"Mazocraeidae_gen._sp."	2
"Metamicrocotyla_macracantha"	2
"Metapseudaxine_ventrosicula"	2
"Mexicana_atlantica"	2
"Microcotyle_sp."	2
"Microcotylidae_gen._sp."	2
"Neobenedenia_melleni"	2
"Neobenedenia_sp._1"	2
"Neohexostoma_euthynni"	2
"Nicolasia_sp."	2
"Nudaciraxine"	2
"Octoplectanocotyla_trichiuri"	2
"Orbocotyle_marplatensis"	2
"Protomicrocotyle_mirabilis"	2
"Pseudempleurosoma_sp.1"	2
"Pseudempleurosoma_sp.2"	2
"Pseudempleurosoma_sp.3"	2
"Pseudempleurosoma_sp.4"	2
"Pseudempleurosoma_sp.5"	2
"Pseudempleurosoma_sp.6"	2
"Pseudotagia_sp."	2
"Pterinotrematoides_mexicanum"	2
"Rhamnocercus_stichospinus"	2
"Uraxine_sp."	2
"Ascarophis_marinha"	2
"Ascarophis_sp."	2
"Capillaridae_gen._sp._1"	2
"Capillaridae_gen._sp._2"	2
"Cucullanellus_rodriguesi"	2
"Cucullanus_cirratus"	2
"Hysterothylacium_aduncum"	2
"Philometra_fariaslimai"	2
"Procamalanus_sp.1"	2
"Procamallanus_cruzi"	2
"Procamallanus_sp.2"	2
"Procamallanus_sp.3"	2
"Procamallanus_sp.5"	2
"Pseudocapillaria_sp."	2
