"Clethrionomys_rufocanus"	"Clethrionomys_rutilus"	"Apodemus_peninsulae"	"Tamias_sibiricus"	"Microtus_evoronensis"	"Myopus_schisticolor"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Pectinoctenus_pectiniceps"	"Amalaraeus_dissimilis"	"Neopsylla_acanthina"	"Catallagia_ioffi"	"Hystrichopsylla_microti"	"Megabothris_asio"	"Ctenophthalmus_pisticus"	"Ceratophyllus_indages"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Ctenophthalmus_congeneroides"	"Rhadinopsylla_pseudodahurica"
"Neopsylla_acanthina"	2.89201046405417	1.19837048847608	0.489242841384129	0.11597412377431	0.038777831520949	0.00103298805617595	0.00143336799735082	1.66540629945701	0.851421545637006	0.575633730485603	1.53950028087946	0.171484836706373	0.118857493555414	0.108274727711845	0.0895331820895447	0.0668905065430383	0.023530825607391	0.0194261940484415	0.0209456660011858	0.0122526060145308
"Catallagia_ioffi"	3.0340955523386	1.34851246947073	0.261530617898567	0.0510671582381277	0.0396184456814093	0.00108654670601507	0.000931314929706457	1.75175474491985	0.836484107655479	0.614041973168021	0.456149665638951	1.18170279336829	0.127022480996573	0.113401225056748	0.0632913305854508	0.0434613633863013	0.0240667929489654	0.0201444818134142	0.0182905045159824	0.0133464306828123
"Hystrichopsylla_microti"	3.05204525435061	1.3266959247416	0.248100867724905	0.0505916983997056	0.0573969409749182	0.00108492565936197	0.000926493412062147	1.74914125748247	0.836706810193911	0.616512427856935	0.451658475510574	0.181460687137962	1.12785136291567	0.118788794060693	0.0620531116875833	0.0432363592295668	0.0240457278890885	0.0203931541348351	0.0180449068090398	0.0132648198285099
"Megabothris_asio"	3.07620448375045	1.19454244430133	0.257810504723712	0.050247550712667	0.156059805246116	0.0010627639467828	0.00091455258210625	1.71341165197983	0.846598375471816	0.618200603779106	0.450016837052356	0.177189414151169	0.129925243503883	1.14675880131444	0.0630094823409422	0.0426791204982916	0.0237527019857499	0.0218194039658485	0.0171952387392375	0.0126010199541678
"Ctenophthalmus_pisticus"	2.44520105317675	1.35673651880948	0.683846723707354	0.194861888967564	0.0531671243235977	0.000992148114313411	0.00203664816409696	1.59956323763195	0.85606599914983	0.532961895559683	0.605487112775056	0.160910162505383	0.110433503850784	0.102523903470008	1.11953184363522	0.0950435809911914	0.0221469924037656	0.0207149739090117	0.0255638235226195	0.0122108653323375
"Ceratophyllus_indages"	2.59361208039732	1.13082963908936	0.32727667219267	0.621434831509767	0.035510003848434	0.000937900369000313	0.0272409778566074	1.51210381713273	0.741233846916484	0.522831116383107	0.635459812158864	0.155219154951076	0.108090898073917	0.0975522754246666	0.133513601868578	1.27124563330834	0.020884670541785	0.0174733714467659	0.0362589427463571	0.0112907537841694
"Catallagia_dacenkoi"	3.08910246531333	1.2557692231888	0.298235318301007	0.0520535205598511	0.0396647624780662	0.0010770052477212	0.000939810174380326	1.73637179382607	0.841776494043945	0.61077576219167	0.469439970867451	0.18050094711724	0.126240071417715	0.114012969531599	0.0653336275911085	0.0438578081377486	1.02420243148117	0.0196663578273829	0.0180228341686434	0.0129568265350958
"Corrodopsylla_birulai"	2.7281957488548	1.55464822176865	0.306186090281367	0.0519914455738903	0.0938150460832363	0.00108049185990939	0.000925060841299371	1.74199298747614	0.841056594960452	0.602989957578031	0.455944201489892	0.17774542776542	0.125957716715158	0.123215457689498	0.0718931447430407	0.043169505927304	0.0231368915616269	1.02256183601608	0.0196497200792063	0.0138444527349954
"Ctenophthalmus_congeneroides"	2.60043862097547	1.51498652617737	0.386398791226539	0.193959544995821	0.037974524563923	0.00104453179455711	0.00203956552948259	1.68401737100262	0.821159171504298	0.571678417950442	0.52233254590457	0.171473479837335	0.118419700934323	0.103171432435425	0.0942665992396595	0.0951797247091873	0.0225285427108043	0.0208778275841567	1.0246783431662	0.0133747377578183
"Rhadinopsylla_pseudodahurica"	2.82359479640049	1.57326770660973	0.247940416220595	0.0507322152685045	0.0392848283451039	0.00109835347275615	0.000923788945977493	1.77078987663241	0.831215827555938	0.610979969508775	0.444435436345254	0.181996782038349	0.126618734726685	0.109972537781828	0.065494641327992	0.043110150812283	0.0235578664274469	0.0213959724086292	0.019454164011372	1.01413593515987
