"Lasiopodomys_brandtii"	"Spermophilus_undulatus"	"Marmota_sibirica"	"Ellobius_tancrei"	"Alticola_argentatus"	"Allactaga_sibirica"	"Phodopus_sungorus"	"Amphipsylla_primaris"	"Neopsylla_mana"	"Citellophilus_tesquorum"	"Oropsylla_silantiewi"	"Frontopsylla_hetera"	"Rhadinopsylla_dahurica"	"Amalaraeus_penicilliger"	"Neopsylla_pleskei"	"Rhadinopsylla_li"	"Oropsylla_alaskensis"	"Amphipsylla_dumalis"	"Rhadinopsylla_rothschildi"	"Frontopsylla_elatoides"	"Paradoxopsyllus_scorodumovi"	"Ctenophyllus_hirticrus"	"Paramonopsyllus_scalonae"	"Frontopsylla_elata"	"Pectinoctenus_pavlovskii"	"Frontopsylla_luculenta"	"Ophthalmopsylla_praefecta"
"Oropsylla_silantiewi"	0.450107768331677	0.31776667085549	3.96699833844822	0.000744862444670615	0.00113439890608497	0	9.00662770239482e-05	0.198365502911008	0.154055229334998	0.213386032971509	4.48332325208079	0.0484856791312254	0.0261742316213734	0.0126206986853582	0.0126263366470913	0.0388383652936171	0.0352876181011588	0.000644592500195724	0.00321004727431938	0.0109337495683582	0.00840112894251911	0.0154552245617925	0.000658659612551905	0.000526927690041341	0.000109745205959637	5.48726029798184e-05	0
"Frontopsylla_hetera"	4.29050833828552	0.351198276698688	0.0775784939613581	0.00635907982947995	0.00888001533691242	0	0.00231790115120353	1.88298059938723	1.19422393651874	0.221158136209785	0.07330394213338	1.24780345306457	0.24949749131405	0.120302773589584	0.115916110699728	0.0604960492855883	0.0410810034609708	0.00550304985243457	0.0305987489347419	0.012084067834819	0.00402569811420405	0.00130334711638801	0.000727955893663787	0.000582364714931028	0.00104611107469203	0.000523055537346016	0
"Rhadinopsylla_dahurica"	4.47985732055187	0.199631301131172	0.0410001058807346	0.00663121751740714	0.00925141019836696	0	0.000470749983611415	1.96559449167274	1.24403382080495	0.134771907958705	0.040194181682717	0.253420407844145	1.26050833020155	0.12561198311605	0.120754695093218	0.0438428372365698	0.0244713215147033	0.0057385536208331	0.0319491348360387	0.00686893514256037	0.00228454084960356	0.000729511698817107	0.00041379127364821	0.000331033018918567	0.00109227811405261	0.000546139057026303	0
"Amalaraeus_penicilliger"	4.47985732055187	0.199631301131172	0.0410001058807346	0.00663121751740714	0.00925141019836696	0	0.000470749983611415	1.96559449167274	1.24403382080495	0.134771907958705	0.040194181682717	0.253420407844145	0.260508330201546	1.12561198311605	0.120754695093218	0.0438428372365698	0.0244713215147033	0.0057385536208331	0.0319491348360387	0.00686893514256036	0.00228454084960356	0.000729511698817106	0.00041379127364821	0.000331033018918567	0.00109227811405261	0.000546139057026303	0
"Neopsylla_pleskei"	4.45179294145161	0.226435635585474	0.0423569582682083	0.0065910202324265	0.00919667556980372	0	0.000468874155639348	1.95336247585415	1.2366950595408	0.150035819203725	0.0415676026696376	0.252410587119182	0.25887635757063	0.124825078073889	1.12004474018818	0.0468130425828761	0.0274116867940044	0.00570376750883062	0.0317489872492282	0.00779122154686085	0.00258621867132496	0.000812265719183277	0.000469350695594022	0.000375480556475217	0.00108543546151208	0.000542717730756037	0
"Rhadinopsylla_li"	2.02610169576824	2.54321731815502	0.159633914448898	0.00311664433658203	0.00446579202282596	0	0.000306740531588898	0.896111446632378	0.602383183657061	1.46934296473722	0.160276634239856	0.16512865283869	0.117819906263909	0.0568104369825975	0.0586811378855771	1.30353709411731	0.281556568874999	0.00269709606050368	0.0144496111455737	0.0875072932594101	0.0286611675790544	0.00796495212033963	0.00527152369032587	0.0042172189522607	0.000494003799848674	0.000247001899924337	0
"Oropsylla_alaskensis"	1.45987499864483	3.08402136418183	0.187009757794605	0.00230562422362656	0.00336146657743067	0	0.000268893840835446	0.649318389448414	0.454316392771387	1.77730752075239	0.187986765520718	0.144754517649748	0.0848932390000982	0.040933846897322	0.0443570931757525	0.363463934365907	1.34088135616094	0.00199525173198453	0.0104114349717101	0.10611533666715	0.0347478169924781	0.00963459659949319	0.00639249016067162	0.0051139921285373	0.000355946494759321	0.000177973247379661	0
"Amphipsylla_dumalis"	0.627627734900746	0.0300498347560736	0.00648354622961757	4.07080182537083	0.00181312740765952	0	6.60365982292149e-05	0.34585030334756	0.245207287873833	0.0200812046889026	0.0062955200852449	0.0355497020467273	0.0364972010284985	0.0175982311038882	0.0169211769428642	0.00638312734319205	0.0036579615086383	4.52280927195553	0.00447607182424982	0.00103395792550839	0.000344265250903921	0.000110953746836819	6.22866220185768e-05	4.98292976148613e-05	0.000153028096555549	7.65140482777747e-05	0
"Rhadinopsylla_rothschildi"	4.47985732055187	0.199631301131172	0.0410001058807346	0.00663121751740714	0.00925141019836696	0	0.000470749983611415	1.96559449167274	1.24403382080495	0.134771907958705	0.040194181682717	0.253420407844145	0.260508330201546	0.12561198311605	0.120754695093218	0.0438428372365698	0.0244713215147033	0.0057385536208331	1.03194913483604	0.00686893514256035	0.00228454084960356	0.000729511698817112	0.00041379127364821	0.000331033018918567	0.00109227811405261	0.000546139057026303	0
"Frontopsylla_elatoides"	1.35769514564797	3.18161350917227	0.191949933987179	0.00215926956331068	0.00316218277070726	0	0.000262064121718965	0.604782731854357	0.427596630168748	1.83288203396721	0.192987266477643	0.141077852192043	0.0789513750120792	0.0380687971756357	0.0417722119078684	0.374278182013141	0.351586958836943	0.00186859866055732	0.00968271580336821	1.10947329762099	0.0358461985161092	0.00993589646455366	0.00659477696511979	0.00527582157209583	0.000331033018918571	0.000165516509459286	0
