"Alticola_strelzowi"	"Alticola_barakshin"	"Alticola_argentatus"	"Spermophilus_undulatus"	"Meriones_meridianus"	"Cricetulus_longicaudatus"	"Cricetulus_barabensis"	"Phodopus_sungorus"	"Allactaga_sibirica"	"Meriones_unguiculatus"	"Apodemus_peninsulae"	"Amphipsylla_primaris"	"Paradoxopsyllus_scorodumovi"	"Callopsylla_caspia"	"Paramonopsyllus_scalonae"	"Citellophilus_tesquorum"	"Wagnerina_tuvensis"	"Paradoxopsyllus_dashidorzhii"	"Frontopsylla_elatoides"	"Nosopsyllus_laeviceps"	"Amphipsylla_vinogradovi"	"Frontopsylla_hetera"	"Pectinoctenus_pavlovskii"	"Neopsylla_mana"	"Frontopsylla_wagneri"	"Neopsylla_bidentatiformis"	"Amphipsylla_longispina"	"Ophthalmopsylla_praefecta"	"Oropsylla_alaskensis"	"Rhadinopsylla_li"	"Neopsylla_pleskei"	"Echidnophaga_oschanini"	"Frontopsylla_luculenta"	"Ophthalmopsylla_kukuschkini"	"Amphalius_runatus"	"Ctenophyllus_hirticrus"	"Rhadinopsylla_rothschildi"
"Amphipsylla_vinogradovi"	1.01986008643691	0.766030562935379	0.721819642601442	0.360737414318988	0.24767376313	0.79243510892532	0.631392790065926	0.151654263309684	0	0.0337690698845108	0.0114694036549961	0.924390347591587	0.56594908062684	0.310908499461742	0.19018225015209	0.360855743752398	0.213526114663166	0.140495430363944	0.162642960278672	0.189844696929544	1.59879042424786	0.120490504466987	0.162060884982006	0.13014239350468	0	0.101841188179608	0.0298941420709126	0	0.0094257195354316	0.00997866937295744	0.00633170060334578	0.00733111519422462	0	0.0133146617311423	0.004189208682414	0.00528607917264496	0.00528607917264496
"Frontopsylla_hetera"	1.42718954805984	1.27987071312491	0.97007955966861	0.361606538188701	0.23355876886326	0.198306304951976	0.135302369131272	0.0947306361593877	0	0.032845621250102	0.00335204586510723	1.31510221709213	0.65814588110258	0.471682329578348	0.279779760536995	0.275762475019925	0.237864927979662	0.211620644798169	0.153397043208947	0.180916163301091	0.161926153061969	1.1063813376465	0.0646768355468808	0.0555057415927466	0	0.0287267600627091	0.0197208205652191	0	0.00944842890105963	0.0090490168220786	0.00615855398439415	0.00734877803415749	0	0.00347919612620897	0.00419930173380423	0.00113276402063391	0.00113276402063391
"Pectinoctenus_pavlovskii"	1.09283525209213	1.01512839891705	0.814579155693996	0.266621721907179	0.14044885562272	0.657023827566923	0.272970921428789	0.449616776102384	0	0.0203968513266673	0.00722034460532881	1.13631242040331	0.587179106976732	0.376248666024011	0.228859746799818	0.23789658179494	0.228464179442662	0.163672396461966	0.172261440868235	0.109838911938145	0.411385323415861	0.122167356032997	1.21665883083394	0.126115372925502	0	0.0511218103988226	0.044406204715432	0	0.00696656757241335	0.0193536197444253	0.00382440962375012	0.00541844144521042	0	0.00733957917057584	0.00309625225440591	0.00228533794684567	0.00228533794684567
"Neopsylla_mana"	1.22906101277383	0.917577885955959	0.957560462309968	0.425222448044871	0.127703127034532	0.54412989346153	0.280300004834196	0.197391422942989	0	0.0188393852119945	0.0390564626932859	1.15268054250988	0.647235781631119	0.374055684268005	0.227025309276545	0.343061229644557	0.226899505851161	0.158146480099547	0.169665823297576	0.100686346332147	0.354608173127432	0.112539164146762	0.135371547085172	1.10671984748532	0	0.0515414861728347	0.0278977859142609	0	0.0111106510618176	0.0124208504443689	0.00353238472724896	0.00864161749252483	0	0.0296862216001911	0.00493806713858555	0.00234669771489094	0.00234669771489095
"Frontopsylla_wagneri"	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92330827067669	0	0	0.852631578947369	0	0	0	0	0.487218045112782	0	0	0	0
"Neopsylla_bidentatiformis"	0.930738129014878	0.842059556661577	0.945741180923597	0.403833622160795	0.221050735696836	0.406447719432627	0.851155781894199	0.0922963636367545	0	0.0304308177182543	0.0130881981236422	1.0025731172938	0.541897160808721	0.325572587034222	0.20363278961083	0.416954114839234	0.190252709759708	0.1462091882915	0.171403205807251	0.169685156632306	0.549942416169882	0.115429344979249	0.108750033030223	0.102145854415254	0	1.12921229487965	0.0214218947725671	0	0.0105517817403304	0.00838223938642928	0.00570577832217269	0.00820694135359037	0	0.0162876940698498	0.00468968077348013	0.00712595538330027	0.00712595538330027
"Amphipsylla_longispina"	0.91985239040396	0.760414099836155	0.652407767949593	0.676230549594353	0.774781037295454	0.327650315098673	0.158708300437112	0.360891746520223	0	0.101268941786527	0.00463695634111018	0.911908057153837	0.468516448400428	0.292647447592582	0.196904127424678	0.504009219466322	0.1660614060779	0.174897851776649	0.175167473581772	0.58499597742826	0.253673148430315	0.124522895568955	0.148443598620158	0.0868816761329838	0	0.0336629774997483	1.0558356686197	0	0.0176692498442396	0.0195449633204672	0.0189879265849737	0.013742749878853	0	0.00457459009359946	0.00785299993077305	0.00132872065482233	0.00132872065482233
"Ophthalmopsylla_praefecta"	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92330827067669	0	0	1.85263157894737	0	0	0	0	0.487218045112782	0	0	0	0
"Oropsylla_alaskensis"	0.661716829292095	0.589185590363829	0.551508600058722	2.34764369253393	0.161518777754307	0.150252768427564	0.189203092387082	0.0592296600983044	0	0.0222303821335799	0.00435271221374193	0.665310106044726	0.393082732981553	0.22281425664478	0.164057290343967	1.60253108976791	0.118652082019872	0.141976727298345	0.208139789644832	0.123934905443734	0.155524372334622	0.116005710396343	0.0452826892206869	0.0672811647632288	0	0.0322415553176763	0.0343568746971324	0	1.06134165777266	0.0236845798981572	0.00416819665004622	0.0477101782676252	0	0.00463092443937166	0.0272629590100713	0.00158402588975232	0.00158402588975232
"Rhadinopsylla_li"	1.12052125122406	1.05665593374677	0.755687851540802	0.959767289990684	0.134252040813967	0.188922774988948	0.138230438652879	0.359003003138793	0	0.0196343769813221	0.00416714418492821	1.11535022273376	0.537442212198122	0.381744760535288	0.237692033806233	0.671004552239636	0.192878641069039	0.182048856565162	0.179283162053682	0.105283909883703	0.17433322375108	0.117637218687022	0.133198441770456	0.0796395704962475	0	0.0271190097796242	0.0402396303656678	0	0.0250777904804018	1.02246374462575	0.00368144568399788	0.0195049481514236	0	0.00407427902049711	0.0111456846579562	0.00115727809104736	0.00115727809104736
"Neopsylla_pleskei"	0.556623769288765	0.539989964619098	0.401814934874565	0.191428290594716	1.42728991531135	0.097598203105628	0.0734616053283762	0.0418105466457435	0	1.40514957090142	0.00167530459349546	0.572285903608143	0.266052254354604	0.194177467261595	0.173631800829107	0.180274727205289	0.0982010187839853	0.169125500616494	0.108821459445206	1.88198781923814	0.125367671946246	0.0907360287034068	0.0298303950652509	0.0256686623513425	0	0.0209211871812998	0.0443051620316053	0	0.00500183598005544	0.00417230510853094	1.26346554454402	0.00389031687337648	0	0.00178774060889369	0.00222303821335796	0.000615027393446871	0.000615027393446871
"Echidnophaga_oschanini"	0.661716829292095	0.589185590363829	0.551508600058722	2.34764369253393	0.161518777754307	0.150252768427564	0.189203092387082	0.0592296600983044	0	0.0222303821335799	0.00435271221374193	0.665310106044726	0.393082732981553	0.22281425664478	0.164057290343967	1.60253108976791	0.118652082019872	0.141976727298345	0.208139789644832	0.123934905443734	0.155524372334622	0.116005710396343	0.0452826892206869	0.0672811647632288	0	0.0322415553176763	0.0343568746971324	0	0.0613416577726608	0.0236845798981572	0.00416819665004622	1.04771017826763	0	0.00463092443937166	0.0272629590100713	0.00158402588975232	0.00158402588975232
"Frontopsylla_luculenta"	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92330827067669	0	0	0.852631578947369	0	0	0	0	1.48721804511278	0	0	0	0
"Ophthalmopsylla_kukuschkini"	0.681779041374766	0.531699040935631	0.535688325702031	0.354465821285239	0.113076595768658	0.3468206574483	0.663695696705416	0.101908624293989	0	0.0158910276346106	1.39181727411452	0.647552072117984	0.369136271159033	0.213065794287743	0.131548665834726	0.349894329666744	0.131297782154139	0.0952001781744291	0.118614442618499	0.0875583168859617	0.439383837127694	0.0854335937657981	0.0954145292174859	0.359533128268981	0	0.0995359082046376	0.0177900725862201	0	0.00926184887874333	0.00769586037205009	0.00297956768148948	0.0072036602390226	0	1.97982861399212	0.00411637727944141	0.00555652211195231	0.00555652211195232
"Amphalius_runatus"	0.661716829292095	0.589185590363829	0.551508600058722	2.34764369253394	0.161518777754307	0.150252768427564	0.189203092387082	0.0592296600983044	0	0.0222303821335799	0.00435271221374193	0.665310106044726	0.393082732981553	0.22281425664478	0.164057290343967	1.60253108976791	0.118652082019872	0.141976727298345	0.208139789644832	0.123934905443734	0.155524372334622	0.116005710396343	0.0452826892206869	0.0672811647632288	0	0.0322415553176763	0.0343568746971324	0	0.0613416577726608	0.0236845798981572	0.00416819665004622	0.0477101782676253	0	0.00463092443937166	1.02726295901007	0.00158402588975232	0.00158402588975232
"Ctenophyllus_hirticrus"	0.790374461907573	0.642175230795019	0.62614161623088	0.545608917581353	0.179057817257315	0.453151575963085	1.34659262089338	0.109523696300621	0	0.0246010957378748	0.0196150725960517	0.759943263729548	0.439409199882376	0.253330916801527	0.158878243246474	0.586878911909105	0.158381721357516	0.1188521264476	0.165330677131983	0.13751393906403	0.784982757137777	0.125170424280047	0.133692269890472	0.127895025461557	0	0.195963773040757	0.0232526114593908	0	0.0142562330077709	0.00983686377390258	0.00461270545085151	0.0110881812282663	0	0.0250043495037854	0.00633610355900922	1.01127379868655	0.0112737986865493
"Rhadinopsylla_rothschildi"	0.790374461907573	0.642175230795019	0.62614161623088	0.545608917581353	0.179057817257315	0.453151575963085	1.34659262089338	0.109523696300621	0	0.0246010957378748	0.0196150725960517	0.759943263729548	0.439409199882376	0.253330916801527	0.158878243246474	0.586878911909105	0.158381721357516	0.1188521264476	0.165330677131983	0.13751393906403	0.784982757137777	0.125170424280047	0.133692269890472	0.127895025461556	0	0.195963773040757	0.0232526114593908	0	0.0142562330077709	0.00983686377390258	0.00461270545085151	0.0110881812282663	0	0.0250043495037854	0.00633610355900922	0.0112737986865493	1.01127379868655
