"Miconia_argentea"	"Miconia_lacera"	"Miconia_minutiflora"	"Miconia_impetiolaris"	"Pipra_mentalis"	"Pipra_coronata"	"Catharus_ustulatus"	"Tachyphonus_luctuosus"	"Eucometis_penicillata"	"Euphonia_fulvicrissa"	"Manacus_vitellinus"	"Mionectes_oleagineus"	"Catharus_minimus"	"Dendroica_pensylvanica"	"Catharus_fuscescens"	"Dendroica_striata"	"Empidonax_virescens"	"Habia_fuscicauda"	"Leptotila_cassinii"	"Oryzoborus_angolensis"	"Ramphocelus_dimidiatus"	"Schiffornis_turdinus"	"Seiurus_aurocapillus"
"Catharus_minimus"	1.28659320002032	1.65780376241125	1.13530593697273	0.657139205858865	1.48149411458411	1.26982003044288	0.450619886241105	0.198067637371549	0.170281699396643	0.182696741163688	0.127214814615448	0.081813919174512	1.08522689808493	0.0304719442110075	0.0304494568606147	0.0152359721055038	0.0304494568606147	0.0152359721055038	0.0152359721055038	0.0152359721055038	0.0152359721055038	0.0179219783416054	0.0304494568606147
"Dendroica_pensylvanica"	2.61994620148027	0.809652742012178	0.745059965606794	0.562183196163914	1.43795698343348	0.90870376616647	0.574766444411212	0.403333823122621	0.325589056003689	0.0892270368748115	0.122458241000994	0.078289089071177	0.0457079163165113	1.06205135740348	0.0148711728124686	0.0310256787017401	0.0148711728124686	0.0310256787017401	0.0310256787017401	0.0310256787017401	0.0310256787017401	0.0153322689862886	0.0148711728124686
"Catharus_fuscescens"	1.25578792638624	2.00890394797507	0.819088621100217	0.653061609801632	1.45939145748308	1.26742859550737	0.424202520853419	0.193325246562092	0.166522499301094	0.221389414674804	0.139160359536022	0.0677857420360289	0.0913483705818441	0.0297423456249372	1.03689823577913	0.0148711728124686	0.036898235779134	0.0148711728124686	0.0148711728124686	0.0148711728124686	0.0148711728124686	0.0178107711764082	0.036898235779134
"Dendroica_striata"	2.61994620148027	0.809652742012178	0.745059965606794	0.562183196163914	1.43795698343348	0.90870376616647	0.574766444411212	0.403333823122621	0.325589056003689	0.0892270368748114	0.122458241000994	0.078289089071177	0.0457079163165113	0.0620513574034801	0.0148711728124686	1.03102567870174	0.0148711728124686	0.0310256787017401	0.0310256787017401	0.0310256787017401	0.0310256787017401	0.0153322689862886	0.0148711728124686
"Empidonax_virescens"	1.25578792638624	2.00890394797507	0.819088621100217	0.653061609801632	1.45939145748308	1.26742859550737	0.424202520853419	0.193325246562092	0.166522499301094	0.221389414674804	0.139160359536021	0.0677857420360289	0.0913483705818441	0.0297423456249372	0.036898235779134	0.0148711728124686	1.03689823577913	0.0148711728124686	0.0148711728124686	0.0148711728124686	0.0148711728124686	0.0178107711764081	0.036898235779134
"Habia_fuscicauda"	2.61994620148027	0.809652742012178	0.745059965606794	0.562183196163914	1.43795698343348	0.90870376616647	0.574766444411212	0.403333823122621	0.325589056003689	0.0892270368748114	0.122458241000994	0.078289089071177	0.0457079163165113	0.0620513574034802	0.0148711728124686	0.0310256787017401	0.0148711728124686	1.03102567870174	0.0310256787017401	0.0310256787017401	0.0310256787017401	0.0153322689862886	0.0148711728124686
"Leptotila_cassinii"	2.61994620148027	0.809652742012178	0.745059965606794	0.562183196163914	1.43795698343348	0.90870376616647	0.574766444411212	0.403333823122621	0.325589056003689	0.0892270368748114	0.122458241000994	0.0782890890711769	0.0457079163165113	0.0620513574034801	0.0148711728124686	0.0310256787017401	0.0148711728124686	0.0310256787017401	1.03102567870174	0.0310256787017401	0.0310256787017401	0.0153322689862886	0.0148711728124686
"Oryzoborus_angolensis"	2.61994620148027	0.809652742012178	0.745059965606794	0.562183196163914	1.43795698343348	0.90870376616647	0.574766444411212	0.403333823122621	0.325589056003689	0.0892270368748114	0.122458241000994	0.078289089071177	0.0457079163165113	0.0620513574034801	0.0148711728124686	0.0310256787017401	0.0148711728124686	0.0310256787017401	0.0310256787017401	1.03102567870174	0.0310256787017401	0.0153322689862886	0.0148711728124686
"Ramphocelus_dimidiatus"	2.61994620148027	0.809652742012178	0.745059965606794	0.562183196163914	1.43795698343348	0.90870376616647	0.574766444411212	0.403333823122621	0.325589056003689	0.0892270368748114	0.122458241000994	0.078289089071177	0.0457079163165113	0.0620513574034801	0.0148711728124686	0.0310256787017401	0.0148711728124686	0.0310256787017401	0.0310256787017401	0.0310256787017401	1.03102567870174	0.0153322689862886	0.0148711728124686
"Schiffornis_turdinus"	1.29472493661992	0.969697541826666	0.846738324693327	1.62568130212324	1.49344262333961	1.37914294224525	0.376950435369263	0.199319496821751	0.197659452648065	0.106864627058449	0.154959605895752	0.0959578171154676	0.0537659350248162	0.0306645379725771	0.0178107711764081	0.0153322689862886	0.0178107711764081	0.0153322689862886	0.0153322689862886	0.0153322689862886	0.0153322689862886	1.04433676278518	0.0178107711764081
