"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Roscheria_melanochaetes"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Gastonia_crassa"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Neophyllomyza_approximatonervis"	"Forcipomyia_sp1_M_PL_128"	"Unidentified_sp6_M_PL_128"	"Xylocopa_caffra"	"Unidentified_sp1_M_PL_128"	"Mabuya_sechellensis"	"Nectarinia_dussumieri"	"Lygistorrhina_sp1_M_PL_128"	"Ornidia_obesa"	"Phelsuma_sp1_M_PL_128"	"Unidentified_sp7_M_PL_128"	"Cratopus_aurostriatus"	"Unidentified_sp5_M_PL_128"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Unidentified_sp3_M_PL_128"	"Unidentified_sp4_M_PL_128"	"Chalcidoma_disjunctum"	"Polistes_olivaceus"	"Simosyrphus_aegyptius"	"Unidentified_sp2_M_PL_128"
"Syzygium_wrightii"	0.522080845009729	0.554259218391208	0.181651975930971	0.218043012563315	0.368213958988284	0.109890988275455	0.154953884632262	0.130174896098048	0.937099975020196	0.177295499823061	1.90949364000431	1.00264278291464	0.436263337058448	0.241926315502044	0.0738374821569362	0.110036756592372	0.0820868970667613	0.0664053738038483	1.0788820785122	1.15342816412104	0.0459293685613597	0.0736427917976569	0.196950316962227	0.0366789188641241	0.0207042791971272	0.0122615083753405	0.0245475972658856	0.0245475972658856	0.0146715675456496	0.0146715675456496	0.00732233790551518	0.00732233790551518	0.00581775820281821	0.00626497014011675
"Apis_mellifera"	1.11892593706685	0.941870478713173	0.378379731699573	0.464234950784201	0.533192788650998	0.255536328292769	0.398342958022431	0.32464289643883	0.0807512237896504	0.149815467903358	0.0911493439013307	2.5775132577922	0.778981058312199	0.491789598603798	0.15455738193821	0.186988992097468	0.180113819164557	0.146225601889581	0.0709504640168105	0.0928645319781715	0.0949889609378293	0.1066385577302	0.0653601299464329	0.0623296640324894	0.0438813104160851	0.0255406318897212	0.0355461859100666	0.0355461859100666	0.0249318656129958	0.0249318656129957	0.0182611629246842	0.0182611629246842	0.0135283938507937	0.0134271112448022
"Lasioglossum_mahense"	1.03063747889622	1.52877949339577	0.342206062927126	0.70460180864875	0.278751444625903	0.13206256045923	0.205489830899597	0.20483105778434	0.078497881137027	0.163288451428405	0.0676960350607936	1.32964008229151	2.10223682386913	0.453382284796365	0.140229845731414	0.303507693541807	0.0931902826420216	0.123379924813813	0.0626976663322327	0.0735981960987656	0.113438350587544	0.0557502889251805	0.0871988070597809	0.101169231180602	0.0401345723252299	0.023098909247581	0.0185834296417268	0.0185834296417269	0.040467692472241	0.040467692472241	0.0115217470003691	0.0115217470003691	0.00699154731842984	0.0123676497467546
"Neophyllomyza_approximatonervis"	1.69858566330725	0.613002538379718	1.18367922422531	0.298357811243561	0.241795054822437	0.115055801409018	0.179151925205669	0.182451057700224	0.0544601152878354	0.118461560360271	0.0518413533218666	1.15921833956609	0.626099345671171	1.94129662116393	0.440257794095416	0.121699033354797	0.0811541089970649	0.255604796515058	0.0449608682519911	0.0556294886095187	0.108164141426944	0.0483590109644873	0.0545256553824568	0.040566344451599	0.094031621009513	0.0798983476352084	0.0161196703214958	0.0161196703214958	0.0162265377806396	0.0162265377806396	0.0102628719956376	0.0102628719956376	0.00609118948635974	0.020383027959687
"Forcipomyia_sp1_M_PL_128"	1.2949396734667	0.470759401045873	2.00127152629526	0.229276160275519	0.187489304932708	0.0893181287530258	0.139101643744389	0.161992111159739	0.0411496404356568	0.0824540834241455	0.0390904317301427	0.900069459522518	0.478431238377766	1.08769572658867	1.70650769228785	0.0934595869723425	0.0629929252937969	0.321063539621689	0.0339479353542975	0.041447202983661	0.0826186775439577	0.0374978609865416	0.0416381287544871	0.0311531956574475	0.121135770846488	0.13508582802493	0.0124992869955138	0.0124992869955139	0.012461278262979	0.012461278262979	0.00911205625273532	0.00911205625273532	0.00472860681633665	0.0155392760816004
"Unidentified_sp6_M_PL_128"	0.775922153411002	2.24211655553268	0.258662914232467	0.446099076748496	0.258823679374602	0.122582298397339	0.190728771939418	0.173461581806049	0.0887145401082693	0.113708479757415	0.0660220539554234	1.23412734784329	1.17356308169499	0.340757293393431	0.105920865235322	1.44512608087781	0.0865032690786391	0.0951693350089931	0.0677124678450925	0.0689779481520951	0.0946082436342245	0.0517647358749204	0.114304899235983	0.148375360292604	0.0302619628223251	0.0174597467106915	0.0172549119583068	0.0172549119583068	0.0593501441170415	0.0593501441170415	0.00975721397659025	0.00975721397659025	0.0064896510916238	0.00931106584093203
"Xylocopa_caffra"	0.596199737968383	0.50275404250833	0.201678726324424	0.247390334533095	0.509110251250372	2.10741469114913	0.211980110247518	0.172795874527539	0.0495958473015679	0.0810930991758106	0.0568293902769886	1.37163600748394	0.415772030249019	0.26219019829821	0.0823753638457343	0.0998114643215067	2.35579849843838	0.0779003768739489	0.0438305746259432	0.0624215992787033	0.0506269471873496	0.101822050250074	0.0360439422342042	0.0332704881071689	0.0233843363958403	0.0136133140268986	0.0339406834166915	0.0339406834166914	0.0133081952428676	0.0133081952428676	0.00971976794217409	0.0097197679421741	0.111569013060836	0.0071543968556206
"Unidentified_sp1_M_PL_128"	1.49366661343213	0.599214331538105	1.24145782441982	0.292116412702886	0.250793848149429	0.119680440754063	0.186437642409216	0.356379550648237	0.0512835241545032	0.0960078867018872	0.0498040303528862	1.20636121558904	0.596336303266763	0.894616787802701	0.45484001446406	0.118961668761241	0.084392074946778	1.26937670150108	0.0426343121492976	0.0520936331327567	0.0977581389092339	0.0501587696298859	0.0509473674612444	0.0396538895870805	0.0917136008212629	0.0837984031483378	0.0167195898766286	0.0167195898766286	0.0158615558348322	0.0158615558348322	0.0200463497239633	0.0200463497239633	0.00633602333403863	0.0179239993611855
"Mabuya_sechellensis"	0.458648370933649	0.568450347341517	0.157381679967536	0.188134914489282	0.278787065303409	0.0850282197457413	0.120615788828578	0.103301406933601	1.56158446865148	0.136027764556169	1.0788820785122	0.780455104184915	0.404051627474388	0.209817385175959	0.0641238778914508	0.112854113075154	0.0633108300152513	0.0568457495323968	2.16692023662546	0.843421922245763	0.0412160688631831	0.0557574130606818	0.309159807423501	0.037618037691718	0.0180897365009467	0.0106232633978086	0.0185858043535606	0.0185858043535606	0.0150472150766872	0.0150472150766872	0.00581070414001508	0.00581070414001508	0.00450149398653925	0.00550378045120379
"Nectarinia_dussumieri"	0.5451874800459	0.579074132634872	0.193198997541506	0.230358086276221	0.462517121064323	0.117657779044911	0.157869704362891	0.133440368748169	0.921099024091576	0.243011247331749	1.15342816412104	1.02150985175989	0.474299485969822	0.259604280177754	0.0782891611913597	0.114963246920158	0.0901645322914603	0.0694581775103423	0.843421922245764	1.78223026849899	0.0481313036172436	0.0925034242128647	0.195332723481066	0.0383210823067195	0.0217784544104693	0.0130409323340516	0.0308344747376216	0.0308344747376216	0.0153284329226878	0.0153284329226878	0.00750602074208448	0.00750602074208448	0.00622894124355413	0.0065422497605508
