"Stillingia_lineata"	"Aphloia_theiformis"	"Croton_grangeroides"	"Phyllanthus_phillyreifolius"	"Psiadia_terebinthina"	"Syzygium_petrinese"	"Badula_insularis"	"Calophyllum_eputamen"	"Diospyros_revaughanii"	"Molinaea_macrantha"	"Rubus_alcefolius"	"Psidium_cattleianum"	"Embelia_angustifolia"	"Tabernaemontana_persicarifolia"	"Apis_mellifera"	"Technomyrmex_albipes"	"Musca_domestica"	"Brachymyrmex_sp1_M_PL_083"	"Chaetocnema_sp1_M_PL_083"	"Chrysomya_megacephala"	"Dysauxes_florida"	"Orthellia_albigena"	"Eristalinus_flaveolus"	"Ophyra_capensis"	"Paragus_borbonicus"	"Pheidole_megacephala"	"Nacoleia_sp1_M_PL_083"	"Ornidia_obesa"	"Polistes_hebraeus"	"Stomorhina_lunata"	"Fannia_pusio"	"Macroglossum_milvus"	"Musca_confiscata"	"Phelsuma_cepediana"	"Sapromyza_sp1_M_PL_083"	"Sarcophaga_arno"	"Simulium_sp1_M_PL_083"	"Syritta_sp1_M_PL_083"
"Rubus_alcefolius"	0.229423253317986	0.145612992626545	0.103673243501826	0.0772785866140815	0.0825055587213284	0.666205957071075	0.0500013975798139	0.935145009278375	0.688377300728857	0.0199391036718262	2.04498374990509	0.192608585827588	0.027403155892448	0	2.40850367992812	0.105234158267972	0.261369182158921	0.0675045480447234	0.0520922942609341	0.125550722317779	0.0311019730505478	0.0465283185400517	0.0327629233409725	0.0725048849369251	0.0310278878612294	0.0173876819881683	0	0.14846418908725	0.920242687457292	0.151297076676114	0.0599585361363966	0.0885056529508528	0.0137653951990792	0.059958536136397	0.00777549326263695	0.0137653951990791	0.0137653951990791	0.00777549326263695
"Psidium_cattleianum"	0.598288626720549	0.358234089956452	0.413346491798283	0.124072179520882	0.0704129235977885	0.520128365760155	0.1244018692235	0.834880221255331	0.487727846430311	0.0401920780187885	0.256811447770118	1.37851381930342	0.0561479353812688	0	1.69780901581356	0.212124856210272	0.450773570221231	0.0576105738527361	0.166220839024897	0.6101156291172	0.124003947539485	0.116499987843435	0.0806026702402017	0.0618780237677536	0.0831351145531761	0.0279162403921983	0	0.109519418888025	0.115565151496553	0.497042167916558	0.0468115529184138	0.0627078659696113	0.0358973176032329	0.0468115529184142	0.0310009868848712	0.0358973176032329	0.0358973176032329	0.0310009868848712
"Embelia_angustifolia"	1.03978513658648	0.914446175713181	0.712181974779054	0.205523974796645	0.056894694103519	0.332544988990186	0.22340088932113	0.148491077447916	0.11494334068089	0.0744529298183346	0.054806311784896	0.0842219030719033	1.30146449764271	0	0.362330616800146	0.392946018485655	1.28797726885924	0.0465502042665155	0.289648319316815	0.387838654902483	0.213654592433716	0.268137497730654	0.205750389535466	0.0499983675455167	0.707656135226138	0.046242894329245	0	0.0447074785252312	0.0246628403032032	0.0401156786663626	0.0299290490091168	0.0147784295161143	0.0623871081951886	0.0299290490091168	0.053413648108429	0.0623871081951885	0.0623871081951886	0.053413648108429
"Tabernaemontana_persicarifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.303348523831559	0.192532734695098	0.13707906640797	0.102179464523063	0.109090683198201	0.880872321016199	0.0661129590221984	1.23646951226807	0.910187764297044	0.0263639259660813	0.481700735985624	0.254671352372033	0.0362330616800146	0	3.18457708790496	0.139142942598763	0.345588140854574	0.0892560135258009	0.0688775890783462	0.166005955064618	0.041123719922391	0.0615207767362906	0.043319865306397	0.0958675700832676	0.0410257628387366	0.0229903795176892	0	0.196302650015364	0.216765331193531	0.200048356938417	0.0792785088914577	0.117024141123905	0.0182009114298936	0.0792785088914583	0.0102809299805977	0.0182009114298935	0.0182009114298935	0.0102809299805977
"Technomyrmex_albipes"	0.317031612342755	0.39858397027937	0.373893109946027	1.52357511493351	0.158624447098185	0.135008265731258	1.04005930365764	0.0599470792767291	0.046492514354023	0.58661599087134	0.0221545596353624	0.0334933983489904	0.0413627387879636	0	0.146466255367118	3.09602884070985	0.265749390783025	0.129783638534879	0.415165637575714	0.15309147398925	0.112167932983808	0.108703290053423	0.0896813933128582	0.139397241389314	0.0765490134714884	0.342804400860039	0	0.0181283529041876	0.0099695518359131	0.01604272743237	0.0121507439158132	0.00597760898837438	0.0190218967405653	0.0121507439158132	0.028041983245952	0.0190218967405653	0.0190218967405653	0.028041983245952
"Musca_domestica"	1.49046182543325	0.949511358574331	0.451804780067038	0.210079599963624	0.0772055975818568	0.508606130132278	0.208181531335159	0.215126694328839	0.169676142936262	0.0735921389860685	0.0804212868181297	0.104024670051053	0.198150349055268	0	0.531674062853191	0.388402955759806	2.02035078285987	0.0631682162033373	0.253538244441626	0.438474598496432	0.135541434020111	0.30306776520522	0.213640055679225	0.0678473433295105	0.194266367472973	0.0472679099918154	0	0.0675900558037101	0.0361895790681584	0.0527200704481999	0.0457745517119049	0.021815504091805	0.0894277095259951	0.0457745517119051	0.0338853585050278	0.0894277095259951	0.0894277095259951	0.0338853585050278
"Brachymyrmex_sp1_M_PL_083"	0.0719753771777463	0.0604912261528599	0.04475525739411	0.247806908128244	3.80896540839958	0.189383213229474	0.0855300458209304	0.0697356628058769	0.0578818640547672	0.0467221098725564	0.0270018192178894	0.0172831721558208	0.0093100408533031	0	0.178512027051602	0.24658891321627	0.0821186810643385	4.11642624323602	0.0400474692906186	0.0293906501093216	0.013426577218233	0.0179290485150582	0.0136105258843935	0.347272631623873	0.0120830046500091	0.0557565543288549	0	0.0244864431405513	0.0121508186480502	0.0121585179273339	0.0170444891906526	0.00744195394989863	0.00431852263066478	0.0170444891906527	0.00335664430455825	0.00431852263066478	0.00431852263066478	0.00335664430455825
"Chaetocnema_sp1_M_PL_083"	0.734176659536899	0.43374733635261	1.29899661552438	0.558573118860212	0.0699241527296516	0.153716076636637	0.945068094617915	0.0842540136378723	0.0611110905063171	0.21351375646751	0.0297670252919624	0.0712375024392414	0.0827566626619471	0	0.196793111652418	1.12687815913408	0.470856739677306	0.0572106704151695	1.61984526645057	0.380903592003517	0.389698984657314	0.141643750251551	0.0975931506793372	0.0614484978533302	0.16719629458865	0.125678951743548	0	0.0216915871052524	0.0133951613813831	0.0297966520955597	0.0138344468972973	0.00785714020795504	0.0440505995722139	0.0138344468972974	0.0974247461643285	0.0440505995722139	0.0440505995722139	0.0974247461643285
"Chrysomya_megacephala"	1.29467951573927	0.760201710042146	0.994298190494409	0.214413223220853	0.0513170081273869	0.275745651945678	0.265019093993064	0.215757622476847	0.142644890253653	0.0787327580516142	0.0717432698958735	0.261478126764514	0.110811044257852	0	0.474302728756053	0.415534000827964	0.814309968636231	0.0419866430133165	0.380903592003517	1.51764560768974	0.298289457148323	0.248726155703839	0.171045384759483	0.0450967647180066	0.181452462456275	0.0482429752246919	0	0.0431571659934379	0.0322844714531431	0.100019200277039	0.024817108675111	0.0183400573183268	0.077680770944356	0.0248171086751111	0.0745723642870807	0.077680770944356	0.0776807709443561	0.0745723642870807
