"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Paragenipa_wrightii"	"Canthium_bibracteatum"	"Phoenicophorium_borsigianum"	"Memecylon_eleagni"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_087"	"Nectarinia_dussumieri"	"Unidentified_sp1_M_PL_087"	"Hemipyrellia_sp1_M_PL_087"	"Rhiparida_seychellensis"	"Unidentified_sp4_M_PL_087"	"Cratopus_aurostriatus"	"Neophyllomyza_approximatonervis"	"Megachile_seychellensis"	"Mabuya_sechellensis"	"Chalcidoma_disjunctum"	"Unidentified_sp3_M_PL_087"
"Unidentified_sp2_M_PL_087"	2.90017200276014	0.47684920114545	0.445133223195562	0.29977708858373	0.265564375332591	0.214551021060759	0.134795193184925	0	1.58945893184865	1.12737589057674	1.43502580041402	0.123325433998789	0.197934822727415	0.204718023724245	0.153538517793184	0.153538517793184	0.0927031214165474	0.102359011862123	0.0437975039767872	0	0.0137925656396204	0.0255897529655305
"Nectarinia_dussumieri"	1.55298694665142	0.512199624025298	1.26691091478947	0.355776283243492	0.25174588752804	0.267790917571233	0.529431531454205	0	1.98387620668095	1.05704885651992	0.232948041997712	1.39473700908671	0.129904507201548	0.109622607998923	0.0822169559991926	0.0822169559991926	0.0562132312512787	0.0548113039994618	0.0486442615867883	0	0.017215130415294	0.0137028259998653
"Unidentified_sp1_M_PL_087"	2.49251258249338	0.812150043404275	0.469543422724004	0.324463469557795	0.265360510369665	0.231237797847915	0.141574278866123	0	1.71307962718246	1.1263635757647	0.373876887374007	0.129904507201548	1.20757051804327	0.175942064646591	0.131956548484944	0.131956548484944	0.0818999048646517	0.0879710323232957	0.0657786352810974	0	0.0148652870045092	0.0219927580808238
"Hemipyrellia_sp1_M_PL_087"	2.90017200276014	0.47684920114545	0.445133223195562	0.29977708858373	0.265564375332591	0.214551021060759	0.134795193184925	0	1.58945893184865	1.12737589057674	0.435025800414021	0.123325433998789	0.197934822727415	1.20471802372425	0.153538517793184	0.153538517793184	0.0927031214165474	0.102359011862123	0.0437975039767872	0	0.0137925656396205	0.0255897529655305
"Rhiparida_seychellensis"	2.90017200276014	0.47684920114545	0.445133223195562	0.29977708858373	0.265564375332591	0.214551021060759	0.134795193184925	0	1.58945893184865	1.12737589057674	0.435025800414021	0.123325433998789	0.197934822727415	0.204718023724245	1.15353851779318	0.153538517793184	0.0927031214165474	0.102359011862123	0.0437975039767872	0	0.0137925656396204	0.0255897529655305
"Unidentified_sp4_M_PL_087"	2.90017200276014	0.47684920114545	0.445133223195562	0.29977708858373	0.265564375332591	0.214551021060759	0.134795193184925	0	1.58945893184865	1.12737589057674	0.435025800414021	0.123325433998789	0.197934822727415	0.204718023724245	0.153538517793184	1.15353851779318	0.0927031214165474	0.102359011862123	0.0437975039767872	0	0.0137925656396205	0.0255897529655305
"Cratopus_aurostriatus"	2.62658844013551	0.485697411406931	0.455504187152476	0.303038330768869	0.515114341090417	0.212026897177625	0.138872497531329	0	1.57075945779673	1.24969542061746	0.393988266020326	0.126479770315377	0.184274785945466	0.185406242833095	0.139054682124821	0.139054682124821	1.10043420152784	0.0927031214165474	0.0445011831273766	0	0.0136303005328476	0.0231757803541367
"Neophyllomyza_approximatonervis"	2.90017200276014	0.47684920114545	0.445133223195562	0.299777088583731	0.265564375332591	0.214551021060759	0.134795193184925	0	1.58945893184865	1.12737589057674	0.435025800414021	0.123325433998789	0.197934822727415	0.204718023724245	0.153538517793184	0.153538517793184	0.0927031214165473	1.10235901186212	0.0437975039767872	0	0.0137925656396205	0.0255897529655305
"Megachile_seychellensis"	1.65457237245641	1.17869853288956	0.529426592972243	0.682195631425646	0.258956780995249	0.275159188087217	0.157833006436836	0	2.03846258583684	1.08576271833357	0.248185855868461	0.145932784760365	0.197335905843292	0.116793343938099	0.0875950079535744	0.0875950079535744	0.0593349108365022	0.0583966719690496	1.10547512850278	0	0.0176888049484645	0.0145991679922623
"Mabuya_sechellensis"	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0
