"Cecropia_schreberiana"	"Guarea_guidonia"	"Schefflera_morototoni"	"Alchornea_latifolia"	"Dendropanax_arboreus"	"Ocotea_floribunda"	"Inga_vera"	"Ficus_sp1_M_SD_006"	"Miconia_prasina"	"Musa_acuminata"	"Phytolacca_rivinoides"	"Tournefortia_hisutissima"	"Casearia_sylvestris"	"Citrus_sinensis"	"Coffea_arabica"	"Miconia_laevigatta"	"Momordica_charantia"	"Murraya_paniculata"	"Piper_amalaga"	"Roystonea_borinquena"	"Solanum_rugosum"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Nesospingus_speculiferus"	"Melanerpes_portoricensis"	"Tyrannus_caudifasciatus"	"Columba_squamosa"	"Euphonia_musica"	"Icterus_dominicensis"	"Myarchus_antillarum"	"Vireo_flavirostris"	"Vireo_latimeri"
"Phytolacca_rivinoides"	1.42003119380702	0.506936569526673	0.78662637311144	0.105739830564016	0.181551971549679	0.297281212441982	0.100187359181567	0.189736316440866	0.0668903397373398	0.0794678351352457	1.11850983917317	0.118509839173168	0	0.0212372474376698	0.0212372474376698	0.0472833619054712	0.035442224223289	0.0246390481741666	0.0472833619054712	0.0472833619054712	0.0472833619054712	1.73372326986728	0.560374510013424	0.401148007155985	1.10796742416418	0.257493633859529	0.315041993095902	0.109506880774074	0.0526424391053112	0.0380202427145004	0.0535106182395567	0.033632317748061	0.0357605258108606	0.0190101213572502	0.0190101213572502	0
"Tournefortia_hisutissima"	1.42003119380702	0.506936569526673	0.78662637311144	0.105739830564016	0.181551971549679	0.297281212441982	0.100187359181567	0.189736316440866	0.0668903397373398	0.0794678351352457	0.118509839173168	1.11850983917317	0	0.0212372474376698	0.0212372474376698	0.0472833619054712	0.035442224223289	0.0246390481741666	0.0472833619054712	0.0472833619054712	0.0472833619054712	1.73372326986728	0.560374510013424	0.401148007155985	1.10796742416418	0.257493633859529	0.315041993095902	0.109506880774074	0.0526424391053112	0.0380202427145004	0.0535106182395567	0.033632317748061	0.0357605258108606	0.0190101213572502	0.0190101213572502	0
"Casearia_sylvestris"	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316
"Citrus_sinensis"	1.32677383400406	1.13477579958782	0.355074646217764	0.344282315000217	0.152063053683497	0.0935643530149161	0.185571884671156	0.0614872837053862	0.158045335928345	0.0394314387315847	0.0424744948753396	0.0424744948753396	0	1.09040775859826	0.0904077585982594	0.0234617060452929	0.0213685613363597	0.0311080577273668	0.0234617060452929	0.0234617060452929	0.0234617060452929	0.860262554994073	0.974120522739179	1.70770210685601	0.295754492911837	0.260598250978566	0.189942767434308	0.138258034343853	0.0739776832899025	0.0851081849690863	0.0168415835426849	0.0314235908053594	0.0177441474292131	0.0425540924845432	0.0425540924845432	0
"Coffea_arabica"	1.32677383400406	1.13477579958782	0.355074646217764	0.344282315000217	0.152063053683497	0.0935643530149161	0.185571884671156	0.0614872837053862	0.158045335928345	0.0394314387315847	0.0424744948753396	0.0424744948753396	0	0.0904077585982594	1.09040775859826	0.0234617060452929	0.0213685613363597	0.0311080577273668	0.0234617060452929	0.0234617060452929	0.0234617060452929	0.860262554994073	0.974120522739179	1.70770210685601	0.295754492911837	0.260598250978566	0.189942767434308	0.138258034343853	0.0739776832899025	0.0851081849690863	0.0168415835426849	0.0314235908053594	0.0177441474292131	0.0425540924845432	0.0425540924845432	0
"Miconia_laevigatta"	1.62494423461818	0.533814931093825	0.718999108123512	0.114545980533713	0.160808017407694	0.155165280878362	0.108971550732569	0.127553169597711	0.0734771767918585	0.103496265586846	0.0945667238109423	0.0945667238109423	0	0.0234617060452929	0.0234617060452929	1.06158027802417	0.0310691680157608	0.0279350395476482	0.0615802780241734	0.0615802780241734	0.0615802780241734	2.25794352755302	0.588811498637797	0.44316555863331	0.513122490016406	0.281908504392703	0.276170382362319	0.124155731322881	0.0585035812622384	0.0400361198320369	0.0279297505581052	0.03848552134622	0.0465733195140807	0.0200180599160184	0.0200180599160184	0
"Momordica_charantia"	1.18713680580983	0.664004522702709	1.02640339400507	0.108423855739106	0.137361706041619	0.328211664759138	0.0980795693386707	0.110699728877395	0.0648844900789691	0.0522170891021191	0.0708844484465779	0.0708844484465779	0	0.0213685613363597	0.0213685613363597	0.0310691680157608	1.15559553377571	0.0213568428775956	0.0310691680157608	0.0310691680157608	0.0310691680157608	1.13920282724456	0.590908956400367	0.403628380797905	0.619348806701599	0.242452987276877	1.38307141133961	0.0949193016782028	0.0530165676336896	0.0498003392027032	0.0590780996566448	0.028116398032338	0.0234976900959536	0.0249001696013516	0.0249001696013516	0
"Murraya_paniculata"	1.63221256692866	0.650053969279897	0.39663148333133	0.148252471867425	0.131670544376319	0.101892617278819	0.119145422639368	0.0706211531490182	0.365215458718938	0.0469496462985684	0.0492780963483332	0.0492780963483332	0	0.0311080577273668	0.0311080577273668	0.0279350395476482	0.0213568428775956	1.30664325164891	0.0279350395476482	0.0279350395476482	0.0279350395476482	1.02428478341377	0.732377315804321	0.587596645961373	0.332003105788434	0.269214291419287	0.189838603356406	1.36285889621737	0.0630346899068329	0.0487540476959923	0.0183406711101875	0.0386576660588367	0.0211273408343558	0.0243770238479961	0.0243770238479961	0
"Piper_amalaga"	1.62494423461818	0.533814931093825	0.718999108123512	0.114545980533713	0.160808017407694	0.155165280878362	0.108971550732569	0.127553169597711	0.0734771767918585	0.103496265586846	0.0945667238109423	0.0945667238109423	0	0.0234617060452929	0.0234617060452929	0.0615802780241734	0.0310691680157608	0.0279350395476482	1.06158027802417	0.0615802780241734	0.0615802780241734	2.25794352755302	0.588811498637797	0.44316555863331	0.513122490016406	0.281908504392703	0.276170382362319	0.124155731322881	0.0585035812622384	0.0400361198320369	0.0279297505581052	0.03848552134622	0.0465733195140807	0.0200180599160184	0.0200180599160184	0
"Roystonea_borinquena"	1.62494423461818	0.533814931093825	0.718999108123512	0.114545980533713	0.160808017407694	0.155165280878362	0.108971550732569	0.127553169597711	0.0734771767918585	0.103496265586846	0.0945667238109423	0.0945667238109423	0	0.0234617060452929	0.0234617060452929	0.0615802780241734	0.0310691680157608	0.0279350395476482	0.0615802780241734	1.06158027802417	0.0615802780241734	2.25794352755302	0.588811498637797	0.44316555863331	0.513122490016406	0.281908504392703	0.276170382362319	0.124155731322881	0.0585035812622384	0.0400361198320369	0.0279297505581052	0.03848552134622	0.0465733195140807	0.0200180599160184	0.0200180599160184	0
