"Syzygium_glomeratum"	"Stillingia_lineata"	"Badula_insularis"	"Aphloia_theiformis"	"Syzygium_petrinese"	"Diospyros_revaughanii"	"Pleurostylia_leucocarpa"	"Calophyllum_eputamen"	"Pandanus_rigidifolius"	"Turraea_rigida"	"Xyris_sp1_M_PL_071"	"Apis_mellifera"	"Stomorhina_lunata"	"Musca_domestica"	"Chrysomya_megacephala"	"Ophyra_capensis"	"Paragus_borbonicus"	"Eristalinus_flaveolus"	"Ornidia_obesa"	"Phelsuma_cepediana"	"Polistes_hebraeus"	"Phorinia_sp1_M_PL_071"	"Trirhithrum_sp1_M_PL_071"	"Sepsis_lateralis"	"Episyrphus_sp1_M_PL_071"	"Graphomya_maculata"	"Lygistorrhina_sp1_M_PL_071"	"Syritta_sp1_M_PL_071"	"Lecithoceridae_sp1_M_PL_071"	"Nacoleia_sp1_M_PL_071"	"Pachycerina_crinicornis"	"Paleorhiza_sp1_M_PL_071"	"Scolia_carniflex"	"Simulium_sp1_M_PL_071"	"Simulium_sp2_M_PL_071"	"Zizeeria_knysa"	"Zosterops_mauritianus"
"Xyris_sp1_M_PL_071"	0.797816967953609	0.567743528416101	0.387927951218591	0.495094423481611	0.150256948123497	0.187566231178903	1.31266308830607	0.123083957617597	0.0760412168805156	0	1.16496358156035	0.332174552488253	0.504035149386865	0.533447711470012	0.290676836159911	0.218948754389276	1.46634294720308	0.151785398319619	0.118432739796163	0.062586263096845	0.0615756228712081	0.136298028816695	0.151779083409809	0.0817550680919185	0.0718035271158248	0.0613163010689389	0.147674597434433	0.147674597434433	0.0239345090386083	0.0105506005038132	0.0204387670229796	0.00795477960653809	0.0247547211740806	0.0738372987172166	0.0204387670229796	0.0166254836236539	0
"Apis_mellifera"	0.455720715655462	0.314826909321257	0.513923239098752	0.533162028400315	0.903709657406313	1.14134453839138	0.206064602274725	0.365442930937598	0.290344722574087	0	0.0123027612032686	2.38626544785268	0.631324368455335	0.248813458645361	0.189719808325585	0.151354741390725	0.109357877362388	0.157468678655164	0.200985140082835	0.326320679026838	0.328173044436015	0.0903833890239801	0.0676177217603098	0.045335074942261	0.0410148644089916	0.0340013062066958	0.0231822677559065	0.0231822677559065	0.0136716214696639	0.0642006302845143	0.0113337687355653	0.0478434524509227	0.0266581014200157	0.0115911338779533	0.0113337687355653	0.0220252816756608	0
"Stomorhina_lunata"	0.913373425442372	0.503793612429463	0.970967506988352	0.667622406326483	0.345877492524768	0.43231882002031	0.380430377871984	0.276203111773354	0.225253887328286	0	0.021001464557786	0.710239914512252	1.82646545977343	0.427662826872119	0.339348713005708	0.191780579652292	0.186679684958098	0.221651592153608	0.265763519725685	0.159131973043277	0.140939818288252	0.178618906972999	0.117421812054325	0.0725462801898427	0.0822036082898134	0.054409710142382	0.0427984175105981	0.0427984175105981	0.0274012027632711	0.0243179336261423	0.0181365700474607	0.0183111613689583	0.0333811203163242	0.0213992087552991	0.0181365700474607	0.0416128931566437	0
"Musca_domestica"	1.2222557366035	1.08466136802932	0.545017419959463	0.542865010026645	0.179536711349482	0.225431640245932	0.664443149966129	0.150395403670668	0.0908563882667189	0	0.0313792771452948	0.395174316672045	0.603759284995933	1.60501425082019	0.463366081611124	0.264772148097432	0.278926907958176	0.204566889636764	0.156613227399337	0.0747813400725257	0.0739487912239622	0.20669624991736	0.177876244359596	0.156191236996222	0.110003016294315	0.117143427747167	0.0747498543711895	0.0747498543711895	0.0366676720981051	0.0126805297638336	0.0390478092490556	0.00950488471850204	0.0271432505013322	0.0373749271855947	0.0390478092490556	0.0233578894268341	0
"Chrysomya_megacephala"	1.47689521940263	1.10530985512527	0.585559518185934	0.506489805880836	0.180256115780486	0.226749018413641	0.387549384551307	0.152999092684739	0.0926743386106273	0	0.0223597566276854	0.39403344806083	0.626489931702846	0.605940260568394	1.51973251342889	0.248825650534166	0.198753392246093	0.225877356183608	0.163556162191081	0.0755171557603756	0.074470222939658	0.24662969083265	0.166268525156794	0.159164619138039	0.132920569746237	0.119373464353529	0.043599305762022	0.043599305762022	0.044306856582079	0.0127546322857672	0.0397911547845097	0.00954297083543751	0.0253244902940418	0.021799652881011	0.0397911547845097	0.0250954079222543	0
"Ophyra_capensis"	0.736845274208725	1.36381395253921	0.460972051518343	0.669180406069414	0.240335369918029	0.275896321839224	0.579840996861639	0.281203555080918	0.101385582929001	0	0.0273685942986595	0.510822252193699	0.575341738956877	0.562640814707043	0.404341682118021	1.32755870579266	0.243276393765862	0.184625460297402	0.147757913732286	0.0940338610334726	0.10797722333233	0.130282736196381	0.199663908012773	0.196389209165646	0.0663160746787853	0.147291906874234	0.0652321121469344	0.0652321121469344	0.0221053582262618	0.0155191681034562	0.0490973022914114	0.0127236372309545	0.0334590203034707	0.0326160560734672	0.0490973022914114	0.0197559450650718	0
"Paragus_borbonicus"	0.886463297726232	0.630826142684556	0.431031056909546	0.550104914979568	0.166952164581663	0.208406923532115	1.4585145425623	0.136759952908441	0.0844902409783507	0	0.183292868400385	0.369082836098059	0.560039054874294	0.592719679411125	0.322974262399901	0.243276393765862	1.62926994133676	0.168650442577355	0.131591933106848	0.0695402923298278	0.0684173587457867	0.151442254240772	0.168643426010899	0.0908389645465761	0.0797816967953609	0.0681292234099321	0.164082886038259	0.164082886038259	0.026593898931787	0.0117228894486813	0.022709741136644	0.00883864400726454	0.0275052457489784	0.0820414430191295	0.022709741136644	0.0184727595818377	0
"Eristalinus_flaveolus"	1.28789235499827	0.568480972243726	0.707682574781113	0.736772217381251	0.285524377039478	0.335330760031522	0.347565212189515	0.319213343353703	0.126696664913205	0	0.0216836283313742	0.607379189098488	0.759948315955227	0.49680530340357	0.419486518626701	0.211000526054173	0.192743362945548	1.25582828802017	0.20734723214536	0.11358898163147	0.126607479716302	0.223513106454645	0.111275741392887	0.0818612600030966	0.115910311949844	0.0613959450023224	0.0391010863713204	0.0391010863713204	0.0386367706499481	0.0188623552517729	0.0204653150007741	0.0151159964315018	0.0368386108690626	0.0195505431856602	0.0204653150007741	0.0303292532049048	0
"Ornidia_obesa"	0.700144970165411	0.4638929706419	1.37425263264994	0.620391708968219	0.329567342733785	0.573717266098958	0.295608105226477	0.207986422527715	0.154361723422731	0	0.0169189628280233	0.775228397462363	0.911189210488063	0.380346409398389	0.303747158354864	0.168866187122613	0.150390780693541	0.20734723214536	1.35777388866289	0.13354693127988	0.128084569638041	0.163918286924095	0.125624938147598	0.0668005877724336	0.063013047314887	0.0501004408293252	0.0332559118379786	0.0332559118379786	0.0210043491049623	0.0322715962180661	0.0167001469431084	0.0174476828506122	0.031019585448411	0.0166279559189893	0.0167001469431084	0.0588965413992831	0
"Phelsuma_cepediana"	0.349523681406278	0.228800541812498	0.379764593127716	0.352465397520977	1.8283394034461	0.61414283208951	0.154022521713677	0.272086090071542	0.54875614934674	0	0.00894089472812072	1.25866547624638	0.545595336148379	0.18161182589042	0.140246146412126	0.10746726975254	0.0794746198055175	0.11358898163147	0.13354693127988	1.64859903983387	0.611376319168869	0.0687041776307009	0.0496498507819033	0.0329472780209997	0.031457131326565	0.0247104585157498	0.0173275336927887	0.0173275336927887	0.0104857104421883	0.0345455343050348	0.00823681950524993	0.0967944390059701	0.0176232698760489	0.00866376684639434	0.00823681950524993	0.0162756254197593	0
